side,ticker,sector,comp_sn,comp_sn_z,liquidity_proxy,primary_reason,flag_missing_sector,flag_missing_input,flag_low_liquidity,flag_extreme_score,flag_sector_cap,was_eligible
SHORT,IFNNY,Information Technology,-1.40444,-0.8216,7583612.72,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,LHX,Industrials,-1.40004,-0.819,221418959.28,below_selection_cutoff,False,False,False,False,False,True
SHORT,BP,Energy,-1.39092,-0.8137,240867244.33,below_selection_cutoff,False,False,False,False,False,True
SHORT,GEHC,Health Care,-1.37847,-0.8064,257612043.7,below_selection_cutoff,False,False,False,False,False,True
SHORT,GSK,Health Care,-1.36697,-0.7997,133674895.92,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,GM,Consumer Discretionary,-1.36545,-0.7988,550639543.76,below_selection_cutoff,False,False,False,False,False,True
SHORT,EG,Financials,-1.3559,-0.7932,92919800.84,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,E,Energy,-1.34968,-0.7896,7814921.4,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,PTC,Information Technology,-1.31988,-0.7721,101768099.36,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,CPRT,Industrials,-1.29118,-0.7554,374757415.87,below_selection_cutoff,False,False,False,False,False,True
SHORT,LRCX,Information Technology,-1.27388,-0.7453,752943472.18,below_selection_cutoff,False,False,False,False,False,True
SHORT,NSC,Industrials,-1.25319,-0.7332,274892312.25,below_selection_cutoff,False,False,False,False,False,True
SHORT,FE,Utilities,-1.25118,-0.732,162135052.47,below_selection_cutoff,False,False,False,False,False,True
SHORT,HD,Consumer Discretionary,-1.24905,-0.7307,984999545.63,below_selection_cutoff,False,False,False,False,False,True
SHORT,BAC,Financials,-1.2468,-0.7294,1561296962.57,below_selection_cutoff,False,False,False,False,False,True
SHORT,CSCO,Information Technology,-1.23015,-0.7197,937403516.43,below_selection_cutoff,False,False,False,False,False,True
SHORT,BNY,Financials,-1.2025,-0.7035,232481474.42,below_selection_cutoff,False,False,False,False,False,True
SHORT,KLAC,Information Technology,-1.18337,-0.6924,457598531.54,below_selection_cutoff,False,False,False,False,False,True
SHORT,TDG,Industrials,-1.18238,-0.6918,196735225.71,below_selection_cutoff,False,False,False,False,False,True
SHORT,UNH,Health Care,-1.17967,-0.6902,1469841488.18,below_selection_cutoff,False,False,False,False,False,True
SHORT,FIS,Financials,-1.1734,-0.6865,309641734.35,below_selection_cutoff,False,False,False,False,False,True
SHORT,DECK,Consumer Discretionary,-1.1666,-0.6826,643114738.3,below_selection_cutoff,False,False,False,False,False,True
SHORT,CBOE,Financials,-1.14942,-0.6725,112804329.66,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,STLD,Materials,-1.13492,-0.6641,132798995.72,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,BEN,Financials,-1.10655,-0.6475,99150523.33,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,MAR,Consumer Discretionary,-1.0857,-0.6353,320705269.43,below_selection_cutoff,False,False,False,False,False,True
SHORT,IBN,Financials,-1.06575,-0.6236,113348113.45,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,CNP,Utilities,-1.04965,-0.6142,133932446.55,bottom_quartile_liquidity,False,False,True,False,False,False
SHORT,ARM,Information Technology,-1.04243,-0.61,1121432655.26,below_selection_cutoff,False,False,False,False,False,True
