ticker,fiscal_date_ending,reported_date,reported_eps,estimated_eps,surprise,surprise_percentage,source,availability_date,point_in_time_usable,provider,validation_note
BSX,2001-03-31,2001-04-25,0.11,0.11,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,2001-04-25,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,2000-12-31,2001-02-06,0.11,0.11,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,2001-02-06,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,2000-09-30,2000-10-17,0.13,0.15,-0.02,-13.3333,AlphaVantage EARNINGS quarterlyEarnings,2000-10-17,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,2000-06-30,2000-07-18,0.15,0.14,0.01,7.1429,AlphaVantage EARNINGS quarterlyEarnings,2000-07-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,2000-03-31,2000-04-18,0.13,0.11,0.02,18.1818,AlphaVantage EARNINGS quarterlyEarnings,2000-04-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1999-12-31,2000-02-08,0.13,0.13,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,2000-02-08,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1999-09-30,1999-10-26,0.13,0.11,0.02,18.1818,AlphaVantage EARNINGS quarterlyEarnings,1999-10-26,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1999-06-30,1999-07-20,0.14,0.13,0.01,7.6923,AlphaVantage EARNINGS quarterlyEarnings,1999-07-20,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1999-03-31,1999-04-20,0.13,0.1,0.03,30.0,AlphaVantage EARNINGS quarterlyEarnings,1999-04-20,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1998-12-31,1999-02-23,0.12,0.11,0.01,9.0909,AlphaVantage EARNINGS quarterlyEarnings,1999-02-23,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1998-09-30,1998-11-13,0.11,0.09,0.02,22.2222,AlphaVantage EARNINGS quarterlyEarnings,1998-11-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1998-06-30,1998-07-28,0.1,0.1,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1998-07-28,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1998-03-31,1998-04-28,0.09,0.08,0.01,12.5,AlphaVantage EARNINGS quarterlyEarnings,1998-04-28,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1997-12-31,1998-02-24,0.1,0.1,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1998-02-24,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1997-09-30,1997-10-21,0.11,0.11,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1997-10-21,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1997-06-30,1997-07-22,0.11,0.11,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1997-07-22,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1997-03-31,1997-04-29,0.1,0.1,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1997-04-29,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1996-12-31,1997-02-25,0.11,0.11,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1997-02-25,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1996-09-30,1996-10-22,0.09,0.1,-0.01,-10.0,AlphaVantage EARNINGS quarterlyEarnings,1996-10-22,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1996-06-30,1996-07-24,0.1,0.1,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1996-07-24,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
BSX,1996-03-31,1996-04-30,0.09,0.09,0.0,0.0,AlphaVantage EARNINGS quarterlyEarnings,1996-04-30,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2026-03-31,2026-04-14,3.06,2.6,0.46,17.6923,AlphaVantage EARNINGS quarterlyEarnings,2026-04-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2025-12-31,2026-01-21,1.24,1.62,-0.38,-23.4568,AlphaVantage EARNINGS quarterlyEarnings,2026-01-21,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2025-09-30,2025-11-06,2.26,1.93,0.33,17.0984,AlphaVantage EARNINGS quarterlyEarnings,2025-11-06,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2025-06-30,2025-07-15,2.04,1.59,0.45,28.3019,AlphaVantage EARNINGS quarterlyEarnings,2025-07-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2025-03-31,2025-04-15,1.96,1.85,0.11,5.9459,AlphaVantage EARNINGS quarterlyEarnings,2025-04-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2024-12-31,2025-01-15,1.35,1.24,0.11,8.871,AlphaVantage EARNINGS quarterlyEarnings,2025-01-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2024-09-30,2024-10-15,1.52,1.32,0.2,15.1515,AlphaVantage EARNINGS quarterlyEarnings,2024-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2024-06-30,2024-07-12,1.56,1.39,0.17,12.2302,AlphaVantage EARNINGS quarterlyEarnings,2024-07-12,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2024-03-31,2024-04-12,1.79,1.27,0.52,40.9449,AlphaVantage EARNINGS quarterlyEarnings,2024-04-12,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2023-12-31,2024-01-12,0.84,0.69,0.15,21.7391,AlphaVantage EARNINGS quarterlyEarnings,2024-01-12,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2023-09-30,2023-10-13,1.52,1.22,0.3,24.5902,AlphaVantage EARNINGS quarterlyEarnings,2023-10-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2023-06-30,2023-07-14,1.37,1.38,-0.01,-0.7246,AlphaVantage EARNINGS quarterlyEarnings,2023-07-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
