ticker,fiscal_date_ending,reported_date,availability_date,point_in_time_usable,provider,eps_surprise,eps_surprise_pct,positive_surprise_flag,negative_surprise_flag,surprise_magnitude_abs,trailing_4q_avg_surprise_pct,trailing_4q_positive_surprise_rate,trailing_8q_avg_surprise_pct,surprise_acceleration,days_since_last_earnings,earnings_event_recency_bucket,estimate_revision_proxy
COST,2019-11-30,2019-12-12,2019-12-12,True,alpha_vantage,0.01,0.5814,1,0,0.01,2.2836,0.5,2.632388,-5.3241,70,0,
COST,2020-02-29,2020-03-05,2020-03-05,True,alpha_vantage,-0.06,-3.0769,0,1,0.06,2.42895,0.75,1.846288,-3.6583,84,0,
COST,2020-08-31,2020-09-24,2020-09-24,True,alpha_vantage,0.2,7.0423,1,0,0.2,1.81405,0.75,1.090388,10.1192,203,0,
COST,2020-11-30,2020-12-10,2020-12-10,True,alpha_vantage,0.25,12.1951,1,0,0.25,2.613075,0.75,1.784112,5.1528,77,0,
COST,2021-02-28,2021-03-04,2021-03-04,True,alpha_vantage,0.41,17.5214,1,0,0.41,4.185475,0.75,3.234538,5.3263,84,0,
COST,2021-05-31,2021-06-03,2021-06-03,True,alpha_vantage,0.0,,0,0,0.0,8.420475,0.75,5.424713,,91,0,
COST,2021-08-31,2021-09-23,2021-09-23,True,alpha_vantage,0.19,5.3221,1,0,0.19,8.420475,0.75,5.424713,-12.1993,112,0,
COST,2021-11-30,2021-12-09,2021-12-09,True,alpha_vantage,0.34,12.8788,1,0,0.34,10.520225,1.0,6.167137,7.5567,77,0,
COST,2022-02-28,2022-03-03,2022-03-03,True,alpha_vantage,-0.11,-3.6304,0,1,0.11,11.97935,1.0,7.296213,-16.5092,84,0,
COST,2022-05-31,2022-06-02,2022-06-02,True,alpha_vantage,0.0,,0,0,0.0,8.022975,0.75,6.104225,,91,0,
COST,2022-08-31,2022-09-22,2022-09-22,True,alpha_vantage,0.03,0.7194,1,0,0.03,8.022975,0.75,6.104225,4.3498,112,0,
COST,2022-11-30,2022-12-08,2022-12-08,True,alpha_vantage,-0.04,-1.2862,0,1,0.04,3.822475,0.75,6.121475,-2.0056,77,0,
COST,2023-02-28,2023-03-02,2023-03-02,True,alpha_vantage,0.01,0.304,1,0,0.01,2.1704,0.5,6.345313,1.5902,84,0,
COST,2023-05-31,2023-06-01,2023-06-01,True,alpha_vantage,0.0,,0,0,0.0,-0.9733,0.5,5.503025,,91,0,
COST,2023-08-31,2023-09-26,2023-09-26,True,alpha_vantage,0.07,1.4614,1,0,0.07,-0.9733,0.5,5.503025,1.1574,117,0,
COST,2023-11-30,2023-12-14,2023-12-14,True,alpha_vantage,0.16,4.6784,1,0,0.16,0.29965,0.75,4.161313,3.217,79,0,
COST,2024-02-29,2024-03-07,2024-03-07,True,alpha_vantage,0.11,3.0556,1,0,0.11,1.2894,0.75,2.555938,-1.6228,84,0,
COST,2024-05-31,2024-06-06,2024-06-06,True,alpha_vantage,0.08,2.1622,1,0,0.08,2.37485,1.0,2.272625,-0.8934,91,0,
COST,2024-08-31,2024-09-26,2024-09-26,True,alpha_vantage,0.21,4.1339,1,0,0.21,2.8394,1.0,0.93305,1.9717,112,0,
COST,2024-11-30,2024-12-12,2024-12-12,True,alpha_vantage,0.24,6.3158,1,0,0.24,3.507525,1.0,1.903587,2.1819,77,0,
COST,2025-02-28,2025-03-06,2025-03-06,True,alpha_vantage,-0.21,-4.9645,0,1,0.21,3.916875,1.0,2.603137,-11.2803,84,0,
COST,2025-05-31,2025-06-05,2025-06-05,True,alpha_vantage,0.0522,1.2347,1,0,0.0522,1.91185,0.75,2.14335,6.1992,91,0,
COST,2025-08-31,2025-09-25,2025-09-25,True,alpha_vantage,0.05,0.8591,1,0,0.05,1.679975,0.75,2.259688,-0.3756,112,0,
COST,2025-11-30,2025-12-11,2025-12-11,True,alpha_vantage,0.23,5.3864,1,0,0.23,0.861275,0.75,2.1844,4.5273,77,0,
COST,2026-02-28,2026-03-05,2026-03-05,True,alpha_vantage,0.39,8.5903,1,0,0.39,0.628925,0.75,2.2729,3.2039,84,0,
CRM,2004-07-31,2004-08-19,2004-08-19,True,alpha_vantage,0.0,,0,0,0.0,,,,,,0,
CRM,2004-10-31,2004-11-17,2004-11-17,True,alpha_vantage,0.0,,0,0,0.0,,,,,90,0,
CRM,2005-01-31,2005-02-17,2005-02-17,True,alpha_vantage,0.0,,0,0,0.0,,,,,92,0,
CRM,2005-04-30,2005-05-18,2005-05-18,True,alpha_vantage,0.0,0.0,0,0,0.0,,,,,90,0,
CRM,2005-07-31,2005-08-17,2005-08-17,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,91,0,
CRM,2005-10-31,2005-11-16,2005-11-16,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,91,0,
CRM,2006-01-31,2006-02-22,2006-02-22,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,98,0,
CRM,2006-04-30,2006-05-17,2006-05-17,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,84,0,
CRM,2006-07-31,2006-08-16,2006-08-16,True,alpha_vantage,0.01,100.0,1,0,0.01,0.0,0.0,0.0,100.0,91,0,
CRM,2006-10-31,2006-11-15,2006-11-15,True,alpha_vantage,0.01,100.0,1,0,0.01,25.0,0.25,16.666667,0.0,91,0,
