event_timestamp,point_in_time_available_at,ticker,fiscal_period,estimate_type,old_value,new_value,revision_direction,revision_magnitude,analyst_count,consensus_change,provider_id,raw_payload_path
2006-01-30,2006-01-30,MDLZ,2005-12-31,eps_surprise_acceleration_proxy,,,up,12.3994,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-04-19,2006-04-19,MDLZ,2006-03-31,eps_surprise_acceleration_proxy,,,up,3.4392,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-07-24,2006-07-24,MDLZ,2006-06-30,eps_surprise_acceleration_proxy,,,down,-0.8929,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2006-10-23,2006-10-23,MDLZ,2006-09-30,eps_surprise_acceleration_proxy,,,down,-4.0278,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-01-31,2007-01-31,MDLZ,2006-12-31,eps_surprise_acceleration_proxy,,,down,-2.2222,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-04-18,2007-04-18,MDLZ,2007-03-31,eps_surprise_acceleration_proxy,,,up,4.7619,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-08-01,2007-08-01,MDLZ,2007-06-30,eps_surprise_acceleration_proxy,,,up,1.6211,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2007-10-31,2007-10-31,MDLZ,2007-09-30,eps_surprise_acceleration_proxy,,,up,0.9341,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-01-30,2008-01-30,MDLZ,2007-12-31,eps_surprise_acceleration_proxy,,,down,-7.3171,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-04-30,2008-04-30,MDLZ,2008-03-31,eps_surprise_acceleration_proxy,,,up,7.3171,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-07-28,2008-07-28,MDLZ,2008-06-30,eps_surprise_acceleration_proxy,,,up,8.6829,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2008-10-29,2008-10-29,MDLZ,2008-09-30,eps_surprise_acceleration_proxy,,,down,-13.7273,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2009-02-04,2009-02-04,MDLZ,2008-12-31,eps_surprise_acceleration_proxy,,,down,-4.5454,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2009-05-05,2009-05-05,MDLZ,2009-03-31,eps_surprise_acceleration_proxy,,,up,14.7727,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
