date,ticker,is_bank,regime,fund_fiscal_period,fund_publish_date,fund_age_days,fund_stale,forward_excess_return_20d_vs_spy,gross_margin,operating_margin,net_margin,roa_ttm,revenue_growth_yoy,operating_income_growth_yoy,net_income_growth_yoy,debt_to_assets,liabilities_to_assets,equity_to_assets,current_ratio,cash_to_assets,ocf_to_assets,fcf_to_assets,earnings_yield_ttm,book_to_price,deposits_to_assets,loans_to_assets,quality_composite
2026-06-16,MA,False,risk_on,2025-Q1,2025-05-01,411,True,,,0.593103,0.452414,0.271157,0.142092,0.152815,0.089339,0.38791,0.861853,,1.110837,0.162864,0.049103,0.045822,0.028683,0.014613,,,1.245016
2026-06-16,MAR,False,risk_on,2025-Q1,2025-05-06,406,True,,0.952738,0.151525,0.106179,0.092905,0.04785,0.073529,0.179078,0.565157,1.11887,,0.452197,0.019624,0.024277,0.019211,0.022341,-0.028584,,,-0.598222
2026-06-16,MCD,False,risk_on,2025-Q1,2025-05-12,400,False,,0.895886,0.4445,0.313518,0.144934,-0.03469,-0.032176,-0.032141,0.691029,1.061318,,1.181637,0.021978,0.043086,0.032932,39490.410262,-16707.481265,,,0.372986
2026-06-16,MDLZ,False,risk_on,2025-Q1,2025-04-29,413,True,,0.260926,0.073231,0.043165,0.052244,0.002476,-0.754146,-0.715297,0.283459,0.625357,,0.606104,0.022647,0.015843,0.011839,0.044399,0.318387,,,-0.608336
2026-06-16,MDT,False,risk_on,2025-Q4,2025-06-20,361,False,,0.647474,0.201299,0.118517,0.050851,0.039353,0.486352,0.617737,0.311042,0.473653,,1.6478,0.097787,0.027574,0.022568,0.044441,0.460016,,,-0.122958
2026-06-16,META,False,risk_on,2025-Q1,2025-05-01,411,True,,0.821052,0.414875,0.393345,0.237801,0.160719,0.270444,0.345622,0.102882,0.339684,,2.662349,0.250631,0.085742,0.039559,0.042865,0.119025,,,1.395142
2026-06-16,MRK,False,risk_on,2025-Q1,2025-05-02,410,True,,0.779831,0.382317,0.327065,0.151439,-0.015594,0.030729,0.066569,0.30267,0.579576,,1.164177,0.080158,0.021716,0.010181,0.059809,0.16604,,,0.430213
2026-06-16,MSFT,False,risk_on,2025-Q3,2025-04-30,412,True,,0.687166,0.456712,0.368567,0.171758,0.132691,0.160219,0.177082,0.076216,0.427875,,1.371592,0.141512,0.065841,0.036079,0.032887,0.109548,,,1.094628
2026-06-16,MU,False,risk_on,2025-Q3,2025-06-26,355,False,,0.377164,0.233201,0.202666,0.079404,0.365585,2.01669,4.677711,0.198235,0.352679,,2.754711,0.137901,0.058791,0.021315,0.005421,0.044192,,,0.334573
2026-06-16,NEE,False,risk_on,2025-Q1,2025-04-23,419,True,,0.81351,0.355371,0.133984,0.028384,0.090037,0.13555,-0.630952,0.46163,0.689258,,0.553257,0.012452,0.014254,0.002167,0.031031,0.339719,,,-0.289556
