config,regime_axis,regime_label,n_months,mean_monthly_return,ann_vol,sharpe,note
u128:momentum_bucket:top_quintile,inflation_regime,inflation_up,65,0.014837,0.169615,1.049717,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,rates_regime,rates_down,49,0.02612,0.17072,1.836008,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,rates_regime,rates_up,69,0.011612,0.165363,0.842627,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,dollar_regime,dollar_down,54,0.011913,0.159335,0.897169,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,dollar_regime,dollar_up,64,0.022466,0.175757,1.533878,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,risk_regime,risk_off,15,0.017512,0.324995,0.646593,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,risk_regime,risk_on,92,0.031673,0.246105,1.544354,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,vol_regime,high_vol,72,0.026432,0.257214,1.233152,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,vol_regime,low_vol,35,0.036385,0.259871,1.680132,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,trend_regime,above_trend,87,0.023421,0.225583,1.245898,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,trend_regime,below_trend,20,0.056947,0.357311,1.912517,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,inflation_regime,disinflation,50,0.034783,0.259861,1.606246,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,inflation_regime,inflation_up,57,0.025218,0.256463,1.179941,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,rates_regime,rates_down,43,0.045522,0.265421,2.058104,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,rates_regime,rates_up,64,0.019049,0.247088,0.925125,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,dollar_regime,dollar_down,49,0.026975,0.262738,1.232037,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_decile,dollar_regime,dollar_up,58,0.031979,0.254777,1.506217,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,risk_regime,risk_off,15,0.017047,0.284185,0.719846,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,risk_regime,risk_on,92,0.024971,0.195528,1.532537,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,vol_regime,high_vol,72,0.022185,0.216321,1.230647,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,vol_regime,low_vol,35,0.027308,0.194753,1.682611,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,trend_regime,above_trend,87,0.018019,0.17877,1.209553,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,trend_regime,below_trend,20,0.049269,0.297393,1.988038,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,inflation_regime,disinflation,50,0.027856,0.203975,1.638817,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,inflation_regime,inflation_up,57,0.020355,0.213923,1.14181,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,rates_regime,rates_down,43,0.035445,0.216018,1.968987,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,rates_regime,rates_up,64,0.016077,0.20094,0.96011,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,dollar_regime,dollar_down,49,0.021607,0.214105,1.211034,diagnostic only; not used for selection or weighting
u296:mom_12_1:top_quintile,dollar_regime,dollar_up,58,0.025764,0.205774,1.502451,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,risk_regime,risk_off,15,0.018786,0.251039,0.898017,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,risk_regime,risk_on,98,0.033552,0.24891,1.617533,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,vol_regime,high_vol,72,0.029512,0.261018,1.35678,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,vol_regime,low_vol,36,0.037614,0.240563,1.876278,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,trend_regime,above_trend,90,0.025616,0.22893,1.342711,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,trend_regime,below_trend,20,0.059976,0.325166,2.213384,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,inflation_regime,disinflation,51,0.034709,0.242528,1.717346,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,inflation_regime,inflation_up,62,0.029028,0.255249,1.364683,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,rates_regime,rates_down,47,0.048798,0.256672,2.281412,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,rates_regime,rates_up,66,0.019339,0.235656,0.984765,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,dollar_regime,dollar_down,53,0.034104,0.253495,1.614442,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_decile,dollar_regime,dollar_up,60,0.029372,0.246226,1.431472,diagnostic only; not used for selection or weighting
