model,horizon,feature_family,n_features_in_family,sum_abs_weight,abs_weight_share,mean_signed_weight,top_feature,top_feature_abs_weight,mean_sign_stability
ridge_combined_regime_interactions,126d,sec_fundamental,9,0.268151,0.1339,-0.009133,log_total_assets,0.122746,
ridge_combined_regime_interactions,126d,sector_relative,8,0.183782,0.0917,0.00917,ticker_rank_within_sector_63d,0.076095,
ridge_combined_regime_interactions,126d,technical_price,12,0.974915,0.4867,0.017322,momentum_21_126,0.266615,0.9028
ridge_combined_regime_interactions,126d,time_series_arima_style,5,0.02602,0.013,0.000278,ar1_beta_63d,0.01099,
ridge_combined_regime_interactions,21d,earnings_surprise,6,0.144585,0.1515,0.004423,eps_surprise_pct,0.044646,
ridge_combined_regime_interactions,21d,regime_interaction,5,0.086557,0.0907,-0.008017,return_63d_x_risk_off,0.031275,
ridge_combined_regime_interactions,21d,seasonality_calendar,3,0.019346,0.0203,0.002009,historical_same_month_avg_return_by_ticker,0.012415,
ridge_combined_regime_interactions,21d,sec_fundamental,9,0.129147,0.1353,-0.007251,log_total_assets,0.052211,
ridge_combined_regime_interactions,21d,sector_relative,8,0.124317,0.1303,0.012932,ticker_rank_within_sector_21d,0.032569,
ridge_combined_regime_interactions,21d,technical_price,12,0.425966,0.4463,-0.005027,return_126d,0.081346,0.9028
ridge_combined_regime_interactions,21d,time_series_arima_style,5,0.024423,0.0256,-0.003103,rolling_mean_reversion_signal_21d,0.015292,
ridge_combined_regime_interactions,63d,earnings_surprise,6,0.291255,0.1535,0.007126,eps_surprise_pct,0.100762,
ridge_combined_regime_interactions,63d,regime_interaction,5,0.170612,0.0899,-0.002546,volatility_21d_x_high_vol,0.074408,
ridge_combined_regime_interactions,63d,seasonality_calendar,3,0.084795,0.0447,0.019458,historical_same_month_avg_return_by_ticker,0.047447,
ridge_combined_regime_interactions,63d,sec_fundamental,9,0.208769,0.11,-0.009887,log_total_assets,0.081301,
ridge_combined_regime_interactions,63d,sector_relative,8,0.196432,0.1035,0.010881,ticker_rank_within_sector_63d,0.074361,
ridge_combined_regime_interactions,63d,technical_price,12,0.906258,0.4775,0.009369,return_126d,0.245727,0.9028
ridge_combined_regime_interactions,63d,time_series_arima_style,5,0.039665,0.0209,-0.001075,rolling_mean_reversion_signal_21d,0.017226,
ridge_combined_with_partial_earnings,126d,earnings_surprise,6,0.272466,0.1637,0.00877,trailing_4q_avg_surprise_pct,0.0974,
ridge_combined_with_partial_earnings,126d,seasonality_calendar,3,0.074382,0.0447,0.022619,historical_same_month_avg_return_by_ticker,0.04763,
ridge_combined_with_partial_earnings,126d,sec_fundamental,9,0.271185,0.1629,-0.009213,log_total_assets,0.123396,
ridge_combined_with_partial_earnings,126d,sector_relative,8,0.152932,0.0919,0.009271,ticker_rank_within_sector_63d,0.078517,
ridge_combined_with_partial_earnings,126d,technical_price,12,0.858141,0.5156,0.018073,momentum_21_126,0.231947,0.9028
ridge_combined_with_partial_earnings,126d,time_series_arima_style,5,0.035265,0.0212,0.000223,ar1_beta_63d,0.013918,
ridge_combined_with_partial_earnings,21d,earnings_surprise,6,0.14822,0.1676,0.004676,eps_surprise_pct,0.045619,
ridge_combined_with_partial_earnings,21d,seasonality_calendar,3,0.022203,0.0251,0.002773,historical_same_month_avg_return_by_ticker,0.013815,
ridge_combined_with_partial_earnings,21d,sec_fundamental,9,0.128914,0.1458,-0.007196,log_total_assets,0.051834,
ridge_combined_with_partial_earnings,21d,sector_relative,8,0.114308,0.1293,0.010211,ticker_rank_within_sector_21d,0.031315,
ridge_combined_with_partial_earnings,21d,technical_price,12,0.437913,0.4952,-0.006183,return_126d,0.102408,0.9028
ridge_combined_with_partial_earnings,21d,time_series_arima_style,5,0.032677,0.037,-0.003485,rolling_mean_reversion_signal_21d,0.019314,
ridge_combined_with_partial_earnings,63d,earnings_surprise,6,0.29345,0.1983,0.007316,eps_surprise_pct,0.101246,
ridge_combined_with_partial_earnings,63d,seasonality_calendar,3,0.083991,0.0568,0.019264,historical_same_month_avg_return_by_ticker,0.047266,
ridge_combined_with_partial_earnings,63d,sec_fundamental,9,0.208308,0.1408,-0.009655,log_total_assets,0.080824,
ridge_combined_with_partial_earnings,63d,sector_relative,8,0.217892,0.1473,0.008722,ticker_rank_within_sector_63d,0.076152,
ridge_combined_with_partial_earnings,63d,technical_price,12,0.627952,0.4244,0.007039,return_126d,0.145839,0.9028
ridge_combined_with_partial_earnings,63d,time_series_arima_style,5,0.048082,0.0325,-0.002023,rolling_mean_reversion_signal_21d,0.025433,
ridge_sec_fundamental_only,126d,sec_fundamental,9,0.304242,1.0,-0.011018,log_total_assets,0.141638,
ridge_sec_fundamental_only,21d,sec_fundamental,9,0.13746,1.0,-0.007402,log_total_assets,0.055838,
ridge_sec_fundamental_only,63d,sec_fundamental,9,0.232319,1.0,-0.010793,log_total_assets,0.091969,
ridge_technical_only,126d,technical_price,12,0.815695,1.0,0.015959,momentum_21_126,0.207228,0.9028
ridge_technical_only,21d,technical_price,12,0.58554,1.0,-0.006021,return_126d,0.147137,0.9028
ridge_technical_only,63d,technical_price,12,0.565225,1.0,0.006944,momentum_21_126,0.122248,0.9028
