model,horizon,test_year,train_rows,test_rows,test_tickers,chosen_lambda,fold_mean_daily_rank_ic,embargo_trading_days,regime_fallback
combined_multisignal_rank_composite,63d,2020,0,32131,127,,0.087528,63,
combined_multisignal_rank_composite,63d,2021,0,32004,127,,-0.007853,63,
combined_multisignal_rank_composite,63d,2022,0,31877,127,,-0.122494,63,
combined_multisignal_rank_composite,63d,2023,0,31750,127,,0.071861,63,
combined_multisignal_rank_composite,63d,2024,0,32041,128,,-0.026165,63,
combined_multisignal_rank_composite,63d,2025,0,32000,128,,0.006106,63,
combined_multisignal_rank_composite,63d,2026,0,6528,128,,0.036341,63,
combined_multisignal_rank_composite,126d,2020,0,32131,127,,0.02798,126,
combined_multisignal_rank_composite,126d,2021,0,32004,127,,-0.044418,126,
combined_multisignal_rank_composite,126d,2022,0,31877,127,,-0.129405,126,
combined_multisignal_rank_composite,126d,2023,0,31750,127,,0.185448,126,
combined_multisignal_rank_composite,126d,2024,0,32041,128,,0.007533,126,
combined_multisignal_rank_composite,126d,2025,0,30464,128,,0.043444,126,
ridge_technical_only,21d,2020,94139,32131,127,100.0,0.054414,21,
ridge_technical_only,21d,2021,126270,32004,127,1.0,-0.009853,21,
ridge_technical_only,21d,2022,158274,31877,127,0.1,0.03277,21,
ridge_technical_only,21d,2023,190151,31750,127,0.1,0.02638,21,
ridge_technical_only,21d,2024,221901,32041,128,100.0,-0.012601,21,
ridge_technical_only,21d,2025,253921,32000,128,100.0,0.059838,21,
ridge_technical_only,21d,2026,285921,11904,128,100.0,0.043279,21,
ridge_technical_only,63d,2020,88805,32131,127,1.0,0.127011,63,
ridge_technical_only,63d,2021,120936,32004,127,100.0,-0.058966,63,
ridge_technical_only,63d,2022,152940,31877,127,10.0,0.006928,63,
ridge_technical_only,63d,2023,184817,31750,127,0.1,0.105977,63,
ridge_technical_only,63d,2024,216567,32041,128,0.1,-0.022997,63,
ridge_technical_only,63d,2025,248571,32000,128,100.0,0.157455,63,
ridge_technical_only,63d,2026,280545,6528,128,100.0,0.203288,63,
ridge_technical_only,126d,2020,80804,32131,127,10.0,0.108506,126,
ridge_technical_only,126d,2021,112935,32004,127,100.0,-0.108464,126,
ridge_technical_only,126d,2022,144939,31877,127,0.1,0.069398,126,
ridge_technical_only,126d,2023,176816,31750,127,0.1,0.216972,126,
ridge_technical_only,126d,2024,208566,32041,128,100.0,-0.002658,126,
ridge_technical_only,126d,2025,240570,30464,128,100.0,0.216324,126,
ridge_sec_fundamental_only,21d,2020,94139,32131,127,100.0,0.031641,21,
ridge_sec_fundamental_only,21d,2021,126270,32004,127,10.0,-0.002813,21,
ridge_sec_fundamental_only,21d,2022,158274,31877,127,0.1,0.011664,21,
ridge_sec_fundamental_only,21d,2023,190151,31750,127,100.0,0.09995,21,
ridge_sec_fundamental_only,21d,2024,221901,32041,128,10.0,-0.004062,21,
ridge_sec_fundamental_only,21d,2025,253921,32000,128,100.0,-0.092223,21,
ridge_sec_fundamental_only,21d,2026,285921,11904,128,100.0,-0.025035,21,
ridge_sec_fundamental_only,63d,2020,88805,32131,127,100.0,0.047095,63,
ridge_sec_fundamental_only,63d,2021,120936,32004,127,0.1,0.074507,63,
ridge_sec_fundamental_only,63d,2022,152940,31877,127,10.0,0.056809,63,
ridge_sec_fundamental_only,63d,2023,184817,31750,127,0.1,0.18792,63,
ridge_sec_fundamental_only,63d,2024,216567,32041,128,100.0,-0.044562,63,
ridge_sec_fundamental_only,63d,2025,248571,32000,128,100.0,-0.149085,63,
ridge_sec_fundamental_only,63d,2026,280545,6528,128,100.0,-0.104202,63,
ridge_sec_fundamental_only,126d,2020,80804,32131,127,100.0,0.013062,126,
ridge_sec_fundamental_only,126d,2021,112935,32004,127,100.0,0.052509,126,
ridge_sec_fundamental_only,126d,2022,144939,31877,127,0.1,0.164368,126,
ridge_sec_fundamental_only,126d,2023,176816,31750,127,100.0,0.157057,126,
ridge_sec_fundamental_only,126d,2024,208566,32041,128,100.0,-0.095959,126,
ridge_sec_fundamental_only,126d,2025,240570,30464,128,10.0,-0.221033,126,
ridge_combined_no_earnings,21d,2020,94139,32131,127,100.0,0.026679,21,
ridge_combined_no_earnings,21d,2021,126270,32004,127,100.0,0.014962,21,
ridge_combined_no_earnings,21d,2022,158274,31877,127,100.0,0.022232,21,
ridge_combined_no_earnings,21d,2023,190151,31750,127,0.1,0.111081,21,
ridge_combined_no_earnings,21d,2024,221901,32041,128,100.0,-0.026776,21,
ridge_combined_no_earnings,21d,2025,253921,32000,128,100.0,-0.020374,21,
ridge_combined_no_earnings,21d,2026,285921,11904,128,0.1,-0.037147,21,
ridge_combined_no_earnings,63d,2020,88805,32131,127,0.1,0.100575,63,
ridge_combined_no_earnings,63d,2021,120936,32004,127,100.0,0.05552,63,
ridge_combined_no_earnings,63d,2022,152940,31877,127,0.1,0.060638,63,
ridge_combined_no_earnings,63d,2023,184817,31750,127,1.0,0.201858,63,
ridge_combined_no_earnings,63d,2024,216567,32041,128,1.0,-0.06655,63,
ridge_combined_no_earnings,63d,2025,248571,32000,128,100.0,-0.030459,63,
ridge_combined_no_earnings,63d,2026,280545,6528,128,100.0,-0.007725,63,
ridge_combined_no_earnings,126d,2020,80804,32131,127,100.0,0.015854,126,
ridge_combined_no_earnings,126d,2021,112935,32004,127,100.0,0.034613,126,
ridge_combined_no_earnings,126d,2022,144939,31877,127,0.1,0.132311,126,
ridge_combined_no_earnings,126d,2023,176816,31750,127,10.0,0.247137,126,
ridge_combined_no_earnings,126d,2024,208566,32041,128,100.0,-0.104676,126,
ridge_combined_no_earnings,126d,2025,240570,30464,128,100.0,-0.050149,126,
ridge_combined_with_partial_earnings,21d,2020,94139,32131,127,100.0,0.017415,21,
ridge_combined_with_partial_earnings,21d,2021,126270,32004,127,100.0,0.011673,21,
ridge_combined_with_partial_earnings,21d,2022,158274,31877,127,100.0,0.022163,21,
ridge_combined_with_partial_earnings,21d,2023,190151,31750,127,1.0,0.116429,21,
ridge_combined_with_partial_earnings,21d,2024,221901,32041,128,100.0,-0.019013,21,
ridge_combined_with_partial_earnings,21d,2025,253921,32000,128,100.0,-0.022555,21,
ridge_combined_with_partial_earnings,21d,2026,285921,11904,128,100.0,-0.034171,21,
ridge_combined_with_partial_earnings,63d,2020,88805,32131,127,1.0,0.084041,63,
ridge_combined_with_partial_earnings,63d,2021,120936,32004,127,100.0,0.052146,63,
ridge_combined_with_partial_earnings,63d,2022,152940,31877,127,0.1,0.060012,63,
ridge_combined_with_partial_earnings,63d,2023,184817,31750,127,0.1,0.211719,63,
ridge_combined_with_partial_earnings,63d,2024,216567,32041,128,100.0,-0.056139,63,
ridge_combined_with_partial_earnings,63d,2025,248571,32000,128,100.0,-0.032447,63,
ridge_combined_with_partial_earnings,63d,2026,280545,6528,128,100.0,-0.001378,63,
ridge_combined_with_partial_earnings,126d,2020,80804,32131,127,100.0,0.008285,126,
ridge_combined_with_partial_earnings,126d,2021,112935,32004,127,100.0,0.025333,126,
ridge_combined_with_partial_earnings,126d,2022,144939,31877,127,0.1,0.112917,126,
ridge_combined_with_partial_earnings,126d,2023,176816,31750,127,100.0,0.267946,126,
ridge_combined_with_partial_earnings,126d,2024,208566,32041,128,100.0,-0.094708,126,
ridge_combined_with_partial_earnings,126d,2025,240570,30464,128,100.0,-0.051661,126,
ridge_combined_regime_interactions,21d,2020,94139,32131,127,100.0,0.022659,21,
ridge_combined_regime_interactions,21d,2021,126270,32004,127,100.0,0.012229,21,
ridge_combined_regime_interactions,21d,2022,158274,31877,127,100.0,0.022535,21,
ridge_combined_regime_interactions,21d,2023,190151,31750,127,0.1,0.121095,21,
ridge_combined_regime_interactions,21d,2024,221901,32041,128,100.0,-0.020687,21,
ridge_combined_regime_interactions,21d,2025,253921,32000,128,100.0,-0.013159,21,
ridge_combined_regime_interactions,21d,2026,285921,11904,128,10.0,-0.039335,21,
ridge_combined_regime_interactions,63d,2020,88805,32131,127,1.0,0.079932,63,
ridge_combined_regime_interactions,63d,2021,120936,32004,127,100.0,0.053116,63,
ridge_combined_regime_interactions,63d,2022,152940,31877,127,0.1,0.03507,63,
ridge_combined_regime_interactions,63d,2023,184817,31750,127,0.1,0.211376,63,
ridge_combined_regime_interactions,63d,2024,216567,32041,128,0.1,-0.063417,63,
ridge_combined_regime_interactions,63d,2025,248571,32000,128,100.0,-0.013166,63,
ridge_combined_regime_interactions,63d,2026,280545,6528,128,10.0,-0.019006,63,
ridge_combined_regime_interactions,126d,2020,80804,32131,127,100.0,0.005235,126,
ridge_combined_regime_interactions,126d,2021,112935,32004,127,100.0,0.031457,126,
ridge_combined_regime_interactions,126d,2022,144939,31877,127,1.0,0.072085,126,
ridge_combined_regime_interactions,126d,2023,176816,31750,127,0.1,0.267853,126,
ridge_combined_regime_interactions,126d,2024,208566,32041,128,0.1,-0.093359,126,
ridge_combined_regime_interactions,126d,2025,240570,30464,128,100.0,-0.04641,126,
regime_aware_ensemble,21d,2020,94139,32131,127,100.0,0.041849,21,
regime_aware_ensemble,21d,2021,126270,32004,127,100.0,0.04063,21,
regime_aware_ensemble,21d,2022,158274,31877,127,100.0,0.009977,21,
regime_aware_ensemble,21d,2023,190151,31750,127,1.0,0.104533,21,
regime_aware_ensemble,21d,2024,221901,32041,128,100.0,-0.008888,21,
regime_aware_ensemble,21d,2025,253921,32000,128,100.0,0.008341,21,
regime_aware_ensemble,21d,2026,285921,11904,128,100.0,-0.062832,21,
regime_aware_ensemble,63d,2020,88805,32131,127,1.0,0.06583,63,
regime_aware_ensemble,63d,2021,120936,32004,127,100.0,0.055261,63,
regime_aware_ensemble,63d,2022,152940,31877,127,0.1,0.075166,63,
regime_aware_ensemble,63d,2023,184817,31750,127,0.1,0.165765,63,
regime_aware_ensemble,63d,2024,216567,32041,128,100.0,-0.063295,63,
regime_aware_ensemble,63d,2025,248571,32000,128,100.0,-0.004812,63,
regime_aware_ensemble,63d,2026,280545,6528,128,100.0,-0.08254,63,
regime_aware_ensemble,126d,2020,80804,32131,127,100.0,0.055961,126,
regime_aware_ensemble,126d,2021,112935,32004,127,100.0,9e-05,126,
regime_aware_ensemble,126d,2022,144939,31877,127,0.1,0.096535,126,
regime_aware_ensemble,126d,2023,176816,31750,127,100.0,0.231146,126,
regime_aware_ensemble,126d,2024,208566,32041,128,100.0,-0.120055,126,
regime_aware_ensemble,126d,2025,240570,30464,128,100.0,-0.051946,126,
