model,horizon,year,mean_daily_rank_ic
ridge_combined_with_partial_earnings,21d,2020,0.017415
ridge_combined_with_partial_earnings,21d,2021,0.011673
ridge_combined_with_partial_earnings,21d,2022,0.022163
ridge_combined_with_partial_earnings,21d,2023,0.116429
ridge_combined_with_partial_earnings,21d,2024,-0.019013
ridge_combined_with_partial_earnings,21d,2025,-0.022555
ridge_combined_with_partial_earnings,21d,2026,-0.034171
ridge_combined_with_partial_earnings,63d,2020,0.084041
ridge_combined_with_partial_earnings,63d,2021,0.052146
ridge_combined_with_partial_earnings,63d,2022,0.060012
ridge_combined_with_partial_earnings,63d,2023,0.211719
ridge_combined_with_partial_earnings,63d,2024,-0.056139
ridge_combined_with_partial_earnings,63d,2025,-0.032447
ridge_combined_with_partial_earnings,63d,2026,-0.001378
ridge_combined_with_partial_earnings,126d,2020,0.008285
ridge_combined_with_partial_earnings,126d,2021,0.025333
ridge_combined_with_partial_earnings,126d,2022,0.112917
ridge_combined_with_partial_earnings,126d,2023,0.267946
ridge_combined_with_partial_earnings,126d,2024,-0.094708
ridge_combined_with_partial_earnings,126d,2025,-0.051661
ridge_combined_regime_interactions,21d,2020,0.022659
ridge_combined_regime_interactions,21d,2021,0.012229
ridge_combined_regime_interactions,21d,2022,0.022535
ridge_combined_regime_interactions,21d,2023,0.121095
ridge_combined_regime_interactions,21d,2024,-0.020687
ridge_combined_regime_interactions,21d,2025,-0.013159
ridge_combined_regime_interactions,21d,2026,-0.039335
ridge_combined_regime_interactions,63d,2020,0.079932
ridge_combined_regime_interactions,63d,2021,0.053116
ridge_combined_regime_interactions,63d,2022,0.03507
ridge_combined_regime_interactions,63d,2023,0.211376
ridge_combined_regime_interactions,63d,2024,-0.063417
ridge_combined_regime_interactions,63d,2025,-0.013166
ridge_combined_regime_interactions,63d,2026,-0.019006
ridge_combined_regime_interactions,126d,2020,0.005235
ridge_combined_regime_interactions,126d,2021,0.031457
ridge_combined_regime_interactions,126d,2022,0.072085
ridge_combined_regime_interactions,126d,2023,0.267853
ridge_combined_regime_interactions,126d,2024,-0.093359
ridge_combined_regime_interactions,126d,2025,-0.04641
regime_aware_ensemble,21d,2020,0.041849
regime_aware_ensemble,21d,2021,0.04063
regime_aware_ensemble,21d,2022,0.009977
regime_aware_ensemble,21d,2023,0.104533
regime_aware_ensemble,21d,2024,-0.008888
regime_aware_ensemble,21d,2025,0.008341
regime_aware_ensemble,21d,2026,-0.062832
regime_aware_ensemble,63d,2020,0.06583
regime_aware_ensemble,63d,2021,0.055261
regime_aware_ensemble,63d,2022,0.075166
regime_aware_ensemble,63d,2023,0.165765
regime_aware_ensemble,63d,2024,-0.063295
regime_aware_ensemble,63d,2025,-0.004812
regime_aware_ensemble,63d,2026,-0.08254
regime_aware_ensemble,126d,2020,0.055961
regime_aware_ensemble,126d,2021,9e-05
regime_aware_ensemble,126d,2022,0.096535
regime_aware_ensemble,126d,2023,0.231146
regime_aware_ensemble,126d,2024,-0.120055
regime_aware_ensemble,126d,2025,-0.051946
