feature,feature_family,horizon,non_null_feature_fraction,observation_count,ic_date_count,mean_rank_ic,median_rank_ic,ic_hit_rate,ic_ir,absolute_mean_ic
price_vs_sma_63d,technical_price,63d,0.988,291507,2503,-0.026449,-0.005929,0.5126,-0.1284,0.026449
price_vs_sma_63d,technical_price,126d,0.988,283443,2440,-0.003888,0.006263,0.4918,-0.0201,0.003888
realized_skew_63d,technical_price,21d,0.9878,296824,2544,-0.014034,-0.021559,0.5727,-0.104,0.014034
realized_skew_63d,technical_price,63d,0.9878,291448,2502,-0.023247,-0.023726,0.5735,-0.1804,0.023247
realized_skew_63d,technical_price,126d,0.9878,283384,2439,-0.010062,-0.018068,0.5523,-0.0783,0.010062
realized_kurtosis_63d,technical_price,21d,0.9878,296824,2544,0.012152,0.008986,0.5256,0.0985,0.012152
realized_kurtosis_63d,technical_price,63d,0.9878,291448,2502,0.020202,0.017857,0.5683,0.163,0.020202
realized_kurtosis_63d,technical_price,126d,0.9878,283384,2439,0.02713,0.022024,0.5814,0.2172,0.02713
historical_same_month_avg_return_by_ticker,seasonality_calendar,21d,0.9482,284816,2335,0.007378,0.009268,0.5148,0.0412,0.007378
historical_same_month_avg_return_by_ticker,seasonality_calendar,63d,0.9482,279440,2293,0.022917,0.037492,0.6018,0.1328,0.022917
historical_same_month_avg_return_by_ticker,seasonality_calendar,126d,0.9482,271376,2230,0.041692,0.043201,0.5857,0.2335,0.041692
historical_same_month_win_rate_by_ticker,seasonality_calendar,21d,0.9482,284816,2335,0.009625,0.011242,0.5323,0.0644,0.009625
historical_same_month_win_rate_by_ticker,seasonality_calendar,63d,0.9482,279440,2293,0.00987,0.011957,0.5307,0.064,0.00987
historical_same_month_win_rate_by_ticker,seasonality_calendar,126d,0.9482,271376,2230,0.021298,0.04521,0.5928,0.134,0.021298
historical_month_rank_by_ticker,seasonality_calendar,21d,0.9482,284816,2335,-0.001202,0.007088,0.4822,-0.0073,0.001202
historical_month_rank_by_ticker,seasonality_calendar,63d,0.9482,279440,2293,-0.003043,-0.005894,0.5142,-0.0185,0.003043
historical_month_rank_by_ticker,seasonality_calendar,126d,0.9482,271376,2230,-0.018335,-0.033572,0.5816,-0.106,0.018335
ticker_return_21d_minus_sector_return_21d,sector_relative,21d,0.996,299291,2586,-0.010489,-0.011945,0.529,-0.0699,0.010489
ticker_return_21d_minus_sector_return_21d,sector_relative,63d,0.996,293915,2544,-0.011269,-0.009609,0.5189,-0.0758,0.011269
ticker_return_21d_minus_sector_return_21d,sector_relative,126d,0.996,285851,2481,-0.006181,-0.012684,0.5345,-0.0415,0.006181
ticker_return_63d_minus_sector_return_63d,sector_relative,21d,0.9878,296824,2544,-0.006567,0.000535,0.4972,-0.0386,0.006567
ticker_return_63d_minus_sector_return_63d,sector_relative,63d,0.9878,291448,2502,-0.019801,-0.014755,0.5316,-0.1218,0.019801
ticker_return_63d_minus_sector_return_63d,sector_relative,126d,0.9878,283384,2439,-0.006992,0.001916,0.4957,-0.0452,0.006992
ticker_vol_21d_minus_sector_vol_21d,sector_relative,21d,0.996,299291,2586,0.028629,0.022303,0.5452,0.1732,0.028629
ticker_vol_21d_minus_sector_vol_21d,sector_relative,63d,0.996,293915,2544,0.034045,0.037305,0.5739,0.2074,0.034045
ticker_vol_21d_minus_sector_vol_21d,sector_relative,126d,0.996,285851,2481,0.04841,0.049907,0.6171,0.3039,0.04841
sector_return_21d_minus_spy_return_21d,sector_relative,21d,0.996,299295,2586,-0.025257,-0.019793,0.5387,-0.1232,0.025257
sector_return_21d_minus_spy_return_21d,sector_relative,63d,0.996,293919,2544,-0.019815,-0.026564,0.5491,-0.1013,0.019815
sector_return_21d_minus_spy_return_21d,sector_relative,126d,0.996,285855,2481,-0.00435,-0.002621,0.5075,-0.0219,0.00435
sector_return_63d_minus_spy_return_63d,sector_relative,21d,0.988,296870,2544,-0.013668,-0.006616,0.513,-0.0662,0.013668
sector_return_63d_minus_spy_return_63d,sector_relative,63d,0.988,291494,2502,-0.00244,-0.003534,0.508,-0.0119,0.00244
sector_return_63d_minus_spy_return_63d,sector_relative,126d,0.988,283430,2439,0.027773,0.031378,0.5551,0.1412,0.027773
sector_relative_strength_rank_by_date,sector_relative,21d,0.996,299295,2586,0.025257,0.019793,0.5387,0.1232,0.025257
sector_relative_strength_rank_by_date,sector_relative,63d,0.996,293919,2544,0.019815,0.026564,0.5491,0.1013,0.019815
sector_relative_strength_rank_by_date,sector_relative,126d,0.996,285855,2481,0.00435,0.002621,0.5075,0.0219,0.00435
ticker_rank_within_sector_21d,sector_relative,21d,0.996,299291,2586,0.026018,0.025687,0.5638,0.1745,0.026018
ticker_rank_within_sector_21d,sector_relative,63d,0.996,293915,2544,0.034029,0.029736,0.5814,0.2372,0.034029
ticker_rank_within_sector_21d,sector_relative,126d,0.996,285851,2481,0.044118,0.043523,0.6143,0.3273,0.044118
ticker_rank_within_sector_63d,sector_relative,21d,0.9878,296824,2544,0.02032,0.018119,0.5432,0.122,0.02032
ticker_rank_within_sector_63d,sector_relative,63d,0.9878,291448,2502,0.039705,0.043478,0.6015,0.2559,0.039705
ticker_rank_within_sector_63d,sector_relative,126d,0.9878,283384,2439,0.043016,0.039081,0.6093,0.3049,0.043016
operating_margin,sec_fundamental,21d,0.207,61379,1513,0.005275,0.003036,0.5083,0.0292,0.005275
operating_margin,sec_fundamental,63d,0.207,59543,1471,-0.005963,0.002962,0.4942,-0.0354,0.005963
operating_margin,sec_fundamental,126d,0.207,56803,1408,-0.027524,-0.00303,0.5114,-0.1832,0.027524
net_margin,sec_fundamental,21d,0.25,74254,1513,0.005771,-0.003068,0.4891,0.0302,0.005771
net_margin,sec_fundamental,63d,0.25,71813,1471,-0.031819,-0.018261,0.5404,-0.1527,0.031819
net_margin,sec_fundamental,126d,0.25,68270,1408,-0.076358,-0.05995,0.6925,-0.465,0.076358
cash_conversion,sec_fundamental,21d,0.5335,158219,1519,0.014123,0.003468,0.5036,0.0959,0.014123
cash_conversion,sec_fundamental,63d,0.5335,153208,1477,0.012042,-0.011722,0.4719,0.0756,0.012042
cash_conversion,sec_fundamental,126d,0.5335,145780,1414,-0.010034,-0.028129,0.5842,-0.0677,0.010034
accrual_proxy,sec_fundamental,21d,0.5333,158219,1519,-0.030173,-0.032577,0.5813,-0.2115,0.030173
accrual_proxy,sec_fundamental,63d,0.5333,153208,1477,-0.043239,-0.051831,0.6236,-0.2785,0.043239
accrual_proxy,sec_fundamental,126d,0.5333,145780,1414,-0.021077,-0.036486,0.5644,-0.1294,0.021077
log_total_assets,sec_fundamental,21d,0.8797,263605,2149,-0.028905,-0.025497,0.5556,-0.161,0.028905
log_total_assets,sec_fundamental,63d,0.8797,258229,2107,-0.048866,-0.050208,0.5852,-0.2442,0.048866
log_total_assets,sec_fundamental,126d,0.8797,250165,2044,-0.073827,-0.067804,0.5773,-0.3263,0.073827
filing_lag_days,sec_fundamental,21d,1.0,300513,2607,-0.021603,-0.022746,0.5646,-0.1638,0.021603
filing_lag_days,sec_fundamental,63d,1.0,295137,2565,-0.035646,-0.038571,0.6039,-0.2797,0.035646
filing_lag_days,sec_fundamental,126d,1.0,287073,2502,-0.037682,-0.033843,0.5883,-0.2809,0.037682
debt_proxy_total_liabilities_to_assets,sec_fundamental,21d,0.619,185485,2148,-0.002515,0.004121,0.4898,-0.014,0.002515
debt_proxy_total_liabilities_to_assets,sec_fundamental,63d,0.619,181621,2106,-0.006927,0.005723,0.4881,-0.0394,0.006927
debt_proxy_total_liabilities_to_assets,sec_fundamental,126d,0.619,175825,2043,-0.007455,0.006856,0.4836,-0.0408,0.007455
revenue_yoy_growth,sec_fundamental,21d,0.3337,94033,2055,0.020843,0.035439,0.5562,0.0875,0.020843
revenue_yoy_growth,sec_fundamental,63d,0.3337,91493,2013,0.03781,0.05671,0.5802,0.1509,0.03781
revenue_yoy_growth,sec_fundamental,126d,0.3337,87724,1950,0.067428,0.043949,0.5605,0.2731,0.067428
eps_diluted_yoy_growth,sec_fundamental,21d,0.4865,143742,1267,0.011224,0.009899,0.5343,0.0962,0.011224
eps_diluted_yoy_growth,sec_fundamental,63d,0.4865,138457,1225,0.013055,0.016796,0.542,0.1152,0.013055
eps_diluted_yoy_growth,sec_fundamental,126d,0.4865,130512,1162,0.013294,0.009732,0.5465,0.138,0.013294
eps_surprise,earnings_surprise,21d,0.1844,52795,2206,0.013062,0.016599,0.5349,0.0607,0.013062
eps_surprise,earnings_surprise,63d,0.1844,51745,2164,-0.031363,-0.038106,0.5628,-0.1475,0.031363
eps_surprise,earnings_surprise,126d,0.1844,50170,2101,-0.052227,-0.03744,0.605,-0.2778,0.052227
eps_surprise_pct,earnings_surprise,21d,0.1844,52795,2206,0.018396,0.020262,0.5458,0.0833,0.018396
eps_surprise_pct,earnings_surprise,63d,0.1844,51745,2164,-0.011665,0.001523,0.4958,-0.0511,0.011665
eps_surprise_pct,earnings_surprise,126d,0.1844,50170,2101,-0.011337,-0.013913,0.5317,-0.0586,0.011337
trailing_4q_avg_surprise_pct,earnings_surprise,21d,0.1844,52795,2206,-0.006816,0.00087,0.4982,-0.0331,0.006816
trailing_4q_avg_surprise_pct,earnings_surprise,63d,0.1844,51745,2164,-0.039029,-0.036087,0.579,-0.1956,0.039029
trailing_4q_avg_surprise_pct,earnings_surprise,126d,0.1844,50170,2101,-0.063267,-0.073043,0.6216,-0.341,0.063267
trailing_4q_positive_surprise_rate,earnings_surprise,21d,0.1844,52795,2206,-0.015394,-0.014597,0.5267,-0.0688,0.015394
trailing_4q_positive_surprise_rate,earnings_surprise,63d,0.1844,51745,2164,-0.029974,-0.032826,0.5568,-0.1459,0.029974
trailing_4q_positive_surprise_rate,earnings_surprise,126d,0.1844,50170,2101,-0.051128,-0.049868,0.6207,-0.2751,0.051128
surprise_acceleration,earnings_surprise,21d,0.1844,52795,2206,0.015418,0.007391,0.5122,0.0728,0.015418
surprise_acceleration,earnings_surprise,63d,0.1844,51745,2164,0.006934,0.008479,0.518,0.0387,0.006934
surprise_acceleration,earnings_surprise,126d,0.1844,50170,2101,0.019055,0.022609,0.5416,0.1012,0.019055
days_since_last_earnings,earnings_surprise,21d,0.1844,52795,2206,0.01479,0.013981,0.5227,0.0688,0.01479
days_since_last_earnings,earnings_surprise,63d,0.1844,51745,2164,-0.023413,-0.032494,0.5481,-0.1056,0.023413
days_since_last_earnings,earnings_surprise,126d,0.1844,50170,2101,-0.02945,-0.020823,0.5345,-0.1269,0.02945
ar1_beta_63d,time_series_arima_style,21d,0.9876,296765,2543,-0.008829,-0.013159,0.5387,-0.0647,0.008829
ar1_beta_63d,time_series_arima_style,63d,0.9876,291389,2501,0.003655,-0.000231,0.499,0.0281,0.003655
ar1_beta_63d,time_series_arima_style,126d,0.9876,283325,2438,0.004846,0.003155,0.5078,0.0385,0.004846
ar1_residual_zscore_63d,time_series_arima_style,21d,0.9758,293185,2481,-0.003524,-0.001232,0.5038,-0.0195,0.003524
ar1_residual_zscore_63d,time_series_arima_style,63d,0.9758,287809,2439,-0.000661,0.001025,0.4982,-0.0038,0.000661
ar1_residual_zscore_63d,time_series_arima_style,126d,0.9758,279745,2376,-0.000985,0.004142,0.4874,-0.0059,0.000985
rolling_mean_reversion_signal_21d,time_series_arima_style,21d,0.9962,299350,2587,0.019219,0.014639,0.5292,0.1072,0.019219
rolling_mean_reversion_signal_21d,time_series_arima_style,63d,0.9962,293974,2545,0.023911,0.021519,0.5383,0.1316,0.023911
rolling_mean_reversion_signal_21d,time_series_arima_style,126d,0.9962,285910,2482,0.020542,0.017407,0.5427,0.1182,0.020542
trend_persistence_63d,time_series_arima_style,21d,0.9878,296824,2544,-0.006411,0.002427,0.4953,-0.0352,0.006411
trend_persistence_63d,time_series_arima_style,63d,0.9878,291448,2502,-0.01167,-0.002279,0.5048,-0.063,0.01167
trend_persistence_63d,time_series_arima_style,126d,0.9878,283384,2439,0.000408,0.005319,0.5068,0.0022,0.000408
forecast_error_direction_21d,time_series_arima_style,21d,0.9919,298062,2565,0.001412,0.00443,0.5127,0.0106,0.001412
forecast_error_direction_21d,time_series_arima_style,63d,0.9919,292686,2523,0.011454,0.013532,0.5426,0.0928,0.011454
forecast_error_direction_21d,time_series_arima_style,126d,0.9919,284622,2460,0.000411,-0.001318,0.4939,0.0033,0.000411
spy_return_21d,market_regime,21d,0.996,0,0,,,,,
spy_return_21d,market_regime,63d,0.996,0,0,,,,,
spy_return_21d,market_regime,126d,0.996,0,0,,,,,
spy_return_63d,market_regime,21d,0.988,0,0,,,,,
spy_return_63d,market_regime,63d,0.988,0,0,,,,,
spy_return_63d,market_regime,126d,0.988,0,0,,,,,
spy_volatility_21d,market_regime,21d,0.996,0,0,,,,,
spy_volatility_21d,market_regime,63d,0.996,0,0,,,,,
spy_volatility_21d,market_regime,126d,0.996,0,0,,,,,
spy_volatility_63d,market_regime,21d,0.988,0,0,,,,,
spy_volatility_63d,market_regime,63d,0.988,0,0,,,,,
spy_volatility_63d,market_regime,126d,0.988,0,0,,,,,
spy_drawdown_63d,market_regime,21d,0.9882,0,0,,,,,
spy_drawdown_63d,market_regime,63d,0.9882,0,0,,,,,
spy_drawdown_63d,market_regime,126d,0.9882,0,0,,,,,
spy_above_sma_200d,market_regime,21d,1.0,0,0,,,,,
spy_above_sma_200d,market_regime,63d,1.0,0,0,,,,,
spy_above_sma_200d,market_regime,126d,1.0,0,0,,,,,
market_risk_off_flag,market_regime,21d,1.0,0,0,,,,,
market_risk_off_flag,market_regime,63d,1.0,0,0,,,,,
market_risk_off_flag,market_regime,126d,1.0,0,0,,,,,
market_high_vol_flag,market_regime,21d,1.0,0,0,,,,,
market_high_vol_flag,market_regime,63d,1.0,0,0,,,,,
market_high_vol_flag,market_regime,126d,1.0,0,0,,,,,
cross_sectional_dispersion_21d,market_regime,21d,0.996,0,0,,,,,
cross_sectional_dispersion_21d,market_regime,63d,0.996,0,0,,,,,
cross_sectional_dispersion_21d,market_regime,126d,0.996,0,0,,,,,
cross_sectional_breadth_21d,market_regime,21d,0.996,0,0,,,,,
cross_sectional_breadth_21d,market_regime,63d,0.996,0,0,,,,,
cross_sectional_breadth_21d,market_regime,126d,0.996,0,0,,,,,
month_of_year,seasonality_calendar,21d,1.0,0,0,,,,,
month_of_year,seasonality_calendar,63d,1.0,0,0,,,,,
month_of_year,seasonality_calendar,126d,1.0,0,0,,,,,
quarter_of_year,seasonality_calendar,21d,1.0,0,0,,,,,
quarter_of_year,seasonality_calendar,63d,1.0,0,0,,,,,
quarter_of_year,seasonality_calendar,126d,1.0,0,0,,,,,
day_of_week,seasonality_calendar,21d,1.0,0,0,,,,,
day_of_week,seasonality_calendar,63d,1.0,0,0,,,,,
day_of_week,seasonality_calendar,126d,1.0,0,0,,,,,
is_month_start,seasonality_calendar,21d,1.0,0,0,,,,,
is_month_start,seasonality_calendar,63d,1.0,0,0,,,,,
is_month_start,seasonality_calendar,126d,1.0,0,0,,,,,
is_month_end,seasonality_calendar,21d,1.0,0,0,,,,,
is_month_end,seasonality_calendar,63d,1.0,0,0,,,,,
is_month_end,seasonality_calendar,126d,1.0,0,0,,,,,
is_quarter_end,seasonality_calendar,21d,1.0,0,0,,,,,
is_quarter_end,seasonality_calendar,63d,1.0,0,0,,,,,
is_quarter_end,seasonality_calendar,126d,1.0,0,0,,,,,
is_year_end,seasonality_calendar,21d,1.0,0,0,,,,,
is_year_end,seasonality_calendar,63d,1.0,0,0,,,,,
is_year_end,seasonality_calendar,126d,1.0,0,0,,,,,
turn_of_month_window,seasonality_calendar,21d,1.0,0,0,,,,,
turn_of_month_window,seasonality_calendar,63d,1.0,0,0,,,,,
turn_of_month_window,seasonality_calendar,126d,1.0,0,0,,,,,
january_flag,seasonality_calendar,21d,1.0,0,0,,,,,
january_flag,seasonality_calendar,63d,1.0,0,0,,,,,
january_flag,seasonality_calendar,126d,1.0,0,0,,,,,
sell_in_may_window,seasonality_calendar,21d,1.0,0,0,,,,,
sell_in_may_window,seasonality_calendar,63d,1.0,0,0,,,,,
sell_in_may_window,seasonality_calendar,126d,1.0,0,0,,,,,
