ticker,source_family,outcome,value
CP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CP,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
CPAY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CPAY,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
CPRT,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CPRT,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
CPT,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CPT,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
CRH,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CRH,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
CRL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CRL,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
CRWD,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CRWD,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
CSGP,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CSGP,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
CSX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CSX,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
CTAS,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CTAS,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
CTSH,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CTSH,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
CTVA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CTVA,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
CVNA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CVNA,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
CYATY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
CYATY,eodhd_raw_fundamentals(General.GicSector),BLANK,
CYATY,eodhd_raw_fundamentals(General.Sector->GICS_crosswalk),HIT,Industrials->Industrials
D,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
D,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
