rank_sn,percentile_sn,ticker,review_label,review_status,quintile,comp_sn,comp_raw,comp_sn_z,sector,sector_is_unknown,sector_repaired,before_rank_sn,rank_delta,before_review_label,cohort,liquidity_proxy,fcf_to_assets,avail_fcf_to_assets,operating_accruals,avail_operating_accruals
19,96.27,MCO,LONG,PAPER_REVIEW_ONLY,5,2.92095,2.3776,1.7061,Financials,False,False,27,8,LONG,old,229915110.33058,0.05729,2026-04-23,-0.01887,2026-04-23
20,96.07,GEV,LONG,PAPER_REVIEW_ONLY,5,2.87247,1.99522,1.6777,Utilities,False,True,45,25,LONG,old,1477850918.10517,0.06336,2026-04-22,-0.00586,2026-04-22
21,95.86,SHOP,LONG,PAPER_REVIEW_ONLY,5,2.81219,2.97267,1.6425,Information Technology,False,True,22,1,LONG,old,927856082.40511,0.0336,2026-05-05,-0.07496,2026-05-05
22,95.65,SLB,LONG,PAPER_REVIEW_ONLY,5,2.79294,2.92197,1.6313,Energy,False,False,213,191,HOLD,old,440944679.55072,0.04536,2026-01-23,-0.04019,2026-01-23
23,95.45,APD,LONG,PAPER_REVIEW_ONLY,5,2.70529,1.34343,1.58,Materials,False,False,113,90,HOLD,old,254762317.72697,0.05655,2026-04-30,-0.00944,2026-04-30
24,95.24,SMERY,LONG,PAPER_REVIEW_ONLY,5,2.69831,2.17014,1.576,Industrials,False,True,38,14,LONG,old,7023039.7754,0.04664,2026-03-31,-0.04115,2026-03-31
25,95.03,HDB,LONG,PAPER_REVIEW_ONLY,5,2.65284,2.14351,1.5494,Financials,False,True,36,11,LONG,old,108366327.59013,0.03581,2026-04-20,-0.03236,2026-04-20
26,94.82,CMG,LONG,PAPER_REVIEW_ONLY,5,2.64773,3.23106,1.5464,Consumer Discretionary,False,False,42,16,LONG,new,18641712969.90915,0.0535,2026-04-29,-0.03959,2026-04-29
27,94.62,ANET,LONG,PAPER_REVIEW_ONLY,5,2.56104,2.73191,1.4957,Information Technology,False,True,24,-3,LONG,old,404809200.86719,0.07568,2026-05-06,-0.03096,2026-05-06
28,94.41,VRT,LONG,PAPER_REVIEW_ONLY,5,2.52691,2.47663,1.4758,Industrials,False,True,28,0,LONG,old,368724024.0579,0.04882,2026-04-22,-0.02811,2026-04-22
29,94.2,BUD,LONG,PAPER_REVIEW_ONLY,5,2.52467,2.14178,1.4745,Consumer Staples,False,True,41,12,LONG,old,122397413.77855,0.04519,2026-02-13,-0.04165,2026-02-13
30,94.0,NFLX,LONG,PAPER_REVIEW_ONLY,5,2.5047,2.55125,1.4628,Communication Services,False,False,33,3,LONG,old,2701766792.59631,0.08349,2026-04-17,-0.00012,2026-04-17
31,93.79,DPZ,LONG,PAPER_REVIEW_ONLY,5,2.42105,2.97139,1.4139,Consumer Discretionary,False,True,21,-10,LONG,new,226791246.30786,0.07965,2026-04-27,-0.01201,2026-04-27
32,93.58,FICO,LONG,PAPER_REVIEW_ONLY,5,2.41173,2.62277,1.4085,Information Technology,False,True,25,-7,LONG,new,149712213.23285,0.10892,2026-04-28,0.02007,2026-04-28
33,93.37,FAST,LONG,PAPER_REVIEW_ONLY,5,2.3897,2.32457,1.3956,Industrials,False,True,32,-1,LONG,new,423423231.78797,0.06098,2026-02-05,-0.01465,2026-02-05
34,93.17,GWW,LONG,PAPER_REVIEW_ONLY,5,2.30885,1.81599,1.3484,Industrials,False,True,49,15,LONG,old,176730641.50985,0.06007,2026-05-07,-0.01942,2026-05-07
35,92.96,ABNB,LONG,PAPER_REVIEW_ONLY,5,2.28719,3.31193,1.3357,Consumer Discretionary,False,True,15,-20,LONG,old,784821121.33798,0.06366,2026-05-07,-0.0577,2026-05-07
36,92.75,EXPD,LONG,PAPER_REVIEW_ONLY,5,2.26836,1.77895,1.3247,Industrials,False,True,51,15,LONG,new,117393215.55295,0.06203,2026-05-06,-0.01665,2026-05-06
37,92.55,NVR,LONG,PAPER_REVIEW_ONLY,5,2.24164,2.80197,1.3091,Consumer Discretionary,False,True,23,-14,LONG,new,109382583.50874,0.07445,2026-02-11,-0.01296,2026-02-11
38,92.34,B,LONG,PAPER_REVIEW_ONLY,5,2.21989,0.9175,1.2964,Materials,False,True,106,68,HOLD,old,307679708.25811,0.0315,2026-03-31,-0.01985,2026-03-31
39,92.13,LUV,LONG,PAPER_REVIEW_ONLY,5,2.18606,2.1716,1.2766,Industrials,False,True,35,-4,LONG,new,309487527.52812,0.02684,2026-04-23,-0.04057,2026-04-23
40,91.93,SPOT,LONG,PAPER_REVIEW_ONLY,5,2.14635,2.22513,1.2534,Communication Services,False,True,34,-6,LONG,old,528189104.87683,0.06427,2026-04-28,-0.0098,2026-04-28
41,91.72,UBER,LONG,PAPER_REVIEW_ONLY,5,2.14002,1.67271,1.2497,Industrials,False,False,72,31,LONG,old,1144371239.26847,0.03817,2026-05-06,-0.03487,2026-05-06
42,91.41,FOX,LONG,PAPER_REVIEW_ONLY,5,2.11552,4.66366,1.2354,Communication Services,False,True,10,-32,LONG,new,50208974.52873,0.08112,2026-05-11,-0.0797,2026-05-11
43,91.41,FOXA,LONG,PAPER_REVIEW_ONLY,5,2.11552,4.66366,1.2354,Communication Services,False,True,11,-32,LONG,new,150817976.09935,0.08112,2026-05-11,-0.0797,2026-05-11
44,91.1,FANG,LONG,PAPER_REVIEW_ONLY,5,2.09873,1.75363,1.2256,Energy,False,True,54,10,LONG,new,247907728.78057,0.0197,2026-02-25,-0.05349,2026-02-25
45,90.89,LVS,LONG,PAPER_REVIEW_ONLY,5,2.0319,2.64004,1.1865,Consumer Discretionary,False,True,26,-19,LONG,new,270985182.59841,0.04243,2026-02-06,-0.03691,2026-02-06
46,90.68,RACE,LONG,PAPER_REVIEW_ONLY,5,2.01395,3.06415,1.176,Consumer Discretionary,False,True,20,-26,LONG,old,93826808.24992,0.07119,2026-05-05,-0.04416,2026-05-05
47,90.48,GNRC,LONG,PAPER_REVIEW_ONLY,5,1.92188,1.91636,1.1222,Industrials,False,True,46,-1,LONG,new,125625861.01189,0.02331,2026-02-18,-0.03834,2026-02-18
48,90.27,GDDY,LONG,PAPER_REVIEW_ONLY,5,1.91769,2.16192,1.1198,Information Technology,False,True,39,-9,LONG,new,122420743.26969,0.05726,2026-05-01,-0.0315,2026-05-01
49,90.06,TXN,LONG,PAPER_REVIEW_ONLY,5,1.89524,2.21238,1.1067,Information Technology,False,False,74,25,LONG,old,749828388.64047,0.03843,2026-02-06,-0.03154,2026-02-06
50,89.86,DDOG,LONG,PAPER_REVIEW_ONLY,5,1.89419,2.14483,1.1061,Information Technology,False,True,40,-10,LONG,old,488871765.25355,0.0465,2026-05-07,-0.04057,2026-05-07
51,89.65,PLTR,LONG,PAPER_REVIEW_ONLY,5,1.85238,2.09219,1.0816,Information Technology,False,True,44,-7,LONG,old,3201525631.14285,0.08743,2026-05-05,-0.00281,2026-05-05
52,89.44,DVN,LONG,PAPER_REVIEW_ONLY,5,1.84865,1.52949,1.0794,Energy,False,True,67,15,LONG,new,335139375.53882,0.01951,2026-05-06,-0.04745,2026-05-06
53,89.23,RMD,LONG,PAPER_REVIEW_ONLY,5,1.84309,1.72743,1.0762,Health Care,False,True,56,3,LONG,new,135901199.40673,0.05925,2026-04-30,-0.01769,2026-04-30
54,89.03,EBAY,LONG,PAPER_REVIEW_ONLY,5,1.80721,2.40797,1.0552,Consumer Discretionary,False,True,31,-23,LONG,new,364968426.48052,0.05019,2026-04-29,-0.02554,2026-04-29
55,88.82,ODFL,LONG,PAPER_REVIEW_ONLY,5,1.78629,1.74936,1.043,Industrials,False,True,50,-5,LONG,new,327279121.12856,0.04734,2026-02-24,-0.01446,2026-02-24
56,88.61,MO,LONG,PAPER_REVIEW_ONLY,5,1.7104,1.40457,0.9987,Consumer Staples,False,False,149,93,HOLD,old,319967134.64288,0.06451,2026-04-30,-0.00408,2026-04-30
57,88.41,ITW,LONG,PAPER_REVIEW_ONLY,5,1.70821,1.28002,0.9974,Industrials,False,False,94,37,LONG,old,211104910.15938,0.05313,2026-02-13,-0.01071,2026-02-13
58,88.2,CNC,LONG,PAPER_REVIEW_ONLY,5,1.70422,2.05458,0.995,Health Care,False,True,43,-15,LONG,new,293901918.72667,0.04188,2026-04-28,-0.02536,2026-04-28
59,87.99,JKHY,LONG,PAPER_REVIEW_ONLY,5,1.66814,0.89803,0.974,Financials,False,True,108,49,HOLD,new,82117957.08843,0.04296,2026-02-06,-0.00915,2026-02-06
60,87.78,CDNS,LONG,PAPER_REVIEW_ONLY,5,1.66452,1.96839,0.9718,Information Technology,False,False,84,24,LONG,old,280341195.76926,0.05047,2026-02-19,-0.01629,2026-02-19
61,87.58,URI,LONG,PAPER_REVIEW_ONLY,5,1.62859,1.62828,0.9508,Industrials,False,True,59,-2,LONG,old,269902414.51209,0.02278,2026-04-22,-0.03289,2026-04-22
62,87.37,JBHT,LONG,PAPER_REVIEW_ONLY,5,1.59606,1.58499,0.9318,Industrials,False,True,61,-1,LONG,new,124187393.9874,0.03086,2026-02-24,-0.02512,2026-02-24
63,87.16,UPS,LONG,PAPER_REVIEW_ONLY,5,1.57261,1.5556,0.9181,Industrials,False,False,37,-26,LONG,old,419546582.78615,0.03538,2026-02-17,-0.02067,2026-02-17
64,86.96,HOOD,LONG,PAPER_REVIEW_ONLY,5,1.57246,1.0929,0.9181,Financials,False,True,87,23,LONG,old,1095181252.01026,0.02626,2026-04-29,-0.01896,2026-04-29
65,86.75,SYK,LONG,PAPER_REVIEW_ONLY,5,1.4954,1.42312,0.873,Health Care,False,False,73,8,LONG,old,326609661.47476,0.03919,2026-02-11,-0.02705,2026-02-11
66,86.54,SNA,LONG,PAPER_REVIEW_ONLY,5,1.49285,1.4695,0.8715,Industrials,False,True,66,0,LONG,new,90222869.54326,0.0408,2026-04-23,-0.01429,2026-04-23
67,86.34,XYZ,LONG,PAPER_REVIEW_ONLY,5,1.48556,1.09141,0.8673,Industrials,False,True,89,22,LONG,new,859760671.18819,0.02338,2026-05-07,-0.03187,2026-05-07
68,86.13,ABBV,LONG,PAPER_REVIEW_ONLY,5,1.47085,1.83227,0.8587,Health Care,False,False,77,9,LONG,old,711331046.80779,0.0365,2026-02-20,-0.0254,2026-02-20
69,85.92,SMFG,LONG,PAPER_REVIEW_ONLY,5,1.44879,0.70903,0.8458,Financials,False,True,122,53,HOLD,old,15779865.66722,0.02226,2026-05-13,-0.02227,2026-05-13
70,85.71,NEM,LONG,PAPER_REVIEW_ONLY,5,1.44687,1.78439,0.8447,Materials,False,True,48,-22,LONG,old,383433846.09568,0.05452,2026-04-23,-0.00907,2026-04-23
71,85.51,CCI,LONG,PAPER_REVIEW_ONLY,5,1.43939,1.03784,0.8403,Real Estate,False,True,90,19,LONG,new,286754497.67182,0.02573,2026-02-23,-0.01827,2026-02-23
72,85.3,HAL,LONG,PAPER_REVIEW_ONLY,5,1.40897,1.57616,0.8225,Energy,False,True,62,-10,LONG,new,329616790.89879,0.03311,2026-02-06,-0.02303,2026-02-06
73,85.09,HST,LONG,PAPER_REVIEW_ONLY,5,1.40551,1.16618,0.8205,Real Estate,False,True,85,12,LONG,new,137963806.01482,0.02675,2026-02-25,-0.03096,2026-02-25
74,84.89,CAG,LONG,PAPER_REVIEW_ONLY,5,1.36382,1.01684,0.7961,Consumer Staples,False,True,92,18,LONG,new,150930119.64734,0.0244,2026-04-01,-0.01898,2026-04-01
75,84.68,VRTX,LONG,PAPER_REVIEW_ONLY,5,1.35983,1.29798,0.7938,Health Care,False,False,80,5,LONG,old,403766019.06806,0.04888,2026-05-05,-0.01498,2026-05-05
76,84.47,IDXX,LONG,PAPER_REVIEW_ONLY,5,1.3453,1.27744,0.7853,Health Care,False,True,81,5,LONG,new,190059477.03108,0.0692,2026-05-05,0.0036,2026-05-05
77,84.27,ALGN,LONG,PAPER_REVIEW_ONLY,5,1.3425,1.69197,0.7837,Health Care,False,True,53,-24,LONG,new,238689219.89417,0.04647,2026-02-27,-0.01402,2026-02-27
78,84.06,AVY,LONG,PAPER_REVIEW_ONLY,5,1.33899,1.70509,0.7816,Materials,False,True,52,-26,LONG,new,85376431.03185,0.03519,2026-02-25,-0.0239,2026-02-25
79,83.85,GD,LONG,PAPER_REVIEW_ONLY,5,1.3121,1.30228,0.7659,Industrials,False,False,47,-32,LONG,old,256370060.30509,0.03307,2026-04-29,-0.01745,2026-04-29
80,83.64,MNST,LONG,PAPER_REVIEW_ONLY,5,1.29485,1.03592,0.7558,Consumer Staples,False,True,96,16,LONG,old,236069285.08957,0.05389,2026-05-08,-0.00327,2026-05-08
81,83.44,MCK,LONG,PAPER_REVIEW_ONLY,5,1.29384,1.24203,0.7552,Health Care,False,True,82,1,LONG,old,342493152.87244,0.04021,2026-05-08,-0.02112,2026-05-08
82,83.23,RIO,LONG,PAPER_REVIEW_ONLY,5,1.27144,1.66007,0.7421,Materials,False,True,57,-25,LONG,old,137204265.01589,0.01976,2026-02-19,-0.03612,2026-02-19
83,83.02,KO,LONG,PAPER_REVIEW_ONLY,5,1.25719,0.90763,0.7338,Consumer Staples,False,False,135,52,HOLD,old,718095005.76864,0.02742,2026-02-20,-0.01417,2026-02-20
84,82.82,IBM,LONG,PAPER_REVIEW_ONLY,5,1.24415,1.58215,0.7262,Information Technology,False,False,114,30,HOLD,old,672251607.45112,0.03058,2026-04-23,-0.0253,2026-04-23
85,82.61,DAL,LONG,PAPER_REVIEW_ONLY,5,1.23866,1.25571,0.723,Industrials,False,True,78,-7,LONG,new,488197019.72262,0.01459,2026-04-08,-0.03223,2026-04-08
86,82.4,SCCO,LONG,PAPER_REVIEW_ONLY,5,1.23795,1.58477,0.7226,Materials,False,True,60,-26,LONG,old,74326616.86486,0.05012,2026-02-27,-0.00872,2026-02-27
87,82.19,TER,LONG,PAPER_REVIEW_ONLY,5,1.23432,1.54199,0.7205,Information Technology,False,True,64,-23,LONG,old,224910182.74848,0.05246,2026-02-19,-0.00585,2026-02-19
88,81.99,IT,LONG,PAPER_REVIEW_ONLY,5,1.21754,1.53745,0.7106,Information Technology,False,True,65,-23,LONG,new,134733167.67005,0.04841,2026-05-05,-0.02204,2026-05-05
89,81.78,PSA,LONG,PAPER_REVIEW_ONLY,5,1.20622,0.80019,0.704,Real Estate,False,True,110,21,HOLD,new,223824473.73512,0.0315,2026-04-27,-0.00849,2026-04-27
90,81.57,INCY,LONG,PAPER_REVIEW_ONLY,5,1.20088,1.54907,0.7009,Health Care,False,True,63,-27,LONG,new,139363045.39251,0.04894,2026-04-28,-0.009,2026-04-28
91,81.37,NBIS,LONG,PAPER_REVIEW_ONLY,5,1.18845,1.53286,0.6936,Information Technology,False,True,68,-23,LONG,old,1308909597.79717,-0.00963,2026-05-13,-0.07339,2026-05-13
92,81.16,LYG,LONG,PAPER_REVIEW_ONLY,5,1.18016,0.69653,0.6888,Financials,False,True,118,26,HOLD,old,25442168.72388,0.03347,2020-07-31,-0.00469,2026-01-29
93,80.95,ALL,LONG,PAPER_REVIEW_ONLY,5,1.16849,0.69209,0.682,Financials,False,True,119,26,HOLD,new,222329898.70441,0.02841,2026-04-29,-0.0089,2026-04-29
94,80.75,MUFG,LONG,PAPER_REVIEW_ONLY,5,1.1468,0.43959,0.6693,Financials,False,True,145,51,HOLD,old,21112561.47904,0.01867,2026-05-15,-0.01798,2026-05-15
95,80.54,APH,LONG,PAPER_REVIEW_ONLY,5,1.1442,1.46986,0.6678,Information Technology,False,False,129,34,HOLD,old,292833541.80615,0.04052,2026-02-11,-0.01453,2026-02-11
96,80.33,AAPL,LONG,PAPER_REVIEW_ONLY,5,1.08857,1.41307,0.6353,Information Technology,False,False,97,1,LONG,old,9706746175.48209,0.07204,2026-05-01,0.00236,2026-05-01
97,80.12,DB,LONG,PAPER_REVIEW_ONLY,5,1.0757,0.63985,0.6278,Financials,False,True,126,29,HOLD,old,54810598.49666,0.00032,2022-12-31,-0.03175,2026-03-12
98,79.92,CAH,HOLD,PAPER_REVIEW_ONLY,4,1.07111,1.04627,0.6251,Health Care,False,True,93,-5,LONG,new,204013506.70309,0.02958,2026-04-30,-0.02512,2026-04-30
99,79.71,ADP,HOLD,PAPER_REVIEW_ONLY,4,1.06272,1.05862,0.6202,Industrials,False,False,58,-41,LONG,old,341854575.80015,0.0317,2026-04-30,-0.01362,2026-04-30
100,79.5,ELV,HOLD,PAPER_REVIEW_ONLY,4,1.05232,1.4256,0.6141,Health Care,False,False,105,5,HOLD,old,440904010.5527,0.03256,2026-04-22,-0.02041,2026-04-22
101,79.3,EW,HOLD,PAPER_REVIEW_ONLY,4,1.04779,1.43055,0.6115,Health Care,False,True,70,-31,LONG,new,441954734.79698,0.02581,2026-02-25,-0.02626,2026-02-25
102,79.09,FTNT,HOLD,PAPER_REVIEW_ONLY,4,1.03177,1.36824,0.6021,Information Technology,False,True,75,-27,LONG,old,271073332.35016,0.05558,2026-02-25,-0.01099,2026-02-25
103,78.88,MA,HOLD,PAPER_REVIEW_ONLY,4,1.03006,0.32175,0.6011,Financials,False,False,115,12,HOLD,old,1063080377.8802,0.05424,2026-04-30,0.01683,2026-04-30
104,78.67,ECL,HOLD,PAPER_REVIEW_ONLY,4,1.01451,1.39181,0.592,Materials,False,True,71,-33,LONG,old,226972617.01153,0.03069,2026-02-23,-0.02131,2026-02-23
105,78.47,CTAS,HOLD,PAPER_REVIEW_ONLY,4,1.00998,0.9924,0.5894,Industrials,False,True,95,-10,LONG,old,181261743.2487,0.04194,2026-01-07,-0.00354,2026-01-07
106,78.26,META,HOLD,PAPER_REVIEW_ONLY,4,1.00165,1.1408,0.5845,Communication Services,False,False,109,3,HOLD,old,5679819056.53591,0.03347,2026-04-30,-0.0138,2026-04-30
107,78.05,CAT,HOLD,PAPER_REVIEW_ONLY,4,0.99722,0.65041,0.5819,Industrials,False,False,147,40,HOLD,old,716759000.26897,0.03192,2026-02-13,-0.01207,2026-02-13
108,77.85,ESS,HOLD,PAPER_REVIEW_ONLY,4,0.98714,0.59989,0.576,Real Estate,False,True,130,22,HOLD,new,106319758.05759,0.02042,2026-04-29,-0.01382,2026-04-29
109,77.64,RSG,HOLD,PAPER_REVIEW_ONLY,4,0.95909,0.62001,0.5596,Industrials,False,True,133,24,HOLD,old,149111920.3613,0.0217,2026-05-08,-0.02029,2026-05-08
110,77.43,ALB,HOLD,PAPER_REVIEW_ONLY,4,0.94671,-0.21841,0.5524,Materials,False,True,241,131,HOLD,new,232088954.08748,0.01635,2026-05-06,-0.00179,2026-05-06
111,77.23,LH,HOLD,PAPER_REVIEW_ONLY,4,0.93814,0.92813,0.5474,Health Care,False,True,104,-7,HOLD,new,147018170.59174,0.02666,2026-02-24,-0.02444,2026-02-24
112,77.02,GILD,HOLD,PAPER_REVIEW_ONLY,4,0.92315,0.9086,0.5386,Health Care,False,False,107,-5,HOLD,old,540155682.6586,0.04312,2026-05-07,-0.00929,2026-05-07
113,76.81,OTIS,HOLD,PAPER_REVIEW_ONLY,4,0.92066,0.91266,0.5372,Industrials,False,True,102,-11,HOLD,new,200790430.47839,0.03605,2026-04-23,-0.00692,2026-04-23
114,76.6,NDSN,HOLD,PAPER_REVIEW_ONLY,4,0.8758,0.5425,0.5109,Industrials,False,True,140,26,HOLD,new,50705355.0906,0.02934,2026-05-21,-0.01137,2026-05-21
115,76.4,EOG,HOLD,PAPER_REVIEW_ONLY,4,0.87259,0.65242,0.5091,Energy,False,False,155,40,HOLD,old,315882949.6141,0.02477,2026-05-05,-0.01847,2026-05-05
116,76.19,BTI,HOLD,PAPER_REVIEW_ONLY,4,0.86846,0.51732,0.5067,Consumer Staples,False,True,138,22,HOLD,old,108701146.19464,0.0328,2026-02-13,-0.00158,2026-02-13
117,75.98,AIZ,HOLD,PAPER_REVIEW_ONLY,4,0.85223,0.17615,0.4972,Financials,False,True,178,61,HOLD,new,61609768.62814,0.01686,2026-02-19,-0.01229,2026-02-19
118,75.78,LIN,HOLD,PAPER_REVIEW_ONLY,4,0.83836,-0.31336,0.4891,Materials,False,False,363,245,HOLD,old,527167734.61842,0.0104,2026-05-01,-0.00444,2026-05-01
119,75.57,HTHIY,HOLD,PAPER_REVIEW_ONLY,4,0.83106,1.18395,0.4848,Information Technology,False,True,83,-36,LONG,old,4995539.07038,0.02441,2026-03-31,-0.02239,2026-03-31
120,75.36,CVX,HOLD,PAPER_REVIEW_ONLY,4,0.82604,0.6137,0.4819,Energy,False,False,164,44,HOLD,old,952992762.85123,0.01661,2026-02-24,-0.02463,2026-02-24
121,75.16,ABT,HOLD,PAPER_REVIEW_ONLY,4,0.82126,1.20124,0.4791,Health Care,False,False,124,3,HOLD,old,537721861.68639,0.03028,2026-02-20,-0.01775,2026-02-20
122,74.95,GRMN,HOLD,PAPER_REVIEW_ONLY,4,0.8146,1.4407,0.4752,Consumer Discretionary,False,True,69,-53,LONG,new,104626747.11514,0.04285,2026-04-29,-0.01195,2026-04-29
123,74.74,NDAQ,HOLD,PAPER_REVIEW_ONLY,4,0.80173,0.3384,0.4677,Financials,False,True,150,27,HOLD,new,255153615.89041,0.02304,2026-04-24,-0.00623,2026-04-24
124,74.53,ES,HOLD,PAPER_REVIEW_ONLY,4,0.79852,-0.25054,0.4658,Utilities,False,True,250,126,HOLD,new,133747370.77869,0.00487,2026-05-07,-0.01109,2026-05-07
125,74.33,MSCI,HOLD,PAPER_REVIEW_ONLY,4,0.78832,0.28744,0.4598,Financials,False,True,159,34,HOLD,new,189336597.81144,0.05013,2026-04-21,0.01789,2026-04-21
126,74.12,CL,HOLD,PAPER_REVIEW_ONLY,4,0.78599,0.58607,0.4585,Consumer Staples,False,False,286,160,HOLD,old,308092681.5453,0.03667,2026-03-31,-0.00608,2026-03-31
127,73.91,COIN,HOLD,PAPER_REVIEW_ONLY,4,0.78273,0.11773,0.4566,Financials,False,True,189,62,HOLD,new,1862652771.38024,0.00634,2026-05-07,-0.02,2026-05-07
128,73.71,ITUB,HOLD,PAPER_REVIEW_ONLY,4,0.7162,0.05502,0.4177,Financials,False,True,198,70,HOLD,old,120967753.03621,0.01463,2026-02-26,-0.0109,2026-02-26
129,73.5,MSFT,HOLD,PAPER_REVIEW_ONLY,4,0.71313,1.07012,0.4159,Information Technology,False,False,168,39,HOLD,old,6381051333.63983,0.02276,2026-04-29,-0.02146,2026-04-29
130,73.29,ROL,HOLD,PAPER_REVIEW_ONLY,4,0.70565,0.70211,0.4115,Industrials,False,True,117,-13,HOLD,new,76057498.38005,0.0352,2026-04-23,-0.00333,2026-04-23
131,73.08,AEE,HOLD,PAPER_REVIEW_ONLY,4,0.70147,-0.33514,0.4091,Utilities,False,True,268,137,HOLD,new,116994490.10131,-0.00165,2026-02-18,-0.01452,2026-02-18
132,72.88,PKG,HOLD,PAPER_REVIEW_ONLY,4,0.69681,1.10545,0.4064,Materials,False,True,86,-46,LONG,new,103164368.73084,0.01168,2026-02-26,-0.03163,2026-02-26
133,72.67,GEN,HOLD,PAPER_REVIEW_ONLY,4,0.69024,1.07009,0.4025,Information Technology,False,True,91,-42,LONG,new,143107643.43345,0.03379,2026-02-06,-0.02204,2026-02-06
134,72.46,HLT,HOLD,PAPER_REVIEW_ONLY,4,0.67898,1.31507,0.3959,Consumer Discretionary,False,True,76,-58,LONG,old,289118572.54942,0.03717,2026-04-28,-0.01422,2026-04-28
135,72.26,DLR,HOLD,PAPER_REVIEW_ONLY,4,0.66869,0.29447,0.3899,Real Estate,False,True,160,25,HOLD,old,203265813.38321,0.01455,2026-02-13,-0.01255,2026-02-13
136,72.05,WM,HOLD,PAPER_REVIEW_ONLY,4,0.66129,0.68153,0.3856,Industrials,False,False,79,-57,LONG,old,235856621.79415,0.01862,2026-04-29,-0.01702,2026-04-29
137,71.84,AOS,HOLD,PAPER_REVIEW_ONLY,4,0.6607,0.34846,0.3853,Industrials,False,True,154,17,HOLD,new,78162271.21444,0.03257,2026-04-30,-0.00312,2026-04-30
