ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
HSY,HOLD,Consumer Staples,False,False,False,False,new,True,False
T,HOLD,Communication Services,False,False,False,False,old,False,False
EIX,HOLD,Utilities,False,False,False,False,new,True,False
TMUS,HOLD,Communication Services,False,False,False,False,old,False,False
GPN,HOLD,Financials,False,False,False,False,new,True,False
SRE,HOLD,Utilities,False,False,False,False,old,False,False
PEG,HOLD,Utilities,False,False,False,False,new,True,False
BIIB,HOLD,Health Care,False,False,False,False,new,True,False
APO,HOLD,Financials,False,False,False,False,old,False,False
FCX,HOLD,Materials,False,False,False,False,old,False,False
PYPL,HOLD,Financials,False,False,False,False,new,True,False
AMCR,HOLD,Materials,False,True,False,False,new,True,False
VZ,HOLD,Communication Services,False,False,False,False,old,False,False
BXP,HOLD,Real Estate,False,True,False,False,new,True,False
BDX,HOLD,Health Care,False,False,False,False,new,True,False
IBKR,HOLD,Financials,False,True,False,False,old,False,False
ON,HOLD,Information Technology,False,False,False,False,new,True,False
ROK,HOLD,Industrials,False,False,False,False,new,True,False
SPG,HOLD,Real Estate,False,False,False,False,old,False,False
HIG,HOLD,Financials,False,False,False,False,new,True,False
EMR,HOLD,Industrials,False,False,False,False,old,False,False
EXR,HOLD,Real Estate,False,False,False,False,new,True,False
BCS,HOLD,Financials,False,True,False,False,old,False,False
GL,HOLD,Financials,False,True,False,False,new,True,False
NWG,HOLD,Financials,False,True,False,False,old,False,False
SW,HOLD,Materials,False,True,False,False,new,True,False
PCG,HOLD,Utilities,False,False,False,False,new,True,False
STE,HOLD,Health Care,False,True,False,False,new,True,False
KKR,HOLD,Financials,False,False,False,False,old,False,False
IQV,HOLD,Health Care,False,False,False,False,new,True,False
FDS,HOLD,Financials,False,True,False,False,new,True,False
SBAC,HOLD,Real Estate,False,False,False,False,new,True,False
VLO,HOLD,Energy,False,False,False,False,old,False,False
ATO,HOLD,Utilities,False,True,False,False,new,True,False
ROP,HOLD,Information Technology,False,False,False,False,new,True,False
EQR,HOLD,Real Estate,False,False,False,False,new,True,False
EPD,HOLD,Energy,False,True,False,False,old,False,False
AXP,HOLD,Financials,False,False,False,False,old,False,False
PBR,HOLD,Energy,False,False,False,False,old,False,False
AEP,HOLD,Utilities,False,False,False,False,old,False,False
JCI,HOLD,Industrials,False,False,False,False,old,False,False
TSLA,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
PNW,HOLD,Utilities,False,True,False,False,new,True,False
BLDR,HOLD,Industrials,False,True,False,False,new,True,False
MFC,HOLD,Financials,False,True,False,False,old,False,False
ICE,HOLD,Financials,False,False,False,False,old,False,False
MET,HOLD,Financials,False,False,False,False,new,True,False
HWM,HOLD,Industrials,False,False,False,False,old,False,False
REGN,HOLD,Health Care,False,False,False,False,old,False,False
HSBC,HOLD,Financials,False,True,False,False,old,False,False
SPGI,HOLD,Financials,False,False,False,False,old,False,False
EVRG,HOLD,Utilities,False,True,False,False,new,True,False
TEL,HOLD,Information Technology,False,False,False,False,old,False,False
STM,HOLD,Information Technology,False,True,False,False,old,False,False
O,HOLD,Real Estate,False,False,False,False,old,False,False
CMS,HOLD,Utilities,False,False,False,False,new,True,False
ALAB,HOLD,Information Technology,False,False,False,False,old,False,False
NVS,HOLD,Health Care,False,False,False,False,old,False,False
SU,HOLD,Energy,False,False,False,False,old,False,False
ETR,HOLD,Utilities,False,False,False,False,new,True,False
PFG,HOLD,Financials,False,True,False,False,new,True,False
PPL,HOLD,Utilities,False,False,False,False,new,True,False
TRP,HOLD,Energy,False,True,False,False,old,False,False
MTD,HOLD,Health Care,False,False,False,False,new,True,False
MFG,HOLD,Financials,False,True,False,False,old,False,False
PWR,HOLD,Industrials,False,False,False,False,old,False,False
WMB,HOLD,Energy,False,False,False,False,old,False,False
FISV,HOLD,Financials,False,False,False,False,new,True,False
BAM,HOLD,Financials,False,True,False,False,old,False,False
PRU,HOLD,Financials,False,False,False,False,new,True,False
TFC,HOLD,Financials,False,False,False,False,old,False,False
PLD,HOLD,Real Estate,False,False,False,False,old,False,False
KIM,HOLD,Real Estate,False,True,False,False,new,True,False
NEE,HOLD,Utilities,False,False,False,False,old,False,False
XOM,HOLD,Energy,False,False,False,False,old,False,False
FRT,HOLD,Real Estate,False,True,False,False,new,True,False
DHI,HOLD,Consumer Discretionary,False,False,False,False,new,True,False
RVTY,HOLD,Health Care,False,True,False,False,new,True,False
SO,HOLD,Utilities,False,False,False,False,old,False,False
NI,HOLD,Utilities,False,True,False,False,new,True,False
EFX,HOLD,Industrials,False,False,False,False,new,True,False
BBVA,HOLD,Financials,False,True,False,False,old,False,False
AMGN,HOLD,Health Care,False,False,False,False,old,False,False
DVA,HOLD,Health Care,False,True,False,False,new,True,False
STT,HOLD,Financials,False,False,False,False,new,True,False
USB,HOLD,Financials,False,False,False,False,old,False,False
CME,HOLD,Financials,False,False,False,False,old,False,False
DOC,HOLD,Real Estate,False,True,False,False,new,True,False
SONY,HOLD,Consumer Discretionary,False,True,False,False,old,False,False
CNI,HOLD,Industrials,False,True,False,False,old,False,False
KVUE,HOLD,Consumer Staples,False,False,False,False,new,True,False
KEY,HOLD,Financials,False,False,False,False,new,True,False
DUK,HOLD,Utilities,False,False,False,False,old,False,False
HBAN,HOLD,Financials,False,False,False,False,new,True,False
FITB,HOLD,Financials,False,False,False,False,new,True,False
CVS,HOLD,Health Care,False,False,False,False,old,False,False
RCL,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
AKAM,HOLD,Information Technology,False,False,False,False,new,True,False
UBS,HOLD,Financials,False,True,False,False,old,False,False
KHC,HOLD,Consumer Staples,False,False,False,False,new,True,False
HCA,HOLD,Health Care,False,False,False,False,old,False,False
AIG,HOLD,Financials,False,False,False,False,new,True,False
MELI,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
D,HOLD,Utilities,False,False,False,False,old,False,False
CHD,HOLD,Consumer Staples,False,False,False,False,new,True,False
MPC,HOLD,Energy,False,False,False,False,old,False,False
BAX,HOLD,Health Care,False,False,False,False,new,True,False
MDLN,HOLD,Health Care,False,False,False,False,old,False,False
HUM,HOLD,Health Care,False,False,False,False,new,True,False
MAA,HOLD,Real Estate,False,True,False,False,new,True,False
BRO,HOLD,Financials,False,True,False,False,new,True,False
WELL,HOLD,Real Estate,False,False,False,False,old,False,False
WFC,HOLD,Financials,False,False,False,False,old,False,False
AWK,HOLD,Utilities,False,False,False,False,new,True,False
MTB,HOLD,Financials,False,False,False,False,new,True,False
FFIV,HOLD,Information Technology,False,True,False,False,new,True,False
NTRS,HOLD,Financials,False,True,False,False,new,True,False
APA,HOLD,Energy,False,False,False,False,new,True,False
MSI,HOLD,Information Technology,False,False,False,False,old,False,False
BE,HOLD,Industrials,False,False,False,False,old,False,False
GE,HOLD,Industrials,False,False,False,False,old,False,False
KDP,HOLD,Consumer Staples,False,False,False,False,new,True,False
L,HOLD,Financials,False,True,False,False,new,True,False
ING,HOLD,Financials,False,True,False,False,old,False,False
NRG,HOLD,Utilities,False,False,False,False,new,True,False
MRK,HOLD,Health Care,False,False,False,False,old,False,False
PNC,HOLD,Financials,False,False,False,False,old,False,False
IEX,HOLD,Industrials,False,True,False,False,new,True,False
IR,HOLD,Industrials,False,False,False,False,new,True,False
TRGP,HOLD,Energy,False,False,False,False,old,False,False
FLEX,HOLD,Information Technology,False,False,False,False,new,True,False
ORLY,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
AON,HOLD,Financials,False,False,False,False,old,False,False
MDLZ,HOLD,Consumer Staples,False,False,False,False,old,False,False
ENB,HOLD,Energy,False,True,False,False,old,False,False
BN,HOLD,Financials,False,True,False,False,old,False,False
CEG,HOLD,Utilities,False,False,False,False,old,False,False
ARE,HOLD,Real Estate,False,True,False,False,new,True,False
COR,HOLD,Health Care,False,False,False,False,new,True,False
DHR,HOLD,Health Care,False,False,False,False,old,False,False
SHEL,HOLD,Energy,False,False,False,False,old,False,False
PFE,HOLD,Health Care,False,False,False,False,old,False,False
ASX,HOLD,Information Technology,False,True,False,False,old,False,False
ERIE,HOLD,Financials,False,True,False,False,new,True,False
LITE,HOLD,Information Technology,False,False,False,False,old,False,False
MOS,HOLD,Materials,False,False,False,False,new,True,False
MMM,HOLD,Industrials,False,False,False,False,old,False,False
ALLE,HOLD,Industrials,False,True,False,False,new,True,False
MGM,HOLD,Consumer Discretionary,False,False,False,False,new,True,False
MRNA,HOLD,Health Care,False,False,False,False,new,True,False
ETN,HOLD,Industrials,False,False,False,False,old,False,False
ET,HOLD,Energy,False,False,False,False,old,False,False
IMO,HOLD,Energy,False,True,False,False,old,False,False
CFG,HOLD,Financials,False,False,False,False,new,True,False
ED,HOLD,Utilities,False,False,False,False,new,True,False
REG,HOLD,Real Estate,False,True,False,False,new,True,False
INTC,HOLD,Information Technology,False,False,False,False,old,False,False
DASH,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
RTX,HOLD,Industrials,False,False,False,False,old,False,False
DOV,HOLD,Industrials,False,False,False,False,new,True,False
IRM,HOLD,Real Estate,False,True,False,False,new,True,False
LYB,HOLD,Materials,False,False,False,False,new,True,False
MS,HOLD,Financials,False,False,False,False,old,False,False
CRH,HOLD,Materials,False,False,False,False,old,False,False
CDW,HOLD,Information Technology,False,False,False,False,new,True,False
SNY,HOLD,Health Care,False,True,False,False,old,False,False
AMAT,HOLD,Information Technology,False,False,False,False,old,False,False
CRL,HOLD,Health Care,False,True,False,False,new,True,False
LLY,HOLD,Health Care,False,False,False,False,old,False,False
NUE,HOLD,Materials,False,False,False,False,old,False,False
NXPI,HOLD,Information Technology,False,False,False,False,old,False,False
EQIX,HOLD,Real Estate,False,False,False,False,old,False,False
AZN,HOLD,Health Care,False,False,False,False,old,False,False
CARR,HOLD,Industrials,False,False,False,False,new,True,False
AFL,HOLD,Financials,False,False,False,False,old,False,False
LDOS,HOLD,Information Technology,False,True,False,False,new,True,False
RJF,HOLD,Financials,False,False,False,False,new,True,False
RF,HOLD,Financials,False,False,False,False,new,True,False
DGX,HOLD,Health Care,False,False,False,False,new,True,False
V,HOLD,Financials,False,False,False,False,old,False,False
