side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,sector_repaired,before_review_label,cohort,liquidity_proxy,review_status
LONG,18,IVZ,2.95738,2.47108,Financials,False,True,LONG,new,95898438.00682,PAPER_REVIEW_ONLY
LONG,19,MCO,2.92095,2.3776,Financials,False,False,LONG,old,229915110.33058,PAPER_REVIEW_ONLY
LONG,20,GEV,2.87247,1.99522,Utilities,False,True,LONG,old,1477850918.10517,PAPER_REVIEW_ONLY
LONG,21,SHOP,2.81219,2.97267,Information Technology,False,True,LONG,old,927856082.40511,PAPER_REVIEW_ONLY
LONG,22,SLB,2.79294,2.92197,Energy,False,False,HOLD,old,440944679.55072,PAPER_REVIEW_ONLY
LONG,23,APD,2.70529,1.34343,Materials,False,False,HOLD,old,254762317.72697,PAPER_REVIEW_ONLY
LONG,24,SMERY,2.69831,2.17014,Industrials,False,True,LONG,old,7023039.7754,PAPER_REVIEW_ONLY
LONG,25,HDB,2.65284,2.14351,Financials,False,True,LONG,old,108366327.59013,PAPER_REVIEW_ONLY
LONG,26,CMG,2.64773,3.23106,Consumer Discretionary,False,False,LONG,new,18641712969.90915,PAPER_REVIEW_ONLY
LONG,27,ANET,2.56104,2.73191,Information Technology,False,True,LONG,old,404809200.86719,PAPER_REVIEW_ONLY
LONG,28,VRT,2.52691,2.47663,Industrials,False,True,LONG,old,368724024.0579,PAPER_REVIEW_ONLY
LONG,29,BUD,2.52467,2.14178,Consumer Staples,False,True,LONG,old,122397413.77855,PAPER_REVIEW_ONLY
LONG,30,NFLX,2.5047,2.55125,Communication Services,False,False,LONG,old,2701766792.59631,PAPER_REVIEW_ONLY
LONG,31,DPZ,2.42105,2.97139,Consumer Discretionary,False,True,LONG,new,226791246.30786,PAPER_REVIEW_ONLY
LONG,32,FICO,2.41173,2.62277,Information Technology,False,True,LONG,new,149712213.23285,PAPER_REVIEW_ONLY
LONG,33,FAST,2.3897,2.32457,Industrials,False,True,LONG,new,423423231.78797,PAPER_REVIEW_ONLY
LONG,34,GWW,2.30885,1.81599,Industrials,False,True,LONG,old,176730641.50985,PAPER_REVIEW_ONLY
LONG,35,ABNB,2.28719,3.31193,Consumer Discretionary,False,True,LONG,old,784821121.33798,PAPER_REVIEW_ONLY
LONG,36,EXPD,2.26836,1.77895,Industrials,False,True,LONG,new,117393215.55295,PAPER_REVIEW_ONLY
LONG,37,NVR,2.24164,2.80197,Consumer Discretionary,False,True,LONG,new,109382583.50874,PAPER_REVIEW_ONLY
LONG,38,B,2.21989,0.9175,Materials,False,True,HOLD,old,307679708.25811,PAPER_REVIEW_ONLY
LONG,39,LUV,2.18606,2.1716,Industrials,False,True,LONG,new,309487527.52812,PAPER_REVIEW_ONLY
LONG,40,SPOT,2.14635,2.22513,Communication Services,False,True,LONG,old,528189104.87683,PAPER_REVIEW_ONLY
LONG,41,UBER,2.14002,1.67271,Industrials,False,False,LONG,old,1144371239.26847,PAPER_REVIEW_ONLY
LONG,42,FOX,2.11552,4.66366,Communication Services,False,True,LONG,new,50208974.52873,PAPER_REVIEW_ONLY
LONG,43,FOXA,2.11552,4.66366,Communication Services,False,True,LONG,new,150817976.09935,PAPER_REVIEW_ONLY
LONG,44,FANG,2.09873,1.75363,Energy,False,True,LONG,new,247907728.78057,PAPER_REVIEW_ONLY
LONG,45,LVS,2.0319,2.64004,Consumer Discretionary,False,True,LONG,new,270985182.59841,PAPER_REVIEW_ONLY
LONG,46,RACE,2.01395,3.06415,Consumer Discretionary,False,True,LONG,old,93826808.24992,PAPER_REVIEW_ONLY
LONG,47,GNRC,1.92188,1.91636,Industrials,False,True,LONG,new,125625861.01189,PAPER_REVIEW_ONLY
LONG,48,GDDY,1.91769,2.16192,Information Technology,False,True,LONG,new,122420743.26969,PAPER_REVIEW_ONLY
LONG,49,TXN,1.89524,2.21238,Information Technology,False,False,LONG,old,749828388.64047,PAPER_REVIEW_ONLY
LONG,50,DDOG,1.89419,2.14483,Information Technology,False,True,LONG,old,488871765.25355,PAPER_REVIEW_ONLY
LONG,51,PLTR,1.85238,2.09219,Information Technology,False,True,LONG,old,3201525631.14285,PAPER_REVIEW_ONLY
LONG,52,DVN,1.84865,1.52949,Energy,False,True,LONG,new,335139375.53882,PAPER_REVIEW_ONLY
LONG,53,RMD,1.84309,1.72743,Health Care,False,True,LONG,new,135901199.40673,PAPER_REVIEW_ONLY
LONG,54,EBAY,1.80721,2.40797,Consumer Discretionary,False,True,LONG,new,364968426.48052,PAPER_REVIEW_ONLY
LONG,55,ODFL,1.78629,1.74936,Industrials,False,True,LONG,new,327279121.12856,PAPER_REVIEW_ONLY
LONG,56,MO,1.7104,1.40457,Consumer Staples,False,False,HOLD,old,319967134.64288,PAPER_REVIEW_ONLY
LONG,57,ITW,1.70821,1.28002,Industrials,False,False,LONG,old,211104910.15938,PAPER_REVIEW_ONLY
LONG,58,CNC,1.70422,2.05458,Health Care,False,True,LONG,new,293901918.72667,PAPER_REVIEW_ONLY
LONG,59,JKHY,1.66814,0.89803,Financials,False,True,HOLD,new,82117957.08843,PAPER_REVIEW_ONLY
LONG,60,CDNS,1.66452,1.96839,Information Technology,False,False,LONG,old,280341195.76926,PAPER_REVIEW_ONLY
LONG,61,URI,1.62859,1.62828,Industrials,False,True,LONG,old,269902414.51209,PAPER_REVIEW_ONLY
LONG,62,JBHT,1.59606,1.58499,Industrials,False,True,LONG,new,124187393.9874,PAPER_REVIEW_ONLY
LONG,63,UPS,1.57261,1.5556,Industrials,False,False,LONG,old,419546582.78615,PAPER_REVIEW_ONLY
LONG,64,HOOD,1.57246,1.0929,Financials,False,True,LONG,old,1095181252.01026,PAPER_REVIEW_ONLY
LONG,65,SYK,1.4954,1.42312,Health Care,False,False,LONG,old,326609661.47476,PAPER_REVIEW_ONLY
LONG,66,SNA,1.49285,1.4695,Industrials,False,True,LONG,new,90222869.54326,PAPER_REVIEW_ONLY
LONG,67,XYZ,1.48556,1.09141,Industrials,False,True,LONG,new,859760671.18819,PAPER_REVIEW_ONLY
LONG,68,ABBV,1.47085,1.83227,Health Care,False,False,LONG,old,711331046.80779,PAPER_REVIEW_ONLY
LONG,69,SMFG,1.44879,0.70903,Financials,False,True,HOLD,old,15779865.66722,PAPER_REVIEW_ONLY
LONG,70,NEM,1.44687,1.78439,Materials,False,True,LONG,old,383433846.09568,PAPER_REVIEW_ONLY
LONG,71,CCI,1.43939,1.03784,Real Estate,False,True,LONG,new,286754497.67182,PAPER_REVIEW_ONLY
LONG,72,HAL,1.40897,1.57616,Energy,False,True,LONG,new,329616790.89879,PAPER_REVIEW_ONLY
LONG,73,HST,1.40551,1.16618,Real Estate,False,True,LONG,new,137963806.01482,PAPER_REVIEW_ONLY
LONG,74,CAG,1.36382,1.01684,Consumer Staples,False,True,LONG,new,150930119.64734,PAPER_REVIEW_ONLY
LONG,75,VRTX,1.35983,1.29798,Health Care,False,False,LONG,old,403766019.06806,PAPER_REVIEW_ONLY
LONG,76,IDXX,1.3453,1.27744,Health Care,False,True,LONG,new,190059477.03108,PAPER_REVIEW_ONLY
