model,horizon_days,fold,val_start,val_end,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy
OPTIONAL_LOGISTIC_OUTPERFORMER,5,7,2022-10-05,2023-04-05,16128,126,0.020107,0.011093,0.244076,0.082379,0.52381,0.00195,0.00296,-0.00101,0.557998,0.531746,0.217643,0.202462
MODEL_FREE_COMPOSITE_BASELINE,21,7,2022-10-05,2023-04-05,16128,126,-0.072088,-0.074458,0.261246,-0.275938,0.396825,-0.004373,0.020635,-0.025007,0.482906,0.357143,0.280525,0.196308
RIDGE_LINEAR_RANK_MODEL,21,7,2022-10-05,2023-04-05,16128,126,0.070609,0.0602,0.155251,0.454804,0.714286,0.01623,-0.001563,0.017793,0.562271,0.626984,0.207265,0.152308
OPTIONAL_LOGISTIC_OUTPERFORMER,21,7,2022-10-05,2023-04-05,16128,126,0.072004,0.079455,0.162875,0.442082,0.65873,0.012007,-0.002498,0.014506,0.565324,0.611111,0.226496,0.139692
MODEL_FREE_COMPOSITE_BASELINE,63,7,2022-10-05,2023-04-05,16128,126,-0.231503,-0.250836,0.174008,-1.330418,0.134921,-0.032529,0.06761,-0.100139,0.318681,0.079365,0.280525,0.196308
RIDGE_LINEAR_RANK_MODEL,63,7,2022-10-05,2023-04-05,16128,126,0.197218,0.222295,0.112238,1.757131,0.928571,0.071302,-0.027579,0.098881,0.621184,0.960317,0.353175,0.113846
OPTIONAL_LOGISTIC_OUTPERFORMER,63,7,2022-10-05,2023-04-05,16128,126,0.153125,0.152679,0.080336,1.906059,0.992063,0.030276,-0.032877,0.063153,0.528694,0.944444,0.283578,0.125846
MODEL_FREE_COMPOSITE_BASELINE,5,8,2023-04-06,2023-10-05,16128,126,0.040455,0.061458,0.192991,0.209621,0.619048,0.000925,-0.000761,0.001686,0.501526,0.626984,0.20116,0.228308
RIDGE_LINEAR_RANK_MODEL,5,8,2023-04-06,2023-10-05,16128,126,0.040138,0.045845,0.135117,0.297063,0.650794,0.00201,-0.001266,0.003276,0.508852,0.650794,0.281746,0.274769
OPTIONAL_LOGISTIC_OUTPERFORMER,5,8,2023-04-06,2023-10-05,16128,126,0.065964,0.050752,0.15869,0.415678,0.68254,0.002877,-0.001946,0.004823,0.533272,0.650794,0.293651,0.183385
