model,horizon_days,fold,val_start,val_end,regime_label,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy,overlap_corrected_n_dates,overlap_corrected_mean_rank_ic
MODEL_FREE_COMPOSITE_BASELINE,5,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.040096,-0.025212,0.313538,-0.127881,0.468254,-0.002407,0.00605,-0.008456,0.497253,0.460317,0.280525,0.196308,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.000422,-0.004542,0.122766,-0.003437,0.484127,0.00119,0.002688,-0.001498,0.529304,0.444444,0.221612,0.251077,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.005684,-0.010853,0.120412,-0.047204,0.47619,0.001533,0.003129,-0.001596,0.525336,0.484127,0.282051,0.26,,
MODEL_FREE_COMPOSITE_BASELINE,21,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.018335,0.035441,0.187361,0.097861,0.611111,0.002462,0.000629,0.001833,0.482601,0.587302,0.20116,0.228308,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.01012,0.005908,0.093677,0.10803,0.52381,0.004091,0.004006,8.5e-05,0.493284,0.52381,0.194444,0.160615,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.006228,0.012011,0.086808,0.071744,0.555556,0.001971,0.004024,-0.002053,0.487179,0.492063,0.259463,0.137231,,
MODEL_FREE_COMPOSITE_BASELINE,63,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,-0.020275,-0.013679,0.154424,-0.131294,0.444444,0.004828,0.010459,-0.005631,0.495726,0.515873,0.20116,0.228308,2.0,0.103009
REFINED_RIDGE_LINEAR_RANK_MODEL,63,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,-0.044745,-0.046909,0.112504,-0.397719,0.365079,0.00938,0.009446,-6.6e-05,0.485958,0.388889,0.192002,0.126769,2.0,0.040801
LOGISTIC_OUTPERFORMER_BENCHMARK,63,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.007232,0.010206,0.100324,0.07209,0.555556,0.012275,0.009081,0.003193,0.527473,0.52381,0.259463,0.125538,2.0,0.012529
MODEL_FREE_COMPOSITE_BASELINE,5,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.040455,0.061458,0.192991,0.209621,0.619048,0.000925,-0.000761,0.001686,0.501526,0.626984,0.20116,0.228308,,
