date,ticker,regime,return_20d,return_63d,return_126d,mom_acceleration,price_vs_sma50,price_vs_sma200,sma50_vs_200,return_zscore_5d,dist_sma20,rs_20d_vs_spy,rs_63d_vs_spy,residual_alpha_20d,realized_vol_63d,downside_vol_63d,vol_adj_momentum,avg_dollar_volume_20d,forward_return_20d,forward_excess_return_20d_vs_spy,top_quintile_forward_excess_return
2026-04-30,GILD,risk_on,-0.067427,-0.05709,0.123618,-0.019369,-0.068436,0.042255,0.118822,1.082466,-0.037761,-0.164216,-0.095392,-0.124255,0.262309,0.176859,-0.217645,714837619.42379,0.027438,-0.025188,0
2026-04-30,GOOG,risk_on,0.295151,0.128592,0.424798,0.322642,0.22191,0.363926,0.116224,1.685209,0.155949,0.198362,0.090291,0.159657,0.338351,0.170934,0.380056,5756578179.129944,-0.014426,-0.067052,0
2026-04-30,GOOGL,risk_on,0.293924,0.138421,0.44062,0.312169,0.226246,0.375018,0.121323,1.688037,0.157208,0.197135,0.10012,0.154921,0.346502,0.176429,0.399481,8913190946.364594,-0.01159,-0.064216,0
2026-04-30,GS,risk_on,0.073889,-0.01222,0.178193,0.082007,0.062101,0.120571,0.055052,0.03132,0.01561,-0.0229,-0.050521,-0.0842,0.34043,0.257243,-0.035896,1778993797.890625,0.11019,0.057564,1
2026-04-30,HCA,risk_on,-0.084887,-0.098302,-0.06585,0.041771,-0.128419,-0.047156,0.093236,0.097314,-0.08371,-0.181676,-0.136604,-0.106151,0.323167,0.246458,-0.304184,513633556.784668,-0.128691,-0.181317,0
2026-04-30,HD,risk_on,-0.002306,-0.109765,-0.136386,0.098874,-0.043406,-0.104671,-0.064045,1.275923,-0.020392,-0.099095,-0.148066,-0.093568,0.264414,0.188408,-0.415126,1175021042.771301,-0.035462,-0.088088,0
2026-04-30,HON,risk_on,-0.06078,-0.05213,0.072254,0.011465,-0.0703,0.020119,0.097256,1.455185,-0.0466,-0.157569,-0.090431,-0.134321,0.222922,0.16419,-0.233847,847075952.877121,0.115883,0.063257,1
2026-04-30,IBM,risk_on,-0.050012,-0.248813,-0.252719,-0.022339,-0.052051,-0.148072,-0.101294,1.765715,-0.041674,-0.146801,-0.287115,-0.16293,0.463137,0.411149,-0.537235,1534871865.040359,0.298778,0.246153,1
2026-04-30,ICE,risk_on,6.3e-05,-0.094228,0.011469,0.046364,-0.011142,-0.036296,-0.025438,1.708401,-0.019281,-0.096726,-0.132529,-0.036853,0.298421,0.249117,-0.315755,482926705.397415,-0.064773,-0.117399,0
2026-04-30,INTC,risk_on,0.967104,0.941636,1.274982,0.913352,0.733317,1.375406,0.370439,0.84691,0.375916,0.870315,0.903335,0.701406,0.794142,0.355208,1.185728,9826558489.283447,0.213802,0.161176,1
