date,ticker,model,score,forward_excess_return_20d_vs_spy
2017-10-31,DE,cross_sectional_composite_zscore,0.043571,0.095476
2017-10-31,GD,cross_sectional_composite_zscore,-0.421991,-0.015759
2017-10-31,IBM,cross_sectional_composite_zscore,-0.098771,-0.01497
2017-10-31,KO,cross_sectional_composite_zscore,-0.150989,-0.032061
2017-10-31,MDLZ,cross_sectional_composite_zscore,-0.720062,0.014825
2017-10-31,NFLX,cross_sectional_composite_zscore,0.569236,-0.063774
2017-10-31,PFE,cross_sectional_composite_zscore,-0.258622,0.020617
2017-10-31,ROP,cross_sectional_composite_zscore,0.318023,-0.005857
2017-10-31,SYK,cross_sectional_composite_zscore,0.291209,-0.026593
2017-10-31,UPS,cross_sectional_composite_zscore,-0.117087,-0.001249
2017-10-31,ZTS,cross_sectional_composite_zscore,-0.153608,0.102165
2017-11-30,AMD,cross_sectional_composite_zscore,-1.473338,-0.068143
2017-11-30,BAC,cross_sectional_composite_zscore,0.297904,0.035795
2017-11-30,CI,cross_sectional_composite_zscore,0.657656,-0.052935
2017-11-30,CVX,cross_sectional_composite_zscore,0.173585,0.039977
2017-11-30,FDX,cross_sectional_composite_zscore,-0.056596,0.068242
2017-11-30,HON,cross_sectional_composite_zscore,0.639143,-0.028799
2017-11-30,KLAC,cross_sectional_composite_zscore,-0.605345,0.015552
2017-11-30,MCO,cross_sectional_composite_zscore,0.655353,-0.039859
2017-11-30,NEE,cross_sectional_composite_zscore,0.015386,-0.023834
2017-11-30,PEP,cross_sectional_composite_zscore,-0.153987,0.017051
2017-11-30,REGN,cross_sectional_composite_zscore,-2.295977,0.026837
2017-11-30,SPGI,cross_sectional_composite_zscore,0.274378,0.01156
2017-11-30,UNP,cross_sectional_composite_zscore,0.698586,0.047951
2017-11-30,XOM,cross_sectional_composite_zscore,-0.142005,-0.007926
2017-12-29,AMAT,cross_sectional_composite_zscore,-0.640575,-0.011625
2017-12-29,BA,cross_sectional_composite_zscore,1.317804,0.089294
2017-12-29,CDNS,cross_sectional_composite_zscore,-0.398278,-0.004185
2017-12-29,CVS,cross_sectional_composite_zscore,-1.505205,0.057109
2017-12-29,ETN,cross_sectional_composite_zscore,-0.165022,0.016688
2017-12-29,HD,cross_sectional_composite_zscore,1.020188,0.008957
2017-12-29,JPM,cross_sectional_composite_zscore,0.515674,0.026171
2017-12-29,MCD,cross_sectional_composite_zscore,0.189852,-0.053743
2017-12-29,MU,cross_sectional_composite_zscore,-0.188079,-0.042459
2017-12-29,PANW,cross_sectional_composite_zscore,-0.401553,0.009641
2017-12-29,QCOM,cross_sectional_composite_zscore,-0.024741,-0.009443
2017-12-29,SO,cross_sectional_composite_zscore,-0.98857,-0.124248
2017-12-29,UNH,cross_sectional_composite_zscore,-0.049379,0.017602
2017-12-29,WMT,cross_sectional_composite_zscore,0.917932,0.035102
2018-01-31,ADP,cross_sectional_composite_zscore,-0.197752,-0.02922
2018-01-31,AXP,cross_sectional_composite_zscore,-0.369973,0.007515
2018-01-31,CB,cross_sectional_composite_zscore,-0.122582,-0.054271
2018-01-31,CSCO,cross_sectional_composite_zscore,0.726743,0.104778
2018-01-31,EQIX,cross_sectional_composite_zscore,-0.8819,-0.096008
2018-01-31,HCA,cross_sectional_composite_zscore,0.94431,0.03667
2018-01-31,JNJ,cross_sectional_composite_zscore,-0.868001,-0.022679
2018-01-31,MAR,cross_sectional_composite_zscore,1.054271,-0.013966
2018-01-31,MSFT,cross_sectional_composite_zscore,0.494129,0.032229
2018-01-31,ORLY,cross_sectional_composite_zscore,0.388472,-0.03059
2018-01-31,PYPL,cross_sectional_composite_zscore,0.954053,-0.027921
2018-01-31,SNPS,cross_sectional_composite_zscore,-0.035959,-0.036875
2018-01-31,TXN,cross_sectional_composite_zscore,-0.020059,0.021741
2018-01-31,WM,cross_sectional_composite_zscore,-0.144,0.015542
2018-02-28,ADI,cross_sectional_composite_zscore,0.0513,0.042208
2018-02-28,AVGO,cross_sectional_composite_zscore,-0.323851,0.014071
2018-02-28,CAT,cross_sectional_composite_zscore,0.302348,-0.021561
2018-02-28,CRM,cross_sectional_composite_zscore,0.538965,0.010692
2018-02-28,EOG,cross_sectional_composite_zscore,-0.445226,0.063345
2018-02-28,GS,cross_sectional_composite_zscore,0.270936,-0.011891
2018-02-28,ITW,cross_sectional_composite_zscore,-0.226579,-0.002471
2018-02-28,MA,cross_sectional_composite_zscore,0.730924,0.0089
2018-02-28,MS,cross_sectional_composite_zscore,0.408195,-0.015834
2018-02-28,ORCL,cross_sectional_composite_zscore,-0.115846,-0.072614
2018-02-28,PNC,cross_sectional_composite_zscore,0.771801,-0.012393
2018-02-28,SLB,cross_sectional_composite_zscore,-0.547841,0.002661
2018-02-28,TSLA,cross_sectional_composite_zscore,-0.14796,-0.208905
2018-02-28,WFC,cross_sectional_composite_zscore,-0.288338,-0.078963
2018-03-29,ADBE,cross_sectional_composite_zscore,1.314794,0.013976
2018-03-29,APH,cross_sectional_composite_zscore,-0.185191,-0.034438
2018-03-29,C,cross_sectional_composite_zscore,-0.830678,0.009116
2018-03-29,COST,cross_sectional_composite_zscore,0.178801,0.030294
2018-03-29,EMR,cross_sectional_composite_zscore,-0.067412,-0.019986
2018-03-29,GOOGL,cross_sectional_composite_zscore,-0.316442,-0.018444
2018-03-29,ISRG,cross_sectional_composite_zscore,0.396119,0.069884
2018-03-29,LOW,cross_sectional_composite_zscore,-0.129924,-0.051018
2018-03-29,MRK,cross_sectional_composite_zscore,-0.021642,0.078835
2018-03-29,NVDA,cross_sectional_composite_zscore,0.459207,-0.035671
2018-03-29,PM,cross_sectional_composite_zscore,-0.462411,-0.182375
2018-03-29,SHW,cross_sectional_composite_zscore,-0.100314,-0.056261
2018-03-29,TMO,cross_sectional_composite_zscore,0.397605,0.017943
2018-03-29,VZ,cross_sectional_composite_zscore,-0.224987,0.07903
2018-04-30,ACN,cross_sectional_composite_zscore,0.033203,-0.001574
2018-04-30,APD,cross_sectional_composite_zscore,0.292093,-0.020069
2018-04-30,BSX,cross_sectional_composite_zscore,0.476636,0.034482
2018-04-30,COP,cross_sectional_composite_zscore,1.185673,-0.009703
2018-04-30,ELV,cross_sectional_composite_zscore,0.276028,-0.045441
2018-04-30,GOOG,cross_sectional_composite_zscore,-0.369832,0.025207
2018-04-30,INTU,cross_sectional_composite_zscore,0.935725,0.047401
2018-04-30,LMT,cross_sectional_composite_zscore,-0.215101,-0.028395
2018-04-30,MO,cross_sectional_composite_zscore,-1.09086,-0.023823
2018-04-30,NOW,cross_sectional_composite_zscore,0.6838,0.044103
2018-04-30,PLD,cross_sectional_composite_zscore,0.472184,-0.026294
2018-04-30,SCHW,cross_sectional_composite_zscore,0.771474,-0.025059
2018-04-30,TJX,cross_sectional_composite_zscore,0.750443,0.029202
2018-04-30,VRTX,cross_sectional_composite_zscore,-0.361267,-0.00347
2018-05-31,ABT,cross_sectional_composite_zscore,0.343112,-0.008531
2018-05-31,AON,cross_sectional_composite_zscore,-0.158077,-0.030687
2018-05-31,BMY,cross_sectional_composite_zscore,-1.002331,0.046626
2018-05-31,CMG,cross_sectional_composite_zscore,0.894286,-0.008536
2018-05-31,DUK,cross_sectional_composite_zscore,-0.303511,0.022522
2018-05-31,GILD,cross_sectional_composite_zscore,-0.801818,0.047576
2018-05-31,INTC,cross_sectional_composite_zscore,0.635436,-0.112095
2018-05-31,LLY,cross_sectional_composite_zscore,0.459298,0.000986
2018-05-31,META,cross_sectional_composite_zscore,0.113182,0.018898
2018-05-31,NOC,cross_sectional_composite_zscore,0.042508,-0.060524
2018-05-31,PH,cross_sectional_composite_zscore,-0.425575,-0.098337
2018-05-31,SBUX,cross_sectional_composite_zscore,-0.071127,-0.147767
2018-05-31,TDG,cross_sectional_composite_zscore,0.867954,0.003806
2018-05-31,V,cross_sectional_composite_zscore,0.426889,0.011147
2018-06-29,ABBV,cross_sectional_composite_zscore,-0.587524,-0.034831
2018-06-29,AMZN,cross_sectional_composite_zscore,1.021991,0.014764
2018-06-29,BLK,cross_sectional_composite_zscore,-0.526704,-0.029675
2018-06-29,CME,cross_sectional_composite_zscore,0.160583,-0.048492
2018-06-29,DIS,cross_sectional_composite_zscore,0.372254,0.05129
2018-06-29,GE,cross_sectional_composite_zscore,-0.701205,-0.065024
2018-06-29,ICE,cross_sectional_composite_zscore,0.28402,-0.021898
2018-06-29,LIN,cross_sectional_composite_zscore,0.267223,0.013504
2018-06-29,MDT,cross_sectional_composite_zscore,0.214681,0.014659
2018-06-29,NKE,cross_sectional_composite_zscore,1.079219,-0.078646
2018-06-29,PG,cross_sectional_composite_zscore,0.306145,0.00478
2018-06-29,RTX,cross_sectional_composite_zscore,-0.023976,0.032585
2018-06-29,T,cross_sectional_composite_zscore,-0.635575,-0.01478
2018-06-29,USB,cross_sectional_composite_zscore,-0.188589,0.027216
2018-07-31,AAPL,cross_sectional_composite_zscore,0.320599,0.12807
2018-07-31,AMGN,cross_sectional_composite_zscore,0.509088,-0.013124
2018-07-31,BKNG,cross_sectional_composite_zscore,-0.588754,-0.078588
2018-07-31,CL,cross_sectional_composite_zscore,-0.242191,-0.033966
2018-07-31,DE,cross_sectional_composite_zscore,-0.54409,-0.018723
2018-07-31,GD,cross_sectional_composite_zscore,-0.108538,-0.051258
2018-07-31,IBM,cross_sectional_composite_zscore,-0.247312,-0.008152
2018-07-31,KO,cross_sectional_composite_zscore,0.391111,-0.057554
2018-07-31,MDLZ,cross_sectional_composite_zscore,0.220694,-0.056582
2018-07-31,NFLX,cross_sectional_composite_zscore,-0.919986,0.061451
2018-07-31,PFE,cross_sectional_composite_zscore,0.786906,0.017635
2018-07-31,ROP,cross_sectional_composite_zscore,0.589752,-0.041298
2018-07-31,SYK,cross_sectional_composite_zscore,-0.71541,0.01014
2018-07-31,UPS,cross_sectional_composite_zscore,0.361959,0.001073
2018-07-31,ZTS,cross_sectional_composite_zscore,-0.246381,0.004966
2018-08-31,AMD,cross_sectional_composite_zscore,3.635123,0.238871
2018-08-31,BAC,cross_sectional_composite_zscore,-0.294086,-0.04619
2018-08-31,CI,cross_sectional_composite_zscore,-0.13557,0.110502
2018-08-31,CVX,cross_sectional_composite_zscore,-0.508833,0.040619
2018-08-31,FDX,cross_sectional_composite_zscore,-0.497238,-0.023316
2018-08-31,HON,cross_sectional_composite_zscore,0.116236,0.048467
2018-08-31,KLAC,cross_sectional_composite_zscore,-0.552735,-0.142389
2018-08-31,MCO,cross_sectional_composite_zscore,-0.110839,-0.056963
2018-08-31,NEE,cross_sectional_composite_zscore,0.086255,-0.027724
2018-08-31,PEP,cross_sectional_composite_zscore,-0.200669,-0.012871
2018-08-31,REGN,cross_sectional_composite_zscore,0.522377,-0.040221
2018-08-31,SPGI,cross_sectional_composite_zscore,0.074674,-0.04634
2018-08-31,UNP,cross_sectional_composite_zscore,-0.001945,0.081384
2018-08-31,XOM,cross_sectional_composite_zscore,-0.163602,0.06091
2018-09-28,AMAT,cross_sectional_composite_zscore,-1.670868,-0.075408
2018-09-28,BA,cross_sectional_composite_zscore,0.376816,0.053374
2018-09-28,CDNS,cross_sectional_composite_zscore,-0.296625,0.091748
2018-09-28,CVS,cross_sectional_composite_zscore,0.54719,-0.015756
2018-09-28,ETN,cross_sectional_composite_zscore,0.431825,-0.082387
2018-09-28,HD,cross_sectional_composite_zscore,0.308409,-0.081238
2018-09-28,JPM,cross_sectional_composite_zscore,-0.133654,0.010273
2018-09-28,MCD,cross_sectional_composite_zscore,0.151144,0.1235
2018-09-28,MU,cross_sectional_composite_zscore,-1.943793,-0.129998
2018-09-28,PANW,cross_sectional_composite_zscore,-0.190551,-0.089571
2018-09-28,QCOM,cross_sectional_composite_zscore,0.818262,-0.045248
2018-09-28,SO,cross_sectional_composite_zscore,-0.594612,0.116234
2018-09-28,UNH,cross_sectional_composite_zscore,0.029238,0.057791
2018-09-28,WMT,cross_sectional_composite_zscore,-0.178675,0.140897
2018-10-31,ADP,cross_sectional_composite_zscore,0.518464,-9.4e-05
2018-10-31,AXP,cross_sectional_composite_zscore,0.448344,0.071141
2018-10-31,CB,cross_sectional_composite_zscore,-0.084378,0.062075
2018-10-31,CSCO,cross_sectional_composite_zscore,0.398734,0.022376
2018-10-31,EQIX,cross_sectional_composite_zscore,-0.25419,0.007773
2018-10-31,HCA,cross_sectional_composite_zscore,0.769979,0.069776
2018-10-31,JNJ,cross_sectional_composite_zscore,0.828862,0.036117
2018-10-31,MAR,cross_sectional_composite_zscore,-0.358978,0.03365
2018-10-31,MSFT,cross_sectional_composite_zscore,0.109276,0.023723
2018-10-31,ORLY,cross_sectional_composite_zscore,0.426751,0.093935
2018-10-31,PYPL,cross_sectional_composite_zscore,0.008484,-0.011547
2018-10-31,SNPS,cross_sectional_composite_zscore,0.002075,-0.01249
2018-10-31,TXN,cross_sectional_composite_zscore,-0.764724,0.037174
2018-10-31,WM,cross_sectional_composite_zscore,0.546918,0.029165
2018-11-30,ADI,cross_sectional_composite_zscore,-0.108515,0.021826
2018-11-30,AVGO,cross_sectional_composite_zscore,0.192748,0.166167
2018-11-30,CAT,cross_sectional_composite_zscore,0.036638,0.018625
2018-11-30,CRM,cross_sectional_composite_zscore,-0.289636,0.036596
2018-11-30,EOG,cross_sectional_composite_zscore,-0.725682,-0.035831
