experiment_id,cycle,category,family,owning_agent,is_challenge,is_non_momentum,score_key,quantile,gate_key,scope,status,net_sharpe_25bps,spy_sharpe,ew_universe_sharpe,net_sharpe_minus_spy,net_max_drawdown_25bps,one_sided_turnover,avg_names,rolling_frac_beat_spy,finding,reason,challenges
C1F11,1,NON_MOMENTUM,trend_breadth,trend-breadth-signal-agent,False,True,trend_ma12,top_quintile,,full,REJECTED,0.695355,0.769587,0.587657,-0.074232,-0.50792,0.2913,584.88,0.423077,net_sharpe@25=0.695355 vs SPY 0.769587 (+-0.074232); recent_beats_spy=False; rolling_beat=0.423077,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F12,1,NON_MOMENTUM,liquidity_turnover,volatility-liquidity-agent,False,True,illiquidity,top_quintile,,full,REJECTED,0.399181,0.769587,0.587657,-0.370406,-0.595579,0.1667,588.08,0.153846,net_sharpe@25=0.399181 vs SPY 0.769587 (+-0.370406); recent_beats_spy=False; rolling_beat=0.153846,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'placebo_pass', 'survives_multiple_testing']",
C1F13,1,NON_MOMENTUM,liquidity_turnover,volatility-liquidity-agent,False,True,high_liquidity,top_quintile,,full,REJECTED,0.604173,0.769587,0.587657,-0.165414,-0.570169,0.1086,588.08,0.153846,net_sharpe@25=0.604173 vs SPY 0.769587 (+-0.165414); recent_beats_spy=False; rolling_beat=0.153846,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F14,1,NON_MOMENTUM,sector_relative,trend-breadth-signal-agent,False,True,sector_rel_mom,top_quintile,,full,REJECTED,0.66235,0.769587,0.613205,-0.107237,-0.554533,0.2835,572.88,0.384615,net_sharpe@25=0.66235 vs SPY 0.769587 (+-0.107237); recent_beats_spy=False; rolling_beat=0.384615,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F15,1,NON_MOMENTUM,market_relative,trend-breadth-signal-agent,False,True,rel_strength,top_quintile,,full,REJECTED,0.604645,0.758914,0.549534,-0.154269,-0.572125,0.2467,572.15,0.391304,net_sharpe@25=0.604645 vs SPY 0.758914 (+-0.154269); recent_beats_spy=False; rolling_beat=0.391304,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1X_downside_vol.H1990,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,downside_vol,top_quintile,,holdout:1990-2004,DIAGNOSTIC_ONLY,0.942275,0.769587,0.587657,0.172688,-0.432124,0.1341,583.57,0.730769,1990-2004: net_sharpe=1.411073 vs SPY 0.760375 -> beats_spy=True,lead survives this holdout,C1X_downside_vol
C1X_downside_vol.H2005,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,downside_vol,top_quintile,,holdout:2005-2014,DIAGNOSTIC_ONLY,0.942275,0.769587,0.587657,0.172688,-0.432124,0.1341,583.57,0.730769,2005-2014: net_sharpe=0.667495 vs SPY 0.570131 -> beats_spy=True,lead survives this holdout,C1X_downside_vol
C1X_downside_vol.H2015,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,downside_vol,top_quintile,,holdout:2015-2026,DIAGNOSTIC_ONLY,0.942275,0.769587,0.587657,0.172688,-0.432124,0.1341,583.57,0.730769,2015-2026: net_sharpe=0.733569 vs SPY 0.945875 -> beats_spy=False,lead FAILS to beat SPY in this holdout,C1X_downside_vol
C1X_downside_vol.C50,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,downside_vol,top_quintile,,cost@50bps,DIAGNOSTIC_ONLY,0.942275,0.769587,0.587657,0.172688,-0.432124,0.1341,583.57,0.730769,net_sharpe@50bps=0.877578 -> net_positive=True,lead survives this cost level,C1X_downside_vol
C1X_downside_vol.C100,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,downside_vol,top_quintile,,cost@100bps,DIAGNOSTIC_ONLY,0.942275,0.769587,0.587657,0.172688,-0.432124,0.1341,583.57,0.730769,net_sharpe@100bps=0.748093 -> net_positive=True,lead survives this cost level,C1X_downside_vol
C1X_low_vol.H1990,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,low_vol,top_quintile,,holdout:1990-2004,DIAGNOSTIC_ONLY,0.904664,0.769587,0.587657,0.135077,-0.449858,0.1147,583.57,0.730769,1990-2004: net_sharpe=1.409989 vs SPY 0.760375 -> beats_spy=True,lead survives this holdout,C1X_low_vol
C1X_low_vol.H2005,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,low_vol,top_quintile,,holdout:2005-2014,DIAGNOSTIC_ONLY,0.904664,0.769587,0.587657,0.135077,-0.449858,0.1147,583.57,0.730769,2005-2014: net_sharpe=0.644303 vs SPY 0.570131 -> beats_spy=True,lead survives this holdout,C1X_low_vol
C1X_low_vol.H2015,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,low_vol,top_quintile,,holdout:2015-2026,DIAGNOSTIC_ONLY,0.904664,0.769587,0.587657,0.135077,-0.449858,0.1147,583.57,0.730769,2015-2026: net_sharpe=0.666787 vs SPY 0.945875 -> beats_spy=False,lead FAILS to beat SPY in this holdout,C1X_low_vol
C1X_low_vol.C50,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,low_vol,top_quintile,,cost@50bps,DIAGNOSTIC_ONLY,0.904664,0.769587,0.587657,0.135077,-0.449858,0.1147,583.57,0.730769,net_sharpe@50bps=0.849217 -> net_positive=True,lead survives this cost level,C1X_low_vol
C1X_low_vol.C100,1,CHALLENGE,low_volatility,validation-skeptic-agent,True,True,low_vol,top_quintile,,cost@100bps,DIAGNOSTIC_ONLY,0.904664,0.769587,0.587657,0.135077,-0.449858,0.1147,583.57,0.730769,net_sharpe@100bps=0.738333 -> net_positive=True,lead survives this cost level,C1X_low_vol
C1X_vol_adj_mom.H1990,1,CHALLENGE,volatility_adjusted_momentum,validation-skeptic-agent,True,False,vol_adj_mom,top_quintile,,holdout:1990-2004,DIAGNOSTIC_ONLY,0.829921,0.769587,0.613205,0.060334,-0.553149,0.2486,572.88,0.461538,1990-2004: net_sharpe=1.243241 vs SPY 0.760375 -> beats_spy=True,lead survives this holdout,C1X_vol_adj_mom
C1X_vol_adj_mom.H2005,1,CHALLENGE,volatility_adjusted_momentum,validation-skeptic-agent,True,False,vol_adj_mom,top_quintile,,holdout:2005-2014,DIAGNOSTIC_ONLY,0.829921,0.769587,0.613205,0.060334,-0.553149,0.2486,572.88,0.461538,2005-2014: net_sharpe=0.413888 vs SPY 0.570131 -> beats_spy=False,lead FAILS to beat SPY in this holdout,C1X_vol_adj_mom
C1X_vol_adj_mom.H2015,1,CHALLENGE,volatility_adjusted_momentum,validation-skeptic-agent,True,False,vol_adj_mom,top_quintile,,holdout:2015-2026,DIAGNOSTIC_ONLY,0.829921,0.769587,0.613205,0.060334,-0.553149,0.2486,572.88,0.461538,2015-2026: net_sharpe=0.714623 vs SPY 0.945875 -> beats_spy=False,lead FAILS to beat SPY in this holdout,C1X_vol_adj_mom
C1X_vol_adj_mom.C50,1,CHALLENGE,volatility_adjusted_momentum,validation-skeptic-agent,True,False,vol_adj_mom,top_quintile,,cost@50bps,DIAGNOSTIC_ONLY,0.829921,0.769587,0.613205,0.060334,-0.553149,0.2486,572.88,0.461538,net_sharpe@50bps=0.746032 -> net_positive=True,lead survives this cost level,C1X_vol_adj_mom
C1X_vol_adj_mom.C100,1,CHALLENGE,volatility_adjusted_momentum,validation-skeptic-agent,True,False,vol_adj_mom,top_quintile,,cost@100bps,DIAGNOSTIC_ONLY,0.829921,0.769587,0.613205,0.060334,-0.553149,0.2486,572.88,0.461538,net_sharpe@100bps=0.578209 -> net_positive=True,lead survives this cost level,C1X_vol_adj_mom
