rank,ticker,repaired_sector,sector_confidence,composite_sn_repaired,fcf_leg_z,accruals_leg_z,liquidity_proxy,has_local_price,order_action
211,RL,Consumer Discretionary,HIGH,-1.845329,-0.760878,-1.084451,133717185.83,True,NO_ORDER
212,OXY,Energy,HIGH,-1.93028,-0.456027,-1.474253,571947748.83,True,NO_ORDER
213,NU,Financials,HIGH,-1.934734,-0.901923,-1.032811,389687222.54,False,NO_ORDER
214,NVO,Health Care,HIGH,-1.990622,0.059984,-2.050605,255099912.31,False,NO_ORDER
215,NWS,Communication Services,HIGH,-2.027496,-0.861853,-1.165643,15875190.15,True,NO_ORDER
216,NWSA,Communication Services,HIGH,-2.027496,-0.861853,-1.165643,55493461.21,True,NO_ORDER
217,AXON,Industrials,HIGH,-2.063081,-0.872143,-1.190939,138263360.85,True,NO_ORDER
218,NCLH,Consumer Discretionary,HIGH,-2.085569,-2.235534,0.149965,267531558.06,True,NO_ORDER
219,HSIC,Health Care,HIGH,-2.167642,-1.151692,-1.01595,106370167.48,True,NO_ORDER
220,MLM,Materials,HIGH,-2.16781,0.089838,-2.257648,172371925.44,True,NO_ORDER
221,DIS,Communication Services,HIGH,-2.234759,-0.920975,-1.313785,1194384428.11,False,NO_ORDER
222,SOLV,Health Care,HIGH,-2.282802,-1.416441,-0.866361,92560308.86,True,NO_ORDER
223,TM,Consumer Discretionary,HIGH,-2.667735,-1.442224,-1.225511,38922415.22,False,NO_ORDER
224,COHR,Information Technology,HIGH,-2.88072,-2.033403,-0.847317,193111788.66,False,NO_ORDER
225,WBD,Communication Services,HIGH,-3.080757,-1.965607,-1.11515,274235628.14,False,NO_ORDER
226,APTV,Consumer Discretionary,HIGH,-3.380686,-1.805582,-1.575104,183699022.03,True,NO_ORDER
227,BALL,Materials,HIGH,-3.426656,-1.694866,-1.73179,146405764.61,True,NO_ORDER
228,CLX,Consumer Staples,HIGH,-3.639068,-1.656757,-1.982311,198104099.87,True,NO_ORDER
229,J,Industrials,HIGH,-3.643194,-2.119118,-1.524076,82196842.05,True,NO_ORDER
230,HII,Industrials,HIGH,-3.707207,-1.929336,-1.777871,86383841.47,True,NO_ORDER
231,PSKY,Communication Services,HIGH,-3.925534,-1.712119,-2.213415,289214360.66,True,NO_ORDER
232,FSLR,Information Technology,HIGH,-4.009813,-2.133997,-1.875817,265853418.93,True,NO_ORDER
233,WDC,Information Technology,HIGH,-4.637952,1.113597,-5.751549,448572374.98,False,NO_ORDER
234,CTVA,Materials,HIGH,-5.627979,-2.493554,-3.134425,193732931.55,True,NO_ORDER
