ticker,raw_path,bytes,gitignored
CINF,research/data/eodhd/raw/eod_prices/CINF.json,458362,True
CLX,research/data/eodhd/raw/eod_prices/CLX.json,464821,True
CMG,research/data/eodhd/raw/eod_prices/CMG.json,464152,True
CMS,research/data/eodhd/raw/eod_prices/CMS.json,454019,True
CNC,research/data/eodhd/raw/eod_prices/CNC.json,450169,True
CNP,research/data/eodhd/raw/eod_prices/CNP.json,454187,True
COIN,research/data/eodhd/raw/eod_prices/COIN.json,227874,True
COO,research/data/eodhd/raw/eod_prices/COO.json,460423,True
COR,research/data/eodhd/raw/eod_prices/COR.json,461001,True
CPAY,research/data/eodhd/raw/eod_prices/CPAY.json,459042,True
CPRT,research/data/eodhd/raw/eod_prices/CPRT.json,449532,True
CPT,research/data/eodhd/raw/eod_prices/CPT.json,458432,True
CRL,research/data/eodhd/raw/eod_prices/CRL.json,457960,True
CSGP,research/data/eodhd/raw/eod_prices/CSGP.json,456976,True
CTSH,research/data/eodhd/raw/eod_prices/CTSH.json,453810,True
CTVA,research/data/eodhd/raw/eod_prices/CTVA.json,307493,True
DAL,research/data/eodhd/raw/eod_prices/DAL.json,454644,True
DD,research/data/eodhd/raw/eod_prices/DD.json,473412,True
DECK,research/data/eodhd/raw/eod_prices/DECK.json,472763,True
DG,research/data/eodhd/raw/eod_prices/DG.json,463451,True
DGX,research/data/eodhd/raw/eod_prices/DGX.json,462815,True
DHI,research/data/eodhd/raw/eod_prices/DHI.json,457830,True
DLTR,research/data/eodhd/raw/eod_prices/DLTR.json,455870,True
DOC,research/data/eodhd/raw/eod_prices/DOC.json,454302,True
DOV,research/data/eodhd/raw/eod_prices/DOV.json,461512,True
DOW,research/data/eodhd/raw/eod_prices/DOW.json,315662,True
DPZ,research/data/eodhd/raw/eod_prices/DPZ.json,463696,True
DRI,research/data/eodhd/raw/eod_prices/DRI.json,461754,True
DTE,research/data/eodhd/raw/eod_prices/DTE.json,464590,True
DVA,research/data/eodhd/raw/eod_prices/DVA.json,452907,True
DVN,research/data/eodhd/raw/eod_prices/DVN.json,454241,True
DXCM,research/data/eodhd/raw/eod_prices/DXCM.json,456186,True
EA,research/data/eodhd/raw/eod_prices/EA.json,463623,True
EBAY,research/data/eodhd/raw/eod_prices/EBAY.json,454818,True
ED,research/data/eodhd/raw/eod_prices/ED.json,455335,True
EFX,research/data/eodhd/raw/eod_prices/EFX.json,464778,True
EG,research/data/eodhd/raw/eod_prices/EG.json,465362,True
EIX,research/data/eodhd/raw/eod_prices/EIX.json,453699,True
EL,research/data/eodhd/raw/eod_prices/EL.json,462042,True
EME,research/data/eodhd/raw/eod_prices/EME.json,457594,True
EQR,research/data/eodhd/raw/eod_prices/EQR.json,453761,True
EQT,research/data/eodhd/raw/eod_prices/EQT.json,456462,True
ERIE,research/data/eodhd/raw/eod_prices/ERIE.json,460997,True
ES,research/data/eodhd/raw/eod_prices/ES.json,453848,True
ESS,research/data/eodhd/raw/eod_prices/ESS.json,464154,True
ETR,research/data/eodhd/raw/eod_prices/ETR.json,459446,True
EVRG,research/data/eodhd/raw/eod_prices/EVRG.json,453194,True
EW,research/data/eodhd/raw/eod_prices/EW.json,461073,True
EXC,research/data/eodhd/raw/eod_prices/EXC.json,458216,True
EXE,research/data/eodhd/raw/eod_prices/EXE.json,234014,True
EXPD,research/data/eodhd/raw/eod_prices/EXPD.json,458906,True
EXPE,research/data/eodhd/raw/eod_prices/EXPE.json,464536,True
EXR,research/data/eodhd/raw/eod_prices/EXR.json,461445,True
FANG,research/data/eodhd/raw/eod_prices/FANG.json,461236,True
FAST,research/data/eodhd/raw/eod_prices/FAST.json,454100,True
FDS,research/data/eodhd/raw/eod_prices/FDS.json,465125,True
FDXF,research/data/eodhd/raw/eod_prices/FDXF.json,3945,True
FE,research/data/eodhd/raw/eod_prices/FE.json,454089,True
FFIV,research/data/eodhd/raw/eod_prices/FFIV.json,459867,True
FICO,research/data/eodhd/raw/eod_prices/FICO.json,462621,True
FIS,research/data/eodhd/raw/eod_prices/FIS.json,458271,True
FISV,research/data/eodhd/raw/eod_prices/FISV.json,457944,True
FITB,research/data/eodhd/raw/eod_prices/FITB.json,454210,True
FLEX,research/data/eodhd/raw/eod_prices/FLEX.json,455964,True
FOX,research/data/eodhd/raw/eod_prices/FOX.json,315613,True
FOXA,research/data/eodhd/raw/eod_prices/FOXA.json,316672,True
FRT,research/data/eodhd/raw/eod_prices/FRT.json,459788,True
FSLR,research/data/eodhd/raw/eod_prices/FSLR.json,454298,True
FTV,research/data/eodhd/raw/eod_prices/FTV.json,452700,True
GDDY,research/data/eodhd/raw/eod_prices/GDDY.json,450752,True
GEHC,research/data/eodhd/raw/eod_prices/GEHC.json,152193,True
GEN,research/data/eodhd/raw/eod_prices/GEN.json,454042,True
GIS,research/data/eodhd/raw/eod_prices/GIS.json,453947,True
GL,research/data/eodhd/raw/eod_prices/GL.json,456664,True
GNRC,research/data/eodhd/raw/eod_prices/GNRC.json,455084,True
GOOG,research/data/eodhd/raw/eod_prices/GOOG.json,472190,True
GPC,research/data/eodhd/raw/eod_prices/GPC.json,459825,True
GPN,research/data/eodhd/raw/eod_prices/GPN.json,462728,True
GRMN,research/data/eodhd/raw/eod_prices/GRMN.json,457990,True
HAL,research/data/eodhd/raw/eod_prices/HAL.json,454918,True
HAS,research/data/eodhd/raw/eod_prices/HAS.json,453966,True
HBAN,research/data/eodhd/raw/eod_prices/HBAN.json,453471,True
HIG,research/data/eodhd/raw/eod_prices/HIG.json,456538,True
HII,research/data/eodhd/raw/eod_prices/HII.json,464059,True
HPQ,research/data/eodhd/raw/eod_prices/HPQ.json,454783,True
HRL,research/data/eodhd/raw/eod_prices/HRL.json,453878,True
HSIC,research/data/eodhd/raw/eod_prices/HSIC.json,457630,True
HST,research/data/eodhd/raw/eod_prices/HST.json,454401,True
HSY,research/data/eodhd/raw/eod_prices/HSY.json,463382,True
HUBB,research/data/eodhd/raw/eod_prices/HUBB.json,464753,True
HUM,research/data/eodhd/raw/eod_prices/HUM.json,465822,True
IDXX,research/data/eodhd/raw/eod_prices/IDXX.json,459185,True
IEX,research/data/eodhd/raw/eod_prices/IEX.json,462857,True
IFF,research/data/eodhd/raw/eod_prices/IFF.json,461116,True
INCY,research/data/eodhd/raw/eod_prices/INCY.json,450947,True
INVH,research/data/eodhd/raw/eod_prices/INVH.json,408253,True
IP,research/data/eodhd/raw/eod_prices/IP.json,454578,True
IQV,research/data/eodhd/raw/eod_prices/IQV.json,458388,True
IR,research/data/eodhd/raw/eod_prices/IR.json,395361,True
IRM,research/data/eodhd/raw/eod_prices/IRM.json,454679,True
IT,research/data/eodhd/raw/eod_prices/IT.json,458036,True
IVZ,research/data/eodhd/raw/eod_prices/IVZ.json,453660,True
J,research/data/eodhd/raw/eod_prices/J.json,478072,True
JBHT,research/data/eodhd/raw/eod_prices/JBHT.json,462173,True
JBL,research/data/eodhd/raw/eod_prices/JBL.json,456464,True
JKHY,research/data/eodhd/raw/eod_prices/JKHY.json,462782,True
KDP,research/data/eodhd/raw/eod_prices/KDP.json,454608,True
KEY,research/data/eodhd/raw/eod_prices/KEY.json,454987,True
KHC,research/data/eodhd/raw/eod_prices/KHC.json,455909,True
KIM,research/data/eodhd/raw/eod_prices/KIM.json,453886,True
KMB,research/data/eodhd/raw/eod_prices/KMB.json,465517,True
KR,research/data/eodhd/raw/eod_prices/KR.json,454423,True
KVUE,research/data/eodhd/raw/eod_prices/KVUE.json,136956,True
L,research/data/eodhd/raw/eod_prices/L.json,453198,True
LDOS,research/data/eodhd/raw/eod_prices/LDOS.json,457894,True
LEN,research/data/eodhd/raw/eod_prices/LEN.json,476705,True
LH,research/data/eodhd/raw/eod_prices/LH.json,479938,True
LHX,research/data/eodhd/raw/eod_prices/LHX.json,463921,True
LII,research/data/eodhd/raw/eod_prices/LII.json,464254,True
LNT,research/data/eodhd/raw/eod_prices/LNT.json,453597,True
LULU,research/data/eodhd/raw/eod_prices/LULU.json,458583,True
LUV,research/data/eodhd/raw/eod_prices/LUV.json,454316,True
LVS,research/data/eodhd/raw/eod_prices/LVS.json,453701,True
LYB,research/data/eodhd/raw/eod_prices/LYB.json,455556,True
LYV,research/data/eodhd/raw/eod_prices/LYV.json,451811,True
MAA,research/data/eodhd/raw/eod_prices/MAA.json,461757,True
MAS,research/data/eodhd/raw/eod_prices/MAS.json,453926,True
MCHP,research/data/eodhd/raw/eod_prices/MCHP.json,455617,True
MET,research/data/eodhd/raw/eod_prices/MET.json,454544,True
MGM,research/data/eodhd/raw/eod_prices/MGM.json,453682,True
MKC,research/data/eodhd/raw/eod_prices/MKC.json,456886,True
MLM,research/data/eodhd/raw/eod_prices/MLM.json,464132,True
MOS,research/data/eodhd/raw/eod_prices/MOS.json,453910,True
MRNA,research/data/eodhd/raw/eod_prices/MRNA.json,326942,True
MSCI,research/data/eodhd/raw/eod_prices/MSCI.json,462279,True
MTB,research/data/eodhd/raw/eod_prices/MTB.json,465802,True
MTD,research/data/eodhd/raw/eod_prices/MTD.json,465946,True
NCLH,research/data/eodhd/raw/eod_prices/NCLH.json,450788,True
NDAQ,research/data/eodhd/raw/eod_prices/NDAQ.json,466377,True
NDSN,research/data/eodhd/raw/eod_prices/NDSN.json,463187,True
NI,research/data/eodhd/raw/eod_prices/NI.json,454162,True
NRG,research/data/eodhd/raw/eod_prices/NRG.json,455299,True
NTAP,research/data/eodhd/raw/eod_prices/NTAP.json,456126,True
NTRS,research/data/eodhd/raw/eod_prices/NTRS.json,457038,True
NVR,research/data/eodhd/raw/eod_prices/NVR.json,466606,True
NWS,research/data/eodhd/raw/eod_prices/NWS.json,451856,True
NWSA,research/data/eodhd/raw/eod_prices/NWSA.json,453851,True
ODFL,research/data/eodhd/raw/eod_prices/ODFL.json,466624,True
OKE,research/data/eodhd/raw/eod_prices/OKE.json,453921,True
OMC,research/data/eodhd/raw/eod_prices/OMC.json,453997,True
ON,research/data/eodhd/raw/eod_prices/ON.json,449743,True
OTIS,research/data/eodhd/raw/eod_prices/OTIS.json,272053,True
OXY,research/data/eodhd/raw/eod_prices/OXY.json,455193,True
PAYX,research/data/eodhd/raw/eod_prices/PAYX.json,459643,True
PCG,research/data/eodhd/raw/eod_prices/PCG.json,454127,True
PEG,research/data/eodhd/raw/eod_prices/PEG.json,454024,True
PFG,research/data/eodhd/raw/eod_prices/PFG.json,453367,True
PHM,research/data/eodhd/raw/eod_prices/PHM.json,456945,True
PKG,research/data/eodhd/raw/eod_prices/PKG.json,461233,True
PNR,research/data/eodhd/raw/eod_prices/PNR.json,456142,True
PNW,research/data/eodhd/raw/eod_prices/PNW.json,452474,True
PODD,research/data/eodhd/raw/eod_prices/PODD.json,455823,True
PPG,research/data/eodhd/raw/eod_prices/PPG.json,464453,True
PPL,research/data/eodhd/raw/eod_prices/PPL.json,454092,True
PRU,research/data/eodhd/raw/eod_prices/PRU.json,459395,True
PSA,research/data/eodhd/raw/eod_prices/PSA.json,464726,True
PSKY,research/data/eodhd/raw/eod_prices/PSKY.json,455875,True
PTC,research/data/eodhd/raw/eod_prices/PTC.json,454534,True
PYPL,research/data/eodhd/raw/eod_prices/PYPL.json,459780,True
Q,research/data/eodhd/raw/eod_prices/Q.json,29319,True
REG,research/data/eodhd/raw/eod_prices/REG.json,452606,True
RF,research/data/eodhd/raw/eod_prices/RF.json,453940,True
RJF,research/data/eodhd/raw/eod_prices/RJF.json,462161,True
RL,research/data/eodhd/raw/eod_prices/RL.json,460792,True
RMD,research/data/eodhd/raw/eod_prices/RMD.json,461303,True
ROK,research/data/eodhd/raw/eod_prices/ROK.json,465570,True
ROL,research/data/eodhd/raw/eod_prices/ROL.json,459111,True
ROP,research/data/eodhd/raw/eod_prices/ROP.json,464171,True
RVTY,research/data/eodhd/raw/eod_prices/RVTY.json,457816,True
SATS,research/data/eodhd/raw/eod_prices/SATS.json,456957,True
SBAC,research/data/eodhd/raw/eod_prices/SBAC.json,464472,True
SJM,research/data/eodhd/raw/eod_prices/SJM.json,463761,True
SNA,research/data/eodhd/raw/eod_prices/SNA.json,464147,True
SOLV,research/data/eodhd/raw/eod_prices/SOLV.json,96055,True
STE,research/data/eodhd/raw/eod_prices/STE.json,461383,True
STLD,research/data/eodhd/raw/eod_prices/STLD.json,457829,True
STT,research/data/eodhd/raw/eod_prices/STT.json,455359,True
STZ,research/data/eodhd/raw/eod_prices/STZ.json,465312,True
SW,research/data/eodhd/raw/eod_prices/SW.json,442876,True
SWK,research/data/eodhd/raw/eod_prices/SWK.json,460685,True
SWKS,research/data/eodhd/raw/eod_prices/SWKS.json,458712,True
TAP,research/data/eodhd/raw/eod_prices/TAP.json,453925,True
TECH,research/data/eodhd/raw/eod_prices/TECH.json,458833,True
XYZ,research/data/eodhd/raw/eod_prices/XYZ.json,452055,True
