scenario,ic_before,ic_after,ic_delta,t_before,t_after,t_delta,net25_before,net25_after,net50_before,net50_after,subperiod_stable_before,subperiod_stable_after,promotion_status
sue_easy_curve,0.0219,0.025,0.0031,1.06,1.5,0.44,-0.0035,-0.0044,-0.0085,-0.0094,False,True,unchanged
sue_sector_neutral,0.0422,0.0249,-0.0173,2.65,1.84,-0.81,-0.0014,-0.0044,-0.0063,-0.0094,True,True,unchanged
sue_standardized,0.0366,0.0242,-0.0124,2.19,1.73,-0.46,-0.0023,-0.0031,-0.0073,-0.008,True,True,unchanged
sue_x_momentum,0.0179,0.006,-0.0119,1.02,0.39,-0.63,0.002,0.0009,-0.0029,-0.0041,True,True,unchanged
sue_x_quality,-0.0003,-0.0016,-0.0013,-0.01,-0.1,-0.09,-0.0127,-0.0111,-0.0176,-0.0161,False,False,unchanged
surprise_drawdown,0.0623,0.0255,-0.0368,1.86,0.85,-1.01,0.0104,0.0016,0.0054,-0.0034,True,False,unchanged
surprise_easy_curve,0.0327,0.0259,-0.0068,1.76,1.58,-0.18,0.0026,-0.0023,-0.0023,-0.0073,True,True,unchanged
surprise_fade,-0.0442,-0.0234,0.0208,-2.85,-1.68,1.17,-0.0139,-0.0079,-0.0189,-0.0129,False,False,unchanged
surprise_high_oil,0.0516,0.0232,-0.0284,2.97,1.29,-1.68,0.0078,-0.0011,0.0029,-0.006,True,True,unchanged
surprise_high_rates,0.0381,0.0079,-0.0302,1.46,0.42,-1.04,0.0017,-0.0085,-0.0033,-0.0135,False,True,unchanged
surprise_magnitude,0.0411,0.0181,-0.023,2.68,1.34,-1.34,0.0016,-0.0018,-0.0033,-0.0068,True,True,dropped
surprise_sector_neutral,0.0514,0.0202,-0.0312,2.96,1.43,-1.53,0.0058,-0.0025,0.0009,-0.0075,True,False,dropped
surprise_x_lowvol,-0.0238,-0.0137,0.0101,-1.01,-0.65,0.36,-0.0211,-0.0167,-0.0261,-0.0217,False,False,unchanged
surprise_x_margin_exp,0.0178,0.0105,-0.0073,0.94,0.72,-0.22,-0.0005,-0.0024,-0.0055,-0.0074,True,False,unchanged
surprise_x_momentum,0.0235,0.0126,-0.0109,1.27,0.86,-0.41,0.0045,0.0026,-0.0005,-0.0024,True,True,unchanged
surprise_x_qualimp,0.0426,0.0233,-0.0193,2.75,1.67,-1.08,0.005,-0.0021,0.0,-0.007,True,True,unchanged
surprise_x_quality,0.047,0.0249,-0.0221,2.97,1.78,-1.19,0.0054,-0.002,0.0004,-0.007,True,True,dropped
surprise_x_valuation,0.0177,0.0092,-0.0085,1.06,0.66,-0.4,-0.0019,-0.0026,-0.0069,-0.0076,True,True,unchanged
