rank,ticker,in_price_cache,has_earnings_cache,has_fundamentals_cache
423,STT,False,False,False
424,STLD,False,False,False
425,STE,False,False,False
426,SYK,True,True,True
427,SMCI,False,False,False
428,SYF,False,False,False
429,SNPS,True,True,True
430,SYY,False,False,False
431,TMUS,True,True,True
432,TROW,False,False,False
433,TTWO,False,False,False
434,TPR,False,False,False
435,TRGP,True,True,True
436,TGT,True,True,True
437,TEL,True,True,True
438,TDY,False,False,False
439,TER,True,True,True
440,TSLA,True,True,True
441,TXN,True,True,True
442,TPL,False,False,False
443,TXT,False,False,False
444,TMO,True,True,True
445,TJX,True,True,True
446,TKO,False,False,False
447,TTD,False,False,False
448,TSCO,False,False,False
449,TT,True,True,True
450,TDG,True,True,True
451,TRV,True,True,True
452,TRMB,False,False,False
453,TFC,True,True,True
454,TYL,False,False,False
455,TSN,False,False,False
456,USB,True,True,True
457,UBER,True,True,True
458,UDR,False,False,False
459,ULTA,False,False,False
460,UNP,True,True,True
461,UAL,False,False,False
462,UPS,True,True,True
463,URI,True,True,True
464,UNH,True,True,True
465,UHS,False,False,False
466,VLO,True,True,True
467,VEEV,False,False,False
468,VTR,False,False,False
469,VLTO,False,False,False
470,VRSN,False,False,False
471,VRSK,False,False,False
472,VZ,True,True,True
473,VRTX,True,True,True
474,VRT,True,True,True
475,VTRS,False,False,False
476,VICI,False,False,False
477,V,True,True,True
478,VST,False,False,False
479,VMC,False,False,False
480,WRB,False,False,False
481,GWW,True,True,True
482,WAB,False,False,False
483,WMT,True,True,True
484,DIS,True,True,True
485,WBD,True,True,True
486,WM,True,True,True
487,WAT,False,False,False
488,WEC,False,False,False
489,WFC,True,True,True
490,WELL,True,True,True
491,WST,False,False,False
492,WDC,True,True,True
493,WY,False,False,False
494,WSM,False,False,False
495,WMB,True,True,True
496,WTW,False,False,False
497,WDAY,False,False,False
498,WYNN,False,False,False
499,XEL,False,False,False
500,XYL,False,False,False
501,YUM,False,False,False
502,ZBRA,False,False,False
503,ZBH,False,False,False
504,ZTS,False,False,False
