ticker,normalized_path,price_rows,gitignored
FDS,research/data/eodhd/normalized/eod_prices/FDS.csv,2635,True
FDXF,research/data/eodhd/normalized/eod_prices/FDXF.csv,23,True
FE,research/data/eodhd/normalized/eod_prices/FE.csv,2635,True
FFIV,research/data/eodhd/normalized/eod_prices/FFIV.csv,2635,True
FICO,research/data/eodhd/normalized/eod_prices/FICO.csv,2635,True
FIS,research/data/eodhd/normalized/eod_prices/FIS.csv,2635,True
FISV,research/data/eodhd/normalized/eod_prices/FISV.csv,2635,True
FITB,research/data/eodhd/normalized/eod_prices/FITB.csv,2635,True
FLEX,research/data/eodhd/normalized/eod_prices/FLEX.csv,2635,True
FOX,research/data/eodhd/normalized/eod_prices/FOX.csv,1833,True
FOXA,research/data/eodhd/normalized/eod_prices/FOXA.csv,1834,True
FRT,research/data/eodhd/normalized/eod_prices/FRT.csv,2635,True
FSLR,research/data/eodhd/normalized/eod_prices/FSLR.csv,2635,True
FTV,research/data/eodhd/normalized/eod_prices/FTV.csv,2521,True
GDDY,research/data/eodhd/normalized/eod_prices/GDDY.csv,2635,True
GEHC,research/data/eodhd/normalized/eod_prices/GEHC.csv,884,True
GEN,research/data/eodhd/normalized/eod_prices/GEN.csv,2635,True
GIS,research/data/eodhd/normalized/eod_prices/GIS.csv,2635,True
GL,research/data/eodhd/normalized/eod_prices/GL.csv,2635,True
GNRC,research/data/eodhd/normalized/eod_prices/GNRC.csv,2635,True
GOOG,research/data/eodhd/normalized/eod_prices/GOOG.csv,2635,True
GPC,research/data/eodhd/normalized/eod_prices/GPC.csv,2635,True
GPN,research/data/eodhd/normalized/eod_prices/GPN.csv,2635,True
GRMN,research/data/eodhd/normalized/eod_prices/GRMN.csv,2635,True
HAL,research/data/eodhd/normalized/eod_prices/HAL.csv,2635,True
HAS,research/data/eodhd/normalized/eod_prices/HAS.csv,2635,True
HBAN,research/data/eodhd/normalized/eod_prices/HBAN.csv,2635,True
HIG,research/data/eodhd/normalized/eod_prices/HIG.csv,2635,True
HII,research/data/eodhd/normalized/eod_prices/HII.csv,2635,True
HPQ,research/data/eodhd/normalized/eod_prices/HPQ.csv,2635,True
HRL,research/data/eodhd/normalized/eod_prices/HRL.csv,2635,True
HSIC,research/data/eodhd/normalized/eod_prices/HSIC.csv,2635,True
HST,research/data/eodhd/normalized/eod_prices/HST.csv,2635,True
HSY,research/data/eodhd/normalized/eod_prices/HSY.csv,2635,True
HUBB,research/data/eodhd/normalized/eod_prices/HUBB.csv,2635,True
HUM,research/data/eodhd/normalized/eod_prices/HUM.csv,2635,True
IDXX,research/data/eodhd/normalized/eod_prices/IDXX.csv,2635,True
IEX,research/data/eodhd/normalized/eod_prices/IEX.csv,2635,True
IFF,research/data/eodhd/normalized/eod_prices/IFF.csv,2635,True
INCY,research/data/eodhd/normalized/eod_prices/INCY.csv,2635,True
INVH,research/data/eodhd/normalized/eod_prices/INVH.csv,2363,True
IP,research/data/eodhd/normalized/eod_prices/IP.csv,2635,True
IQV,research/data/eodhd/normalized/eod_prices/IQV.csv,2635,True
IR,research/data/eodhd/normalized/eod_prices/IR.csv,2293,True
IRM,research/data/eodhd/normalized/eod_prices/IRM.csv,2635,True
IT,research/data/eodhd/normalized/eod_prices/IT.csv,2635,True
IVZ,research/data/eodhd/normalized/eod_prices/IVZ.csv,2635,True
J,research/data/eodhd/normalized/eod_prices/J.csv,2635,True
JBHT,research/data/eodhd/normalized/eod_prices/JBHT.csv,2635,True
JBL,research/data/eodhd/normalized/eod_prices/JBL.csv,2635,True
JKHY,research/data/eodhd/normalized/eod_prices/JKHY.csv,2635,True
KDP,research/data/eodhd/normalized/eod_prices/KDP.csv,2635,True
KEY,research/data/eodhd/normalized/eod_prices/KEY.csv,2635,True
KHC,research/data/eodhd/normalized/eod_prices/KHC.csv,2635,True
KIM,research/data/eodhd/normalized/eod_prices/KIM.csv,2635,True
KMB,research/data/eodhd/normalized/eod_prices/KMB.csv,2635,True
KR,research/data/eodhd/normalized/eod_prices/KR.csv,2635,True
KVUE,research/data/eodhd/normalized/eod_prices/KVUE.csv,789,True
L,research/data/eodhd/normalized/eod_prices/L.csv,2635,True
LDOS,research/data/eodhd/normalized/eod_prices/LDOS.csv,2635,True
LEN,research/data/eodhd/normalized/eod_prices/LEN.csv,2635,True
LH,research/data/eodhd/normalized/eod_prices/LH.csv,2635,True
LHX,research/data/eodhd/normalized/eod_prices/LHX.csv,2635,True
LII,research/data/eodhd/normalized/eod_prices/LII.csv,2635,True
