date,ticker,regime,price_plus_event_score,y_excess_20d,excess_5d,excess_10d,raw_return_20d
2017-02-28,BKNG,risk_on,-0.253006,0.03784,0.00491,0.024206,0.037306
2017-02-28,BLK,risk_on,-0.544273,-0.010881,-0.001397,-0.006324,-0.011415
2017-02-28,BMY,risk_on,-0.790165,-0.008459,-0.008942,-0.002171,-0.008993
2017-02-28,BSX,risk_on,0.430911,0.006644,-0.005093,-0.006706,0.00611
2017-02-28,C,risk_on,0.525005,-0.005987,0.009295,0.025434,-0.006521
2017-02-28,CAT,risk_on,0.519372,-0.037848,-0.009794,-0.051477,-0.038382
2017-02-28,CB,risk_on,-0.5191,-0.000696,-0.007742,-0.007898,-0.00123
2017-02-28,CDNS,risk_on,0.810601,0.016068,0.008762,0.020835,0.015534
2017-02-28,CI,risk_on,0.248327,-0.003233,0.017503,0.029615,-0.003767
2017-02-28,CL,risk_on,-1.408159,0.011359,0.007898,0.007362,0.010825
2017-02-28,CME,risk_on,-0.026762,-0.015948,0.015048,0.028301,-0.016482
2017-02-28,CMG,risk_on,-0.314245,0.018421,-0.035293,-0.039168,0.017887
2017-02-28,COP,risk_on,1.756188,-0.045503,0.000912,-0.057105,-0.046037
2017-02-28,COST,risk_on,-1.053303,-0.05822,-0.059697,-0.069207,-0.058754
2017-02-28,CRM,risk_on,0.180221,0.010245,0.017673,0.024733,0.009711
2017-02-28,CSCO,risk_on,-0.576015,-0.004147,-0.001656,-0.003574,-0.004681
2017-02-28,CVS,risk_on,-0.540724,-0.023914,0.000613,-0.010381,-0.024448
2017-02-28,CVX,risk_on,-1.759949,-0.046844,-0.008375,-0.047507,-0.047378
2017-02-28,DE,risk_on,0.684688,-0.010061,0.004608,-0.004376,-0.010595
2017-02-28,DIS,risk_on,-0.327968,0.027421,0.004753,0.018347,0.026887
2017-02-28,DUK,risk_on,-1.288237,0.005137,-0.01266,-0.02217,0.004603
2017-02-28,ELV,risk_on,0.0678,0.003125,0.004979,0.004305,0.002591
2017-02-28,EMR,risk_on,0.941866,-0.010448,-0.000245,-0.02062,-0.010982
2017-02-28,EOG,risk_on,2.250332,-0.016994,0.023947,-0.026563,-0.017528
2017-02-28,EQIX,risk_on,-0.992497,0.023907,-0.004449,0.012301,0.023373
2017-02-28,ETN,risk_on,-0.341889,0.027144,-0.000145,0.0042,0.02661
2017-02-28,FDX,risk_on,-0.499939,-0.013434,-0.002604,-0.008049,-0.013968
2017-02-28,GD,risk_on,0.114199,-0.006684,0.006504,-0.002135,-0.007218
2017-02-28,GE,risk_on,-0.991027,-0.00584,-0.000565,-0.010876,-0.006374
2017-02-28,GILD,risk_on,-0.422433,-0.040097,-0.022957,-0.032871,-0.040631
2017-02-28,GOOG,risk_on,-1.170595,-0.002248,0.008327,0.025404,-0.002782
2017-02-28,GOOGL,risk_on,-1.185469,-0.004555,0.00512,0.023012,-0.005089
2017-03-31,AAPL,risk_on,0.311266,0.007854,6.3e-05,-0.007776,0.020326
2017-03-31,ABBV,risk_on,-0.697111,0.017936,0.008122,0.001737,0.030408
2017-03-31,ABT,risk_on,-0.285007,-0.027424,-0.010769,-0.013841,-0.014952
2017-03-31,ACN,risk_on,-0.326097,0.00945,-0.018063,-0.019724,0.021921
2017-03-31,ADBE,risk_on,-0.044865,0.025798,0.002982,0.003887,0.038269
2017-03-31,ADI,risk_on,1.179427,-0.082392,-0.021382,-0.062883,-0.069921
2017-03-31,ADP,risk_on,-0.073733,0.00296,0.000338,-0.000213,0.015431
2017-03-31,AMAT,risk_on,0.739631,0.059508,0.003062,-0.017659,0.07198
2017-03-31,AMD,risk_on,5.752228,-0.076389,-0.0685,-0.115999,-0.063918
