ticker,status,rows,usable,source
ITW,PLANNED,0,false,not_run
GM,PLANNED,0,false,not_run
EOG,PLANNED,0,false,not_run
SU,PLANNED,0,false,not_run
TRP,PLANNED,0,false,not_run
CNI,PLANNED,0,false,not_run
PSX,PLANNED,0,false,not_run
AON,PLANNED,0,false,not_run
LITE,PLANNED,0,false,not_run
CL,PLANNED,0,false,not_run
CRH,PLANNED,0,false,not_run
KMI,PLANNED,0,false,not_run
CTAS,PLANNED,0,false,not_run
NSC,PLANNED,0,false,not_run
CVNA,PLANNED,0,false,not_run
TDG,PLANNED,0,false,not_run
AEP,PLANNED,0,false,not_run
BSX,PLANNED,0,false,not_run
STM,PLANNED,0,false,not_run
MSI,PLANNED,0,false,not_run
B,PLANNED,0,false,not_run
WBD,PLANNED,0,false,not_run
URI,PLANNED,0,false,not_run
MFC,PLANNED,0,false,not_run
VALE,PLANNED,0,false,not_run
NKE,PLANNED,0,false,not_run
FIX,PLANNED,0,false,not_run
NWG,PLANNED,0,false,not_run
DLR,PLANNED,0,false,not_run
DASH,PLANNED,0,false,not_run
ET,PLANNED,0,false,not_run
MDLN,PLANNED,0,false,not_run
TRV,PLANNED,0,false,not_run
RSG,PLANNED,0,false,not_run
TFC,PLANNED,0,false,not_run
REGN,PLANNED,0,false,not_run
RKLB,PLANNED,0,false,not_run
HPE,PLANNED,0,false,not_run
DB,PLANNED,0,false,not_run
ALAB,PLANNED,0,false,not_run
CIEN,PLANNED,0,false,not_run
TER,PLANNED,0,false,not_run
APD,PLANNED,0,false,not_run
BKR,PLANNED,0,false,not_run
RACE,PLANNED,0,false,not_run
PCAR,PLANNED,0,false,not_run
GWW,PLANNED,0,false,not_run
TGT,PLANNED,0,false,not_run
TEL,PLANNED,0,false,not_run
NUE,PLANNED,0,false,not_run
SRE,PLANNED,0,false,not_run
IMO,PLANNED,0,false,not_run
AFL,PLANNED,0,false,not_run
KEYS,PLANNED,0,false,not_run
D,PLANNED,0,false,not_run
RELX,PLANNED,0,false,not_run
NU,PLANNED,0,false,not_run
F,PLANNED,0,false,not_run
LSEGY,PLANNED,0,false,not_run
NBIS,PLANNED,0,false,not_run
TRGP,PLANNED,0,false,not_run
O,PLANNED,0,false,not_run
