champion_rank,ticker,original_sector,repaired_sector,champion_composite_sn,repaired_composite_sn,repaired_rank,rank_delta(up=+),champion_bucket
114,CDW,Unknown,Information Technology,-0.21646,-0.775202,179,-65,MIDDLE
115,JCI,Unknown,Industrials,-0.226399,-0.010347,109,6,MIDDLE
116,ES,Unknown,Utilities,-0.233549,0.798524,56,60,MIDDLE
117,WMB,Unknown,Energy,-0.240069,-0.149993,126,-9,MIDDLE
118,BLDR,Unknown,Industrials,-0.244082,-0.030554,111,7,MIDDLE
119,KIM,Unknown,Real Estate,-0.246183,-0.197272,130,-11,MIDDLE
120,BAX,Unknown,Health Care,-0.252818,-0.406883,151,-31,MIDDLE
121,HWM,Unknown,Industrials,-0.253705,-0.040022,115,6,MIDDLE
122,FRT,Unknown,Real Estate,-0.25496,-0.206955,132,-10,MIDDLE
123,MDLN,Unknown,Health Care,-0.267622,-0.423076,152,-29,MIDDLE
124,LDOS,Unknown,Information Technology,-0.287437,-0.853742,184,-60,MIDDLE
125,BABA,Unknown,Consumer Discretionary,-0.313478,-1.799096,210,-85,MIDDLE
126,AEE,Unknown,Utilities,-0.320828,0.701467,60,66,MIDDLE
127,DOC,Unknown,Real Estate,-0.324978,-0.284673,138,-11,MIDDLE
128,KVUE,Unknown,Consumer Staples,-0.350237,-0.289152,140,-12,MIDDLE
129,PWR,Unknown,Industrials,-0.351509,-0.14946,125,4,MIDDLE
130,RL,Unknown,Consumer Discretionary,-0.35569,-1.845329,211,-81,MIDDLE
131,EMR,Industrials,Industrials,-0.36262,0.108413,99,32,MIDDLE
132,SATS,Unknown,Information Technology,-0.374038,-0.950473,189,-57,MIDDLE
133,GPN,Unknown,Financials,-0.380196,0.208927,89,44,MIDDLE
134,MRK,Health Care,Health Care,-0.397933,-0.55741,158,-24,MIDDLE
135,KHC,Unknown,Consumer Staples,-0.398737,-0.343089,145,-10,MIDDLE
136,APO,Unknown,Financials,-0.407906,0.178064,92,44,MIDDLE
137,CL,Consumer Staples,Consumer Staples,-0.416413,0.785993,57,80,MIDDLE
138,CHD,Unknown,Consumer Staples,-0.445678,-0.394786,149,-11,MIDDLE
139,ARM,Unknown,Information Technology,-0.457613,-1.04243,192,-53,MIDDLE
140,COR,Unknown,Health Care,-0.461752,-0.637914,165,-25,MIDDLE
141,MPC,Unknown,Energy,-0.466565,-0.401104,150,-9,MIDDLE
142,PFE,Health Care,Health Care,-0.474715,-0.64265,167,-25,MIDDLE
143,DD,Unknown,Materials,-0.477112,0.636258,65,78,MIDDLE
144,CF,Unknown,Materials,-0.482339,0.631097,66,78,MIDDLE
145,AEM,Unknown,Materials,-0.48299,0.630475,67,78,MIDDLE
146,NWG,Unknown,Financials,-0.486561,0.090754,100,46,MIDDLE
147,MRNA,Unknown,Health Care,-0.500296,-0.684371,170,-23,MIDDLE
148,KKR,Unknown,Financials,-0.512173,0.062609,103,45,MIDDLE
149,IFF,Unknown,Materials,-0.548332,0.557205,68,81,MIDDLE
150,DTE,Unknown,Utilities,-0.549551,0.447764,74,76,MIDDLE
151,APA,Unknown,Energy,-0.555923,-0.500224,153,-2,MIDDLE
152,NCLH,Unknown,Consumer Discretionary,-0.570609,-2.085569,218,-66,MIDDLE
153,XOM,Energy,Energy,-0.590537,-0.19907,131,22,MIDDLE
154,CRL,Unknown,Health Care,-0.594186,-0.785506,181,-27,MIDDLE
155,MFC,Unknown,Financials,-0.598998,-0.033722,112,43,MIDDLE
156,MET,Unknown,Financials,-0.603455,-0.038654,114,42,MIDDLE
157,LLY,Health Care,Health Care,-0.60683,-0.788305,182,-25,MIDDLE
158,AMAT,Information Technology,Information Technology,-0.619228,-0.782697,180,-22,MIDDLE
159,HSBC,Unknown,Financials,-0.633766,-0.072283,116,43,MIDDLE
160,TRGP,Unknown,Energy,-0.638265,-0.591812,159,1,MIDDLE
161,LNT,Unknown,Utilities,-0.644021,0.343264,79,82,MIDDLE
162,AES,Unknown,Utilities,-0.651539,0.334489,81,81,MIDDLE
163,ENB,Unknown,Energy,-0.656624,-0.611838,162,1,MIDDLE
164,AON,Financials,Financials,-0.672161,-0.607451,161,3,MIDDLE
165,SHEL,Unknown,Energy,-0.684549,-0.642598,166,-1,MIDDLE
166,MFG,Unknown,Financials,-0.699399,-0.145088,124,42,MIDDLE
167,PTC,Unknown,Information Technology,-0.709435,-1.319879,201,-34,MIDDLE
168,PSKY,Unknown,Communication Services,-0.710339,-3.925534,231,-63,MIDDLE
169,EXC,Unknown,Utilities,-0.721213,0.257536,86,83,MIDDLE
170,FISV,Unknown,Financials,-0.721438,-0.169504,127,43,MIDDLE
171,BAM,Unknown,Financials,-0.725094,-0.172699,128,43,MIDDLE
172,PRU,Unknown,Financials,-0.732064,-0.181305,129,43,MIDDLE
173,ET,Unknown,Energy,-0.733827,-0.697506,172,1,MIDDLE
174,IMO,Unknown,Energy,-0.740292,-0.704281,173,1,MIDDLE
175,IRM,Unknown,Real Estate,-0.741594,-0.74738,176,-1,MIDDLE
176,CI,Health Care,Health Care,-0.743793,-0.94111,188,-12,MIDDLE
177,SRE,Unknown,Utilities,-0.770459,0.202939,90,87,MIDDLE
178,PEG,Unknown,Utilities,-0.773356,0.200087,91,87,MIDDLE
179,IFNNY,Unknown,Information Technology,-0.783288,-1.404442,203,-24,MIDDLE
180,Q,Unknown,Information Technology,-0.805652,-1.428908,206,-26,MIDDLE
181,LIN,Materials,Materials,-0.841216,0.838358,54,127,MIDDLE
182,SWKS,Unknown,Information Technology,-0.858606,-1.487846,207,-25,MIDDLE
183,MPWR,Unknown,Information Technology,-0.878972,-1.509475,208,-25,MIDDLE
184,AIG,Unknown,Financials,-0.899844,-0.367272,146,38,MIDDLE
185,AMCR,Unknown,Materials,-0.902833,0.164068,94,91,MIDDLE
186,ADM,Unknown,Consumer Staples,-0.916752,-0.917709,186,0,MIDDLE
187,ATO,Unknown,Utilities,-0.925036,0.031449,106,81,MIDDLE
188,AEP,Unknown,Utilities,-0.961209,-0.008743,108,80,MIDDLE
189,CARR,Unknown,Industrials,-0.962726,-0.827222,183,6,MIDDLE
190,PNW,Unknown,Utilities,-0.97152,-0.020248,110,80,MIDDLE
191,SW,Unknown,Materials,-0.978215,0.08012,101,90,MIDDLE
192,CSCO,Information Technology,Information Technology,-1.022499,-1.230152,198,-6,MIDDLE
193,EVRG,Unknown,Utilities,-1.025456,-0.080134,117,76,MIDDLE
194,HUBB,Unknown,Industrials,-1.02724,-0.898427,185,9,MIDDLE
195,CMI,Unknown,Industrials,-1.04469,-0.917867,187,8,MIDDLE
196,L,Unknown,Financials,-1.056441,-0.540953,155,41,MIDDLE
197,ING,Unknown,Financials,-1.061752,-0.54676,156,41,MIDDLE
198,PPL,Unknown,Utilities,-1.063944,-0.122582,121,77,MIDDLE
199,ETN,Industrials,Industrials,-1.088942,-0.697104,171,28,MIDDLE
200,TM,Unknown,Consumer Discretionary,-1.096885,-2.667735,223,-23,MIDDLE
201,BN,Unknown,Financials,-1.135315,-0.628829,163,38,MIDDLE
202,BMY,Health Care,Health Care,-1.179338,-1.423665,205,-3,MIDDLE
203,NI,Unknown,Utilities,-1.181101,-0.252381,135,68,MIDDLE
204,D,Unknown,Utilities,-1.301705,-0.386453,148,56,MIDDLE
205,TAP,Unknown,Consumer Staples,-1.369128,-1.419547,204,1,MIDDLE
206,CPRT,Unknown,Industrials,-1.381618,-1.291182,200,6,MIDDLE
207,NRG,Unknown,Utilities,-1.455473,-0.556576,157,50,MIDDLE
208,LHX,Unknown,Industrials,-1.479376,-1.400035,202,6,MIDDLE
209,CPAY,Unknown,Financials,-1.479434,-1.009877,191,18,MIDDLE
210,CEG,Unknown,Utilities,-1.520899,-0.628919,164,46,BOTTOM25
211,TDG,Industrials,Industrials,-1.526658,-1.18238,197,14,BOTTOM25
212,ED,Unknown,Utilities,-1.593376,-0.709475,174,38,BOTTOM25
213,CBOE,Unknown,Financials,-1.605783,-1.149422,194,19,BOTTOM25
214,FIS,Unknown,Financials,-1.62788,-1.173395,196,18,BOTTOM25
215,MOS,Unknown,Materials,-1.657088,-0.672634,169,46,BOTTOM25
216,NVO,Unknown,Health Care,-1.68261,-1.990622,214,2,BOTTOM25
217,LYB,Unknown,Materials,-1.730856,-0.754353,177,40,BOTTOM25
218,APTV,Unknown,Consumer Discretionary,-1.739718,-3.380686,226,-8,BOTTOM25
219,CRH,Unknown,Materials,-1.746973,-0.77247,178,41,BOTTOM25
220,RKLB,Unknown,Industrials,-1.755347,-1.707032,209,11,BOTTOM25
221,HSIC,Unknown,Health Care,-1.840816,-2.167642,219,2,BOTTOM25
222,OXY,Unknown,Energy,-1.84605,-1.93028,212,10,BOTTOM25
223,SOLV,Unknown,Health Care,-1.944392,-2.282802,222,1,BOTTOM25
224,AXON,Unknown,Industrials,-2.077499,-2.063081,217,7,BOTTOM25
225,COHR,Unknown,Information Technology,-2.114562,-2.88072,224,1,BOTTOM25
226,NU,Unknown,Financials,-2.313353,-1.934734,213,13,BOTTOM25
227,MLM,Unknown,Materials,-3.00701,-2.16781,220,7,BOTTOM25
228,FSLR,Unknown,Information Technology,-3.133205,-4.009813,232,-4,BOTTOM25
229,CLX,Unknown,Consumer Staples,-3.371083,-3.639068,228,1,BOTTOM25
230,J,Unknown,Industrials,-3.501656,-3.643194,229,1,BOTTOM25
231,HII,Unknown,Industrials,-3.559652,-3.707207,230,1,BOTTOM25
232,WDC,Unknown,Information Technology,-3.704036,-4.637952,233,-1,BOTTOM25
233,BALL,Unknown,Materials,-4.140619,-3.426656,227,6,BOTTOM25
234,CTVA,Unknown,Materials,-6.125849,-5.627979,234,0,BOTTOM25
