function,target,available,ok,n_rows,detail
classification_at_level,ABT,True,True,,GICS L1
security_name,ABT,True,True,,
price_timeseries,ACAS-201701,True,True,4866,pandas
index_constituent_timeseries,ACAS-201701@S&P 500,True,True,4866,
last_quoted_date,ACAS-201701,True,True,,
first_quoted_date,ACAS-201701,True,True,,
classification_at_level,ACAS-201701,True,True,,GICS L1
classification,ACAS-201701,True,True,,GICS flat fallback
security_name,ACAS-201701,True,True,,
price_timeseries,ACF-198406,True,True,0,empty
price_timeseries,ACGL,True,True,7702,pandas
index_constituent_timeseries,ACGL@S&P 500,True,True,7702,
last_quoted_date,ACGL,True,True,,
first_quoted_date,ACGL,True,True,,
classification_at_level,ACGL,True,True,,GICS L1
security_name,ACGL,True,True,,
price_timeseries,ACJ-196210,True,True,0,empty
price_timeseries,ACKH-200712,True,True,4522,pandas
index_constituent_timeseries,ACKH-200712@S&P 500,True,True,4522,
last_quoted_date,ACKH-200712,True,True,,
first_quoted_date,ACKH-200712,True,True,,
classification_at_level,ACKH-200712,True,True,,GICS L1
security_name,ACKH-200712,True,True,,
price_timeseries,ACN,True,True,6268,pandas
index_constituent_timeseries,ACN@S&P 500,True,True,6268,
last_quoted_date,ACN,True,True,,
first_quoted_date,ACN,True,True,,
classification_at_level,ACN,True,True,,GICS L1
security_name,ACN,True,True,,
price_timeseries,ACN-197601,True,True,0,empty
price_timeseries,ACR-197006,True,True,0,empty
price_timeseries,ACS-197302,True,True,0,empty
price_timeseries,ACS-201002,True,True,3862,pandas
index_constituent_timeseries,ACS-201002@S&P 500,True,True,3862,
last_quoted_date,ACS-201002,True,True,,
first_quoted_date,ACS-201002,True,True,,
classification_at_level,ACS-201002,True,True,,GICS L1
security_name,ACS-201002,True,True,,
price_timeseries,ACV-201105,True,True,5384,pandas
index_constituent_timeseries,ACV-201105@S&P 500,True,True,5384,
last_quoted_date,ACV-201105,True,True,,
first_quoted_date,ACV-201105,True,True,,
classification_at_level,ACV-201105,True,True,,GICS L1
security_name,ACV-201105,True,True,,
price_timeseries,ACY-199411,True,True,1239,pandas
index_constituent_timeseries,ACY-199411@S&P 500,True,True,1239,
last_quoted_date,ACY-199411,True,True,,
first_quoted_date,ACY-199411,True,True,,
classification_at_level,ACY-199411,True,True,,GICS L1
security_name,ACY-199411,True,True,,
price_timeseries,AD-198606,True,True,0,empty
price_timeseries,ADBE,True,True,9185,pandas
index_constituent_timeseries,ADBE@S&P 500,True,True,9185,
last_quoted_date,ADBE,True,True,,
first_quoted_date,ADBE,True,True,,
classification_at_level,ADBE,True,True,,GICS L1
security_name,ADBE,True,True,,
price_timeseries,ADCT-201012,True,True,5280,pandas
index_constituent_timeseries,ADCT-201012@S&P 500,True,True,5280,
last_quoted_date,ADCT-201012,True,True,,
first_quoted_date,ADCT-201012,True,True,,
classification_at_level,ADCT-201012,True,True,,GICS L1
security_name,ADCT-201012,True,True,,
price_timeseries,ADI,True,True,9185,pandas
index_constituent_timeseries,ADI@S&P 500,True,True,9185,
last_quoted_date,ADI,True,True,,
first_quoted_date,ADI,True,True,,
classification_at_level,ADI,True,True,,GICS L1
security_name,ADI,True,True,,
price_timeseries,ADL-197404,True,True,0,empty
price_timeseries,ADM,True,True,9185,pandas
index_constituent_timeseries,ADM@S&P 500,True,True,9185,
last_quoted_date,ADM,True,True,,
first_quoted_date,ADM,True,True,,
classification_at_level,ADM,True,True,,GICS L1
security_name,ADM,True,True,,
price_timeseries,ADP,True,True,9185,pandas
index_constituent_timeseries,ADP@S&P 500,True,True,9185,
last_quoted_date,ADP,True,True,,
first_quoted_date,ADP,True,True,,
classification_at_level,ADP,True,True,,GICS L1
security_name,ADP,True,True,,
price_timeseries,ADSK,True,True,9185,pandas
index_constituent_timeseries,ADSK@S&P 500,True,True,9185,
last_quoted_date,ADSK,True,True,,
first_quoted_date,ADSK,True,True,,
classification_at_level,ADSK,True,True,,GICS L1
security_name,ADSK,True,True,,
price_timeseries,ADT-201604,True,True,910,pandas
index_constituent_timeseries,ADT-201604@S&P 500,True,True,910,
last_quoted_date,ADT-201604,True,True,,
first_quoted_date,ADT-201604,True,True,,
classification_at_level,ADT-201604,True,True,,GICS L1
security_name,ADT-201604,True,True,,
price_timeseries,AEE,True,True,9185,pandas
index_constituent_timeseries,AEE@S&P 500,True,True,9185,
last_quoted_date,AEE,True,True,,
first_quoted_date,AEE,True,True,,
classification_at_level,AEE,True,True,,GICS L1
security_name,AEE,True,True,,
price_timeseries,AEP,True,True,9185,pandas
index_constituent_timeseries,AEP@S&P 500,True,True,9185,
last_quoted_date,AEP,True,True,,
first_quoted_date,AEP,True,True,,
classification_at_level,AEP,True,True,,GICS L1
security_name,AEP,True,True,,
price_timeseries,AES,True,True,8810,pandas
index_constituent_timeseries,AES@S&P 500,True,True,8810,
last_quoted_date,AES,True,True,,
first_quoted_date,AES,True,True,,
classification_at_level,AES,True,True,,GICS L1
security_name,AES,True,True,,
price_timeseries,AET-201811,True,True,7286,pandas
index_constituent_timeseries,AET-201811@S&P 500,True,True,7286,
last_quoted_date,AET-201811,True,True,,
first_quoted_date,AET-201811,True,True,,
classification_at_level,AET-201811,True,True,,GICS L1
security_name,AET-201811,True,True,,
price_timeseries,AEX-196502,True,True,0,empty
price_timeseries,AFL,True,True,9185,pandas
index_constituent_timeseries,AFL@S&P 500,True,True,9185,
last_quoted_date,AFL,True,True,,
first_quoted_date,AFL,True,True,,
classification_at_level,AFL,True,True,,GICS L1
security_name,AFL,True,True,,
price_timeseries,AFN-198410,True,True,0,empty
price_timeseries,AFS-200011,True,True,1154,pandas
index_constituent_timeseries,AFS-200011@S&P 500,True,True,1154,
last_quoted_date,AFS-200011,True,True,,
first_quoted_date,AFS-200011,True,True,,
classification_at_level,AFS-200011,True,True,,GICS L1
security_name,AFS-200011,True,True,,
price_timeseries,AGC-200108,True,True,2946,pandas
index_constituent_timeseries,AGC-200108@S&P 500,True,True,2946,
last_quoted_date,AGC-200108,True,True,,
first_quoted_date,AGC-200108,True,True,,
classification_at_level,AGC-200108,True,True,,GICS L1
security_name,AGC-200108,True,True,,
price_timeseries,AGG-197812,True,True,0,empty
price_timeseries,AGM-198211,True,True,0,empty
price_timeseries,AGN-201503,True,True,6351,pandas
index_constituent_timeseries,AGN-201503@S&P 500,True,True,6351,
last_quoted_date,AGN-201503,True,True,,
first_quoted_date,AGN-201503,True,True,,
classification_at_level,AGN-201503,True,True,,GICS L1
security_name,AGN-201503,True,True,,
price_timeseries,AGN-202005,True,True,6857,pandas
index_constituent_timeseries,AGN-202005@S&P 500,True,True,6857,
last_quoted_date,AGN-202005,True,True,,
first_quoted_date,AGN-202005,True,True,,
classification_at_level,AGN-202005,True,True,,GICS L1
security_name,AGN-202005,True,True,,
price_timeseries,AH-198812,True,True,0,empty
price_timeseries,AHD-196310,True,True,0,empty
price_timeseries,AHM-199810,True,True,2213,pandas
index_constituent_timeseries,AHM-199810@S&P 500,True,True,2213,
last_quoted_date,AHM-199810,True,True,,
first_quoted_date,AHM-199810,True,True,,
classification_at_level,AHM-199810,True,True,,GICS L1
security_name,AHM-199810,True,True,,
price_timeseries,AHS-198511,True,True,0,empty
price_timeseries,AIC-198012,True,True,0,empty
price_timeseries,AIG,True,True,9185,pandas
index_constituent_timeseries,AIG@S&P 500,True,True,9185,
last_quoted_date,AIG,True,True,,
first_quoted_date,AIG,True,True,,
classification_at_level,AIG,True,True,,GICS L1
security_name,AIG,True,True,,
price_timeseries,AIT-199910,True,True,2470,pandas
index_constituent_timeseries,AIT-199910@S&P 500,True,True,2470,
last_quoted_date,AIT-199910,True,True,,
first_quoted_date,AIT-199910,True,True,,
classification_at_level,AIT-199910,True,True,,GICS L1
security_name,AIT-199910,True,True,,
price_timeseries,AIV,True,True,8033,pandas
index_constituent_timeseries,AIV@S&P 500,True,True,8033,
last_quoted_date,AIV,True,True,,
first_quoted_date,AIV,True,True,,
classification_at_level,AIV,True,True,,GICS L1
security_name,AIV,True,True,,
price_timeseries,AIZ,True,True,5630,pandas
index_constituent_timeseries,AIZ@S&P 500,True,True,5630,
last_quoted_date,AIZ,True,True,,
first_quoted_date,AIZ,True,True,,
classification_at_level,AIZ,True,True,,GICS L1
security_name,AIZ,True,True,,
price_timeseries,AJG,True,True,9123,pandas
index_constituent_timeseries,AJG@S&P 500,True,True,9123,
last_quoted_date,AJG,True,True,,
first_quoted_date,AJG,True,True,,
classification_at_level,AJG,True,True,,GICS L1
security_name,AJG,True,True,,
price_timeseries,AKAM,True,True,6701,pandas
index_constituent_timeseries,AKAM@S&P 500,True,True,6701,
last_quoted_date,AKAM,True,True,,
first_quoted_date,AKAM,True,True,,
classification_at_level,AKAM,True,True,,GICS L1
security_name,AKAM,True,True,,
price_timeseries,AKS-202003,True,True,6534,pandas
index_constituent_timeseries,AKS-202003@S&P 500,True,True,6534,
last_quoted_date,AKS-202003,True,True,,
first_quoted_date,AKS-202003,True,True,,
classification_at_level,AKS-202003,True,True,,GICS L1
security_name,AKS-202003,True,True,,
price_timeseries,AL-200711,True,True,4507,pandas
index_constituent_timeseries,AL-200711@S&P 500,True,True,4507,
last_quoted_date,AL-200711,True,True,,
first_quoted_date,AL-200711,True,True,,
classification_at_level,AL-200711,True,True,,GICS L1
security_name,AL-200711,True,True,,
price_timeseries,ALB,True,True,8137,pandas
index_constituent_timeseries,ALB@S&P 500,True,True,8137,
last_quoted_date,ALB,True,True,,
first_quoted_date,ALB,True,True,,
classification_at_level,ALB,True,True,,GICS L1
security_name,ALB,True,True,,
price_timeseries,ALGN,True,True,6388,pandas
index_constituent_timeseries,ALGN@S&P 500,True,True,6388,
last_quoted_date,ALGN,True,True,,
first_quoted_date,ALGN,True,True,,
classification_at_level,ALGN,True,True,,GICS L1
security_name,ALGN,True,True,,
price_timeseries,ALK,True,True,9185,pandas
index_constituent_timeseries,ALK@S&P 500,True,True,9185,
last_quoted_date,ALK,True,True,,
first_quoted_date,ALK,True,True,,
classification_at_level,ALK,True,True,,GICS L1
security_name,ALK,True,True,,
price_timeseries,ALL,True,True,8320,pandas
index_constituent_timeseries,ALL@S&P 500,True,True,8320,
last_quoted_date,ALL,True,True,,
first_quoted_date,ALL,True,True,,
classification_at_level,ALL,True,True,,GICS L1
security_name,ALL,True,True,,
price_timeseries,ALLE,True,True,3166,pandas
index_constituent_timeseries,ALLE@S&P 500,True,True,3166,
last_quoted_date,ALLE,True,True,,
first_quoted_date,ALLE,True,True,,
classification_at_level,ALLE,True,True,,GICS L1
security_name,ALLE,True,True,,
price_timeseries,ALS-198612,True,True,0,empty
price_timeseries,ALTR-201512,True,True,6549,pandas
index_constituent_timeseries,ALTR-201512@S&P 500,True,True,6549,
last_quoted_date,ALTR-201512,True,True,,
first_quoted_date,ALTR-201512,True,True,,
classification_at_level,ALTR-201512,True,True,,GICS L1
security_name,ALTR-201512,True,True,,
price_timeseries,ALXN-202107,True,True,6391,pandas
index_constituent_timeseries,ALXN-202107@S&P 500,True,True,6391,
last_quoted_date,ALXN-202107,True,True,,
first_quoted_date,ALXN-202107,True,True,,
classification_at_level,ALXN-202107,True,True,,GICS L1
security_name,ALXN-202107,True,True,,
price_timeseries,AM-197012,True,True,0,empty
price_timeseries,AM-199305,True,True,854,pandas
index_constituent_timeseries,AM-199305@S&P 500,True,True,854,
last_quoted_date,AM-199305,True,True,,
first_quoted_date,AM-199305,True,True,,
classification_at_level,AM-199305,True,True,,GICS L1
classification,AM-199305,True,True,,GICS flat fallback
security_name,AM-199305,True,True,,
price_timeseries,AM-201308,True,True,5949,pandas
index_constituent_timeseries,AM-201308@S&P 500,True,True,5949,
last_quoted_date,AM-201308,True,True,,
first_quoted_date,AM-201308,True,True,,
classification_at_level,AM-201308,True,True,,GICS L1
security_name,AM-201308,True,True,,
price_timeseries,AMAT,True,True,9185,pandas
index_constituent_timeseries,AMAT@S&P 500,True,True,9185,
last_quoted_date,AMAT,True,True,,
first_quoted_date,AMAT,True,True,,
classification_at_level,AMAT,True,True,,GICS L1
security_name,AMAT,True,True,,
price_timeseries,AMCC-201701,True,True,4823,pandas
index_constituent_timeseries,AMCC-201701@S&P 500,True,True,4823,
last_quoted_date,AMCC-201701,True,True,,
first_quoted_date,AMCC-201701,True,True,,
classification_at_level,AMCC-201701,True,True,,GICS L1
security_name,AMCC-201701,True,True,,
price_timeseries,AMCR,True,True,1768,pandas
index_constituent_timeseries,AMCR@S&P 500,True,True,1768,
last_quoted_date,AMCR,True,True,,
first_quoted_date,AMCR,True,True,,
classification_at_level,AMCR,True,True,,GICS L1
security_name,AMCR,True,True,,
price_timeseries,AMD,True,True,9185,pandas
index_constituent_timeseries,AMD@S&P 500,True,True,9185,
last_quoted_date,AMD,True,True,,
first_quoted_date,AMD,True,True,,
classification_at_level,AMD,True,True,,GICS L1
security_name,AMD,True,True,,
price_timeseries,AMDA-199008,True,True,29,pandas
index_constituent_timeseries,AMDA-199008@S&P 500,True,True,29,
last_quoted_date,AMDA-199008,True,True,,
first_quoted_date,AMDA-199008,True,True,,
classification_at_level,AMDA-199008,True,True,,GICS L1
security_name,AMDA-199008,True,True,,
price_timeseries,AME,True,True,9185,pandas
index_constituent_timeseries,AME@S&P 500,True,True,9185,
last_quoted_date,AME,True,True,,
first_quoted_date,AME,True,True,,
classification_at_level,AME,True,True,,GICS L1
security_name,AME,True,True,,
price_timeseries,AMF-198510,True,True,0,empty
price_timeseries,AMG,True,True,7188,pandas
index_constituent_timeseries,AMG@S&P 500,True,True,7188,
last_quoted_date,AMG,True,True,,
first_quoted_date,AMG,True,True,,
classification_at_level,AMG,True,True,,GICS L1
security_name,AMG,True,True,,
price_timeseries,AMGN,True,True,9185,pandas
index_constituent_timeseries,AMGN@S&P 500,True,True,9185,
last_quoted_date,AMGN,True,True,,
first_quoted_date,AMGN,True,True,,
classification_at_level,AMGN,True,True,,GICS L1
security_name,AMGN,True,True,,
price_timeseries,AMH-199709,True,True,1952,pandas
index_constituent_timeseries,AMH-199709@S&P 500,True,True,1952,
last_quoted_date,AMH-199709,True,True,,
first_quoted_date,AMH-199709,True,True,,
classification_at_level,AMH-199709,True,True,,GICS L1
security_name,AMH-199709,True,True,,
price_timeseries,AMI-199004,True,True,72,pandas
index_constituent_timeseries,AMI-199004@S&P 500,True,True,72,
last_quoted_date,AMI-199004,True,True,,
first_quoted_date,AMI-199004,True,True,,
classification_at_level,AMI-199004,True,True,,GICS L1
classification,AMI-199004,True,True,,GICS flat fallback
security_name,AMI-199004,True,True,,
price_timeseries,AMO-198708,True,True,0,empty
price_timeseries,AMP,True,True,5224,pandas
index_constituent_timeseries,AMP@S&P 500,True,True,5224,
last_quoted_date,AMP,True,True,,
first_quoted_date,AMP,True,True,,
classification_at_level,AMP,True,True,,GICS L1
security_name,AMP,True,True,,
price_timeseries,AMP-199904,True,True,2338,pandas
index_constituent_timeseries,AMP-199904@S&P 500,True,True,2338,
last_quoted_date,AMP-199904,True,True,,
first_quoted_date,AMP-199904,True,True,,
classification_at_level,AMP-199904,True,True,,GICS L1
security_name,AMP-199904,True,True,,
price_timeseries,AMT,True,True,7123,pandas
index_constituent_timeseries,AMT@S&P 500,True,True,7123,
last_quoted_date,AMT,True,True,,
first_quoted_date,AMT,True,True,,
classification_at_level,AMT,True,True,,GICS L1
security_name,AMT,True,True,,
price_timeseries,AMT-199607,True,True,1643,pandas
index_constituent_timeseries,AMT-199607@S&P 500,True,True,1643,
last_quoted_date,AMT-199607,True,True,,
first_quoted_date,AMT-199607,True,True,,
classification_at_level,AMT-199607,True,True,,GICS L1
security_name,AMT-199607,True,True,,
price_timeseries,AMTM,True,True,437,pandas
index_constituent_timeseries,AMTM@S&P 500,True,True,437,
last_quoted_date,AMTM,True,True,,
first_quoted_date,AMTM,True,True,,
classification_at_level,AMTM,True,True,,GICS L1
security_name,AMTM,True,True,,
price_timeseries,AMX-199311,True,True,981,pandas
index_constituent_timeseries,AMX-199311@S&P 500,True,True,981,
last_quoted_date,AMX-199311,True,True,,
first_quoted_date,AMX-199311,True,True,,
classification_at_level,AMX-199311,True,True,,GICS L1
security_name,AMX-199311,True,True,,
price_timeseries,AMZN,True,True,7321,pandas
index_constituent_timeseries,AMZN@S&P 500,True,True,7321,
last_quoted_date,AMZN,True,True,,
first_quoted_date,AMZN,True,True,,
classification_at_level,AMZN,True,True,,GICS L1
security_name,AMZN,True,True,,
price_timeseries,AN,True,True,9080,pandas
index_constituent_timeseries,AN@S&P 500,True,True,9080,
last_quoted_date,AN,True,True,,
first_quoted_date,AN,True,True,,
classification_at_level,AN,True,True,,GICS L1
security_name,AN,True,True,,
price_timeseries,AN-197805,True,True,0,empty
price_timeseries,AN-199812,True,True,2275,pandas
index_constituent_timeseries,AN-199812@S&P 500,True,True,2275,
last_quoted_date,AN-199812,True,True,,
first_quoted_date,AN-199812,True,True,,
classification_at_level,AN-199812,True,True,,GICS L1
security_name,AN-199812,True,True,,
price_timeseries,ANDV-201809,True,True,7241,pandas
index_constituent_timeseries,ANDV-201809@S&P 500,True,True,7241,
last_quoted_date,ANDV-201809,True,True,,
first_quoted_date,ANDV-201809,True,True,,
classification_at_level,ANDV-201809,True,True,,GICS L1
security_name,ANDV-201809,True,True,,
price_timeseries,ANDW-200712,True,True,4536,pandas
index_constituent_timeseries,ANDW-200712@S&P 500,True,True,4536,
last_quoted_date,ANDW-200712,True,True,,
first_quoted_date,ANDW-200712,True,True,,
classification_at_level,ANDW-200712,True,True,,GICS L1
security_name,ANDW-200712,True,True,,
price_timeseries,ANET,True,True,3029,pandas
index_constituent_timeseries,ANET@S&P 500,True,True,3029,
last_quoted_date,ANET,True,True,,
first_quoted_date,ANET,True,True,,
classification_at_level,ANET,True,True,,GICS L1
security_name,ANET,True,True,,
price_timeseries,ANF,True,True,7481,pandas
index_constituent_timeseries,ANF@S&P 500,True,True,7481,
last_quoted_date,ANF,True,True,,
first_quoted_date,ANF,True,True,,
classification_at_level,ANF,True,True,,GICS L1
security_name,ANF,True,True,,
price_timeseries,ANR-198505,True,True,0,empty
price_timeseries,ANRZQ-201607,True,True,2880,pandas
index_constituent_timeseries,ANRZQ-201607@S&P 500,True,True,2880,
last_quoted_date,ANRZQ-201607,True,True,,
first_quoted_date,ANRZQ-201607,True,True,,
classification_at_level,ANRZQ-201607,True,True,,GICS L1
security_name,ANRZQ-201607,True,True,,
price_timeseries,ANSS-202507,True,True,7310,pandas
index_constituent_timeseries,ANSS-202507@S&P 500,True,True,7310,
last_quoted_date,ANSS-202507,True,True,,
first_quoted_date,ANSS-202507,True,True,,
classification_at_level,ANSS-202507,True,True,,GICS L1
security_name,ANSS-202507,True,True,,
price_timeseries,ANV-199904,True,True,2343,pandas
index_constituent_timeseries,ANV-199904@S&P 500,True,True,2343,
last_quoted_date,ANV-199904,True,True,,
first_quoted_date,ANV-199904,True,True,,
classification_at_level,ANV-199904,True,True,,GICS L1
security_name,ANV-199904,True,True,,
price_timeseries,AON,True,True,9185,pandas
index_constituent_timeseries,AON@S&P 500,True,True,9185,
last_quoted_date,AON,True,True,,
first_quoted_date,AON,True,True,,
classification_at_level,AON,True,True,,GICS L1
security_name,AON,True,True,,
price_timeseries,AOS,True,True,9104,pandas
index_constituent_timeseries,AOS@S&P 500,True,True,9104,
last_quoted_date,AOS,True,True,,
first_quoted_date,AOS,True,True,,
classification_at_level,AOS,True,True,,GICS L1
security_name,AOS,True,True,,
price_timeseries,APA,True,True,9185,pandas
index_constituent_timeseries,APA@S&P 500,True,True,9185,
last_quoted_date,APA,True,True,,
first_quoted_date,APA,True,True,,
classification_at_level,APA,True,True,,GICS L1
security_name,APA,True,True,,
price_timeseries,APC-201908,True,True,7459,pandas
index_constituent_timeseries,APC-201908@S&P 500,True,True,7459,
last_quoted_date,APC-201908,True,True,,
first_quoted_date,APC-201908,True,True,,
classification_at_level,APC-201908,True,True,,GICS L1
security_name,APC-201908,True,True,,
price_timeseries,APCC-200702,True,True,4317,pandas
index_constituent_timeseries,APCC-200702@S&P 500,True,True,4317,
last_quoted_date,APCC-200702,True,True,,
first_quoted_date,APCC-200702,True,True,,
classification_at_level,APCC-200702,True,True,,GICS L1
security_name,APCC-200702,True,True,,
price_timeseries,APD,True,True,9185,pandas
index_constituent_timeseries,APD@S&P 500,True,True,9185,
last_quoted_date,APD,True,True,,
first_quoted_date,APD,True,True,,
classification_at_level,APD,True,True,,GICS L1
security_name,APD,True,True,,
price_timeseries,APH,True,True,8713,pandas
index_constituent_timeseries,APH@S&P 500,True,True,8713,
last_quoted_date,APH,True,True,,
first_quoted_date,APH,True,True,,
classification_at_level,APH,True,True,,GICS L1
security_name,APH,True,True,,
price_timeseries,APO,True,True,3830,pandas
index_constituent_timeseries,APO@S&P 500,True,True,3830,
last_quoted_date,APO,True,True,,
first_quoted_date,APO,True,True,,
classification_at_level,APO,True,True,,GICS L1
security_name,APO,True,True,,
price_timeseries,APO-196712,True,True,0,empty
price_timeseries,APOL-201702,True,True,5579,pandas
index_constituent_timeseries,APOL-201702@S&P 500,True,True,5579,
last_quoted_date,APOL-201702,True,True,,
first_quoted_date,APOL-201702,True,True,,
classification_at_level,APOL-201702,True,True,,GICS L1
security_name,APOL-201702,True,True,,
price_timeseries,APP,True,True,1303,pandas
index_constituent_timeseries,APP@S&P 500,True,True,1303,
last_quoted_date,APP,True,True,,
first_quoted_date,APP,True,True,,
classification_at_level,APP,True,True,,GICS L1
security_name,APP,True,True,,
price_timeseries,APTV,True,True,3668,pandas
index_constituent_timeseries,APTV@S&P 500,True,True,3668,
last_quoted_date,APTV,True,True,,
first_quoted_date,APTV,True,True,,
classification_at_level,APTV,True,True,,GICS L1
security_name,APTV,True,True,,
price_timeseries,AR-199911,True,True,2498,pandas
index_constituent_timeseries,AR-199911@S&P 500,True,True,2498,
last_quoted_date,AR-199911,True,True,,
first_quoted_date,AR-199911,True,True,,
classification_at_level,AR-199911,True,True,,GICS L1
security_name,AR-199911,True,True,,
price_timeseries,ARA-198412,True,True,0,empty
price_timeseries,ARC-196906,True,True,0,empty
price_timeseries,ARC-200004,True,True,2602,pandas
index_constituent_timeseries,ARC-200004@S&P 500,True,True,2602,
last_quoted_date,ARC-200004,True,True,,
first_quoted_date,ARC-200004,True,True,,
classification_at_level,ARC-200004,True,True,,GICS L1
security_name,ARC-200004,True,True,,
price_timeseries,ARE,True,True,7312,pandas
index_constituent_timeseries,ARE@S&P 500,True,True,7312,
last_quoted_date,ARE,True,True,,
first_quoted_date,ARE,True,True,,
classification_at_level,ARE,True,True,,GICS L1
security_name,ARE,True,True,,
price_timeseries,ARES,True,True,3053,pandas
index_constituent_timeseries,ARES@S&P 500,True,True,3053,
last_quoted_date,ARES,True,True,,
first_quoted_date,ARES,True,True,,
classification_at_level,ARES,True,True,,GICS L1
security_name,ARES,True,True,,
price_timeseries,ARG-201605,True,True,6648,pandas
index_constituent_timeseries,ARG-201605@S&P 500,True,True,6648,
last_quoted_date,ARG-201605,True,True,,
first_quoted_date,ARG-201605,True,True,,
classification_at_level,ARG-201605,True,True,,GICS L1
security_name,ARG-201605,True,True,,
price_timeseries,ARR-197901,True,True,0,empty
