ticker,priority,endpoint,fmp_covered,fmp_blocked,skip_existing,will_request,request_url_redacted
ABBV,3_fmp_covered_crosscheck,fundamentals,True,False,False,True,https://eodhd.com/api/fundamentals/ABBV.US?fmt=json&<API_KEY_REDACTED>
ABBV,3_fmp_covered_crosscheck,earnings_calendar,True,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ABBV.US&<API_KEY_REDACTED>
ADBE,3_fmp_covered_crosscheck,fundamentals,True,False,False,True,https://eodhd.com/api/fundamentals/ADBE.US?fmt=json&<API_KEY_REDACTED>
ADBE,3_fmp_covered_crosscheck,earnings_calendar,True,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ADBE.US&<API_KEY_REDACTED>
AMD,3_fmp_covered_crosscheck,fundamentals,True,False,False,True,https://eodhd.com/api/fundamentals/AMD.US?fmt=json&<API_KEY_REDACTED>
AMD,3_fmp_covered_crosscheck,earnings_calendar,True,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AMD.US&<API_KEY_REDACTED>
AMZN,3_fmp_covered_crosscheck,fundamentals,True,False,False,True,https://eodhd.com/api/fundamentals/AMZN.US?fmt=json&<API_KEY_REDACTED>
AMZN,3_fmp_covered_crosscheck,earnings_calendar,True,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AMZN.US&<API_KEY_REDACTED>
JPM,3_fmp_covered_crosscheck,fundamentals,True,False,False,True,https://eodhd.com/api/fundamentals/JPM.US?fmt=json&<API_KEY_REDACTED>
JPM,3_fmp_covered_crosscheck,earnings_calendar,True,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=JPM.US&<API_KEY_REDACTED>
GOOGL,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/GOOGL.US?fmt=json&<API_KEY_REDACTED>
GOOGL,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=GOOGL.US&<API_KEY_REDACTED>
META,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/META.US?fmt=json&<API_KEY_REDACTED>
META,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=META.US&<API_KEY_REDACTED>
TSLA,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/TSLA.US?fmt=json&<API_KEY_REDACTED>
TSLA,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=TSLA.US&<API_KEY_REDACTED>
AVGO,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/AVGO.US?fmt=json&<API_KEY_REDACTED>
AVGO,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AVGO.US&<API_KEY_REDACTED>
COST,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/COST.US?fmt=json&<API_KEY_REDACTED>
COST,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=COST.US&<API_KEY_REDACTED>
PEP,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/PEP.US?fmt=json&<API_KEY_REDACTED>
PEP,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=PEP.US&<API_KEY_REDACTED>
KO,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/KO.US?fmt=json&<API_KEY_REDACTED>
KO,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=KO.US&<API_KEY_REDACTED>
CSCO,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/CSCO.US?fmt=json&<API_KEY_REDACTED>
CSCO,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=CSCO.US&<API_KEY_REDACTED>
INTC,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/INTC.US?fmt=json&<API_KEY_REDACTED>
INTC,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=INTC.US&<API_KEY_REDACTED>
QCOM,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/QCOM.US?fmt=json&<API_KEY_REDACTED>
QCOM,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=QCOM.US&<API_KEY_REDACTED>
TXN,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/TXN.US?fmt=json&<API_KEY_REDACTED>
TXN,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=TXN.US&<API_KEY_REDACTED>
ORCL,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/ORCL.US?fmt=json&<API_KEY_REDACTED>
ORCL,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=ORCL.US&<API_KEY_REDACTED>
CRM,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/CRM.US?fmt=json&<API_KEY_REDACTED>
CRM,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=CRM.US&<API_KEY_REDACTED>
NFLX,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/NFLX.US?fmt=json&<API_KEY_REDACTED>
NFLX,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=NFLX.US&<API_KEY_REDACTED>
MU,4_phase5c_fallback,fundamentals,False,False,False,True,https://eodhd.com/api/fundamentals/MU.US?fmt=json&<API_KEY_REDACTED>
MU,4_phase5c_fallback,earnings_calendar,False,False,False,True,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=MU.US&<API_KEY_REDACTED>
