family,ticker,status,available_date,value,pit_ok
short_interest_days_to_cover,KR,OK,2017-12-29,3.88,True
short_interest_days_to_cover,KR,OK,2018-01-12,3.44,True
short_interest_days_to_cover,KR,OK,2018-01-31,2.79,True
short_interest_days_to_cover,KR,OK,2018-02-15,3.51,True
short_interest_days_to_cover,KR,OK,2018-02-28,3.78,True
short_interest_days_to_cover,KR,OK,2018-03-15,1.98,True
short_interest_days_to_cover,KR,OK,2018-03-29,3.9,True
short_interest_days_to_cover,KR,OK,2018-04-13,4.97,True
short_interest_days_to_cover,KR,OK,2018-04-30,7.05,True
short_interest_days_to_cover,KR,OK,2018-05-15,7.29,True
short_interest_days_to_cover,KVUE,OK,2023-05-15,1.0,True
short_interest_days_to_cover,KVUE,OK,2023-05-31,1.59,True
short_interest_days_to_cover,KVUE,OK,2023-06-15,2.09,True
short_interest_days_to_cover,KVUE,OK,2023-06-30,4.62,True
short_interest_days_to_cover,KVUE,OK,2023-07-14,1.66,True
short_interest_days_to_cover,KVUE,OK,2023-07-31,2.23,True
short_interest_days_to_cover,KVUE,OK,2023-08-15,2.36,True
short_interest_days_to_cover,KVUE,OK,2023-08-31,1.0,True
short_interest_days_to_cover,KVUE,OK,2023-09-15,1.0,True
short_interest_days_to_cover,KVUE,OK,2023-09-29,1.79,True
short_interest_days_to_cover,KXIAY,OK,2025-10-15,4.61,True
short_interest_days_to_cover,KXIAY,OK,2025-10-31,1.0,True
short_interest_days_to_cover,KXIAY,OK,2025-11-14,1.0,True
short_interest_days_to_cover,KXIAY,OK,2025-11-28,1.0,True
short_interest_days_to_cover,KXIAY,OK,2025-12-15,2.29,True
short_interest_days_to_cover,KXIAY,OK,2025-12-31,1.3,True
short_interest_days_to_cover,KXIAY,OK,2026-01-15,1.0,True
short_interest_days_to_cover,KXIAY,OK,2026-01-30,1.0,True
short_interest_days_to_cover,KXIAY,OK,2026-02-13,1.0,True
short_interest_days_to_cover,KXIAY,OK,2026-02-27,1.0,True
short_interest_days_to_cover,L,OK,2017-12-29,1.77,True
short_interest_days_to_cover,L,OK,2018-01-12,1.41,True
short_interest_days_to_cover,L,OK,2018-01-31,2.13,True
short_interest_days_to_cover,L,OK,2018-02-15,1.64,True
short_interest_days_to_cover,L,OK,2018-02-28,2.8,True
short_interest_days_to_cover,L,OK,2018-03-15,2.69,True
short_interest_days_to_cover,L,OK,2018-03-29,2.72,True
short_interest_days_to_cover,L,OK,2018-04-13,3.36,True
short_interest_days_to_cover,L,OK,2018-04-30,3.53,True
short_interest_days_to_cover,L,OK,2018-05-15,3.86,True
short_interest_days_to_cover,LDOS,OK,2017-12-29,2.8,True
short_interest_days_to_cover,LDOS,OK,2018-01-12,4.01,True
short_interest_days_to_cover,LDOS,OK,2018-01-31,3.57,True
short_interest_days_to_cover,LDOS,OK,2018-02-15,2.73,True
short_interest_days_to_cover,LDOS,OK,2018-02-28,1.39,True
short_interest_days_to_cover,LDOS,OK,2018-03-15,1.87,True
short_interest_days_to_cover,LDOS,OK,2018-03-29,3.18,True
short_interest_days_to_cover,LDOS,OK,2018-04-13,3.53,True
short_interest_days_to_cover,LDOS,OK,2018-04-30,4.05,True
short_interest_days_to_cover,LDOS,OK,2018-05-15,1.66,True
short_interest_days_to_cover,LEN,OK,2017-12-29,6.59,True
short_interest_days_to_cover,LEN,OK,2018-01-12,4.16,True
short_interest_days_to_cover,LEN,OK,2018-01-31,5.69,True
short_interest_days_to_cover,LEN,OK,2018-02-15,4.63,True
short_interest_days_to_cover,LEN,OK,2018-02-28,2.67,True
