endpoint_name,alpha_family,ticker,requires_ticker,trial_safe,phase5e1_priority,request_url_redacted,expected_join_key,expected_date_key,leakage_risk
ratios_quarterly,fundamentals,JPM,True,True,2,https://financialmodelingprep.com/stable/ratios?symbol=JPM&period=quarter&<API_KEY_REDACTED>,symbol,date,medium
earnings_calendar,earnings,AAPL,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>,symbol,date,low
earnings_calendar,earnings,MSFT,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>,symbol,date,low
earnings_calendar,earnings,NVDA,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>,symbol,date,low
earnings_calendar,earnings,AMZN,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=AMZN&<API_KEY_REDACTED>,symbol,date,low
earnings_calendar,earnings,JPM,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=JPM&<API_KEY_REDACTED>,symbol,date,low
earnings_surprises,earnings,AAPL,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>,symbol,date,low
earnings_surprises,earnings,MSFT,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>,symbol,date,low
earnings_surprises,earnings,NVDA,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>,symbol,date,low
earnings_surprises,earnings,AMZN,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=AMZN&<API_KEY_REDACTED>,symbol,date,low
earnings_surprises,earnings,JPM,True,True,3,https://financialmodelingprep.com/stable/earnings?symbol=JPM&<API_KEY_REDACTED>,symbol,date,low
analyst_estimates,analyst_revisions,AAPL,True,True,5,https://financialmodelingprep.com/stable/analyst-estimates?symbol=AAPL&period=annual&<API_KEY_REDACTED>,symbol,date,medium
analyst_estimates,analyst_revisions,MSFT,True,True,5,https://financialmodelingprep.com/stable/analyst-estimates?symbol=MSFT&period=annual&<API_KEY_REDACTED>,symbol,date,medium
analyst_estimates,analyst_revisions,NVDA,True,True,5,https://financialmodelingprep.com/stable/analyst-estimates?symbol=NVDA&period=annual&<API_KEY_REDACTED>,symbol,date,medium
analyst_estimates,analyst_revisions,AMZN,True,True,5,https://financialmodelingprep.com/stable/analyst-estimates?symbol=AMZN&period=annual&<API_KEY_REDACTED>,symbol,date,medium
analyst_estimates,analyst_revisions,JPM,True,True,5,https://financialmodelingprep.com/stable/analyst-estimates?symbol=JPM&period=annual&<API_KEY_REDACTED>,symbol,date,medium
analyst_recommendations,analyst_revisions,AAPL,True,True,5,https://financialmodelingprep.com/stable/grades?symbol=AAPL&<API_KEY_REDACTED>,symbol,date,low
analyst_recommendations,analyst_revisions,MSFT,True,True,5,https://financialmodelingprep.com/stable/grades?symbol=MSFT&<API_KEY_REDACTED>,symbol,date,low
analyst_recommendations,analyst_revisions,NVDA,True,True,5,https://financialmodelingprep.com/stable/grades?symbol=NVDA&<API_KEY_REDACTED>,symbol,date,low
analyst_recommendations,analyst_revisions,AMZN,True,True,5,https://financialmodelingprep.com/stable/grades?symbol=AMZN&<API_KEY_REDACTED>,symbol,date,low
analyst_recommendations,analyst_revisions,JPM,True,True,5,https://financialmodelingprep.com/stable/grades?symbol=JPM&<API_KEY_REDACTED>,symbol,date,low
analyst_price_targets,analyst_revisions,AAPL,True,True,5,https://financialmodelingprep.com/stable/price-target-summary?symbol=AAPL&<API_KEY_REDACTED>,symbol,publishedDate,low
analyst_price_targets,analyst_revisions,MSFT,True,True,5,https://financialmodelingprep.com/stable/price-target-summary?symbol=MSFT&<API_KEY_REDACTED>,symbol,publishedDate,low
analyst_price_targets,analyst_revisions,NVDA,True,True,5,https://financialmodelingprep.com/stable/price-target-summary?symbol=NVDA&<API_KEY_REDACTED>,symbol,publishedDate,low
analyst_price_targets,analyst_revisions,AMZN,True,True,5,https://financialmodelingprep.com/stable/price-target-summary?symbol=AMZN&<API_KEY_REDACTED>,symbol,publishedDate,low
analyst_price_targets,analyst_revisions,JPM,True,True,5,https://financialmodelingprep.com/stable/price-target-summary?symbol=JPM&<API_KEY_REDACTED>,symbol,publishedDate,low
sp500_constituents,universe_mapping,*,False,True,4,https://financialmodelingprep.com/stable/sp500-constituent?<API_KEY_REDACTED>,symbol,dateFirstAdded,high
