ticker,priority,in_price_cache,cached_before,targeted_for_acquisition
TMUS,3_priced_universe,True,False,True
TRGP,3_priced_universe,True,False,True
TRP,3_priced_universe,True,False,True
TRV,3_priced_universe,True,False,True
TSLA,3_priced_universe,True,True,False
TT,3_priced_universe,True,False,True
TTE,3_priced_universe,True,False,True
TXN,3_priced_universe,True,True,False
UBER,3_priced_universe,True,False,True
UBS,3_priced_universe,True,False,True
UL,3_priced_universe,True,False,True
UNH,3_priced_universe,True,False,True
UNP,3_priced_universe,True,False,True
UPS,3_priced_universe,True,False,True
URI,3_priced_universe,True,False,True
USB,3_priced_universe,True,False,True
V,3_priced_universe,True,False,True
VALE,3_priced_universe,True,False,True
VLO,3_priced_universe,True,False,True
VRT,3_priced_universe,True,False,True
VRTX,3_priced_universe,True,False,True
VZ,3_priced_universe,True,False,True
WBD,3_priced_universe,True,False,True
WDC,3_priced_universe,True,False,True
WELL,3_priced_universe,True,False,True
WFC,3_priced_universe,True,False,True
WM,3_priced_universe,True,False,True
WMB,3_priced_universe,True,False,True
WMT,3_priced_universe,True,False,True
XOM,3_priced_universe,True,False,True
