date,ticker,regime,return_5d,return_10d,return_20d,return_63d,return_126d,return_252d,mom_acceleration,trend_persistence,reversal_1d,reversal_5d,dist_sma20,dist_sma50,return_zscore_5d,return_zscore_20d,rs_5d_vs_spy,rs_20d_vs_spy,rs_63d_vs_spy,rs_126d_vs_spy,residual_alpha_20d,residual_alpha_63d,realized_vol_20d,realized_vol_63d,downside_vol_63d,vol_compression,vol_adj_momentum,beta_63d,log_dollar_volume_20d,volume_shock,price_volume_breakout,dist_from_63d_high,dist_from_126d_high,max_drawdown_126d,recovery_from_low_63d,breakout_after_consolidation,mom_x_riskon,rev_x_highvol,volshock_x_breakout,avg_dollar_volume_20d,forward_excess_return_5d_vs_spy,forward_excess_return_10d_vs_spy,forward_excess_return_20d_vs_spy,top_quintile_label,downside_risk_label
2026-04-30,BKNG,risk_on,-0.047468,-0.087776,0.005841,-0.174978,-0.17457,-0.136064,-0.175473,-0.031746,-0.032303,-0.047468,-0.059859,-0.029759,0.575986,-0.695535,-0.06188,-0.090948,-0.213279,-0.226519,-0.113875,-0.222352,0.444909,0.474579,0.357851,0.937481,-0.368702,1.23687,20.973364,0.826854,-0.039249,-0.176416,-0.23188,-0.295202,0.089844,0.0,-0.174978,0.0,0.0,1284151967.509689,-0.000634,-0.123505,-0.05815,0,0
2026-04-30,BLK,risk_on,0.011514,0.039661,0.113014,-0.049875,-0.042848,0.181464,-0.05727,0.0,0.025227,0.011514,0.036849,0.0562,0.87015,0.896444,-0.002897,0.016225,-0.088176,-0.094797,-0.029368,-0.106218,0.276285,0.30605,0.23227,0.902746,-0.162963,1.471063,20.398648,0.559634,0.006444,-0.042984,-0.078783,-0.202148,0.154621,0.0,-0.049875,-0.0,0.0,722803179.822693,-0.01597,-0.004998,-0.070193,0,0
2026-04-30,BMY,risk_on,0.026601,0.027646,-0.008347,0.127759,0.446477,0.292514,-0.154854,0.015873,0.052092,0.026601,0.030162,0.023484,1.781106,-0.374158,0.012189,-0.105136,0.089457,0.394528,-0.058401,0.107951,0.300819,0.262452,0.149879,1.146183,0.486788,0.517145,20.161705,0.928029,0.024687,-0.018523,-0.018523,-0.086099,0.111984,0.0,0.127759,-0.0,0.0,570318253.331699,-0.089607,-0.104109,-0.108906,0,0
2026-04-30,BSX,risk_on,-0.123002,-0.091611,-0.070806,-0.376042,-0.429434,-0.439264,-0.290472,-0.031746,0.008049,-0.123002,-0.069651,-0.144308,-1.123816,1.103297,-0.137414,-0.167595,-0.414344,-0.481383,-0.115861,-0.393872,0.498722,0.516939,0.468888,0.964761,-0.727441,0.465496,20.817712,0.901441,-0.110879,-0.384048,-0.451229,-0.455611,0.008049,0.0,-0.376042,0.0,0.0,1099049941.083488,-0.03603,-0.111536,-0.214056,0,1
2026-04-30,C,risk_on,-0.004124,-0.010515,0.109974,0.116728,0.276399,0.906314,-0.026253,0.079365,0.002899,-0.004124,0.009378,0.093457,1.517107,-1.031396,-0.018536,0.013185,0.078427,0.22445,-0.055048,0.051426,0.269637,0.364165,0.244253,0.740425,0.320536,1.70497,21.062775,0.744268,-0.003069,-0.038106,-0.038106,-0.147612,0.213081,0.0,0.116728,0.0,0.0,1404258240.592346,-0.004533,-0.06114,-0.064225,0,0
2026-04-30,CAT,risk_on,0.065694,0.154201,0.221115,0.340576,0.70437,1.926946,0.069204,0.071429,0.098833,0.065694,0.123861,0.192187,1.2557,1.554892,0.051282,0.124326,0.302274,0.652422,0.046558,0.2715,0.459253,0.42714,0.207348,1.075182,0.797341,1.803482,21.320878,1.138164,0.07477,0.0,0.0,-0.1388,0.356646,0.0,0.340576,-0.0,0.0,1817773094.818115,-0.011709,-0.007235,-0.068624,0,0
2026-04-30,CB,risk_on,-0.017664,-0.004324,-0.000489,0.071187,0.190091,0.15483,-0.039815,0.087302,0.003837,-0.017664,-0.00453,-0.005308,-0.880392,-0.616387,-0.032076,-0.097278,0.032886,0.138142,0.005618,0.073604,0.179878,0.195443,0.115063,0.920361,0.364234,-0.063101,20.093018,1.108285,-0.019577,-0.043163,-0.043163,-0.066309,0.059456,0.0,0.071187,0.0,0.0,532459994.414673,-0.03547,-0.062194,-0.099323,0,0
2026-04-30,CDNS,risk_on,0.048548,0.073723,0.176309,0.088942,-0.03431,0.090563,0.202127,-0.015873,-0.001091,0.048548,0.076919,0.110393,0.425287,1.035706,0.034136,0.07952,0.05064,-0.086259,0.007335,0.022075,0.540093,0.485526,0.319816,1.112389,0.183186,1.745802,20.484294,1.414547,0.068673,-0.020651,-0.034678,-0.22192,0.240646,0.0,0.088942,-0.0,0.0,787437202.882385,0.064883,0.02948,0.084939,1,0
2026-04-30,CI,risk_on,0.038825,0.051417,0.087012,0.077085,-0.047301,-0.120048,0.192568,0.0,-0.005952,0.038825,0.04607,0.058987,0.439292,1.258336,0.024413,-0.009777,0.038783,-0.099249,0.049756,0.062342,0.246687,0.27203,0.17927,0.906838,0.283368,0.38492,19.819351,1.11366,0.043237,-0.008649,-0.017712,-0.182903,0.12593,0.0,0.077085,-0.0,0.0,404981047.664185,-0.040485,-0.026093,-0.097983,0,0
2026-04-30,CL,risk_on,0.019589,0.027153,0.005626,0.007631,0.120255,-0.052123,-0.104139,0.039683,0.010297,0.019589,0.016313,-0.026723,0.048123,1.1311,0.005177,-0.091163,-0.03067,0.068306,-0.021012,-0.00291,0.239149,0.254026,0.166926,0.941438,0.030042,0.275217,19.907975,0.806231,0.015793,-0.133644,-0.133644,-0.169675,0.043393,0.0,0.007631,-0.0,0.0,442510720.250626,0.005452,-0.000294,0.003255,0,0
