rank,ticker,in_price_cache,has_earnings_cache
192,FDS,False,False
193,FICO,False,False
194,FAST,False,False
195,FRT,False,False
196,FDX,True,True
197,FDXF,False,False
198,FIS,False,False
199,FITB,False,False
200,FSLR,False,False
201,FE,False,False
202,FISV,False,False
203,FLEX,False,False
204,F,True,True
205,FTNT,True,True
206,FTV,False,False
207,FOXA,False,False
208,FOX,False,False
209,BEN,False,False
210,FCX,True,True
211,GRMN,False,False
212,IT,False,False
213,GE,True,True
214,GEHC,False,False
215,GEV,True,True
216,GEN,False,False
217,GNRC,False,False
218,GD,True,True
219,GIS,False,False
220,GM,True,True
221,GPC,False,False
222,GILD,True,True
223,GPN,False,False
224,GL,False,False
225,GDDY,False,False
226,GS,True,True
227,HAL,False,False
228,HIG,False,False
229,HAS,False,False
230,HCA,True,True
231,DOC,False,False
232,HSIC,False,False
233,HSY,False,False
234,HPE,True,True
235,HLT,True,True
236,HD,True,True
237,HON,True,True
238,HRL,False,False
239,HST,False,False
240,HWM,True,True
241,HPQ,False,False
242,HUBB,False,False
243,HUM,False,False
244,HBAN,False,False
245,HII,False,False
246,IBM,True,True
247,IEX,False,False
248,IDXX,False,False
249,ITW,True,True
250,INCY,False,False
251,IR,False,False
252,PODD,False,False
253,INTC,True,True
254,IBKR,True,True
255,ICE,True,True
256,IFF,False,False
257,IP,False,False
258,INTU,True,True
259,ISRG,True,True
260,IVZ,False,False
261,INVH,False,False
262,IQV,False,False
263,IQVIA,False,False
264,IRM,False,False
265,JBHT,False,False
266,JBL,False,False
267,JKHY,False,False
268,J,False,False
269,JNJ,True,True
270,JCI,True,True
271,JPM,True,True
272,KVUE,False,False
273,KDP,False,False
274,KEY,False,False
275,KEYS,True,True
276,KMB,False,False
277,KIM,False,False
278,KMI,True,True
279,KKR,True,True
280,KLAC,True,True
281,KHC,False,False
282,KR,False,False
283,LHX,False,False
284,LH,False,False
285,LRCX,True,True
286,LVS,False,False
287,LDOS,False,False
288,LEN,False,False
289,LII,False,False
290,LLY,True,True
291,LIN,True,True
292,LYV,False,False
293,LMT,True,True
294,L,False,False
295,LOW,True,True
296,LULU,False,False
297,LITE,True,True
298,LYB,False,False
299,MTB,False,False
300,MPC,True,True
301,MAR,True,True
302,MRSH,True,True
303,MLM,False,False
304,MRVL,True,True
305,MAS,False,False
306,MA,True,True
307,MKC,False,False
308,MCD,True,True
309,MCK,True,True
310,MDT,True,True
311,MRK,True,True
312,META,True,True
313,MET,False,False
314,MTD,False,False
315,MGM,False,False
316,MCHP,False,False
317,MU,True,True
318,MSFT,True,True
319,MAA,False,False
320,MRNA,False,False
321,TAP,False,False
322,MDLZ,True,True
323,MPWR,True,True
324,MNST,True,True
325,MCO,True,True
326,MS,True,True
327,MOS,False,False
328,MSI,True,True
329,MSCI,False,False
330,NDAQ,False,False
331,NTAP,False,False
332,NFLX,True,True
333,NEM,True,True
334,NWSA,False,False
335,NWS,False,False
336,NEE,True,True
337,NKE,True,True
338,NI,False,False
339,NDSN,False,False
340,NSC,True,True
341,NTRS,False,False
342,NOC,True,True
343,NCLH,False,False
344,NRG,False,False
345,NUE,True,True
346,NVDA,True,True
347,NVR,False,False
348,NXPI,True,True
349,ORLY,True,True
350,OXY,False,False
351,ODFL,False,False
352,OMC,False,False
353,ON,False,False
354,OKE,False,False
355,ORCL,True,True
356,OTIS,False,False
357,PCAR,True,True
358,PKG,False,False
359,PLTR,True,True
360,PANW,True,True
361,PSKY,False,False
362,PH,True,True
363,PAYX,False,False
364,PYPL,False,False
365,PNR,False,False
366,PEP,True,True
367,PFE,True,True
368,PCG,False,False
369,PM,True,True
370,PSX,True,True
371,PNW,False,False
372,PNC,True,True
373,PPG,False,False
374,PPL,False,False
375,PFG,False,False
376,PG,True,True
377,PGR,True,True
378,PLD,True,True
379,PRU,False,False
380,PEG,False,False
381,PTC,False,False
382,PSA,False,False
383,PHM,False,False
384,PWR,True,True
385,QCOM,True,True
386,DGX,False,False
387,Q,False,False
388,RL,False,False
389,RJF,False,False
390,RTX,True,True
391,O,True,True
392,REG,False,False
393,REGN,True,True
394,RF,False,False
395,RSG,True,True
396,RMD,False,False
397,RVTY,False,False
398,HOOD,True,True
399,ROK,False,False
400,ROL,False,False
401,ROP,False,False
402,ROST,True,True
403,RCL,True,True
404,SPGI,True,True
405,CRM,True,True
406,SNDK,True,True
407,SBAC,False,False
408,SLB,True,True
409,STX,True,True
410,SRE,True,True
411,NOW,True,True
412,SHW,True,True
413,SPG,True,True
414,SWKS,False,False
415,SJM,False,False
416,SW,False,False
417,SNA,False,False
418,SOLV,False,False
419,SO,True,True
420,LUV,False,False
421,SWK,False,False
422,SBUX,True,True
423,STT,False,False
424,STLD,False,False
425,STE,False,False
426,SYK,True,True
427,SMCI,False,False
428,SYF,False,False
429,SNPS,True,True
430,SYY,False,False
431,TMUS,True,True
432,TROW,False,False
433,TTWO,False,False
434,TPR,False,False
435,TRGP,True,True
436,TGT,True,True
437,TEL,True,True
438,TDY,False,False
439,TER,True,True
440,TSLA,True,True
441,TXN,True,True
442,TPL,False,False
443,TXT,False,False
444,TMO,True,True
445,TJX,True,True
446,TKO,False,False
447,TTD,False,False
448,TSCO,False,False
449,TT,True,True
450,TDG,True,True
451,TRV,True,True
452,TRMB,False,False
453,TFC,True,True
454,TYL,False,False
455,TSN,False,False
456,USB,True,True
457,UBER,True,True
458,UDR,False,False
459,ULTA,False,False
460,UNP,True,True
461,UAL,False,False
462,UPS,True,True
463,URI,True,True
464,UNH,True,True
465,UHS,False,False
466,VLO,True,True
467,VEEV,False,False
468,VTR,False,False
469,VLTO,False,False
470,VRSN,False,False
471,VRSK,False,False
472,VZ,True,True
473,VRTX,True,True
474,VRT,True,True
475,VTRS,False,False
476,VICI,False,False
477,V,True,True
478,VST,False,False
479,VMC,False,False
480,WRB,False,False
481,GWW,True,True
482,WAB,False,False
483,WMT,True,True
484,DIS,True,True
485,WBD,True,True
486,WM,True,True
487,WAT,False,False
488,WEC,False,False
489,WFC,True,True
490,WELL,True,True
491,WST,False,False
492,WDC,True,True
493,WY,False,False
494,WSM,False,False
495,WMB,True,True
496,WTW,False,False
497,WDAY,False,False
498,WYNN,False,False
499,XEL,False,False
500,XYL,False,False
501,YUM,False,False
502,ZBRA,False,False
503,ZBH,False,False
504,ZTS,False,False
