candidate_id,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,signal_status,ext_promotion,alpha_promotion,provider_limited,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,prior_known_lead,reason
S8I-C-LOWBETA-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_low_beta,False,True,False,REJECTED,REJECTED,REJECTED,False,1238,402,0.00602,-0.003817,-0.113969,0.013163,False,non-positive EV after 25bps (-0.003817)
S8I-C-HIGHBETA-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_high_beta,False,True,False,REJECTED,NEEDS_PROVIDER_HISTORY,PROMISING_ALPHA_SIGNAL,True,1168,399,0.003583,0.004164,-0.174032,-0.000942,False,fails 2015-2026 recency (recent lift -0.000942)
S8I-C-VOLSENS-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_vol_spike_sens,False,True,False,REJECTED,NEEDS_PROVIDER_HISTORY,PROMISING_ALPHA_SIGNAL,True,1152,380,0.005264,0.005025,-0.172356,-0.000328,False,fails 2015-2026 recency (recent lift -0.000328)
S8I-C-LARGE-SECLEAD-10,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_sector_lead,False,True,False,REJECTED,REJECTED,REJECTED,False,290,127,-0.001348,-0.001929,-0.133751,-0.005031,False,"insufficient events (total=290, recent=127)"
S8I-R-RATES-20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_rates_neg,False,True,False,REJECTED,REJECTED,REJECTED,False,499,212,-0.004301,-0.001319,-0.150615,-0.002201,False,"insufficient events (total=499, recent=212)"
S8I-R-SECLEAD-20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_sector_lead,False,True,False,REJECTED,REJECTED,REJECTED,False,567,244,0.000257,-0.000958,-0.17338,0.001181,False,"insufficient events (total=567, recent=244)"
S8I-M-OIL-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,oil,cohort_oil_pos,False,True,False,REJECTED,REJECTED,REJECTED,False,1094,639,-0.00436,-0.010605,-0.160319,-0.008324,False,non-positive EV after 25bps (-0.010605)
S8I-M-USD-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,usd,cohort_usd_neg,False,True,False,REJECTED,REJECTED,REJECTED,False,887,598,0.002969,-0.00778,-0.170647,-0.006851,False,"insufficient events (total=887, recent=598)"
S8I-M-CREDIT-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,credit,cohort_credit_sens,False,True,False,REJECTED,REJECTED,REJECTED,False,1004,640,0.003579,-0.001765,-0.213084,-0.002379,False,non-positive EV after 25bps (-0.001765)
S8I-M-VIX-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,vix,cohort_vol_spike_sens,False,True,False,REJECTED,REJECTED,REJECTED,False,24425,7496,0.000323,-0.008259,-0.226826,0.003171,False,non-positive EV after 25bps (-0.008259)
S8I-901,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,,True,True,False,REJECTED,REJECTED,REJECTED,False,6051,1952,0.001933,-0.003273,-0.141688,-2.2e-05,False,challenge/placebo control (diagnostic; never promoted)
S8I-902,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_surprise_sensitive,True,True,False,REJECTED,REJECTED,REJECTED,False,440,178,0.003752,-3.2e-05,-0.158847,0.003656,False,challenge/placebo control (diagnostic; never promoted)
S8I-903,F_s8e011_plus_external_confirmation,validation-skeptic-agent,oil,,True,True,False,REJECTED,REJECTED,REJECTED,False,5156,2991,-0.00034,-0.006502,-0.137225,-0.000713,False,challenge/placebo control (diagnostic; never promoted)
S8I-904,B_analyst_revision_x_sensitivity,validation-skeptic-agent,analyst_revision_proxy,,True,True,False,REJECTED,REJECTED,REJECTED,False,3742,1168,0.0013,-0.002659,-0.140864,-0.000951,False,challenge/placebo control (diagnostic; never promoted)
