candidate_id,family,driver,cohort,signal_status,promotion,registry_decision,proposed_contribution,real_external_data,lift_vs_control,ev_after_25bps,worst_decile_mean,deployed,paper_trader_output,production,note
S8E-060,G_macro_cross_asset_x_sensitivity,commodity,cohort_oil_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.000184,-0.010555,-0.167716,False,False,False,non-positive EV after 25bps (-0.010555)
S8E-070,G_macro_cross_asset_x_sensitivity,sector,cohort_sector_lead,REJECTED,REJECTED,REJECT,no contribution,True,0.002532,-0.000937,-0.159853,False,False,False,non-positive EV after 25bps (-0.000937)
S8E-101,G_macro_cross_asset_x_sensitivity,oil,cohort_oil_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.004388,-0.021379,-0.181876,False,False,False,non-positive EV after 25bps (-0.021379)
S8E-110,G_macro_cross_asset_x_sensitivity,rates,cohort_rates_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.010662,-0.015604,-0.122096,False,False,False,non-positive EV after 25bps (-0.015604)
S8E-130,G_macro_cross_asset_x_sensitivity,vix,cohort_low_beta,REJECTED,REJECTED,REJECT,no contribution,True,-0.003659,-0.005129,-0.115055,False,False,False,non-positive EV after 25bps (-0.005129)
S8I-C-SECLEAD-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_sector_lead,REJECTED,PROMISING_EXTERNAL_SIGNAL,HOLD_PROMISING,"real external feature, gate gap remains",True,0.003238,0.002685,-0.172827,False,False,False,"insufficient events (total=933, recent=411)"
S8I-C-LOWBETA-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_low_beta,REJECTED,REJECTED,REJECT,no contribution,True,0.00602,-0.003817,-0.113969,False,False,False,non-positive EV after 25bps (-0.003817)
S8I-C-HIGHBETA-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_high_beta,REJECTED,NEEDS_PROVIDER_HISTORY,HOLD_NEEDS_HISTORY,proxy/thin coverage; needs provider history,True,0.003583,0.004164,-0.174032,False,False,False,fails 2015-2026 recency (recent lift -0.000942)
S8I-C-VOLSENS-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_vol_spike_sens,REJECTED,NEEDS_PROVIDER_HISTORY,HOLD_NEEDS_HISTORY,proxy/thin coverage; needs provider history,True,0.005264,0.005025,-0.172356,False,False,False,fails 2015-2026 recency (recent lift -0.000328)
S8I-C-LARGE-SECLEAD-10,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_sector_lead,REJECTED,REJECTED,REJECT,no contribution,True,-0.001348,-0.001929,-0.133751,False,False,False,"insufficient events (total=290, recent=127)"
S8I-R-RATES-20,B_analyst_revision_x_sensitivity,analyst_revision_proxy,cohort_rates_neg,REJECTED,REJECTED,REJECT,no contribution,True,-0.004301,-0.001319,-0.150615,False,False,False,"insufficient events (total=499, recent=212)"
S8I-R-SECLEAD-20,B_analyst_revision_x_sensitivity,analyst_revision_proxy,cohort_sector_lead,REJECTED,REJECTED,REJECT,no contribution,True,0.000257,-0.000958,-0.17338,False,False,False,"insufficient events (total=567, recent=244)"
S8I-M-OIL-20,F_s8e011_plus_external_confirmation,oil,cohort_oil_pos,REJECTED,REJECTED,REJECT,no contribution,True,-0.00436,-0.010605,-0.160319,False,False,False,non-positive EV after 25bps (-0.010605)
S8I-M-USD-20,F_s8e011_plus_external_confirmation,usd,cohort_usd_neg,REJECTED,REJECTED,REJECT,no contribution,True,0.002969,-0.00778,-0.170647,False,False,False,"insufficient events (total=887, recent=598)"
S8I-M-CREDIT-20,F_s8e011_plus_external_confirmation,credit,cohort_credit_sens,REJECTED,REJECTED,REJECT,no contribution,True,0.003579,-0.001765,-0.213084,False,False,False,non-positive EV after 25bps (-0.001765)
S8I-M-VIX-20,F_s8e011_plus_external_confirmation,vix,cohort_vol_spike_sens,REJECTED,REJECTED,REJECT,no contribution,True,0.000323,-0.008259,-0.226826,False,False,False,non-positive EV after 25bps (-0.008259)
