exp_id,family,driver,cohort,is_challenge,n_events,n_matched_control,triggered_mean,control_mean,lift_vs_control,hit_rate,control_hit_rate,ev_after_25bps,recent_lift_vs_control
S8I-C-SECLEAD-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_sector_lead,False,933,472,0.007685,0.005854,0.003238,0.524116,0.492883,0.002685,0.002213
S8I-C-LOWBETA-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_low_beta,False,1238,422,0.001183,-0.001645,0.00602,0.494346,0.495121,-0.003817,0.013163
S8I-C-HIGHBETA-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_high_beta,False,1168,513,0.009164,0.007726,0.003583,0.529966,0.492223,0.004164,-0.000942
S8I-C-VOLSENS-20,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_vol_spike_sens,False,1152,535,0.010025,0.005348,0.005264,0.525174,0.492001,0.005025,-0.000328
S8I-C-LARGE-SECLEAD-10,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_sector_lead,False,290,158,0.003071,0.0053,-0.001348,0.486207,0.492352,-0.001929,-0.005031
S8I-R-RATES-20,B_analyst_revision_x_sensitivity,analyst_revision_proxy,cohort_rates_neg,False,499,240,0.003681,0.007941,-0.004301,0.517034,0.492688,-0.001319,-0.002201
S8I-R-SECLEAD-20,B_analyst_revision_x_sensitivity,analyst_revision_proxy,cohort_sector_lead,False,567,290,0.004042,0.003864,0.000257,0.514991,0.492883,-0.000958,0.001181
S8I-M-OIL-20,F_s8e011_plus_external_confirmation,oil,cohort_oil_pos,False,1094,384,-0.005605,0.001599,-0.00436,0.456124,0.49325,-0.010605,-0.008324
S8I-M-USD-20,F_s8e011_plus_external_confirmation,usd,cohort_usd_neg,False,887,406,-0.00278,-0.003507,0.002969,0.473506,0.494331,-0.00778,-0.006851
S8I-M-CREDIT-20,F_s8e011_plus_external_confirmation,credit,cohort_credit_sens,False,1004,445,0.003235,0.002474,0.003579,0.481076,0.493398,-0.001765,-0.002379
S8I-M-VIX-20,F_s8e011_plus_external_confirmation,vix,cohort_vol_spike_sens,False,24425,11377,-0.003259,-0.005024,0.000323,0.491627,0.492001,-0.008259,0.003171
S8I-901,C_earnings_surprise_x_sensitivity,earnings_surprise,,True,6051,4012,0.001727,0.001483,0.001933,0.50157,0.492714,-0.003273,-2.2e-05
S8I-902,C_earnings_surprise_x_sensitivity,earnings_surprise,cohort_surprise_sensitive,True,440,299,0.004968,0.000161,0.003752,0.529545,0.492743,-3.2e-05,0.003656
S8I-903,F_s8e011_plus_external_confirmation,oil,,True,5156,3322,-0.001502,-0.001464,-0.00034,0.474205,0.49289,-0.006502,-0.000713
S8I-904,B_analyst_revision_x_sensitivity,analyst_revision_proxy,,True,3742,2463,0.002341,0.00266,0.0013,0.509353,0.492704,-0.002659,-0.000951
