ticker,side,price_source,local_file_present,entry_reference_date,latest_local_price_date,mark_method,status
PSKY,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
CLX,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
MKC,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
BALL,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
APTV,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
WBD,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
SWK,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
COHR,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
AMZN,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
OMC,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
MRSH,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
PHM,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
CVNA,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
HON,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
PPG,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
BSX,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
LMT,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
DIS,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
MLM,SHORT,EODHD_LOCAL_EOD(adjusted_close),True,2026-06-26,2026-06-26,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",PENDING_PRICE_REFRESH
SHW,SHORT,EODHD_LOCAL_EOD(adjusted_close),False,2026-06-26,,"adjusted_close ratio vs entry, side-signed (long=+ , short=-)",NO_LOCAL_PRICE
