code,schema_class,column
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,eps_high_est_fwd12m
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,eps_low_est_fwd12m
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,ltg_mean_est
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,ltg_cnt_est
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,ltg_high_est
ZACKS/LTG,CURRENT_SNAPSHOT_ONLY,ltg_low_est
ZACKS/MT,MASTER_REFERENCE,m_ticker
ZACKS/MT,MASTER_REFERENCE,ticker
ZACKS/MT,MASTER_REFERENCE,comp_name
ZACKS/MT,MASTER_REFERENCE,comp_name_2
ZACKS/MT,MASTER_REFERENCE,exchange
ZACKS/MT,MASTER_REFERENCE,currency_code
ZACKS/MT,MASTER_REFERENCE,ticker_type
ZACKS/MT,MASTER_REFERENCE,active_ticker_flag
ZACKS/MT,MASTER_REFERENCE,comp_url
ZACKS/MT,MASTER_REFERENCE,sic_4_code
ZACKS/MT,MASTER_REFERENCE,sic_4_desc
ZACKS/MT,MASTER_REFERENCE,zacks_x_ind_code
ZACKS/MT,MASTER_REFERENCE,zacks_x_ind_desc
ZACKS/MT,MASTER_REFERENCE,zacks_x_sector_code
ZACKS/MT,MASTER_REFERENCE,zacks_x_sector_desc
ZACKS/MT,MASTER_REFERENCE,zacks_m_ind_code
ZACKS/MT,MASTER_REFERENCE,zacks_m_ind_desc
ZACKS/MT,MASTER_REFERENCE,per_end_month_nbr
ZACKS/MT,MASTER_REFERENCE,mr_split_date
ZACKS/MT,MASTER_REFERENCE,mr_split_factor
ZACKS/MT,MASTER_REFERENCE,comp_cik
ZACKS/MT,MASTER_REFERENCE,country_code
ZACKS/MT,MASTER_REFERENCE,country_name
ZACKS/MT,MASTER_REFERENCE,comp_type
ZACKS/MT,MASTER_REFERENCE,optionable_flag
ZACKS/MT,MASTER_REFERENCE,sp500_member_flag
ZACKS/MT,MASTER_REFERENCE,asset_type
ZACKS/EEH,REVISION_HISTORY,m_ticker
ZACKS/EEH,REVISION_HISTORY,ticker
ZACKS/EEH,REVISION_HISTORY,comp_name
ZACKS/EEH,REVISION_HISTORY,exchange
ZACKS/EEH,REVISION_HISTORY,currency_code
ZACKS/EEH,REVISION_HISTORY,per_end_date
ZACKS/EEH,REVISION_HISTORY,per_type
ZACKS/EEH,REVISION_HISTORY,per_fisc_year
ZACKS/EEH,REVISION_HISTORY,per_fisc_qtr
ZACKS/EEH,REVISION_HISTORY,per_cal_year
ZACKS/EEH,REVISION_HISTORY,per_cal_qtr
ZACKS/EEH,REVISION_HISTORY,obs_date
ZACKS/EEH,REVISION_HISTORY,eps_mean_est
ZACKS/EEH,REVISION_HISTORY,eps_median_est
ZACKS/EEH,REVISION_HISTORY,eps_cnt_est
ZACKS/EEH,REVISION_HISTORY,eps_high_est
ZACKS/EEH,REVISION_HISTORY,eps_low_est
ZACKS/EEH,REVISION_HISTORY,eps_std_dev_est
ZACKS/EEH,REVISION_HISTORY,eps_cnt_est_rev_up
ZACKS/EEH,REVISION_HISTORY,eps_cnt_est_rev_down
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,m_ticker
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,ticker
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,comp_name
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,comp_name_2
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,exchange
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,currency_code
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_end_date
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_type
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_mean_est
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_mean_est_7d_ago
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_mean_est_30d_ago
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_mean_est_60d_ago
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_mean_est_90d_ago
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_pct_chg_est_7d_ago
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_code
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_fisc_year
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_fisc_qtr
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_cal_year
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,per_cal_qtr
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_up_last_7d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_down_last_7d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_up_last_30d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_down_last_30d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_up_last_60d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_down_last_60d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_up_last_90d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_down_last_90d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_up_last_120d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_down_last_120d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_up_last_180d
ZACKS/EET,CURRENT_SNAPSHOT_ONLY,eps_cnt_est_rev_down_last_180d
ZACKS/EREV,REVISION_HISTORY,m_ticker
ZACKS/EREV,REVISION_HISTORY,ticker
ZACKS/EREV,REVISION_HISTORY,comp_name
ZACKS/EREV,REVISION_HISTORY,comp_name_2
ZACKS/EREV,REVISION_HISTORY,exchange
ZACKS/EREV,REVISION_HISTORY,currency_code
ZACKS/EREV,REVISION_HISTORY,per_end_date
ZACKS/EREV,REVISION_HISTORY,per_type
ZACKS/EREV,REVISION_HISTORY,per_code
ZACKS/EREV,REVISION_HISTORY,per_fisc_year
ZACKS/EREV,REVISION_HISTORY,per_fisc_qtr
ZACKS/EREV,REVISION_HISTORY,per_cal_year
ZACKS/EREV,REVISION_HISTORY,per_cal_qtr
ZACKS/EREV,REVISION_HISTORY,rev_type
ZACKS/EREV,REVISION_HISTORY,rev_type_desc
ZACKS/EREV,REVISION_HISTORY,broker_name
ZACKS/EREV,REVISION_HISTORY,analyst_name
ZACKS/EREV,REVISION_HISTORY,eps_rev_date
ZACKS/EREV,REVISION_HISTORY,eps_rev_est
ZACKS/EREV,REVISION_HISTORY,eps_rev_date_prev
ZACKS/EREV,REVISION_HISTORY,eps_rev_est_prev
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,m_ticker
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,ticker
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,comp_name
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,comp_name_2
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,exchange
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,currency_code
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_end_date
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_type
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_code
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_fisc_year
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_fisc_qtr
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_cal_year
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,per_cal_qtr
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,obs_date
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,sales_mean_est
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,sales_median_est
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,sales_cnt_est
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,sales_high_est
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,sales_low_est
ZACKS/SEH,HISTORICAL_POINT_IN_TIME,sales_std_dev_est
ZACKS/SE,REVISION_HISTORY,m_ticker
ZACKS/SE,REVISION_HISTORY,ticker
ZACKS/SE,REVISION_HISTORY,comp_name
ZACKS/SE,REVISION_HISTORY,comp_name_2
ZACKS/SE,REVISION_HISTORY,exchange
ZACKS/SE,REVISION_HISTORY,currency_code
ZACKS/SE,REVISION_HISTORY,per_end_date
ZACKS/SE,REVISION_HISTORY,per_type
ZACKS/SE,REVISION_HISTORY,per_code
ZACKS/SE,REVISION_HISTORY,per_fisc_year
ZACKS/SE,REVISION_HISTORY,per_fisc_qtr
ZACKS/SE,REVISION_HISTORY,per_cal_year
ZACKS/SE,REVISION_HISTORY,per_cal_qtr
ZACKS/SE,REVISION_HISTORY,ann_rpt_flag
ZACKS/SE,REVISION_HISTORY,qtr_rpt_flag
ZACKS/SE,REVISION_HISTORY,last_rev_date
ZACKS/SE,REVISION_HISTORY,sales_mean_est
ZACKS/SE,REVISION_HISTORY,sales_median_est
ZACKS/SE,REVISION_HISTORY,sales_cnt_est
ZACKS/SE,REVISION_HISTORY,sales_high_est
ZACKS/SE,REVISION_HISTORY,sales_low_est
ZACKS/SE,REVISION_HISTORY,sales_std_dev_est
ZACKS/SE,REVISION_HISTORY,sales_pct_chg_est_1w
ZACKS/SE,REVISION_HISTORY,sales_cnt_est_rev_up_1w
ZACKS/SE,REVISION_HISTORY,sales_cnt_est_rev_down_1w
ZACKS/SE,REVISION_HISTORY,sales_pct_chg_est_1m
ZACKS/SE,REVISION_HISTORY,sales_cnt_est_rev_up_1m
ZACKS/SE,REVISION_HISTORY,sales_cnt_est_rev_down_1m
ZACKS/SE,REVISION_HISTORY,sales_pct_chg_est_3m
ZACKS/SE,REVISION_HISTORY,sales_cnt_est_rev_up_3m
ZACKS/SE,REVISION_HISTORY,sales_cnt_est_rev_down_3m
