ticker,original_sector,resolved_sector,resolved_industry,source_family,source_field,source_file,confidence,point_in_time,reason
COHR,Unknown,Information Technology,"Electronic Equipment, Instruments & Components",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/COHR.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
COIN,Unknown,Financials,Capital Markets,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/COIN.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
COP,Energy,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/COP.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
COR,Unknown,Health Care,Health Care Providers & Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/COR.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CPAY,Unknown,Financials,Financial Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CPAY.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CPRT,Unknown,Industrials,Commercial Services & Supplies,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CPRT.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CRH,Unknown,Materials,Construction Materials,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CRH.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CRL,Unknown,Health Care,Life Sciences Tools & Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CRL.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CSCO,Information Technology,Information Technology,Communications Equipment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CSCO.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CTVA,Unknown,Materials,Chemicals,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CTVA.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CVS,Health Care,Health Care,Health Care Providers & Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CVS.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
CVX,Energy,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/CVX.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
D,Unknown,Utilities,Multi-Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/D.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DASH,Unknown,Consumer Discretionary,"Hotels, Restaurants & Leisure",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DASH.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DD,Unknown,Materials,Chemicals,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DD.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DDOG,Unknown,Information Technology,Software,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DDOG.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DECK,Unknown,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DECK.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DIS,Communication Services,Communication Services,Entertainment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DIS.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DOC,Unknown,Real Estate,Diversified REITs,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DOC.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DTE,Unknown,Utilities,Multi-Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DTE.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DUK,Utilities,Utilities,Electric Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DUK.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DVA,Unknown,Health Care,Health Care Providers & Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DVA.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DVN,Unknown,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DVN.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
DXCM,Unknown,Health Care,Health Care Equipment & Supplies,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/DXCM.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EA,Unknown,Communication Services,Entertainment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EA.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
ED,Unknown,Utilities,Multi-Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/ED.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EL,Unknown,Consumer Staples,Personal Care Products,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EL.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EMR,Industrials,Industrials,Electrical Equipment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EMR.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
ENB,Unknown,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/ENB.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EOG,Energy,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EOG.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EQNR,Unknown,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EQNR.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
ES,Unknown,Utilities,Electric Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/ES.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
ET,Unknown,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/ET.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
ETN,Industrials,Industrials,Electrical Equipment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/ETN.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EVRG,Unknown,Utilities,Electric Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EVRG.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EXC,Unknown,Utilities,Electric Utilities,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EXC.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EXPD,Unknown,Industrials,Air Freight & Logistics,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EXPD.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
EXPE,Unknown,Consumer Discretionary,"Hotels, Restaurants & Leisure",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/EXPE.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FANG,Unknown,Energy,"Oil, Gas & Consumable Fuels",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FANG.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FIS,Unknown,Financials,Financial Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FIS.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FISV,Unknown,Financials,Financial Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FISV.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FLEX,Unknown,Information Technology,"Electronic Equipment, Instruments & Components",eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FLEX.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FOX,Unknown,Communication Services,Media,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FOX.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FOXA,Unknown,Communication Services,Media,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FOXA.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FRT,Unknown,Real Estate,Retail REITs,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FRT.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FSLR,Unknown,Information Technology,Semiconductors & Semiconductor Equipment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FSLR.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FTNT,Unknown,Information Technology,Software,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FTNT.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
FTV,Unknown,Industrials,Machinery,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/FTV.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
GDDY,Unknown,Information Technology,IT Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/GDDY.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
GEN,Unknown,Information Technology,Software,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/GEN.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
GILD,Health Care,Health Care,Biotechnology,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/GILD.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
GPN,Unknown,Financials,Financial Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/GPN.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
GWW,Unknown,Industrials,Trading Companies & Distributors,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/GWW.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HAS,Unknown,Consumer Discretionary,Leisure Products,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HAS.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HD,Consumer Discretionary,Consumer Discretionary,Specialty Retail,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HD.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HII,Unknown,Industrials,Aerospace & Defense,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HII.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HSBC,Unknown,Financials,Banks,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HSBC.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HSIC,Unknown,Health Care,Health Care Providers & Services,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HSIC.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HST,Unknown,Real Estate,Diversified REITs,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HST.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HSY,Unknown,Consumer Staples,Food Products,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HSY.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HUBB,Unknown,Industrials,Electrical Equipment,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HUBB.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
HWM,Unknown,Industrials,Aerospace & Defense,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/HWM.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
ICE,Financials,Financials,Capital Markets,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/ICE.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
IDXX,Unknown,Health Care,Health Care Equipment & Supplies,eodhd_raw_fundamentals(General.GicSector),General.GicSector,research/data/eodhd/raw/fundamentals/IDXX.json,HIGH,current-as-of (not PIT),owned EODHD General.GicSector in canonical 11-bucket GICS
