ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
FDS,HOLD,Unknown,True,True,False,False,new,True,False
KVUE,HOLD,Unknown,True,False,False,False,new,True,False
PWR,HOLD,Unknown,True,False,False,False,old,False,False
RL,HOLD,Unknown,True,False,False,False,new,True,False
EMR,HOLD,Industrials,False,False,False,False,old,False,False
NXPI,HOLD,Unknown,True,False,False,False,old,False,False
SATS,HOLD,Unknown,True,True,False,False,new,True,False
GPN,HOLD,Unknown,True,False,False,False,new,True,False
DGX,HOLD,Unknown,True,False,False,False,new,True,False
MRK,HOLD,Health Care,False,False,False,False,old,False,False
KHC,HOLD,Unknown,True,False,False,False,new,True,False
USB,HOLD,Financials,False,False,False,False,old,False,False
CME,HOLD,Financials,False,False,False,False,old,False,False
APO,HOLD,Unknown,True,False,False,False,old,False,False
ROP,HOLD,Information Technology,False,False,False,False,new,True,False
CL,HOLD,Consumer Staples,False,False,False,False,old,False,False
BE,HOLD,Unknown,True,False,False,False,old,False,False
HCA,HOLD,Health Care,False,False,False,False,old,False,False
CHD,HOLD,Unknown,True,False,False,False,new,True,False
TSLA,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
ARM,HOLD,Unknown,True,False,False,False,old,False,False
COR,HOLD,Unknown,True,False,False,False,new,True,False
MPC,HOLD,Unknown,True,False,False,False,old,False,False
IEX,HOLD,Unknown,True,True,False,False,new,True,False
PFE,HOLD,Health Care,False,False,False,False,old,False,False
DD,HOLD,Unknown,True,True,False,False,new,True,False
CF,HOLD,Unknown,True,False,False,False,new,True,False
AEM,HOLD,Unknown,True,False,False,False,old,False,False
IR,HOLD,Unknown,True,False,False,False,new,True,False
EIX,HOLD,Unknown,True,False,False,False,new,True,False
NWG,HOLD,Unknown,True,True,False,False,old,False,False
PFG,HOLD,Unknown,True,True,False,False,new,True,False
MRNA,HOLD,Unknown,True,False,False,False,new,True,False
SAP,HOLD,Unknown,True,False,False,False,old,False,False
KKR,HOLD,Unknown,True,False,False,False,old,False,False
IFF,HOLD,Unknown,True,False,False,False,new,True,False
VALE,HOLD,Unknown,True,False,False,False,old,False,False
DTE,HOLD,Unknown,True,False,False,False,new,True,False
APA,HOLD,Unknown,True,False,False,False,new,True,False
NCLH,HOLD,Unknown,True,False,False,False,new,True,False
TFC,HOLD,Unknown,True,False,False,False,old,False,False
MMM,HOLD,Unknown,True,False,False,False,old,False,False
WFC,HOLD,Financials,False,False,False,False,old,False,False
ALLE,HOLD,Unknown,True,True,False,False,new,True,False
XOM,HOLD,Energy,False,False,False,False,old,False,False
CRL,HOLD,Unknown,True,True,False,False,new,True,False
MFC,HOLD,Unknown,True,True,False,False,old,False,False
MET,HOLD,Unknown,True,False,False,False,new,True,False
LLY,HOLD,Health Care,False,False,False,False,old,False,False
GM,HOLD,Unknown,True,False,False,False,old,False,False
AMAT,HOLD,Information Technology,False,False,False,False,old,False,False
PCG,HOLD,Unknown,True,False,False,False,new,True,False
HSBC,HOLD,Unknown,True,True,False,False,old,False,False
BBVA,HOLD,Unknown,True,True,False,False,old,False,False
TRGP,HOLD,Unknown,True,False,False,False,old,False,False
LNT,HOLD,Unknown,True,True,False,False,new,True,False
DOV,HOLD,Unknown,True,False,False,False,new,True,False
STLD,HOLD,Unknown,True,False,False,False,new,True,False
STT,HOLD,Unknown,True,False,False,False,new,True,False
AES,HOLD,Unknown,True,True,False,False,new,True,False
ENB,HOLD,Unknown,True,True,False,False,old,False,False
AON,HOLD,Financials,False,False,False,False,old,False,False
KEY,HOLD,Unknown,True,False,False,False,new,True,False
HBAN,HOLD,Unknown,True,False,False,False,new,True,False
SHEL,HOLD,Unknown,True,False,False,False,old,False,False
PNC,HOLD,Financials,False,False,False,False,old,False,False
FITB,HOLD,Unknown,True,False,False,False,new,True,False
MFG,HOLD,Unknown,True,True,False,False,old,False,False
PTC,HOLD,Unknown,True,True,False,False,new,True,False
PSKY,HOLD,Unknown,True,False,False,False,new,True,False
UBS,HOLD,Unknown,True,True,False,False,old,False,False
EXC,HOLD,Unknown,True,False,False,False,new,True,False
FISV,HOLD,Unknown,True,False,False,False,new,True,False
MAA,HOLD,Unknown,True,True,False,False,new,True,False
BAM,HOLD,Unknown,True,True,False,False,old,False,False
OKE,HOLD,Unknown,True,False,False,False,new,True,False
PRU,HOLD,Unknown,True,False,False,False,new,True,False
ET,HOLD,Unknown,True,False,False,False,old,False,False
BA,HOLD,Industrials,False,False,False,False,old,False,False
IMO,HOLD,Unknown,True,True,False,False,old,False,False
IRM,HOLD,Unknown,True,True,False,False,new,True,False
CI,HOLD,Health Care,False,False,False,False,old,False,False
WELL,HOLD,Unknown,True,False,False,False,old,False,False
AMX,HOLD,Unknown,True,True,False,False,old,False,False
SRE,HOLD,Unknown,True,False,False,False,old,False,False
PEG,HOLD,Unknown,True,False,False,False,new,True,False
KDP,HOLD,Unknown,True,False,False,False,new,True,False
IFNNY,HOLD,Unknown,True,True,False,False,old,False,False
CMS,HOLD,Unknown,True,False,False,False,new,True,False
ETR,HOLD,Unknown,True,False,False,False,new,True,False
Q,HOLD,Unknown,True,False,False,False,new,True,False
BRO,HOLD,Unknown,True,True,False,False,new,True,False
LIN,HOLD,Materials,False,False,False,False,old,False,False
MTB,HOLD,Unknown,True,False,False,False,new,True,False
CP,HOLD,Unknown,True,False,False,False,old,False,False
SWKS,HOLD,Unknown,True,False,False,False,new,True,False
LRCX,HOLD,Unknown,True,False,False,False,old,False,False
NTRS,HOLD,Unknown,True,True,False,False,new,True,False
MPWR,HOLD,Unknown,True,False,False,False,old,False,False
MS,HOLD,Financials,False,False,False,False,old,False,False
GSK,HOLD,Unknown,True,False,False,False,old,False,False
GEHC,HOLD,Unknown,True,False,False,False,new,True,False
AIG,HOLD,Unknown,True,False,False,False,new,True,False
AMCR,HOLD,Unknown,True,True,False,False,new,True,False
ADM,HOLD,Unknown,True,False,False,False,new,True,False
ATO,HOLD,Unknown,True,True,False,False,new,True,False
ARE,HOLD,Unknown,True,True,False,False,new,True,False
AEP,HOLD,Unknown,True,False,False,False,old,False,False
CARR,HOLD,Unknown,True,False,False,False,new,True,False
PNW,HOLD,Unknown,True,True,False,False,new,True,False
SW,HOLD,Unknown,True,True,False,False,new,True,False
REG,HOLD,Unknown,True,True,False,False,new,True,False
CSCO,HOLD,Information Technology,False,False,False,False,old,False,False
EVRG,HOLD,Unknown,True,True,False,False,new,True,False
HUBB,HOLD,Unknown,True,True,False,False,new,True,False
V,HOLD,Financials,False,False,False,False,old,False,False
SCHW,SHORT,Financials,False,False,False,False,old,False,False
CMI,SHORT,Unknown,True,False,False,False,old,False,False
ORLY,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
E,SHORT,Unknown,True,True,False,False,old,False,False
L,SHORT,Unknown,True,True,False,False,new,True,False
ERIE,SHORT,Unknown,True,True,False,False,new,True,False
ING,SHORT,Unknown,True,True,False,False,old,False,False
PPL,SHORT,Unknown,True,False,False,False,new,True,False
CFG,SHORT,Unknown,True,False,False,False,new,True,False
ETN,SHORT,Industrials,False,False,False,False,old,False,False
TM,SHORT,Unknown,True,True,False,False,old,False,False
BP,SHORT,Unknown,True,False,False,False,old,False,False
INTC,SHORT,Information Technology,False,False,False,False,old,False,False
BN,SHORT,Unknown,True,True,False,False,old,False,False
NSC,SHORT,Unknown,True,False,False,False,old,False,False
AWK,SHORT,Unknown,True,False,False,False,new,True,False
BKR,SHORT,Unknown,True,False,False,False,old,False,False
BMY,SHORT,Health Care,False,False,False,False,old,False,False
NI,SHORT,Unknown,True,True,False,False,new,True,False
MDLZ,SHORT,Consumer Staples,False,False,False,False,old,False,False
AFL,SHORT,Unknown,True,False,False,False,old,False,False
RJF,SHORT,Unknown,True,False,False,False,new,True,False
RF,SHORT,Unknown,True,False,False,False,new,True,False
UNH,SHORT,Health Care,False,False,False,False,old,False,False
GPC,SHORT,Unknown,True,True,False,False,new,True,False
F,SHORT,Unknown,True,False,False,False,old,False,False
D,SHORT,Unknown,True,False,False,False,old,False,False
BAC,SHORT,Financials,False,False,False,False,old,False,False
TAP,SHORT,Unknown,True,True,False,False,new,True,False
CPRT,SHORT,Unknown,True,False,False,False,new,True,False
CTSH,SHORT,Unknown,True,False,False,False,new,True,False
IBN,SHORT,Unknown,True,True,False,False,old,False,False
TTE,SHORT,Unknown,True,True,False,False,old,False,False
NRG,SHORT,Unknown,True,False,False,False,new,True,False
LHX,SHORT,Unknown,True,False,False,False,new,True,False
CPAY,SHORT,Unknown,True,False,False,False,new,True,False
BEN,SHORT,Unknown,True,True,False,False,new,True,False
CEG,SHORT,Unknown,True,False,False,False,old,False,False
TDG,SHORT,Industrials,False,False,False,False,old,False,False
BNY,SHORT,Unknown,True,False,False,False,old,False,False
LMT,SHORT,Industrials,False,False,False,False,old,False,False
ED,SHORT,Unknown,True,False,False,False,new,True,False
CBOE,SHORT,Unknown,True,True,False,False,new,True,False
GS,SHORT,Financials,False,False,False,False,old,False,False
FIS,SHORT,Unknown,True,False,False,False,new,True,False
KLAC,SHORT,Information Technology,False,False,False,False,old,False,False
MOS,SHORT,Unknown,True,False,False,False,new,True,False
NVO,SHORT,Unknown,True,False,False,False,old,False,False
EG,SHORT,Unknown,True,True,False,False,new,True,False
LYB,SHORT,Unknown,True,False,False,False,new,True,False
CNP,SHORT,Unknown,True,False,False,False,new,True,False
APTV,SHORT,Unknown,True,False,False,False,new,True,False
CRH,SHORT,Unknown,True,False,False,False,old,False,False
RKLB,SHORT,Unknown,True,False,False,False,old,False,False
GOOG,SHORT,Communication Services,False,False,False,False,new,True,False
GOOGL,SHORT,Communication Services,False,False,False,False,old,False,False
CVNA,SHORT,Unknown,True,False,False,False,old,False,False
HON,SHORT,Industrials,False,False,False,False,old,False,False
PHM,SHORT,Unknown,True,False,False,False,new,True,False
HSIC,SHORT,Unknown,True,True,False,False,new,True,False
OXY,SHORT,Unknown,True,False,False,False,new,True,False
NKE,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
BLK,SHORT,Financials,False,False,False,False,old,False,False
FE,SHORT,Unknown,True,False,False,False,new,True,False
SOLV,SHORT,Unknown,True,True,False,False,new,True,False
BX,SHORT,Unknown,True,False,False,False,old,False,False
PPG,SHORT,Unknown,True,False,False,False,new,True,False
AXON,SHORT,Unknown,True,False,False,False,new,True,False
COHR,SHORT,Unknown,True,False,False,False,old,False,False
SBUX,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
BG,SHORT,Unknown,True,True,False,False,new,True,False
NU,SHORT,Unknown,True,False,False,False,old,False,False
OMC,SHORT,Unknown,True,False,False,False,new,True,False
BSX,SHORT,Health Care,False,False,False,False,old,False,False
PEP,SHORT,Consumer Staples,False,False,False,False,old,False,False
LII,SHORT,Unknown,True,True,False,False,new,True,False
AMP,SHORT,Unknown,True,False,False,False,new,True,False
EME,SHORT,Unknown,True,True,False,False,new,True,False
SWK,SHORT,Unknown,True,False,False,False,new,True,False
MRSH,SHORT,Unknown,True,False,False,False,old,False,False
MLM,SHORT,Unknown,True,False,False,False,new,True,False
PNR,SHORT,Unknown,True,True,False,False,new,True,False
FSLR,SHORT,Unknown,True,False,False,False,new,True,False
AMZN,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
CLX,SHORT,Unknown,True,False,False,False,new,True,False
J,SHORT,Unknown,True,True,False,False,new,True,False
HII,SHORT,Unknown,True,True,False,False,new,True,False
WDC,SHORT,Unknown,True,False,False,False,old,False,False
MKC,SHORT,Unknown,True,False,False,False,new,True,False
PSX,SHORT,Unknown,True,False,False,False,old,False,False
CBRE,SHORT,Unknown,True,False,False,False,new,True,False
BALL,SHORT,Unknown,True,False,False,False,new,True,False
NOC,SHORT,Industrials,False,False,False,True,old,False,False
MAS,SHORT,Unknown,True,True,False,True,new,True,False
QCOM,SHORT,Information Technology,False,False,False,True,old,False,False
CTVA,SHORT,Unknown,True,False,False,True,new,True,False
ASML,SHORT,Unknown,True,False,False,True,old,False,False
MGCLY,DROPPED,,,,True,,,,
