ticker,review_label,comp_sn,comp_raw,fcf_to_assets_level,fcf_to_assets_oriented_z,operating_accruals_level,operating_accruals_oriented_z,dominant_leg
EBAY,LONG,2.52439,2.40797,0.05019,1.18488,-0.02554,0.82269,fcf_to_assets
FAST,LONG,2.44255,2.32457,0.06098,1.57349,-0.01465,0.37404,fcf_to_assets
NFLX,LONG,2.36911,2.55125,0.08349,2.38447,-0.00012,-0.22395,fcf_to_assets
SPOT,LONG,2.34211,2.22513,0.06427,1.69233,-0.0098,0.17442,fcf_to_assets
LUV,LONG,2.2764,2.1716,0.02684,0.344,-0.04057,1.4416,operating_accruals
HDB,LONG,2.25042,2.14351,0.03581,0.66691,-0.03236,1.10359,operating_accruals
UPS,LONG,2.23184,1.5556,0.03538,0.65153,-0.02067,0.62225,fcf_to_assets
SMERY,LONG,2.2162,2.17014,0.04664,1.05692,-0.04115,1.46548,operating_accruals
GDDY,LONG,2.2114,2.16192,0.05726,1.43956,-0.0315,1.06822,fcf_to_assets
DDOG,LONG,2.19069,2.14483,0.0465,1.05202,-0.04057,1.44156,operating_accruals
BUD,LONG,2.18719,2.14178,0.04519,1.00476,-0.04165,1.48599,operating_accruals
CMG,LONG,2.17625,3.23106,0.0535,1.3044,-0.03959,1.40121,operating_accruals
CNC,LONG,2.16153,2.05458,0.04188,0.88582,-0.02536,0.81544,fcf_to_assets
PLTR,LONG,2.15111,2.09219,0.08743,2.52665,-0.00281,-0.11335,fcf_to_assets
GEV,LONG,2.10737,1.99522,0.06336,1.65951,-0.00586,0.01227,fcf_to_assets
GNRC,LONG,2.01506,1.91636,0.02331,0.21684,-0.03834,1.3499,operating_accruals
GD,LONG,1.97281,1.30228,0.03307,0.5682,-0.01745,0.4895,fcf_to_assets
NEM,LONG,1.88972,1.78439,0.05452,1.34085,-0.00907,0.14445,fcf_to_assets
GWW,LONG,1.86419,1.81599,0.06007,1.54071,-0.01942,0.57082,fcf_to_assets
ODFL,LONG,1.85187,1.74936,0.04734,1.08225,-0.01446,0.36659,fcf_to_assets
EXPD,LONG,1.82756,1.77895,0.06203,1.6116,-0.01665,0.45668,fcf_to_assets
AVY,LONG,1.80311,1.70509,0.03519,0.6445,-0.0239,0.75529,operating_accruals
ALGN,LONG,1.79308,1.69197,0.04647,1.05112,-0.01402,0.34843,fcf_to_assets
FANG,LONG,1.78822,1.75363,0.0197,0.08673,-0.05349,1.97355,operating_accruals
HAS,LONG,1.78181,1.73636,0.0532,1.29345,-0.0233,0.73058,fcf_to_assets
RMD,LONG,1.7748,1.72743,0.05925,1.51139,-0.01769,0.49946,fcf_to_assets
RIO,LONG,1.75263,1.66007,0.01976,0.08864,-0.03612,1.25833,operating_accruals
ADP,LONG,1.72391,1.05862,0.0317,0.51889,-0.01362,0.3318,fcf_to_assets
URI,LONG,1.7211,1.62828,0.02278,0.19778,-0.03289,1.12525,operating_accruals
SCCO,LONG,1.68484,1.58477,0.05012,1.18257,-0.00872,0.13,fcf_to_assets
JBHT,LONG,1.67935,1.58499,0.03086,0.48881,-0.02512,0.80544,operating_accruals
HAL,LONG,1.67101,1.57616,0.03311,0.56961,-0.02303,0.71934,operating_accruals
INCY,LONG,1.64809,1.54907,0.04894,1.13985,-0.009,0.14144,fcf_to_assets
TER,LONG,1.6419,1.54199,0.05246,1.26658,-0.00585,0.01211,fcf_to_assets
IT,LONG,1.58006,1.53745,0.04841,1.12097,-0.02204,0.67837,fcf_to_assets
SNA,LONG,1.56452,1.4695,0.0408,0.84688,-0.01429,0.35942,fcf_to_assets
DVN,LONG,1.56259,1.52949,0.01951,0.07992,-0.04745,1.7246,operating_accruals
NBIS,LONG,1.55644,1.53286,-0.00963,-0.97007,-0.07339,2.79282,operating_accruals
GRMN,LONG,1.53575,1.4407,0.04285,0.92076,-0.01195,0.2632,fcf_to_assets
EW,LONG,1.52035,1.43055,0.02581,0.30668,-0.02626,0.85234,operating_accruals
ECL,LONG,1.48229,1.39181,0.03069,0.48265,-0.02131,0.64835,operating_accruals
UBER,LONG,1.46949,1.67271,0.03817,0.7521,-0.03487,1.20669,operating_accruals
SYK,LONG,1.45312,1.42312,0.03919,0.78874,-0.02705,0.88466,operating_accruals
TXN,LONG,1.44833,2.21238,0.03843,0.76125,-0.03154,1.06991,operating_accruals
FTNT,LONG,1.41213,1.36824,0.05558,1.37904,-0.01099,0.22363,fcf_to_assets
HLT,LONG,1.40595,1.31507,0.03717,0.7159,-0.01422,0.35654,fcf_to_assets
ABBV,LONG,1.37461,1.83227,0.0365,0.69169,-0.0254,0.81672,operating_accruals
DAL,LONG,1.33871,1.25571,0.01459,-0.09735,-0.03223,1.09799,operating_accruals
WM,LONG,1.33545,0.68153,0.01862,0.04779,-0.01702,0.472,operating_accruals
VRTX,LONG,1.33036,1.29798,0.04888,1.13797,-0.01498,0.38779,fcf_to_assets
IDXX,LONG,1.32521,1.27744,0.0692,1.86963,0.0036,-0.37733,fcf_to_assets
MCK,LONG,1.28008,1.24203,0.04021,0.82537,-0.02112,0.64082,fcf_to_assets
HTHIY,LONG,1.26844,1.18395,0.02441,0.25646,-0.02239,0.69303,operating_accruals
CDNS,LONG,1.20307,1.96839,0.05047,1.19514,-0.01629,0.44161,fcf_to_assets
HST,LONG,1.19934,1.16618,0.02675,0.34043,-0.03096,1.04582,operating_accruals
PKG,LONG,1.18461,1.10545,0.01168,-0.20225,-0.03163,1.07324,operating_accruals
HOOD,LONG,1.17613,1.0929,0.02626,0.32285,-0.01896,0.55155,operating_accruals
UNP,LONG,1.14271,0.49167,0.02158,0.15441,-0.01061,0.20794,operating_accruals
XYZ,LONG,1.123,1.09141,0.02338,0.21936,-0.03187,1.08321,operating_accruals
CCI,LONG,1.11982,1.03784,0.02573,0.30391,-0.01827,0.52351,operating_accruals
GEN,LONG,1.10495,1.07009,0.03379,0.59436,-0.02204,0.67874,operating_accruals
CAG,LONG,1.09801,1.01684,0.0244,0.256,-0.01898,0.55241,operating_accruals
CAH,LONG,1.0796,1.04627,0.02958,0.44263,-0.02512,0.80536,operating_accruals
ITW,LONG,1.0792,1.28002,0.05313,1.29104,-0.01071,0.21214,fcf_to_assets
CTAS,LONG,1.07829,0.9924,0.04194,0.8878,-0.00354,-0.08317,fcf_to_assets
MNST,LONG,1.07714,1.03592,0.05389,1.31834,-0.00327,-0.09416,fcf_to_assets
AAPL,LONG,1.06719,1.41307,0.07204,1.9719,0.00236,-0.32619,fcf_to_assets
SONY,HOLD,1.04843,1.01709,0.0241,0.2453,-0.02917,0.97208,operating_accruals
RCL,HOLD,1.01085,0.97725,0.03177,0.52141,-0.02127,0.64671,operating_accruals
NWS,HOLD,1.00118,0.9696,0.02571,0.30333,-0.02642,0.85905,operating_accruals
NWSA,HOLD,1.00118,0.9696,0.02571,0.30333,-0.02642,0.85905,operating_accruals
OTIS,HOLD,0.99522,0.91266,0.03605,0.67548,-0.00692,0.05617,fcf_to_assets
MELI,HOLD,0.97117,0.93928,0.02729,0.36021,-0.02418,0.76677,operating_accruals
LH,HOLD,0.95975,0.92813,0.02666,0.33726,-0.02444,0.77732,operating_accruals
ELV,HOLD,0.9587,1.4256,0.03256,0.54994,-0.02041,0.61138,operating_accruals
B,HOLD,0.95064,0.9175,0.0315,0.51161,-0.01985,0.58844,operating_accruals
GILD,HOLD,0.93662,0.9086,0.04312,0.93048,-0.00929,0.15367,fcf_to_assets
JKHY,HOLD,0.93479,0.89803,0.04296,0.92443,-0.00915,0.14774,fcf_to_assets
META,HOLD,0.91583,1.1408,0.03347,0.58269,-0.0138,0.33908,fcf_to_assets
PSA,HOLD,0.87916,0.80019,0.0315,0.51172,-0.00849,0.12061,fcf_to_assets
KEYS,HOLD,0.86443,0.83055,0.03545,0.65401,-0.01394,0.34485,fcf_to_assets
DOW,HOLD,0.86188,0.78939,0.01039,-0.24879,-0.02625,0.85172,operating_accruals
APD,HOLD,0.84122,1.34343,0.05655,1.41398,-0.00944,0.15989,fcf_to_assets
IBM,HOLD,0.80326,1.58215,0.03058,0.47869,-0.0253,0.81289,operating_accruals
MA,HOLD,0.80322,0.32175,0.05424,1.33098,0.01683,-0.92216,fcf_to_assets
GLW,HOLD,0.78916,0.71528,0.02002,0.098,-0.01653,0.45162,operating_accruals
ROL,HOLD,0.78024,0.70211,0.0352,0.64486,-0.00333,-0.09178,fcf_to_assets
LYG,HOLD,0.77403,0.69653,0.03347,0.58261,-0.00469,-0.0359,fcf_to_assets
ALL,HOLD,0.768,0.69209,0.02841,0.40041,-0.0089,0.13769,fcf_to_assets
NOK,HOLD,0.76266,0.69021,0.01687,-0.01529,-0.01869,0.54072,operating_accruals
CMCSA,HOLD,0.76046,0.68788,0.01746,0.006,-0.01814,0.51803,operating_accruals
SMFG,HOLD,0.73781,0.70903,0.02226,0.17869,-0.02227,0.68796,operating_accruals
FIX,HOLD,0.72927,0.65226,0.03479,0.63009,-0.00266,-0.11949,fcf_to_assets
ABT,HOLD,0.72922,1.20124,0.03028,0.46792,-0.01775,0.50181,operating_accruals
NET,HOLD,0.71673,0.69088,0.01364,-0.13164,-0.02941,0.98183,operating_accruals
DB,HOLD,0.70639,0.63985,0.00032,-0.61128,-0.03175,1.07831,operating_accruals
MCHP,HOLD,0.70628,0.67769,0.02226,0.17891,-0.0214,0.65198,operating_accruals
TECH,HOLD,0.70148,0.67028,0.03041,0.4726,-0.01396,0.3458,fcf_to_assets
APH,HOLD,0.6917,1.46986,0.04052,0.83683,-0.01453,0.36951,fcf_to_assets
ESS,HOLD,0.6716,0.59989,0.02042,0.11252,-0.01382,0.34007,operating_accruals
BIIB,HOLD,0.67117,0.59853,0.02363,0.22822,-0.01106,0.2263,fcf_to_assets
DASH,HOLD,0.65554,0.62758,0.02131,0.14458,-0.02085,0.62958,operating_accruals
RSG,HOLD,0.64805,0.62001,0.0217,0.15888,-0.02029,0.60644,operating_accruals
FCX,HOLD,0.64124,0.56731,0.03007,0.46017,-0.00493,-0.02581,fcf_to_assets
KO,HOLD,0.62947,0.90763,0.02742,0.36471,-0.01417,0.3544,fcf_to_assets
ON,HOLD,0.62007,0.59336,0.01817,0.03143,-0.02269,0.70522,operating_accruals
CYATY,HOLD,0.59542,0.52522,0.02032,0.1091,-0.01237,0.28037,operating_accruals
BTI,HOLD,0.59107,0.51732,0.0328,0.55866,-0.00158,-0.16387,fcf_to_assets
AMD,HOLD,0.57454,0.93649,0.03222,0.53762,-0.01974,0.58375,operating_accruals
NDSN,HOLD,0.57255,0.5425,0.02934,0.43377,-0.01137,0.23932,fcf_to_assets
CHTR,HOLD,0.52324,0.45763,0.00937,-0.28546,-0.02031,0.60734,operating_accruals
KMI,HOLD,0.52286,0.45381,0.02121,0.1409,-0.01015,0.18912,operating_accruals
DHI,HOLD,0.50332,0.43388,0.02386,0.23662,-0.00748,0.07914,fcf_to_assets
ISRG,HOLD,0.49323,0.96696,0.04021,0.82537,-0.00449,-0.04389,fcf_to_assets
MUFG,HOLD,0.46549,0.43959,0.01867,0.04951,-0.01798,0.51136,operating_accruals
TMUS,HOLD,0.46042,0.39661,0.00738,-0.35729,-0.02076,0.62575,operating_accruals
CAT,HOLD,0.43864,0.65041,0.03192,0.52692,-0.01207,0.26806,fcf_to_assets
PODD,HOLD,0.41778,0.3889,0.02879,0.4141,-0.0076,0.08392,fcf_to_assets
MO,HOLD,0.41641,1.40457,0.06451,1.70083,-0.00408,-0.0611,fcf_to_assets
NDAQ,HOLD,0.4057,0.3384,0.02304,0.20693,-0.00623,0.02743,fcf_to_assets
ALAB,HOLD,0.39412,0.36161,0.04039,0.83189,0.00344,-0.37074,fcf_to_assets
CB,HOLD,0.39348,0.08169,0.01748,0.00679,-0.0057,0.00552,fcf_to_assets
TMO,HOLD,0.37931,0.85906,0.02712,0.35376,-0.01343,0.32406,fcf_to_assets
AOS,HOLD,0.37832,0.34846,0.03257,0.55037,-0.00312,-0.10038,fcf_to_assets
EOG,HOLD,0.37551,0.65242,0.02477,0.26918,-0.01847,0.53162,operating_accruals
BR,HOLD,0.3732,0.3433,0.03275,0.55668,-0.00282,-0.11265,fcf_to_assets
STM,HOLD,0.36414,0.30255,0.00619,-0.40012,-0.01984,0.58803,operating_accruals
NVS,HOLD,0.36387,0.29704,0.0242,0.2489,-0.00439,-0.04834,fcf_to_assets
MSCI,HOLD,0.36177,0.28744,0.05013,1.18293,0.01789,-0.96556,fcf_to_assets
DLR,HOLD,0.35838,0.29447,0.01455,-0.09883,-0.01255,0.28794,operating_accruals
TEL,HOLD,0.35039,0.28395,0.02375,0.23273,-0.0045,-0.04364,fcf_to_assets
PCAR,HOLD,0.3394,0.27458,0.01893,0.05902,-0.00842,0.11752,operating_accruals
CSX,HOLD,0.33917,0.27507,0.01648,-0.0293,-0.01051,0.20391,operating_accruals
CVX,HOLD,0.33387,0.6137,0.01661,-0.02451,-0.02463,0.78514,operating_accruals
EL,HOLD,0.31463,0.29063,0.01577,-0.0551,-0.01643,0.44738,operating_accruals
PLD,HOLD,0.28676,-0.55428,0.01173,-0.20037,0.00245,-0.32973,operating_accruals
EPD,HOLD,0.28314,0.22055,0.01503,-0.0815,-0.01063,0.20868,operating_accruals
MSFT,HOLD,0.27875,1.07012,0.02276,0.19699,-0.02146,0.65482,operating_accruals
JNJ,HOLD,0.27388,0.75558,0.02747,0.36651,-0.01101,0.22429,fcf_to_assets
CPT,HOLD,0.2613,0.19721,0.02166,0.15715,-0.00451,-0.04331,fcf_to_assets
PGR,HOLD,0.2588,0.19385,0.02478,0.26969,-0.00178,-0.15568,fcf_to_assets
BDX,HOLD,0.25626,0.23427,0.01074,-0.23607,-0.01932,0.5665,operating_accruals
DECK,HOLD,0.25538,0.22247,0.0443,0.97296,0.01077,-0.67256,fcf_to_assets
CSGP,HOLD,0.25375,0.1933,0.00964,-0.27566,-0.01466,0.37466,operating_accruals
CINF,HOLD,0.25123,0.18902,0.01587,-0.05131,-0.00927,0.15268,operating_accruals
EQNR,HOLD,0.23065,0.20748,0.01486,-0.08784,-0.01493,0.38565,operating_accruals
C,HOLD,0.21614,-0.08984,0.00938,-0.2851,-0.00908,0.14482,fcf_to_assets
AIZ,HOLD,0.19978,0.17615,0.01686,-0.01579,-0.01229,0.27687,operating_accruals
AMT,HOLD,0.19904,0.13808,0.01505,-0.08082,-0.00892,0.13839,operating_accruals
AKAM,HOLD,0.18531,0.16389,0.01036,-0.24976,-0.0177,0.50004,operating_accruals
STE,HOLD,0.17944,0.1553,0.01884,0.05553,-0.00995,0.18076,operating_accruals
AME,HOLD,0.17128,0.14482,0.02612,0.31803,-0.0032,-0.09729,fcf_to_assets
IQV,HOLD,0.16454,0.14124,0.01655,-0.02696,-0.01159,0.24833,operating_accruals
ARES,HOLD,0.16278,0.10291,0.01377,-0.1271,-0.00929,0.15375,operating_accruals
T,HOLD,0.1619,0.40814,0.0108,-0.23388,-0.01808,0.51536,operating_accruals
CNQ,HOLD,0.15835,0.13635,0.01265,-0.1672,-0.01491,0.38491,operating_accruals
GE,HOLD,0.14607,-0.48267,0.01162,-0.20455,0.00088,-0.26521,operating_accruals
KMB,HOLD,0.14158,0.08068,0.01868,0.04991,-0.00466,-0.0373,fcf_to_assets
COIN,HOLD,0.13755,0.11773,0.00634,-0.39479,-0.02,0.59437,operating_accruals
HSY,HOLD,0.12628,0.10028,0.02559,0.29886,-0.00244,-0.12871,fcf_to_assets
ACGL,HOLD,0.12251,0.06137,0.02077,0.12534,-0.00248,-0.12702,operating_accruals
COF,HOLD,0.10842,0.04971,0.0134,-0.14029,-0.00852,0.12168,fcf_to_assets
STZ,HOLD,0.10459,0.04488,0.0171,-0.00682,-0.00526,-0.01231,operating_accruals
AVB,HOLD,0.10174,0.0439,0.01086,-0.23197,-0.01056,0.20601,fcf_to_assets
FTV,HOLD,0.09848,0.07513,0.01797,0.02444,-0.00849,0.12077,operating_accruals
MCD,HOLD,0.09772,0.37339,0.02882,0.41504,-0.00715,0.06527,fcf_to_assets
VZ,HOLD,0.09591,0.34343,0.0108,-0.23395,-0.01675,0.4608,operating_accruals
ITUB,HOLD,0.07714,0.05502,0.01463,-0.09598,-0.0109,0.21988,operating_accruals
MGM,HOLD,0.0707,0.01372,0.00998,-0.26356,-0.01069,0.21128,fcf_to_assets
WBD,HOLD,0.05221,0.03658,-0.00487,-0.79824,-0.02768,0.91072,operating_accruals
HUM,HOLD,0.04867,-0.01095,0.0205,0.11533,-0.00123,-0.17833,operating_accruals
SPG,HOLD,0.04166,0.01939,0.01577,-0.05502,-0.0089,0.13769,operating_accruals
TT,HOLD,0.03886,0.01399,0.02381,0.23456,-0.00163,-0.16202,fcf_to_assets
MSI,HOLD,0.0304,0.00669,0.02039,0.11144,-0.00445,-0.04554,fcf_to_assets
PYPL,HOLD,0.02758,-0.43501,0.01131,-0.21558,-0.00026,-0.21823,operating_accruals
MAR,HOLD,0.02474,0.30173,0.02613,0.31839,-0.00754,0.08145,fcf_to_assets
SO,HOLD,0.02205,-1.18613,-0.01094,-1.01712,0.00083,-0.26307,fcf_to_assets
SAN,HOLD,0.00987,-0.04607,0.01043,-0.24713,-0.00908,0.14482,fcf_to_assets
INVH,HOLD,0.00407,-0.05239,0.01262,-0.16839,-0.00709,0.06284,fcf_to_assets
DIS,HOLD,0.0,0.78438,0.02408,0.24433,-0.02274,0.70744,operating_accruals
NEE,HOLD,-0.0,-0.93581,-0.00262,-0.71734,-0.00195,-0.14864,fcf_to_assets
SHW,HOLD,-0.0,-1.65242,3e-05,-0.62191,0.015,-0.84648,operating_accruals
SLB,HOLD,-0.0,2.92197,0.04536,1.0111,-0.04019,1.42575,operating_accruals
MTD,HOLD,-0.00306,-0.03077,0.03336,0.57858,0.00808,-0.56184,fcf_to_assets
PH,HOLD,-0.00912,0.20652,0.02872,0.41147,-0.00261,-0.12159,fcf_to_assets
DUK,HOLD,-0.02205,-1.22928,-0.01301,-1.09154,0.00019,-0.23688,fcf_to_assets
FFIV,HOLD,-0.03809,-0.09697,0.02376,0.23291,0.00331,-0.36539,operating_accruals
FLEX,HOLD,-0.05391,-0.0747,0.01306,-0.15239,-0.00869,0.12901,fcf_to_assets
TRV,HOLD,-0.05774,-0.11381,0.01545,-0.06662,-0.00342,-0.08807,operating_accruals
RTX,HOLD,-0.06206,-0.68545,0.00711,-0.36702,0.0012,-0.27826,fcf_to_assets
VLO,HOLD,-0.07648,-0.09931,0.01979,0.09,-0.00204,-0.14481,operating_accruals
ROK,HOLD,-0.09659,-0.12081,0.02443,0.25708,0.00266,-0.33871,operating_accruals
RVTY,HOLD,-0.10514,-0.12572,0.0134,-0.14014,-0.00698,0.05835,fcf_to_assets
PBR,HOLD,-0.11193,-0.13255,0.01367,-0.13053,-0.00655,0.04081,fcf_to_assets
COP,HOLD,-0.11885,0.16567,0.01098,-0.22761,-0.01721,0.47962,operating_accruals
LITE,HOLD,-0.12051,-0.14029,0.01125,-0.21756,-0.00848,0.1202,fcf_to_assets
HD,HOLD,-0.12246,0.15688,0.02178,0.16158,-0.00738,0.07507,fcf_to_assets
REGN,HOLD,-0.13189,0.35966,0.02076,0.12473,-0.00861,0.12538,operating_accruals
DVA,HOLD,-0.13195,-0.15206,0.0125,-0.17256,-0.00705,0.06115,fcf_to_assets
AXP,HOLD,-0.13475,-0.43368,0.0086,-0.31338,-0.0027,-0.11792,fcf_to_assets
AMGN,HOLD,-0.13877,-0.15115,0.01597,-0.04782,-0.004,-0.06427,operating_accruals
BXP,HOLD,-0.14855,-0.20134,0.01021,-0.25527,-0.00609,0.02166,fcf_to_assets
O,HOLD,-0.15037,-0.17,0.01138,-0.21316,-0.00755,0.08182,fcf_to_assets
AJG,HOLD,-0.15678,-0.17596,0.0101,-0.25931,-0.00852,0.1218,fcf_to_assets
DHR,HOLD,-0.15835,-0.21176,0.01299,-0.15517,-0.00351,-0.08457,fcf_to_assets
ICE,HOLD,-0.15864,-0.61846,0.00642,-0.3918,0.00049,-0.24898,fcf_to_assets
EFX,HOLD,-0.15955,-0.21211,0.01017,-0.2565,-0.0059,0.01376,fcf_to_assets
CVS,HOLD,-0.17873,-0.19004,0.01344,-0.13885,-0.00516,-0.01638,fcf_to_assets
ASX,HOLD,-0.18307,-0.22918,-0.01042,-0.9982,-0.02308,0.72128,fcf_to_assets
CNI,HOLD,-0.19471,-0.24767,0.01389,-0.1226,-0.002,-0.14658,operating_accruals
ALB,HOLD,-0.19746,-0.21841,0.01635,-0.03395,-0.00179,-0.1551,operating_accruals
SU,HOLD,-0.20159,-0.22182,0.0142,-0.11151,-0.00361,-0.08037,fcf_to_assets
PG,HOLD,-0.20957,0.08604,0.02357,0.2261,-0.0006,-0.20427,fcf_to_assets
EXR,HOLD,-0.21525,-0.26737,0.01238,-0.17696,-0.00288,-0.11031,fcf_to_assets
TRP,HOLD,-0.21621,-0.23469,0.0091,-0.29526,-0.00778,0.09121,fcf_to_assets
CDW,HOLD,-0.21646,-0.23688,0.0151,-0.07916,-0.00239,-0.13036,operating_accruals
SPGI,HOLD,-0.2198,-0.5194,0.01661,-0.02451,0.00589,-0.47146,operating_accruals
JCI,HOLD,-0.2264,-0.24697,0.01575,-0.05571,-0.00154,-0.16565,operating_accruals
IBKR,HOLD,-0.22939,-0.2799,0.00781,-0.34169,-0.00652,0.03945,fcf_to_assets
ES,HOLD,-0.23355,-0.25054,0.00487,-0.44763,-0.01109,0.22758,fcf_to_assets
WMB,HOLD,-0.24007,-0.25676,0.0041,-0.47544,-0.0116,0.24866,fcf_to_assets
BLDR,HOLD,-0.24408,-0.26059,0.0036,-0.49324,-0.01193,0.26233,fcf_to_assets
KIM,HOLD,-0.24618,-0.26554,0.01241,-0.1761,-0.00399,-0.06481,fcf_to_assets
BAX,HOLD,-0.25282,-0.26935,0.00383,-0.48506,-0.01149,0.24405,fcf_to_assets
HWM,HOLD,-0.2537,-0.27792,0.02747,0.36669,0.00972,-0.62916,operating_accruals
FRT,HOLD,-0.25496,-0.27455,0.0133,-0.144,-0.00295,-0.10763,fcf_to_assets
MDLN,HOLD,-0.26762,-0.28545,0.0081,-0.33121,-0.00725,0.06971,fcf_to_assets
HIG,HOLD,-0.27681,-0.32754,0.01175,-0.19983,-0.00219,-0.13884,fcf_to_assets
BCS,HOLD,-0.28087,-0.32844,0.00113,-0.58211,-0.01121,0.23248,fcf_to_assets
SBAC,HOLD,-0.28236,-0.33564,0.02085,0.12794,0.00573,-0.4647,operating_accruals
EQIX,HOLD,-0.28676,-1.10941,-0.01318,-1.09773,-0.00738,0.07507,fcf_to_assets
LDOS,HOLD,-0.28744,-0.30821,0.01755,0.0091,0.00176,-0.30124,operating_accruals
GL,HOLD,-0.2932,-0.34332,0.01071,-0.23708,-0.00275,-0.11591,fcf_to_assets
NUE,HOLD,-0.29381,-0.34077,-9e-05,-0.62605,-0.01199,0.26484,fcf_to_assets
EQR,HOLD,-0.2943,-0.34524,0.01361,-0.13265,-0.00024,-0.21917,operating_accruals
SNY,HOLD,-0.29921,-0.34992,0.01315,-0.14944,-0.00054,-0.20678,operating_accruals
BABA,HOLD,-0.31348,-0.32955,0.0036,-0.49338,-0.01002,0.18377,fcf_to_assets
AEE,HOLD,-0.32083,-0.33514,-0.00165,-0.68243,-0.01452,0.36902,fcf_to_assets
DOC,HOLD,-0.32498,-0.34337,0.01096,-0.22815,-0.00311,-0.10088,fcf_to_assets
AZN,HOLD,-0.32668,-0.37654,0.01207,-0.18831,-0.00091,-0.19142,operating_accruals
FDS,HOLD,-0.34164,-0.39394,0.02143,0.14887,0.00741,-0.53429,operating_accruals
KVUE,HOLD,-0.35024,-0.36914,0.01303,-0.15351,-0.00056,-0.20596,operating_accruals
PWR,HOLD,-0.35151,-0.36834,0.00667,-0.38283,-0.00623,0.02743,fcf_to_assets
RL,HOLD,-0.35569,-0.37507,0.01458,-0.09775,0.00098,-0.26924,operating_accruals
EMR,HOLD,-0.36262,-0.14077,0.01649,-0.02901,-0.00382,-0.07148,operating_accruals
NXPI,HOLD,-0.36708,-0.4203,0.02633,0.32563,0.01213,-0.7286,operating_accruals
SATS,HOLD,-0.37404,-0.38938,0.00253,-0.53171,-0.00931,0.15433,fcf_to_assets
GPN,HOLD,-0.3802,-0.39679,0.00651,-0.38863,-0.00558,0.00083,fcf_to_assets
DGX,HOLD,-0.38965,-0.43764,0.00984,-0.26867,-0.00156,-0.16478,fcf_to_assets
MRK,HOLD,-0.39793,-0.40782,0.01333,-0.14292,0.00077,-0.26084,operating_accruals
KHC,HOLD,-0.39874,-0.41613,0.00934,-0.28668,-0.00253,-0.12459,fcf_to_assets
USB,HOLD,-0.4044,-0.69677,0.0041,-0.47544,-0.00113,-0.18228,fcf_to_assets
CME,HOLD,-0.40747,-0.7002,0.00555,-0.42317,0.00017,-0.23606,fcf_to_assets
