side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,cohort,liquidity_proxy,review_status,fcf_to_assets,avail_fcf_to_assets,operating_accruals,avail_operating_accruals
LONG,72,UBER,1.46949,1.67271,Industrials,False,old,1144371239.26847,PAPER_REVIEW_ONLY,0.03817,2026-05-06,-0.03487,2026-05-06
LONG,73,SYK,1.45312,1.42312,Health Care,False,old,326609661.47476,PAPER_REVIEW_ONLY,0.03919,2026-02-11,-0.02705,2026-02-11
LONG,74,TXN,1.44833,2.21238,Information Technology,False,old,749828388.64047,PAPER_REVIEW_ONLY,0.03843,2026-02-06,-0.03154,2026-02-06
LONG,75,FTNT,1.41213,1.36824,Unknown,True,old,271073332.35016,PAPER_REVIEW_ONLY,0.05558,2026-02-25,-0.01099,2026-02-25
LONG,76,HLT,1.40595,1.31507,Unknown,True,old,289118572.54942,PAPER_REVIEW_ONLY,0.03717,2026-04-28,-0.01422,2026-04-28
LONG,77,ABBV,1.37461,1.83227,Health Care,False,old,711331046.80779,PAPER_REVIEW_ONLY,0.0365,2026-02-20,-0.0254,2026-02-20
LONG,78,DAL,1.33871,1.25571,Unknown,True,new,488197019.72262,PAPER_REVIEW_ONLY,0.01459,2026-04-08,-0.03223,2026-04-08
LONG,79,WM,1.33545,0.68153,Industrials,False,old,235856621.79415,PAPER_REVIEW_ONLY,0.01862,2026-04-29,-0.01702,2026-04-29
LONG,80,VRTX,1.33036,1.29798,Health Care,False,old,403766019.06806,PAPER_REVIEW_ONLY,0.04888,2026-05-05,-0.01498,2026-05-05
LONG,81,IDXX,1.32521,1.27744,Unknown,True,new,190059477.03108,PAPER_REVIEW_ONLY,0.0692,2026-05-05,0.0036,2026-05-05
LONG,82,MCK,1.28008,1.24203,Unknown,True,old,342493152.87244,PAPER_REVIEW_ONLY,0.04021,2026-05-08,-0.02112,2026-05-08
LONG,83,HTHIY,1.26844,1.18395,Unknown,True,old,4995539.07038,PAPER_REVIEW_ONLY,0.02441,2026-03-31,-0.02239,2026-03-31
LONG,84,CDNS,1.20307,1.96839,Information Technology,False,old,280341195.76926,PAPER_REVIEW_ONLY,0.05047,2026-02-19,-0.01629,2026-02-19
LONG,85,HST,1.19934,1.16618,Unknown,True,new,137963806.01482,PAPER_REVIEW_ONLY,0.02675,2026-02-25,-0.03096,2026-02-25
LONG,86,PKG,1.18461,1.10545,Unknown,True,new,103164368.73084,PAPER_REVIEW_ONLY,0.01168,2026-02-26,-0.03163,2026-02-26
LONG,87,HOOD,1.17613,1.0929,Unknown,True,old,1095181252.01026,PAPER_REVIEW_ONLY,0.02626,2026-04-29,-0.01896,2026-04-29
LONG,88,UNP,1.14271,0.49167,Industrials,False,old,545968024.69713,PAPER_REVIEW_ONLY,0.02158,2026-04-23,-0.01061,2026-04-23
LONG,89,XYZ,1.123,1.09141,Unknown,True,new,859760671.18819,PAPER_REVIEW_ONLY,0.02338,2026-05-07,-0.03187,2026-05-07
LONG,90,CCI,1.11982,1.03784,Unknown,True,new,286754497.67182,PAPER_REVIEW_ONLY,0.02573,2026-02-23,-0.01827,2026-02-23
LONG,91,GEN,1.10495,1.07009,Unknown,True,new,143107643.43345,PAPER_REVIEW_ONLY,0.03379,2026-02-06,-0.02204,2026-02-06
LONG,92,CAG,1.09801,1.01684,Unknown,True,new,150930119.64734,PAPER_REVIEW_ONLY,0.0244,2026-04-01,-0.01898,2026-04-01
LONG,93,CAH,1.0796,1.04627,Unknown,True,new,204013506.70309,PAPER_REVIEW_ONLY,0.02958,2026-04-30,-0.02512,2026-04-30
LONG,94,ITW,1.0792,1.28002,Industrials,False,old,211104910.15938,PAPER_REVIEW_ONLY,0.05313,2026-02-13,-0.01071,2026-02-13
LONG,95,CTAS,1.07829,0.9924,Unknown,True,old,181261743.2487,PAPER_REVIEW_ONLY,0.04194,2026-01-07,-0.00354,2026-01-07
LONG,96,MNST,1.07714,1.03592,Unknown,True,old,236069285.08957,PAPER_REVIEW_ONLY,0.05389,2026-05-08,-0.00327,2026-05-08
LONG,97,AAPL,1.06719,1.41307,Information Technology,False,old,9706746175.48209,PAPER_REVIEW_ONLY,0.07204,2026-05-01,0.00236,2026-05-01
SHORT,387,SCHW,-1.04194,-1.32017,Financials,False,old,516626926.67617,PAPER_REVIEW_ONLY,-0.00188,2026-02-25,0.00656,2026-02-25
SHORT,388,CMI,-1.04469,-1.0561,Unknown,True,old,238863823.3799,PAPER_REVIEW_ONLY,0.00348,2026-05-05,0.01002,2026-05-05
SHORT,389,ORLY,-1.05032,0.07642,Consumer Discretionary,False,old,331905142.43974,PAPER_REVIEW_ONLY,0.02204,2026-02-27,-0.00171,2026-02-27
SHORT,390,E,-1.05492,-1.0852,Unknown,True,old,7814921.40373,PAPER_REVIEW_ONLY,-0.00653,2026-04-24,-0.00222,2026-04-24
SHORT,391,L,-1.05644,-1.06614,Unknown,True,new,53612241.41802,PAPER_REVIEW_ONLY,-0.00154,2026-05-04,0.00584,2026-05-04
SHORT,392,ERIE,-1.06155,-1.0983,Unknown,True,new,24829924.91114,PAPER_REVIEW_ONLY,0.01613,2026-04-23,0.01735,2026-04-23
SHORT,393,ING,-1.06175,-1.07193,Unknown,True,old,38355191.62686,PAPER_REVIEW_ONLY,3e-05,2022-12-31,0.00739,2026-02-26
SHORT,394,PPL,-1.06394,-1.07058,Unknown,True,new,163763278.64681,PAPER_REVIEW_ONLY,-0.01082,2026-05-08,-0.00227,2026-05-08
SHORT,395,CFG,-1.08461,-1.11588,Unknown,True,new,190185768.06626,PAPER_REVIEW_ONLY,-0.0011,2026-02-12,0.00303,2026-02-12
SHORT,396,ETN,-1.08894,-0.85899,Industrials,False,old,369226170.9359,PAPER_REVIEW_ONLY,0.0057,2026-05-05,0.00652,2026-05-05
SHORT,397,TM,-1.09689,-1.10544,Unknown,True,old,38922415.21987,PAPER_REVIEW_ONLY,-0.0043,2026-02-06,0.00448,2026-02-06
SHORT,398,BP,-1.10227,-1.13316,Unknown,True,old,240867244.33487,PAPER_REVIEW_ONLY,-0.00126,2026-04-14,0.00325,2026-04-14
SHORT,399,INTC,-1.11883,-0.29005,Information Technology,False,old,1776537843.29757,PAPER_REVIEW_ONLY,-0.01237,2026-04-24,-0.02349,2026-04-24
SHORT,400,BN,-1.13532,-1.14152,Unknown,True,old,90930847.89922,PAPER_REVIEW_ONLY,-0.01074,2026-05-14,-0.00023,2026-05-14
SHORT,401,NSC,-1.1465,-1.17665,Unknown,True,old,274892312.24583,PAPER_REVIEW_ONLY,-0.00084,2026-04-24,0.0045,2026-04-24
SHORT,402,AWK,-1.16119,-1.18838,Unknown,True,new,132511710.03552,PAPER_REVIEW_ONLY,-0.01004,2026-04-29,-0.00309,2026-04-29
SHORT,403,BKR,-1.16959,-1.20047,Unknown,True,old,192894279.49254,PAPER_REVIEW_ONLY,0.00322,2026-04-24,0.00845,2026-04-24
SHORT,404,BMY,-1.17934,-1.1828,Health Care,False,old,567344516.14065,PAPER_REVIEW_ONLY,0.00875,2026-04-30,0.0182,2026-04-30
SHORT,405,NI,-1.1811,-1.18729,Unknown,True,new,106610789.25277,PAPER_REVIEW_ONLY,-0.00992,2026-05-06,0.00177,2026-05-06
SHORT,406,MDLZ,-1.21692,-0.89549,Consumer Staples,False,old,377981493.17802,PAPER_REVIEW_ONLY,0.00218,2026-04-28,0.00131,2026-04-28
SHORT,407,AFL,-1.22577,-1.25541,Unknown,True,old,161129769.15054,PAPER_REVIEW_ONLY,0.0027,2026-02-25,0.00914,2026-02-25
SHORT,408,RJF,-1.2348,-1.26329,Unknown,True,new,125825031.47223,PAPER_REVIEW_ONLY,-0.00063,2026-02-06,0.00646,2026-02-06
SHORT,409,RF,-1.23874,-1.26676,Unknown,True,new,205680208.27514,PAPER_REVIEW_ONLY,-0.00202,2026-02-24,0.00535,2026-02-24
SHORT,410,UNH,-1.24685,-0.72772,Health Care,False,old,1469841488.17719,PAPER_REVIEW_ONLY,0.00052,2026-03-02,-0.00355,2026-03-02
SHORT,411,GPC,-1.25068,-1.27858,Unknown,True,new,110323725.58213,PAPER_REVIEW_ONLY,-0.0016,2026-04-21,0.00594,2026-04-21
SHORT,412,F,-1.2638,-1.29082,Unknown,True,old,553827128.58296,PAPER_REVIEW_ONLY,-0.00375,2026-04-30,0.00436,2026-04-30
SHORT,413,D,-1.30171,-1.30448,Unknown,True,old,222641279.88155,PAPER_REVIEW_ONLY,-0.01806,2026-05-01,-0.0022,2026-05-01
SHORT,414,BAC,-1.36694,-1.63743,Financials,False,old,1561296962.5664,PAPER_REVIEW_ONLY,-0.00673,2026-02-25,0.00894,2026-02-25
SHORT,415,TAP,-1.36913,-1.37402,Unknown,True,new,120472766.09761,PAPER_REVIEW_ONLY,-0.01025,2026-04-30,0.00665,2026-04-30
SHORT,416,CPRT,-1.38162,-1.39154,Unknown,True,new,374757415.87143,PAPER_REVIEW_ONLY,0.00546,2026-03-03,0.02107,2026-03-03
SHORT,417,CTSH,-1.41623,-1.44419,Unknown,True,new,269007411.97371,PAPER_REVIEW_ONLY,0.00966,2026-04-29,0.01893,2026-04-29
SHORT,418,IBN,-1.4442,-1.46888,Unknown,True,old,113348113.4529,PAPER_REVIEW_ONLY,0.00026,2023-06-30,0.01143,2025-10-24
SHORT,419,TTE,-1.44783,-1.47122,Unknown,True,old,79104350.05866,PAPER_REVIEW_ONLY,-0.00394,2026-04-29,0.0079,2026-04-29
SHORT,420,NRG,-1.45547,-1.45921,Unknown,True,new,168294833.85724,PAPER_REVIEW_ONLY,-0.01213,2026-05-06,0.00734,2026-05-06
SHORT,421,LHX,-1.47938,-1.48538,Unknown,True,new,221418959.28478,PAPER_REVIEW_ONLY,-0.00469,2026-04-30,0.01467,2026-04-30
SHORT,422,CPAY,-1.47943,-1.48565,Unknown,True,new,155115364.28284,PAPER_REVIEW_ONLY,-0.00404,2026-05-08,0.01525,2026-05-08
SHORT,423,BEN,-1.48384,-1.50741,Unknown,True,new,99150523.32977,PAPER_REVIEW_ONLY,-0.00092,2026-04-28,0.01121,2026-04-28
SHORT,424,CEG,-1.5209,-1.52531,Unknown,True,old,540871309.21474,PAPER_REVIEW_ONLY,-0.00877,2026-05-11,0.01215,2026-05-11
SHORT,425,TDG,-1.52666,-1.2929,Industrials,False,old,196735225.71109,PAPER_REVIEW_ONLY,0.00252,2026-05-05,0.01572,2026-05-05
SHORT,426,BNY,-1.57397,-1.59417,Unknown,True,old,232481474.41519,PAPER_REVIEW_ONLY,-0.00647,2026-04-16,0.00827,2026-04-16
SHORT,427,LMT,-1.57987,-2.17023,Industrials,False,old,493019038.92022,PAPER_REVIEW_ONLY,-0.00491,2026-04-23,0.02141,2026-04-23
SHORT,428,ED,-1.59338,-1.59584,Unknown,True,new,175212415.37233,PAPER_REVIEW_ONLY,-0.01337,2026-05-07,0.01004,2026-05-07
SHORT,429,CBOE,-1.60578,-1.61436,Unknown,True,new,112804329.66003,PAPER_REVIEW_ONLY,0.00567,2026-03-31,0.02743,2026-03-31
SHORT,430,GS,-1.6061,-1.8712,Financials,False,old,851186925.13874,PAPER_REVIEW_ONLY,-0.00929,2026-02-25,0.01155,2026-02-25
SHORT,431,FIS,-1.62788,-1.63967,Unknown,True,new,309641734.34643,PAPER_REVIEW_ONLY,0.01598,2026-05-08,0.03728,2026-05-08
