date,symbol,cohort,driver
2025-06-20,ADI,cohort_high_beta,market
2025-06-27,ADI,cohort_high_beta,market
2025-07-03,ADI,cohort_high_beta,market
2025-07-11,ADI,cohort_high_beta,market
2025-07-18,ADI,cohort_high_beta,market
2025-07-25,ADI,cohort_high_beta,market
2025-08-01,ADI,cohort_high_beta,market
2025-08-08,ADI,cohort_high_beta,market
2025-08-15,ADI,cohort_high_beta,market
2025-08-22,ADI,cohort_high_beta,market
2025-08-29,ADI,cohort_high_beta,market
2025-09-05,ADI,cohort_high_beta,market
2025-09-12,ADI,cohort_high_beta,market
2025-09-19,ADI,cohort_high_beta,market
2025-09-26,ADI,cohort_high_beta,market
2025-10-03,ADI,cohort_high_beta,market
2025-10-10,ADI,cohort_high_beta,market
2025-10-17,ADI,cohort_high_beta,market
2025-10-24,ADI,cohort_high_beta,market
2025-10-31,ADI,cohort_high_beta,market
2025-11-07,ADI,cohort_high_beta,market
2025-11-14,ADI,cohort_high_beta,market
2025-11-21,ADI,cohort_high_beta,market
2025-11-28,ADI,cohort_high_beta,market
2025-12-05,ADI,cohort_high_beta,market
2025-12-12,ADI,cohort_high_beta,market
2025-12-19,ADI,cohort_high_beta,market
2025-12-26,ADI,cohort_high_beta,market
2026-01-02,ADI,cohort_high_beta,market
2026-01-09,ADI,cohort_high_beta,market
2026-01-16,ADI,cohort_high_beta,market
2026-01-23,ADI,cohort_high_beta,market
2026-01-30,ADI,cohort_high_beta,market
2026-02-06,ADI,cohort_high_beta,market
2026-02-13,ADI,cohort_high_beta,market
2026-02-20,ADI,cohort_high_beta,market
2026-02-27,ADI,cohort_high_beta,market
2026-03-06,ADI,cohort_high_beta,market
2026-03-13,ADI,cohort_high_beta,market
2026-03-20,ADI,cohort_high_beta,market
2026-03-27,ADI,cohort_high_beta,market
2026-04-02,ADI,cohort_high_beta,market
2026-04-10,ADI,cohort_high_beta,market
2026-04-17,ADI,cohort_high_beta,market
2026-04-24,ADI,cohort_high_beta,market
2026-05-01,ADI,cohort_high_beta,market
2026-05-08,ADI,cohort_high_beta,market
2026-05-15,ADI,cohort_high_beta,market
2026-05-22,ADI,cohort_high_beta,market
2024-05-31,ADSK,cohort_high_beta,market
2024-06-07,ADSK,cohort_high_beta,market
2024-06-14,ADSK,cohort_high_beta,market
2024-06-21,ADSK,cohort_high_beta,market
2024-06-28,ADSK,cohort_high_beta,market
2024-07-05,ADSK,cohort_high_beta,market
