feature,horizon,year,ic_date_count,mean_rank_ic_excess_return,positive_ic_year,small_sample_caveat
filing_lag_days,21d,2019,252,-0.049926,True,False
filing_lag_days,21d,2020,253,-0.04952,True,False
filing_lag_days,21d,2021,252,-0.010277,True,False
filing_lag_days,21d,2022,251,0.046115,False,False
filing_lag_days,21d,2023,250,-0.038491,True,False
filing_lag_days,21d,2024,252,-0.003637,True,False
filing_lag_days,21d,2025,250,0.021815,False,False
filing_lag_days,21d,2026,93,-0.038597,True,False
filing_lag_days,63d,2016,252,-0.098496,True,False
filing_lag_days,63d,2017,251,-0.100392,True,False
filing_lag_days,63d,2018,251,-0.02646,True,False
filing_lag_days,63d,2019,252,-0.042562,True,False
filing_lag_days,63d,2020,253,-0.03914,True,False
filing_lag_days,63d,2021,252,-0.023757,True,False
filing_lag_days,63d,2022,251,0.056468,False,False
filing_lag_days,63d,2023,250,-0.093083,True,False
filing_lag_days,63d,2024,252,0.000779,False,False
filing_lag_days,63d,2025,250,-0.002154,True,False
filing_lag_days,63d,2026,51,0.025157,False,False
filing_lag_days,126d,2016,252,-0.146445,True,False
filing_lag_days,126d,2017,251,-0.096764,True,False
filing_lag_days,126d,2018,251,-0.021555,True,False
filing_lag_days,126d,2019,252,-0.055393,True,False
filing_lag_days,126d,2020,253,-0.03721,True,False
filing_lag_days,126d,2021,252,-0.00673,True,False
filing_lag_days,126d,2022,251,0.057771,False,False
filing_lag_days,126d,2023,250,-0.111741,True,False
filing_lag_days,126d,2024,252,0.014458,False,False
filing_lag_days,126d,2025,238,0.030173,False,False
total_assets_yoy_growth,21d,2018,45,0.101554,True,False
total_assets_yoy_growth,21d,2019,252,0.04276,True,False
total_assets_yoy_growth,21d,2020,253,0.072018,True,False
total_assets_yoy_growth,21d,2021,252,0.021984,True,False
total_assets_yoy_growth,21d,2022,251,-0.079939,False,False
total_assets_yoy_growth,21d,2023,250,0.027789,True,False
total_assets_yoy_growth,21d,2024,252,0.044938,True,False
total_assets_yoy_growth,21d,2025,250,-0.011685,False,False
total_assets_yoy_growth,21d,2026,93,0.033954,True,False
total_assets_yoy_growth,63d,2018,45,0.301578,True,False
total_assets_yoy_growth,63d,2019,252,0.076104,True,False
total_assets_yoy_growth,63d,2020,253,0.050094,True,False
total_assets_yoy_growth,63d,2021,252,0.00835,True,False
total_assets_yoy_growth,63d,2022,251,-0.111213,False,False
total_assets_yoy_growth,63d,2023,250,0.077516,True,False
total_assets_yoy_growth,63d,2024,252,0.024729,True,False
total_assets_yoy_growth,63d,2025,250,-0.002497,False,False
total_assets_yoy_growth,63d,2026,51,0.08185,True,False
total_assets_yoy_growth,126d,2018,45,0.212281,True,False
total_assets_yoy_growth,126d,2019,252,0.093782,True,False
total_assets_yoy_growth,126d,2020,253,0.044124,True,False
total_assets_yoy_growth,126d,2021,252,-0.029415,False,False
total_assets_yoy_growth,126d,2022,251,-0.135515,False,False
total_assets_yoy_growth,126d,2023,250,0.099059,True,False
total_assets_yoy_growth,126d,2024,252,0.022561,True,False
total_assets_yoy_growth,126d,2025,238,-0.049592,False,False
