feature,feature_family,horizon,observation_count,date_count,non_null_feature_fraction,mean_rank_ic_excess_return,median_rank_ic_excess_return,ic_hit_rate_excess_return,ic_ir_excess_return,mean_rank_ic_forward_rank,median_rank_ic_forward_rank,ic_hit_rate_forward_rank,ic_ir_forward_rank,absolute_mean_ic,top_minus_bottom_spread_quintile,positive_spread_fraction_quintile,top_minus_bottom_spread_top10,positive_spread_fraction_top10,signal_direction,diagnostic_strength
fcf_to_net_income,cash_quality,126d,0,0,0.0,,,,,,,,,,,,,,unstable,unusable
capex_intensity,cash_quality,21d,69421,1891,0.2424,-0.001809,-0.01127,0.5278,-0.0091,-0.001806,-0.01127,0.5278,-0.0091,0.001809,0.00681,0.5595,0.005113,0.5352,unstable,unusable
capex_intensity,cash_quality,63d,67578,1849,0.2424,0.005099,0.002429,0.5041,0.0248,0.005099,0.002429,0.5041,0.0248,0.005099,0.022693,0.6121,0.015097,0.5714,positive,unusable
capex_intensity,cash_quality,126d,64799,1786,0.2424,-0.01689,-0.006337,0.5162,-0.0836,-0.01689,-0.006337,0.5162,-0.0836,0.01689,0.036531,0.6359,0.013469,0.5708,negative,unusable
accrual_proxy,cash_quality,21d,158219,1519,0.5333,-0.030173,-0.032577,0.5813,-0.2115,-0.030171,-0.032577,0.5813,-0.2115,0.030173,-0.009451,0.3664,-0.006844,0.4269,negative,moderate
accrual_proxy,cash_quality,63d,153208,1477,0.5333,-0.043239,-0.051831,0.6236,-0.2785,-0.043239,-0.051831,0.6236,-0.2785,0.043239,-0.025163,0.3518,-0.025623,0.3733,negative,moderate
accrual_proxy,cash_quality,126d,145780,1414,0.5333,-0.021077,-0.036486,0.5644,-0.1294,-0.021077,-0.036486,0.5644,-0.1294,0.021077,-0.034905,0.3682,-0.057539,0.39,negative,weak
log_total_assets,size_scale,21d,263605,2149,0.8797,-0.028905,-0.025497,0.5556,-0.161,-0.028906,-0.025497,0.5556,-0.161,0.028905,-0.006093,0.4196,-0.008806,0.425,negative,weak
log_total_assets,size_scale,63d,258229,2107,0.8797,-0.048866,-0.050208,0.5852,-0.2442,-0.048867,-0.050208,0.5852,-0.2442,0.048866,-0.018253,0.3938,-0.028448,0.4221,negative,moderate
log_total_assets,size_scale,126d,250165,2044,0.8797,-0.073827,-0.067804,0.5773,-0.3263,-0.073828,-0.067804,0.5773,-0.3263,0.073827,-0.037784,0.4025,-0.06009,0.4263,negative,strong
log_revenue_abs,size_scale,21d,120075,2531,0.4032,-0.029503,-0.020148,0.5413,-0.1358,-0.029504,-0.020148,0.5413,-0.1358,0.029503,-0.00616,0.4549,0.002493,0.4878,negative,unusable
log_revenue_abs,size_scale,63d,117451,2489,0.4032,-0.061575,-0.037455,0.5516,-0.2622,-0.061575,-0.037455,0.5516,-0.2622,0.061575,-0.021668,0.4187,0.000121,0.4725,negative,unusable
log_revenue_abs,size_scale,126d,113556,2426,0.4032,-0.091227,-0.061767,0.6146,-0.3792,-0.091226,-0.061767,0.6146,-0.3792,0.091227,-0.046736,0.4001,-0.011104,0.4541,negative,unusable
log_total_liabilities_abs,size_scale,21d,188140,2148,0.6294,-0.022735,-0.011582,0.5182,-0.0987,-0.022736,-0.011582,0.5182,-0.0987,0.022735,-0.003823,0.4481,-0.002973,0.4686,negative,weak
log_total_liabilities_abs,size_scale,63d,184276,2106,0.6294,-0.038649,-0.026569,0.5461,-0.1537,-0.03865,-0.026569,0.5461,-0.1537,0.038649,-0.013095,0.4371,-0.012272,0.4532,negative,moderate
log_total_liabilities_abs,size_scale,126d,178480,2043,0.6294,-0.055137,-0.024955,0.5365,-0.198,-0.055138,-0.024955,0.5365,-0.198,0.055137,-0.030216,0.454,-0.03034,0.4466,negative,moderate
filing_lag_days,availability_recency,21d,300513,2607,1.0,-0.021603,-0.022746,0.5646,-0.1638,-0.021603,-0.022746,0.5646,-0.1638,0.021603,-0.005476,0.435,-0.006224,0.4204,negative,weak
filing_lag_days,availability_recency,63d,295137,2565,1.0,-0.035646,-0.038571,0.6039,-0.2797,-0.035646,-0.038571,0.6039,-0.2797,0.035646,-0.014668,0.3852,-0.016463,0.3766,negative,moderate
filing_lag_days,availability_recency,126d,287073,2502,1.0,-0.037682,-0.033843,0.5883,-0.2809,-0.037682,-0.033843,0.5883,-0.2809,0.037682,-0.025008,0.4113,-0.032268,0.3817,negative,moderate
