candidate,regime,n,net25,ic
overnight_rev,bull,4968,-0.004597,0.03743
overnight_rev,bear,1705,-0.003602,0.04612
overnight_rev,highvol,3333,-0.00409,0.04113
overnight_rev,lowvol,3340,-0.004596,0.03818
overnight_cont,bull,4968,-0.005402,-0.03743
overnight_cont,bear,1705,-0.006398,-0.04612
overnight_cont,highvol,3333,-0.00591,-0.04113
overnight_cont,lowvol,3340,-0.005404,-0.03818
overnight_cloc,bull,4968,-0.006076,-0.06015
overnight_cloc,bear,1705,-0.0078,-0.07985
overnight_cloc,highvol,3333,-0.007023,-0.06826
overnight_cloc,lowvol,3340,-0.006011,-0.06211
overnight_cont_highliq,bull,4968,-0.005268,-0.03944
overnight_cont_highliq,bear,1695,-0.005665,-0.04092
overnight_cont_highliq,highvol,3332,-0.005499,-0.04147
overnight_cont_highliq,lowvol,3331,-0.005239,-0.03816
cloc_cont_noc,bull,4968,-0.004651,0.00438
cloc_cont_noc,bear,1705,-0.005719,-0.01096
cloc_cont_noc,highvol,3333,-0.005291,-0.00531
cloc_cont_noc,lowvol,3340,-0.004558,0.00622
cloc_rev_oo5,bull,998,-0.004315,0.0046
cloc_rev_oo5,bear,336,-0.001048,0.01201
cloc_rev_oo5,highvol,675,-0.002573,0.00897
cloc_rev_oo5,lowvol,659,-0.004433,0.0039
shockrec_oo3,bull,1146,-0.006932,0.00671
shockrec_oo3,bear,315,-0.000729,0.0189
shockrec_oo3,highvol,589,-0.003815,0.01948
shockrec_oo3,lowvol,872,-0.006796,0.00248
shockrec_volconf_oo5,bull,631,-0.00806,0.01834
shockrec_volconf_oo5,bear,209,-0.001011,0.02695
shockrec_volconf_oo5,highvol,398,-0.00257,0.03505
shockrec_volconf_oo5,lowvol,442,-0.009671,0.00737
breakout5_oo5,bull,998,-0.005189,-0.00762
breakout5_oo5,bear,333,-0.011405,-0.02258
breakout5_oo5,highvol,674,-0.009392,-0.02121
breakout5_oo5,lowvol,657,-0.004028,-0.00127
breakout5_compress_oo5,bull,716,-0.00849,-0.00114
breakout5_compress_oo5,bear,216,-0.012891,-0.01952
breakout5_compress_oo5,highvol,430,-0.013031,-0.01192
breakout5_compress_oo5,lowvol,502,-0.006494,0.00018
breakout5_inside_oo5,bull,968,-0.006897,-0.00724
breakout5_inside_oo5,bear,308,-0.011421,-0.02085
breakout5_inside_oo5,highvol,631,-0.010812,-0.01857
breakout5_inside_oo5,lowvol,645,-0.005228,-0.00265
breakout5_oo10,bull,491,-0.00602,-0.00403
breakout5_oo10,bear,174,-0.008522,-0.0126
breakout5_oo10,highvol,338,-0.010788,-0.01917
breakout5_oo10,lowvol,327,-0.002422,0.00706
rangeexp_cont_oo2,bull,89,-0.005141,-0.01335
rangeexp_cont_oo2,bear,44,-0.009221,-0.03194
rangeexp_cont_oo2,highvol,56,-0.006757,-0.02146
rangeexp_cont_oo2,lowvol,77,-0.006297,-0.01807
rvaccel_rev_oo5,bull,998,-0.003933,0.00436
rvaccel_rev_oo5,bear,330,-0.007283,-0.01104
rvaccel_rev_oo5,highvol,672,-0.005715,-0.00522
rvaccel_rev_oo5,lowvol,656,-0.003792,0.00642
mom126_21_oo21,bull,234,0.013172,0.02858
mom126_21_oo21,bear,76,-0.038172,-0.03447
mom126_21_oo21,highvol,149,-0.017736,-0.00993
mom126_21_oo21,lowvol,161,0.01754,0.03446
