name,kind,gross_spread,avg_turnover,net_10bps,net_25bps,net_50bps
f_rank_sn,scenario,0.0039,0.9933,0.0019,-0.0011,-0.0061
f_winz_raw,scenario,0.0044,0.9934,0.0024,-0.0006,-0.0055
f_winz_sn,scenario,0.0044,0.9938,0.0024,-0.0005,-0.0055
f_x_surprise_raw,scenario,-0.0,0.9949,-0.002,-0.005,-0.01
f_x_surprise_sn,scenario,0.0005,0.9944,-0.0015,-0.0045,-0.0094
f_x_quality_raw,scenario,-0.0049,0.991,-0.0069,-0.0099,-0.0148
f_x_quality_sn,scenario,-0.003,0.9918,-0.005,-0.008,-0.013
f_x_value_raw,scenario,-0.0025,0.9883,-0.0045,-0.0075,-0.0124
f_x_value_sn,scenario,-0.003,0.9886,-0.005,-0.0079,-0.0129
f_x_mom_raw,scenario,-0.0006,0.9982,-0.0026,-0.0056,-0.0105
f_x_mom_sn,scenario,0.001,0.9982,-0.001,-0.0039,-0.0089
orthogonal_blend__ic_weighted,model,-0.0024,0.9993,-0.0044,-0.0074,-0.0124
orthogonal_blend__equal,model,-0.0002,0.9994,-0.0022,-0.0052,-0.0102
f_level_raw,scenario,-0.0036,0.9928,-0.0056,-0.0086,-0.0135
f_level_sn,scenario,-0.0018,0.9935,-0.0038,-0.0068,-0.0118
f_chg1_raw,scenario,0.0021,0.9952,0.0001,-0.0029,-0.0079
f_chg1_sn,scenario,0.0034,0.9957,0.0014,-0.0016,-0.0065
f_accel_raw,scenario,0.0058,0.9924,0.0038,0.0008,-0.0042
f_accel_sn,scenario,0.0056,0.9957,0.0036,0.0007,-0.0043
f_lag1_raw,scenario,-0.0022,0.994,-0.0041,-0.0071,-0.0121
f_lag1_sn,scenario,-0.0016,0.9941,-0.0036,-0.0066,-0.0116
f_rmean_5_raw,scenario,-0.0051,0.9919,-0.0071,-0.0101,-0.015
f_rmean_5_sn,scenario,-0.0031,0.9923,-0.005,-0.008,-0.013
f_rstd_5_raw,scenario,0.0039,0.9844,0.0019,-0.001,-0.006
f_rstd_5_sn,scenario,0.0031,0.9881,0.0011,-0.0018,-0.0068
f_rchg_5_raw,scenario,0.0031,0.9935,0.0011,-0.0019,-0.0068
f_rchg_5_sn,scenario,0.002,0.9957,0.0,-0.003,-0.008
f_rmean_21_raw,scenario,-0.0003,0.9915,-0.0023,-0.0052,-0.0102
f_rmean_21_sn,scenario,0.0001,0.9945,-0.0019,-0.0049,-0.0099
f_rstd_21_raw,scenario,0.0029,0.9838,0.0009,-0.002,-0.0069
f_rstd_21_sn,scenario,0.003,0.9927,0.001,-0.002,-0.0069
f_rchg_21_raw,scenario,-0.001,0.9937,-0.003,-0.0059,-0.0109
f_rchg_21_sn,scenario,-0.0007,0.9958,-0.0027,-0.0057,-0.0107
f_rmean_63_raw,scenario,-0.0008,0.9914,-0.0028,-0.0058,-0.0108
f_rmean_63_sn,scenario,-0.002,0.9945,-0.004,-0.0069,-0.0119
f_rstd_63_raw,scenario,0.0004,0.9865,-0.0016,-0.0045,-0.0095
f_rstd_63_sn,scenario,0.0002,0.9942,-0.0018,-0.0047,-0.0097
f_rchg_63_raw,scenario,-0.0005,0.9943,-0.0025,-0.0054,-0.0104
f_rchg_63_sn,scenario,0.0012,0.9961,-0.0008,-0.0038,-0.0088
f_z_raw,scenario,-0.0036,0.9928,-0.0056,-0.0086,-0.0135
f_z_sn,scenario,-0.0018,0.9935,-0.0038,-0.0068,-0.0118
f_sector_z_raw,scenario,-0.003,0.9932,-0.005,-0.008,-0.0129
f_sector_z_sn,scenario,-0.003,0.9932,-0.005,-0.008,-0.0129
f_rank_raw,scenario,-0.0036,0.9928,-0.0056,-0.0086,-0.0135
f_rank_sn,scenario,-0.0019,0.994,-0.0039,-0.0069,-0.0119
f_winz_raw,scenario,-0.0036,0.9928,-0.0056,-0.0086,-0.0135
f_winz_sn,scenario,-0.0016,0.9932,-0.0036,-0.0066,-0.0115
f_x_surprise_raw,scenario,0.0009,0.9939,-0.0011,-0.0041,-0.009
f_x_surprise_sn,scenario,0.0024,0.9941,0.0004,-0.0025,-0.0075
f_x_quality_raw,scenario,-0.0045,0.992,-0.0065,-0.0095,-0.0144
f_x_quality_sn,scenario,-0.0039,0.9911,-0.0059,-0.0089,-0.0138
f_x_value_raw,scenario,-0.0039,0.9884,-0.0059,-0.0088,-0.0138
f_x_value_sn,scenario,-0.0024,0.9908,-0.0044,-0.0073,-0.0123
f_x_mom_raw,scenario,0.003,0.9984,0.001,-0.002,-0.007
f_x_mom_sn,scenario,0.0045,0.9986,0.0025,-0.0005,-0.0055
orthogonal_blend__ic_weighted,model,-0.006,0.9993,-0.008,-0.011,-0.016
orthogonal_blend__equal,model,-0.0024,0.9998,-0.0044,-0.0074,-0.0124
f_level_raw,scenario,-0.0032,0.9931,-0.0052,-0.0082,-0.0131
f_level_sn,scenario,-0.0034,0.9952,-0.0054,-0.0084,-0.0134
f_chg1_raw,scenario,-0.0054,0.9951,-0.0073,-0.0103,-0.0153
f_chg1_sn,scenario,-0.0046,0.997,-0.0066,-0.0096,-0.0145
f_accel_raw,scenario,-0.0052,0.9937,-0.0072,-0.0102,-0.0151
f_accel_sn,scenario,-0.0048,0.9958,-0.0068,-0.0098,-0.0148
f_lag1_raw,scenario,0.0017,0.997,-0.0002,-0.0032,-0.0082
f_lag1_sn,scenario,0.001,0.9974,-0.001,-0.004,-0.009
f_rmean_5_raw,scenario,-0.0003,0.9926,-0.0023,-0.0053,-0.0102
f_rmean_5_sn,scenario,-0.0007,0.9937,-0.0027,-0.0057,-0.0107
f_rstd_5_raw,scenario,0.0034,0.9905,0.0015,-0.0015,-0.0065
f_rstd_5_sn,scenario,0.004,0.9918,0.002,-0.001,-0.006
f_rchg_5_raw,scenario,-0.0044,0.9916,-0.0064,-0.0094,-0.0144
f_rchg_5_sn,scenario,-0.0039,0.994,-0.0059,-0.0089,-0.0138
f_rmean_21_raw,scenario,0.0025,0.9926,0.0005,-0.0025,-0.0074
f_rmean_21_sn,scenario,0.0011,0.9931,-0.0009,-0.0039,-0.0088
f_rstd_21_raw,scenario,0.0019,0.9884,-0.0001,-0.0031,-0.008
f_rstd_21_sn,scenario,0.0042,0.9892,0.0022,-0.0008,-0.0057
f_rchg_21_raw,scenario,-0.0035,0.993,-0.0055,-0.0085,-0.0134
f_rchg_21_sn,scenario,-0.0042,0.9945,-0.0062,-0.0092,-0.0142
f_rmean_63_raw,scenario,-0.0019,0.9927,-0.0039,-0.0068,-0.0118
f_rmean_63_sn,scenario,0.0002,0.9948,-0.0017,-0.0047,-0.0097
f_rstd_63_raw,scenario,0.0061,0.9883,0.0041,0.0011,-0.0038
f_rstd_63_sn,scenario,0.0055,0.9931,0.0035,0.0005,-0.0045
f_rchg_63_raw,scenario,-0.0043,0.991,-0.0063,-0.0093,-0.0143
f_rchg_63_sn,scenario,-0.0038,0.9953,-0.0058,-0.0088,-0.0137
f_z_raw,scenario,-0.0032,0.9931,-0.0052,-0.0082,-0.0131
f_z_sn,scenario,-0.0034,0.9952,-0.0054,-0.0084,-0.0134
f_sector_z_raw,scenario,-0.0022,0.9952,-0.0041,-0.0071,-0.0121
f_sector_z_sn,scenario,-0.0022,0.9952,-0.0041,-0.0071,-0.0121
f_rank_raw,scenario,-0.0032,0.9931,-0.0052,-0.0082,-0.0131
f_rank_sn,scenario,-0.0027,0.9949,-0.0047,-0.0077,-0.0127
f_winz_raw,scenario,-0.0032,0.9931,-0.0052,-0.0082,-0.0131
f_winz_sn,scenario,-0.0036,0.9951,-0.0056,-0.0085,-0.0135
f_x_surprise_raw,scenario,-0.0058,0.9951,-0.0078,-0.0108,-0.0157
f_x_surprise_sn,scenario,-0.0022,0.9943,-0.0041,-0.0071,-0.0121
f_x_quality_raw,scenario,-0.003,0.9948,-0.005,-0.008,-0.0129
f_x_quality_sn,scenario,-0.002,0.996,-0.004,-0.007,-0.012
f_x_value_raw,scenario,0.004,0.9905,0.0021,-0.0009,-0.0059
f_x_value_sn,scenario,0.0009,0.9918,-0.0011,-0.0041,-0.009
f_x_mom_raw,scenario,0.0014,0.9998,-0.0006,-0.0036,-0.0086
f_x_mom_sn,scenario,0.0034,0.9995,0.0014,-0.0016,-0.0066
orthogonal_blend__ic_weighted,model,-0.0009,0.999,-0.0029,-0.0059,-0.0109
orthogonal_blend__equal,model,0.0011,0.9998,-0.0009,-0.0039,-0.0089
f_level_raw,scenario,0.0035,0.993,0.0015,-0.0015,-0.0064
f_level_sn,scenario,0.0041,0.9925,0.0022,-0.0008,-0.0058
f_chg1_raw,scenario,0.0052,0.9955,0.0032,0.0002,-0.0047
f_chg1_sn,scenario,0.0051,0.9967,0.0031,0.0001,-0.0049
f_accel_raw,scenario,-0.0001,0.9947,-0.0021,-0.0051,-0.0101
f_accel_sn,scenario,-0.0026,0.9958,-0.0046,-0.0076,-0.0126
f_lag1_raw,scenario,0.0006,0.9948,-0.0014,-0.0044,-0.0094
f_lag1_sn,scenario,0.004,0.9962,0.002,-0.001,-0.0059
f_rmean_5_raw,scenario,-0.0001,0.9929,-0.0021,-0.0051,-0.01
f_rmean_5_sn,scenario,0.0007,0.9924,-0.0013,-0.0043,-0.0093
f_rstd_5_raw,scenario,0.0048,0.9903,0.0029,-0.0001,-0.0051
f_rstd_5_sn,scenario,0.0081,0.9936,0.0061,0.0032,-0.0018
f_rchg_5_raw,scenario,0.0025,0.9939,0.0005,-0.0025,-0.0075
f_rchg_5_sn,scenario,0.0012,0.995,-0.0007,-0.0037,-0.0087
f_rmean_21_raw,scenario,0.0014,0.9924,-0.0006,-0.0036,-0.0085
f_rmean_21_sn,scenario,0.0018,0.9934,-0.0002,-0.0032,-0.0081
f_rstd_21_raw,scenario,0.0035,0.9901,0.0015,-0.0015,-0.0064
f_rstd_21_sn,scenario,0.0009,0.9928,-0.0011,-0.004,-0.009
f_rchg_21_raw,scenario,0.0025,0.994,0.0005,-0.0024,-0.0074
f_rchg_21_sn,scenario,0.0036,0.996,0.0016,-0.0014,-0.0064
f_rmean_63_raw,scenario,0.0014,0.9919,-0.0005,-0.0035,-0.0085
f_rmean_63_sn,scenario,-0.0003,0.9938,-0.0023,-0.0053,-0.0102
f_rstd_63_raw,scenario,0.0025,0.9904,0.0005,-0.0025,-0.0074
f_rstd_63_sn,scenario,0.0001,0.9919,-0.0018,-0.0048,-0.0098
f_rchg_63_raw,scenario,0.0005,0.9947,-0.0015,-0.0045,-0.0094
f_rchg_63_sn,scenario,0.0033,0.996,0.0013,-0.0017,-0.0067
f_z_raw,scenario,0.0035,0.993,0.0015,-0.0015,-0.0064
f_z_sn,scenario,0.0041,0.9925,0.0022,-0.0008,-0.0058
f_sector_z_raw,scenario,0.0019,0.9919,-0.0,-0.003,-0.008
f_sector_z_sn,scenario,0.0019,0.9919,-0.0,-0.003,-0.008
f_rank_raw,scenario,0.0035,0.993,0.0015,-0.0015,-0.0064
f_rank_sn,scenario,0.0038,0.9931,0.0018,-0.0012,-0.0062
f_winz_raw,scenario,0.0035,0.993,0.0015,-0.0015,-0.0064
f_winz_sn,scenario,0.0035,0.9935,0.0015,-0.0015,-0.0065
f_x_surprise_raw,scenario,-0.0029,0.9947,-0.0049,-0.0079,-0.0129
f_x_surprise_sn,scenario,-0.0007,0.9957,-0.0027,-0.0057,-0.0107
f_x_quality_raw,scenario,-0.0056,0.9918,-0.0076,-0.0105,-0.0155
f_x_quality_sn,scenario,-0.0032,0.9931,-0.0051,-0.0081,-0.0131
f_x_value_raw,scenario,-0.0008,0.9897,-0.0028,-0.0057,-0.0107
f_x_value_sn,scenario,-0.0,0.9898,-0.002,-0.005,-0.0099
f_x_mom_raw,scenario,0.0005,0.9986,-0.0015,-0.0045,-0.0095
f_x_mom_sn,scenario,0.002,0.9986,-0.0,-0.003,-0.008
orthogonal_blend__ic_weighted,model,-0.0053,0.9971,-0.0073,-0.0103,-0.0152
orthogonal_blend__equal,model,0.0006,0.9969,-0.0014,-0.0044,-0.0093
f_level_raw,scenario,-0.003,0.9935,-0.005,-0.008,-0.0129
f_level_sn,scenario,0.0004,0.9952,-0.0016,-0.0046,-0.0095
f_chg1_raw,scenario,-0.0002,0.993,-0.0022,-0.0051,-0.0101
f_chg1_sn,scenario,-0.0022,0.9959,-0.0042,-0.0072,-0.0122
f_accel_raw,scenario,-0.002,0.9935,-0.004,-0.007,-0.012
f_accel_sn,scenario,-0.0044,0.9939,-0.0064,-0.0094,-0.0143
f_lag1_raw,scenario,-0.004,0.9923,-0.006,-0.009,-0.0139
f_lag1_sn,scenario,-0.0021,0.9934,-0.0041,-0.0071,-0.0121
f_rmean_5_raw,scenario,-0.003,0.9912,-0.0049,-0.0079,-0.0129
f_rmean_5_sn,scenario,-0.002,0.9923,-0.004,-0.007,-0.012
f_rstd_5_raw,scenario,-0.0015,0.9893,-0.0034,-0.0064,-0.0114
f_rstd_5_sn,scenario,-0.0011,0.9901,-0.0031,-0.006,-0.011
f_rchg_5_raw,scenario,-0.0012,0.9919,-0.0032,-0.0061,-0.0111
f_rchg_5_sn,scenario,-0.0016,0.9925,-0.0036,-0.0065,-0.0115
f_rmean_21_raw,scenario,0.0006,0.9873,-0.0014,-0.0043,-0.0093
f_rmean_21_sn,scenario,0.0017,0.9879,-0.0003,-0.0033,-0.0082
f_rstd_21_raw,scenario,0.0014,0.9856,-0.0006,-0.0035,-0.0085
f_rstd_21_sn,scenario,-0.0002,0.9867,-0.0021,-0.0051,-0.01
f_rchg_21_raw,scenario,-0.0064,0.993,-0.0084,-0.0114,-0.0164
f_rchg_21_sn,scenario,-0.002,0.9948,-0.004,-0.007,-0.012
f_rmean_63_raw,scenario,0.001,0.9859,-0.001,-0.004,-0.0089
f_rmean_63_sn,scenario,0.0012,0.9872,-0.0008,-0.0037,-0.0087
f_rstd_63_raw,scenario,0.0052,0.9871,0.0032,0.0003,-0.0047
f_rstd_63_sn,scenario,0.0053,0.99,0.0033,0.0004,-0.0046
f_rchg_63_raw,scenario,-0.0086,0.9943,-0.0105,-0.0135,-0.0185
f_rchg_63_sn,scenario,-0.0056,0.9958,-0.0076,-0.0106,-0.0155
f_z_raw,scenario,-0.003,0.9935,-0.005,-0.008,-0.0129
f_z_sn,scenario,0.0004,0.9952,-0.0016,-0.0046,-0.0095
f_sector_z_raw,scenario,-0.0001,0.9933,-0.0021,-0.0051,-0.0101
f_sector_z_sn,scenario,-0.0001,0.9933,-0.0021,-0.0051,-0.0101
f_rank_raw,scenario,-0.003,0.9935,-0.005,-0.008,-0.0129
f_rank_sn,scenario,-0.0005,0.994,-0.0025,-0.0055,-0.0105
f_winz_raw,scenario,-0.003,0.9935,-0.005,-0.008,-0.0129
f_winz_sn,scenario,-0.0007,0.9946,-0.0027,-0.0057,-0.0106
f_x_surprise_raw,scenario,-0.005,0.9942,-0.007,-0.01,-0.015
f_x_surprise_sn,scenario,-0.0066,0.9944,-0.0086,-0.0116,-0.0165
f_x_quality_raw,scenario,-0.0034,0.9945,-0.0054,-0.0084,-0.0134
f_x_quality_sn,scenario,0.0001,0.9945,-0.0019,-0.0049,-0.0098
f_x_value_raw,scenario,-0.0071,0.9907,-0.009,-0.012,-0.017
f_x_value_sn,scenario,-0.0058,0.9914,-0.0078,-0.0108,-0.0158
f_x_mom_raw,scenario,0.0005,0.9998,-0.0015,-0.0045,-0.0095
f_x_mom_sn,scenario,0.0008,0.9996,-0.0012,-0.0042,-0.0092
orthogonal_blend__ic_weighted,model,-0.0028,0.9978,-0.0048,-0.0078,-0.0128
orthogonal_blend__equal,model,-0.0024,0.9976,-0.0044,-0.0074,-0.0124
f_level_raw,scenario,0.0022,0.9911,0.0002,-0.0028,-0.0077
f_level_sn,scenario,0.0013,0.9908,-0.0007,-0.0037,-0.0086
f_chg1_raw,scenario,-0.0023,0.9952,-0.0043,-0.0073,-0.0122
f_chg1_sn,scenario,-0.0004,0.9954,-0.0023,-0.0053,-0.0103
f_accel_raw,scenario,-0.0078,0.995,-0.0098,-0.0128,-0.0178
f_accel_sn,scenario,-0.0056,0.9951,-0.0076,-0.0105,-0.0155
f_lag1_raw,scenario,0.0041,0.9953,0.0021,-0.0009,-0.0058
f_lag1_sn,scenario,0.0022,0.9942,0.0002,-0.0028,-0.0078
f_rmean_5_raw,scenario,0.0044,0.9931,0.0025,-0.0005,-0.0055
f_rmean_5_sn,scenario,0.0027,0.9919,0.0007,-0.0022,-0.0072
f_rstd_5_raw,scenario,0.0076,0.9921,0.0056,0.0026,-0.0023
f_rstd_5_sn,scenario,0.008,0.9925,0.006,0.0031,-0.0019
f_rchg_5_raw,scenario,0.0031,0.9945,0.0011,-0.0019,-0.0068
f_rchg_5_sn,scenario,0.0034,0.9954,0.0014,-0.0016,-0.0065
f_rmean_21_raw,scenario,0.0023,0.9915,0.0004,-0.0026,-0.0076
f_rmean_21_sn,scenario,0.0018,0.9945,-0.0002,-0.0032,-0.0082
f_rstd_21_raw,scenario,0.0057,0.9889,0.0037,0.0007,-0.0042
f_rstd_21_sn,scenario,0.0049,0.9932,0.0029,-0.0001,-0.0051
f_rchg_21_raw,scenario,0.0036,0.9935,0.0016,-0.0014,-0.0063
f_rchg_21_sn,scenario,0.0023,0.9959,0.0003,-0.0027,-0.0077
f_rmean_63_raw,scenario,-0.0,0.9934,-0.002,-0.005,-0.0099
f_rmean_63_sn,scenario,-0.001,0.9944,-0.003,-0.006,-0.011
f_rstd_63_raw,scenario,0.0032,0.9899,0.0013,-0.0017,-0.0067
f_rstd_63_sn,scenario,0.0007,0.9942,-0.0013,-0.0043,-0.0092
f_rchg_63_raw,scenario,0.0035,0.9921,0.0015,-0.0015,-0.0064
f_rchg_63_sn,scenario,-0.0004,0.9948,-0.0024,-0.0054,-0.0104
f_z_raw,scenario,0.0022,0.9911,0.0002,-0.0028,-0.0077
f_z_sn,scenario,0.0013,0.9908,-0.0007,-0.0037,-0.0086
f_sector_z_raw,scenario,0.0028,0.9914,0.0008,-0.0022,-0.0071
