endpoint,ticker,status,rows,requests_made
fundamentals,LH,CACHED,0,0
fundamentals,LHX,CACHED,0,0
fundamentals,LII,CACHED,0,0
fundamentals,LIN,CACHED,0,0
fundamentals,LITE,CACHED,0,0
fundamentals,LLY,CACHED,0,0
fundamentals,LMT,CACHED,0,0
fundamentals,LNT,CACHED,0,0
fundamentals,LOW,CACHED,0,0
fundamentals,LRCX,CACHED,0,0
fundamentals,LSEGY,CACHED,0,0
fundamentals,LULU,CACHED,0,0
fundamentals,LUV,CACHED,0,0
fundamentals,LVS,CACHED,0,0
fundamentals,LYB,CACHED,0,0
fundamentals,LYG,CACHED,0,0
fundamentals,LYV,CACHED,0,0
fundamentals,MA,CACHED,0,0
fundamentals,MAA,CACHED,0,0
fundamentals,MAR,CACHED,0,0
fundamentals,MAS,CACHED,0,0
fundamentals,MCD,CACHED,0,0
fundamentals,MCHP,CACHED,0,0
fundamentals,MCK,CACHED,0,0
fundamentals,MCO,CACHED,0,0
fundamentals,MDLN,CACHED,0,0
fundamentals,MDLZ,CACHED,0,0
fundamentals,MDT,CACHED,0,0
fundamentals,MELI,CACHED,0,0
fundamentals,MET,CACHED,0,0
fundamentals,META,CACHED,0,0
fundamentals,MFC,CACHED,0,0
fundamentals,MFG,CACHED,0,0
fundamentals,MGCLY,CACHED,0,0
fundamentals,MGM,CACHED,0,0
fundamentals,MKC,CACHED,0,0
fundamentals,MLM,CACHED,0,0
fundamentals,MMM,CACHED,0,0
fundamentals,MNST,CACHED,0,0
fundamentals,MO,CACHED,0,0
fundamentals,MOS,CACHED,0,0
fundamentals,MPC,CACHED,0,0
fundamentals,MPWR,CACHED,0,0
fundamentals,MRK,CACHED,0,0
fundamentals,MRNA,CACHED,0,0
fundamentals,MRSH,CACHED,0,0
fundamentals,MRVL,CACHED,0,0
fundamentals,MS,CACHED,0,0
fundamentals,MSCI,CACHED,0,0
fundamentals,MSFT,CACHED,0,0
fundamentals,MSI,CACHED,0,0
fundamentals,MTB,CACHED,0,0
fundamentals,MTD,CACHED,0,0
fundamentals,MU,CACHED,0,0
fundamentals,MUFG,CACHED,0,0
fundamentals,NBIS,CACHED,0,0
fundamentals,NCLH,CACHED,0,0
fundamentals,NDAQ,CACHED,0,0
fundamentals,NDSN,CACHED,0,0
fundamentals,NEE,CACHED,0,0
fundamentals,NEM,CACHED,0,0
fundamentals,NET,CACHED,0,0
fundamentals,NFLX,CACHED,0,0
fundamentals,NGG,CACHED,0,0
fundamentals,NI,CACHED,0,0
fundamentals,NKE,CACHED,0,0
fundamentals,NOC,CACHED,0,0
fundamentals,NOK,CACHED,0,0
fundamentals,NOW,CACHED,0,0
fundamentals,NRG,CACHED,0,0
fundamentals,NSC,CACHED,0,0
fundamentals,NTAP,CACHED,0,0
fundamentals,NTES,CACHED,0,0
fundamentals,NTRS,CACHED,0,0
fundamentals,NU,CACHED,0,0
fundamentals,NUE,CACHED,0,0
fundamentals,NVDA,CACHED,0,0
fundamentals,NVO,CACHED,0,0
fundamentals,NVR,CACHED,0,0
fundamentals,NVS,CACHED,0,0
fundamentals,NWG,CACHED,0,0
fundamentals,NWS,CACHED,0,0
fundamentals,NWSA,CACHED,0,0
fundamentals,NXPI,CACHED,0,0
fundamentals,O,CACHED,0,0
fundamentals,ODFL,CACHED,0,0
fundamentals,OKE,CACHED,0,0
fundamentals,OMC,CACHED,0,0
fundamentals,ON,CACHED,0,0
fundamentals,ORCL,CACHED,0,0
fundamentals,ORLY,CACHED,0,0
fundamentals,OTIS,CACHED,0,0
fundamentals,OXY,CACHED,0,0
fundamentals,PANW,CACHED,0,0
fundamentals,PAYX,CACHED,0,0
fundamentals,PBR,CACHED,0,0
fundamentals,PCAR,CACHED,0,0
fundamentals,PCG,CACHED,0,0
fundamentals,PDD,CACHED,0,0
fundamentals,PEG,CACHED,0,0
fundamentals,PEP,CACHED,0,0
fundamentals,PFE,CACHED,0,0
fundamentals,PFG,CACHED,0,0
fundamentals,PG,CACHED,0,0
fundamentals,PGR,CACHED,0,0
fundamentals,PH,CACHED,0,0
fundamentals,PHM,CACHED,0,0
fundamentals,PKG,CACHED,0,0
fundamentals,PLD,CACHED,0,0
fundamentals,PLTR,CACHED,0,0
fundamentals,PM,CACHED,0,0
fundamentals,PNC,CACHED,0,0
fundamentals,PNR,CACHED,0,0
fundamentals,PNW,CACHED,0,0
fundamentals,PODD,CACHED,0,0
fundamentals,PPG,CACHED,0,0
fundamentals,PPL,CACHED,0,0
fundamentals,PRU,CACHED,0,0
fundamentals,PSA,CACHED,0,0
fundamentals,PSKY,CACHED,0,0
fundamentals,PSX,CACHED,0,0
fundamentals,PTC,CACHED,0,0
fundamentals,PWR,CACHED,0,0
fundamentals,PYPL,CACHED,0,0
fundamentals,Q,CACHED,0,0
fundamentals,QCOM,CACHED,0,0
fundamentals,RACE,CACHED,0,0
fundamentals,RCL,CACHED,0,0
fundamentals,REG,CACHED,0,0
fundamentals,REGN,CACHED,0,0
fundamentals,RELX,CACHED,0,0
fundamentals,RF,CACHED,0,0
fundamentals,RIO,CACHED,0,0
fundamentals,RJF,CACHED,0,0
fundamentals,RKLB,CACHED,0,0
fundamentals,RL,CACHED,0,0
fundamentals,RMD,CACHED,0,0
fundamentals,ROK,CACHED,0,0
fundamentals,ROL,CACHED,0,0
fundamentals,ROP,CACHED,0,0
fundamentals,ROST,CACHED,0,0
fundamentals,RSG,CACHED,0,0
fundamentals,RTNTF,CACHED,0,0
fundamentals,RTX,CACHED,0,0
fundamentals,RVTY,CACHED,0,0
fundamentals,RY,CACHED,0,0
fundamentals,SAN,CACHED,0,0
fundamentals,SAP,CACHED,0,0
fundamentals,SATS,CACHED,0,0
fundamentals,SBAC,CACHED,0,0
fundamentals,SBUX,CACHED,0,0
fundamentals,SCCO,CACHED,0,0
fundamentals,SCHW,CACHED,0,0
fundamentals,SHEL,CACHED,0,0
fundamentals,SHOP,CACHED,0,0
fundamentals,SHW,CACHED,0,0
fundamentals,SJM,CACHED,0,0
fundamentals,SLB,CACHED,0,0
fundamentals,SMERY,CACHED,0,0
fundamentals,SMFG,CACHED,0,0
fundamentals,SNA,CACHED,0,0
