name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
f_level_sn,scenario,0.0233,0.0141,True,120
f_chg1_raw,scenario,-0.0124,0.0484,False,120
f_chg1_sn,scenario,0.0029,0.0367,True,120
f_accel_raw,scenario,-0.018,0.0311,False,120
f_accel_sn,scenario,-0.0085,0.0251,False,120
f_lag1_raw,scenario,0.0187,-0.0083,False,120
f_lag1_sn,scenario,0.0209,0.0009,True,120
f_rmean_5_raw,scenario,0.0151,-0.0027,False,120
f_rmean_5_sn,scenario,0.0196,0.0059,True,120
f_rstd_5_raw,scenario,0.0319,0.002,True,120
f_rstd_5_sn,scenario,0.0376,0.014,True,120
f_rchg_5_raw,scenario,-0.0059,0.0386,False,120
f_rchg_5_sn,scenario,0.0036,0.0361,True,120
f_rmean_21_raw,scenario,0.0525,-0.0164,False,120
f_rmean_21_sn,scenario,0.0511,-0.0105,False,120
f_rstd_21_raw,scenario,0.0068,-0.0169,False,120
f_rstd_21_sn,scenario,0.0198,-0.0085,False,120
f_rchg_21_raw,scenario,-0.0123,0.0434,False,120
f_rchg_21_sn,scenario,-0.004,0.0386,False,120
f_rmean_63_raw,scenario,0.0577,-0.0301,False,120
f_rmean_63_sn,scenario,0.0526,-0.0255,False,120
f_rstd_63_raw,scenario,0.0254,-0.0263,False,120
f_rstd_63_sn,scenario,0.031,-0.0176,False,120
f_rchg_63_raw,scenario,-0.0127,0.0363,False,120
f_rchg_63_sn,scenario,-0.0064,0.0353,False,120
f_z_raw,scenario,0.0175,0.006,True,120
f_z_sn,scenario,0.0233,0.0141,True,120
f_sector_z_raw,scenario,0.0123,0.0063,True,120
f_sector_z_sn,scenario,0.0122,0.0063,True,120
f_rank_raw,scenario,0.0175,0.006,True,120
f_rank_sn,scenario,0.0182,0.0072,True,120
f_winz_raw,scenario,0.0174,0.006,True,120
f_winz_sn,scenario,0.021,0.0119,True,120
f_x_surprise_raw,scenario,-0.0252,-0.0124,False,120
f_x_surprise_sn,scenario,-0.0086,-0.0163,False,120
f_x_quality_raw,scenario,-0.0659,0.0087,False,120
f_x_quality_sn,scenario,-0.0423,0.0088,False,120
f_x_value_raw,scenario,0.0226,-0.0059,False,120
f_x_value_sn,scenario,0.0062,-0.017,False,120
f_x_mom_raw,scenario,-0.0125,0.0028,False,119
f_x_mom_sn,scenario,0.001,-0.0059,False,119
orthogonal_blend__ic_weighted,model,-0.008,-0.0205,False,96
orthogonal_blend__equal,model,0.0078,0.0064,True,96
f_level_raw,scenario,-0.0258,-0.0176,False,120
f_level_sn,scenario,-0.0004,-0.0118,False,120
f_chg1_raw,scenario,-0.006,-0.0141,False,120
f_chg1_sn,scenario,0.0052,-0.0246,False,120
f_accel_raw,scenario,-0.0064,-0.017,False,120
f_accel_sn,scenario,-0.002,-0.0279,False,120
f_lag1_raw,scenario,-0.0337,-0.0063,False,120
f_lag1_sn,scenario,-0.0155,0.0017,False,120
f_rmean_5_raw,scenario,-0.0505,-0.0031,False,120
f_rmean_5_sn,scenario,-0.0177,0.0015,False,120
f_rstd_5_raw,scenario,0.0045,-0.0062,False,120
f_rstd_5_sn,scenario,0.0164,-0.0124,False,120
f_rchg_5_raw,scenario,0.0058,-0.0213,False,120
f_rchg_5_sn,scenario,0.0189,-0.0268,False,120
f_rmean_21_raw,scenario,0.004,-0.0086,False,120
f_rmean_21_sn,scenario,0.0149,-0.0048,False,120
f_rstd_21_raw,scenario,0.009,-0.0095,False,120
f_rstd_21_sn,scenario,0.0276,-0.0115,False,120
f_rchg_21_raw,scenario,-0.0323,-0.0058,False,120
f_rchg_21_sn,scenario,-0.0135,-0.0074,False,120
f_rmean_63_raw,scenario,0.0075,-0.0137,False,120
f_rmean_63_sn,scenario,0.0142,-0.0026,False,120
f_rstd_63_raw,scenario,0.0279,-0.0065,False,120
f_rstd_63_sn,scenario,0.0377,0.0067,True,120
f_rchg_63_raw,scenario,-0.0401,-0.003,False,120
f_rchg_63_sn,scenario,-0.0294,-0.0112,False,120
f_z_raw,scenario,-0.0258,-0.0176,False,120
f_z_sn,scenario,-0.0004,-0.0118,False,120
f_sector_z_raw,scenario,-0.0025,-0.0111,False,120
f_sector_z_sn,scenario,-0.0025,-0.0111,False,120
f_rank_raw,scenario,-0.0258,-0.0176,False,120
f_rank_sn,scenario,-0.0086,-0.0143,False,120
f_winz_raw,scenario,-0.0258,-0.0176,False,120
f_winz_sn,scenario,-0.003,-0.0157,False,120
f_x_surprise_raw,scenario,-0.0372,-0.0145,False,120
f_x_surprise_sn,scenario,-0.0245,-0.0194,False,120
f_x_quality_raw,scenario,-0.0389,-0.0063,False,120
f_x_quality_sn,scenario,-0.0085,0.0064,False,120
f_x_value_raw,scenario,-0.0013,-0.0167,False,120
f_x_value_sn,scenario,-0.0029,-0.0218,False,120
f_x_mom_raw,scenario,-0.0253,-0.007,False,119
f_x_mom_sn,scenario,-0.0117,-0.0067,False,119
orthogonal_blend__ic_weighted,model,-0.0089,0.0035,False,96
orthogonal_blend__equal,model,-0.001,-0.0032,False,96
f_level_raw,scenario,0.0509,-0.0446,False,120
f_level_sn,scenario,0.0495,-0.0361,False,120
f_chg1_raw,scenario,-0.0074,-0.0186,False,120
f_chg1_sn,scenario,-0.0015,-0.0088,False,120
f_accel_raw,scenario,-0.0505,-0.0136,False,120
f_accel_sn,scenario,-0.0306,-0.0078,False,120
f_lag1_raw,scenario,0.0504,-0.027,False,120
f_lag1_sn,scenario,0.046,-0.0299,False,120
f_rmean_5_raw,scenario,0.0529,-0.0361,False,120
f_rmean_5_sn,scenario,0.0455,-0.0344,False,120
f_rstd_5_raw,scenario,0.0426,0.0141,True,120
f_rstd_5_sn,scenario,0.0444,0.0146,True,120
f_rchg_5_raw,scenario,0.0305,-0.0221,False,120
f_rchg_5_sn,scenario,0.0295,-0.0106,False,120
f_rmean_21_raw,scenario,0.056,-0.034,False,120
f_rmean_21_sn,scenario,0.048,-0.0263,False,120
f_rstd_21_raw,scenario,0.0418,-0.0155,False,120
f_rstd_21_sn,scenario,0.0367,-0.0131,False,120
f_rchg_21_raw,scenario,0.0384,-0.0211,False,120
f_rchg_21_sn,scenario,0.0364,-0.0199,False,120
f_rmean_63_raw,scenario,0.0518,-0.0355,False,120
f_rmean_63_sn,scenario,0.0388,-0.0196,False,120
f_rstd_63_raw,scenario,0.0542,-0.0217,False,120
f_rstd_63_sn,scenario,0.043,-0.0133,False,120
f_rchg_63_raw,scenario,0.0334,-0.029,False,120
f_rchg_63_sn,scenario,0.0308,-0.0284,False,120
f_z_raw,scenario,0.0509,-0.0446,False,120
f_z_sn,scenario,0.0495,-0.0361,False,120
f_sector_z_raw,scenario,0.0443,-0.0408,False,120
f_sector_z_sn,scenario,0.0443,-0.0408,False,120
f_rank_raw,scenario,0.0509,-0.0446,False,120
f_rank_sn,scenario,0.0459,-0.0454,False,120
f_winz_raw,scenario,0.051,-0.0447,False,120
f_winz_sn,scenario,0.0495,-0.037,False,120
f_x_surprise_raw,scenario,-0.0036,0.0353,False,120
f_x_surprise_sn,scenario,-0.0043,0.0286,False,120
f_x_quality_raw,scenario,-0.0084,0.0002,False,120
f_x_quality_sn,scenario,-0.0037,-0.0167,False,120
f_x_value_raw,scenario,0.0143,0.0315,True,120
f_x_value_sn,scenario,0.0208,0.0223,True,120
f_x_mom_raw,scenario,-0.009,0.0527,False,119
f_x_mom_sn,scenario,0.007,0.0453,True,119
orthogonal_blend__ic_weighted,model,0.0125,0.0221,True,96
orthogonal_blend__equal,model,0.0206,-0.0182,False,96
f_level_raw,scenario,0.0167,0.035,True,120
f_level_sn,scenario,0.0134,0.0335,True,120
f_chg1_raw,scenario,0.0067,0.0474,True,120
f_chg1_sn,scenario,0.0178,0.0377,True,120
f_accel_raw,scenario,0.0197,0.0344,True,120
