family,feature_col,coverage
eodhd_revenue_growth_yoy,f_z,38597
eodhd_gross_profitability,f_accel,38466
eodhd_gross_profitability,f_chg1,38499
eodhd_gross_profitability,f_lag1,38499
eodhd_gross_profitability,f_level,38512
eodhd_gross_profitability,f_rank,38512
eodhd_gross_profitability,f_rchg_21,38499
eodhd_gross_profitability,f_rchg_5,38499
eodhd_gross_profitability,f_rchg_63,38499
eodhd_gross_profitability,f_rmean_21,38499
eodhd_gross_profitability,f_rmean_5,38499
eodhd_gross_profitability,f_rmean_63,38499
eodhd_gross_profitability,f_rstd_21,38499
eodhd_gross_profitability,f_rstd_5,38499
eodhd_gross_profitability,f_rstd_63,38499
eodhd_gross_profitability,f_sector_z,38226
eodhd_gross_profitability,f_winz,38512
eodhd_gross_profitability,f_x_mom,20443
eodhd_gross_profitability,f_x_quality,37178
eodhd_gross_profitability,f_x_surprise,36705
eodhd_gross_profitability,f_x_value,36895
eodhd_gross_profitability,f_z,38512
eodhd_operating_accruals,f_accel,38568
eodhd_operating_accruals,f_chg1,38596
eodhd_operating_accruals,f_lag1,38596
eodhd_operating_accruals,f_level,38610
eodhd_operating_accruals,f_rank,38610
eodhd_operating_accruals,f_rchg_21,38596
eodhd_operating_accruals,f_rchg_5,38596
eodhd_operating_accruals,f_rchg_63,38596
eodhd_operating_accruals,f_rmean_21,38596
eodhd_operating_accruals,f_rmean_5,38596
eodhd_operating_accruals,f_rmean_63,38596
eodhd_operating_accruals,f_rstd_21,38596
eodhd_operating_accruals,f_rstd_5,38596
eodhd_operating_accruals,f_rstd_63,38596
eodhd_operating_accruals,f_sector_z,38324
eodhd_operating_accruals,f_winz,38610
eodhd_operating_accruals,f_x_mom,20441
eodhd_operating_accruals,f_x_quality,37178
eodhd_operating_accruals,f_x_surprise,36768
eodhd_operating_accruals,f_x_value,36989
eodhd_operating_accruals,f_z,38610
eodhd_asset_growth,f_accel,38431
eodhd_asset_growth,f_chg1,38464
eodhd_asset_growth,f_lag1,38464
eodhd_asset_growth,f_level,38533
eodhd_asset_growth,f_rank,38533
eodhd_asset_growth,f_rchg_21,38464
eodhd_asset_growth,f_rchg_5,38464
eodhd_asset_growth,f_rchg_63,38464
eodhd_asset_growth,f_rmean_21,38464
eodhd_asset_growth,f_rmean_5,38464
eodhd_asset_growth,f_rmean_63,38464
eodhd_asset_growth,f_rstd_21,38464
eodhd_asset_growth,f_rstd_5,38464
eodhd_asset_growth,f_rstd_63,38464
eodhd_asset_growth,f_sector_z,38247
eodhd_asset_growth,f_winz,38533
eodhd_asset_growth,f_x_mom,20421
eodhd_asset_growth,f_x_quality,37122
eodhd_asset_growth,f_x_surprise,36715
eodhd_asset_growth,f_x_value,36952
eodhd_asset_growth,f_z,38533
eodhd_net_share_issuance,f_accel,38392
eodhd_net_share_issuance,f_chg1,38424
eodhd_net_share_issuance,f_lag1,38424
eodhd_net_share_issuance,f_level,38465
eodhd_net_share_issuance,f_rank,38465
eodhd_net_share_issuance,f_rchg_21,38424
eodhd_net_share_issuance,f_rchg_5,38424
eodhd_net_share_issuance,f_rchg_63,38424
eodhd_net_share_issuance,f_rmean_21,38424
eodhd_net_share_issuance,f_rmean_5,38424
eodhd_net_share_issuance,f_rmean_63,38424
eodhd_net_share_issuance,f_rstd_21,38424
eodhd_net_share_issuance,f_rstd_5,38424
eodhd_net_share_issuance,f_rstd_63,38424
eodhd_net_share_issuance,f_sector_z,38179
eodhd_net_share_issuance,f_winz,38465
eodhd_net_share_issuance,f_x_mom,20405
eodhd_net_share_issuance,f_x_quality,37171
eodhd_net_share_issuance,f_x_surprise,36676
eodhd_net_share_issuance,f_x_value,36856
eodhd_net_share_issuance,f_z,38465
eodhd_leverage_change,f_accel,38301
eodhd_leverage_change,f_chg1,38332
eodhd_leverage_change,f_lag1,38332
eodhd_leverage_change,f_level,38404
eodhd_leverage_change,f_rank,38404
eodhd_leverage_change,f_rchg_21,38332
eodhd_leverage_change,f_rchg_5,38332
eodhd_leverage_change,f_rchg_63,38332
eodhd_leverage_change,f_rmean_21,38332
eodhd_leverage_change,f_rmean_5,38332
eodhd_leverage_change,f_rmean_63,38332
eodhd_leverage_change,f_rstd_21,38332
eodhd_leverage_change,f_rstd_5,38332
eodhd_leverage_change,f_rstd_63,38332
eodhd_leverage_change,f_sector_z,38118
eodhd_leverage_change,f_winz,38404
eodhd_leverage_change,f_x_mom,20395
eodhd_leverage_change,f_x_quality,37121
eodhd_leverage_change,f_x_surprise,36639
eodhd_leverage_change,f_x_value,36834
eodhd_leverage_change,f_z,38404
eodhd_fcf_to_assets,f_accel,38351
eodhd_fcf_to_assets,f_chg1,38382
eodhd_fcf_to_assets,f_lag1,38382
eodhd_fcf_to_assets,f_level,38408
eodhd_fcf_to_assets,f_rank,38408
eodhd_fcf_to_assets,f_rchg_21,38382
eodhd_fcf_to_assets,f_rchg_5,38382
eodhd_fcf_to_assets,f_rchg_63,38382
eodhd_fcf_to_assets,f_rmean_21,38382
eodhd_fcf_to_assets,f_rmean_5,38382
eodhd_fcf_to_assets,f_rmean_63,38382
eodhd_fcf_to_assets,f_rstd_21,38382
eodhd_fcf_to_assets,f_rstd_5,38382
eodhd_fcf_to_assets,f_rstd_63,38382
eodhd_fcf_to_assets,f_sector_z,38122
eodhd_fcf_to_assets,f_winz,38408
eodhd_fcf_to_assets,f_x_mom,20398
eodhd_fcf_to_assets,f_x_quality,37178
eodhd_fcf_to_assets,f_x_surprise,36637
eodhd_fcf_to_assets,f_x_value,36796
eodhd_fcf_to_assets,f_z,38408
eodhd_dividend_growth,f_accel,32186
eodhd_dividend_growth,f_chg1,32498
eodhd_dividend_growth,f_lag1,32498
eodhd_dividend_growth,f_level,32647
eodhd_dividend_growth,f_rank,32647
eodhd_dividend_growth,f_rchg_21,32498
eodhd_dividend_growth,f_rchg_5,32498
eodhd_dividend_growth,f_rchg_63,32498
eodhd_dividend_growth,f_rmean_21,32498
eodhd_dividend_growth,f_rmean_5,32498
eodhd_dividend_growth,f_rmean_63,32498
eodhd_dividend_growth,f_rstd_21,32498
eodhd_dividend_growth,f_rstd_5,32498
eodhd_dividend_growth,f_rstd_63,32498
eodhd_dividend_growth,f_sector_z,32324
eodhd_dividend_growth,f_winz,32647
eodhd_dividend_growth,f_x_mom,16821
eodhd_dividend_growth,f_x_quality,31349
eodhd_dividend_growth,f_x_surprise,31107
eodhd_dividend_growth,f_x_value,31438
eodhd_dividend_growth,f_z,32647
eodhd_news_sentiment,f_accel,25293
eodhd_news_sentiment,f_chg1,26651
eodhd_news_sentiment,f_lag1,26651
eodhd_news_sentiment,f_level,29280
eodhd_news_sentiment,f_rank,29280
eodhd_news_sentiment,f_rchg_21,26651
eodhd_news_sentiment,f_rchg_5,26651
eodhd_news_sentiment,f_rchg_63,26651
eodhd_news_sentiment,f_rmean_21,26651
eodhd_news_sentiment,f_rmean_5,26651
eodhd_news_sentiment,f_rmean_63,26651
eodhd_news_sentiment,f_rstd_21,26651
eodhd_news_sentiment,f_rstd_5,26651
eodhd_news_sentiment,f_rstd_63,26651
eodhd_news_sentiment,f_sector_z,28907
eodhd_news_sentiment,f_winz,29280
eodhd_news_sentiment,f_x_mom,19180
eodhd_news_sentiment,f_x_quality,28368
eodhd_news_sentiment,f_x_surprise,28247
eodhd_news_sentiment,f_x_value,28344
eodhd_news_sentiment,f_z,29280
