name,kind,top_sector,top_sector_share,hhi,single_sector_dominated
f_rank_raw,scenario,Unknown,0.4918,0.293,False
f_rank_sn,scenario,Unknown,0.7758,0.612,True
f_winz_raw,scenario,Unknown,0.4918,0.293,False
f_winz_sn,scenario,Unknown,0.6587,0.4522,True
f_x_surprise_raw,scenario,Unknown,0.6999,0.5048,True
f_x_surprise_sn,scenario,Unknown,0.6768,0.4722,True
f_x_quality_raw,scenario,Unknown,0.5737,0.3585,False
f_x_quality_sn,scenario,Unknown,0.4893,0.2887,False
f_x_value_raw,scenario,Unknown,0.6889,0.4904,True
f_x_value_sn,scenario,Unknown,0.6556,0.4495,True
f_x_mom_raw,scenario,Unknown,0.7839,0.621,True
f_x_mom_sn,scenario,Unknown,0.7785,0.6137,True
orthogonal_blend__ic_weighted,model,Unknown,0.8043,0.653,True
orthogonal_blend__equal,model,Unknown,0.8075,0.6582,True
f_level_raw,scenario,Unknown,0.6075,0.395,True
f_level_sn,scenario,Unknown,0.6169,0.4063,True
f_chg1_raw,scenario,Unknown,0.6404,0.4298,True
f_chg1_sn,scenario,Unknown,0.5786,0.3618,False
f_accel_raw,scenario,Unknown,0.6409,0.4301,True
f_accel_sn,scenario,Unknown,0.606,0.3926,True
f_lag1_raw,scenario,Unknown,0.6426,0.4377,True
f_lag1_sn,scenario,Unknown,0.7637,0.5938,True
f_rmean_5_raw,scenario,Unknown,0.6107,0.4131,True
f_rmean_5_sn,scenario,Unknown,0.7449,0.5661,True
f_rstd_5_raw,scenario,Unknown,0.6747,0.4729,True
f_rstd_5_sn,scenario,Unknown,0.6158,0.4015,True
f_rchg_5_raw,scenario,Unknown,0.6406,0.4302,True
f_rchg_5_sn,scenario,Unknown,0.5763,0.3616,False
f_rmean_21_raw,scenario,Unknown,0.6085,0.4138,True
f_rmean_21_sn,scenario,Unknown,0.7669,0.6004,True
f_rstd_21_raw,scenario,Unknown,0.7048,0.5124,True
f_rstd_21_sn,scenario,Unknown,0.5885,0.3708,False
f_rchg_21_raw,scenario,Unknown,0.6163,0.4014,True
f_rchg_21_sn,scenario,Unknown,0.623,0.4092,True
f_rmean_63_raw,scenario,Unknown,0.6478,0.4608,True
f_rmean_63_sn,scenario,Unknown,0.6162,0.4045,True
f_rstd_63_raw,scenario,Unknown,0.6659,0.4632,True
f_rstd_63_sn,scenario,Unknown,0.5096,0.2922,False
f_rchg_63_raw,scenario,Unknown,0.6087,0.3969,True
f_rchg_63_sn,scenario,Unknown,0.5597,0.3734,False
f_z_raw,scenario,Unknown,0.6075,0.395,True
f_z_sn,scenario,Unknown,0.6169,0.4063,True
f_sector_z_raw,scenario,Unknown,0.5256,0.3037,False
f_sector_z_sn,scenario,Unknown,0.5256,0.3037,False
f_rank_raw,scenario,Unknown,0.6075,0.395,True
f_rank_sn,scenario,Unknown,0.6968,0.5009,True
f_winz_raw,scenario,Unknown,0.6075,0.395,True
f_winz_sn,scenario,Unknown,0.6214,0.4113,True
f_x_surprise_raw,scenario,Unknown,0.6631,0.4557,True
f_x_surprise_sn,scenario,Unknown,0.6893,0.4886,True
f_x_quality_raw,scenario,Unknown,0.5841,0.3728,False
f_x_quality_sn,scenario,Unknown,0.6063,0.4014,True
f_x_value_raw,scenario,Unknown,0.6582,0.4571,True
f_x_value_sn,scenario,Unknown,0.657,0.4486,True
f_x_mom_raw,scenario,Unknown,0.7775,0.6116,True
f_x_mom_sn,scenario,Unknown,0.7532,0.5772,True
orthogonal_blend__ic_weighted,model,Unknown,0.7978,0.6434,True
orthogonal_blend__equal,model,Unknown,0.8147,0.6696,True
f_level_raw,scenario,Unknown,0.5878,0.3744,False
f_level_sn,scenario,Unknown,0.5305,0.3123,False
f_chg1_raw,scenario,Unknown,0.6198,0.4069,True
f_chg1_sn,scenario,Unknown,0.7527,0.5754,True
f_accel_raw,scenario,Unknown,0.6341,0.4221,True
f_accel_sn,scenario,Unknown,0.6987,0.5012,True
f_lag1_raw,scenario,Unknown,0.6347,0.424,True
f_lag1_sn,scenario,Unknown,0.4799,0.2749,False
f_rmean_5_raw,scenario,Unknown,0.6313,0.4205,True
f_rmean_5_sn,scenario,Unknown,0.4995,0.2864,False
f_rstd_5_raw,scenario,Unknown,0.6801,0.4787,True
f_rstd_5_sn,scenario,Unknown,0.386,0.1959,False
f_rchg_5_raw,scenario,Unknown,0.5982,0.3808,False
f_rchg_5_sn,scenario,Unknown,0.6723,0.4683,True
f_rmean_21_raw,scenario,Unknown,0.6912,0.4934,True
f_rmean_21_sn,scenario,Unknown,0.1853,0.1224,False
f_rstd_21_raw,scenario,Unknown,0.7178,0.5277,True
f_rstd_21_sn,scenario,Information Technology,0.1535,0.1151,False
f_rchg_21_raw,scenario,Unknown,0.6287,0.4192,True
f_rchg_21_sn,scenario,Unknown,0.923,0.853,True
f_rmean_63_raw,scenario,Unknown,0.6603,0.4562,True
f_rmean_63_sn,scenario,Health Care,0.2052,0.115,False
f_rstd_63_raw,scenario,Unknown,0.6814,0.4843,True
f_rstd_63_sn,scenario,Information Technology,0.2002,0.1216,False
f_rchg_63_raw,scenario,Unknown,0.648,0.4406,True
f_rchg_63_sn,scenario,Unknown,0.7538,0.6093,True
f_z_raw,scenario,Unknown,0.5878,0.3744,False
f_z_sn,scenario,Unknown,0.5305,0.3123,False
f_sector_z_raw,scenario,Unknown,0.4937,0.2741,False
f_sector_z_sn,scenario,Unknown,0.4937,0.2741,False
f_rank_raw,scenario,Unknown,0.5878,0.3744,False
f_rank_sn,scenario,Unknown,0.6805,0.4838,True
f_winz_raw,scenario,Unknown,0.5878,0.3744,False
f_winz_sn,scenario,Unknown,0.6022,0.3888,True
f_x_surprise_raw,scenario,Unknown,0.68,0.4764,True
f_x_surprise_sn,scenario,Unknown,0.5621,0.3466,False
f_x_quality_raw,scenario,Unknown,0.6249,0.4147,True
f_x_quality_sn,scenario,Unknown,0.5435,0.3294,False
f_x_value_raw,scenario,Unknown,0.6177,0.404,True
f_x_value_sn,scenario,Unknown,0.7589,0.5851,True
f_x_mom_raw,scenario,Unknown,0.7892,0.629,True
f_x_mom_sn,scenario,Unknown,0.7619,0.5892,True
orthogonal_blend__ic_weighted,model,Unknown,0.7812,0.6184,True
orthogonal_blend__equal,model,Unknown,0.8002,0.6471,True
f_level_raw,scenario,Unknown,0.7299,0.5438,True
f_level_sn,scenario,Unknown,0.4723,0.2846,False
f_chg1_raw,scenario,Unknown,0.6858,0.4835,True
f_chg1_sn,scenario,Unknown,0.5228,0.3056,False
f_accel_raw,scenario,Unknown,0.7211,0.5316,True
f_accel_sn,scenario,Unknown,0.544,0.3401,False
f_lag1_raw,scenario,Unknown,0.7293,0.5433,True
f_lag1_sn,scenario,Unknown,0.4722,0.2858,False
f_rmean_5_raw,scenario,Unknown,0.7349,0.5514,True
f_rmean_5_sn,scenario,Unknown,0.5562,0.3361,False
f_rstd_5_raw,scenario,Unknown,0.7444,0.5651,True
f_rstd_5_sn,scenario,Unknown,0.4451,0.2345,False
f_rchg_5_raw,scenario,Unknown,0.6947,0.4972,True
f_rchg_5_sn,scenario,Unknown,0.4817,0.3192,False
f_rmean_21_raw,scenario,Unknown,0.7482,0.569,True
f_rmean_21_sn,scenario,Unknown,0.6365,0.4229,True
f_rstd_21_raw,scenario,Unknown,0.7458,0.5652,True
f_rstd_21_sn,scenario,Unknown,0.5056,0.2873,False
f_rchg_21_raw,scenario,Unknown,0.6503,0.4422,True
f_rchg_21_sn,scenario,Unknown,0.504,0.3316,False
f_rmean_63_raw,scenario,Unknown,0.7455,0.5667,True
f_rmean_63_sn,scenario,Unknown,0.5522,0.3343,False
f_rstd_63_raw,scenario,Unknown,0.7431,0.5622,True
f_rstd_63_sn,scenario,Unknown,0.4612,0.2513,False
f_rchg_63_raw,scenario,Unknown,0.6404,0.4303,True
