name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
ix_eps_growth_yoy_x_value,scenario,interaction,-0.0062,-0.33,0.0208,1.14,False,False
ix_rev_growth_yoy_x_surprise,scenario,interaction,-0.0152,-0.85,0.0185,1.11,False,False
ix_rev_growth_yoy_x_momentum,scenario,interaction,-0.0047,-0.27,-0.0161,-0.9,False,False
ix_rev_growth_yoy_x_quality,scenario,interaction,-0.0293,-1.77,-0.019,-1.09,False,False
ix_rev_growth_yoy_x_value,scenario,interaction,0.0054,0.29,-0.0118,-0.62,False,True
ix_gross_profitability_x_surprise,scenario,interaction,-0.022,-1.59,0.0074,0.4,False,False
ix_gross_profitability_x_momentum,scenario,interaction,0.0111,0.7,0.0067,0.42,True,False
ix_gross_profitability_x_quality,scenario,interaction,-0.0093,-0.52,-0.025,-1.43,False,False
ix_gross_profitability_x_value,scenario,interaction,-0.03,-1.58,-0.0088,-0.49,False,False
ix_operating_accruals_x_surprise,scenario,interaction,-0.0017,-0.13,-0.0059,-0.31,False,False
ix_operating_accruals_x_momentum,scenario,interaction,0.0181,1.36,-0.0008,-0.05,False,True
ix_operating_accruals_x_quality,scenario,interaction,0.0141,0.95,-0.0253,-1.48,False,True
ix_operating_accruals_x_value,scenario,interaction,0.0029,0.2,0.0187,1.11,True,False
ix_asset_growth_x_surprise,scenario,interaction,-0.0326,-2.42,0.0035,0.2,False,False
ix_asset_growth_x_momentum,scenario,interaction,-0.015,-0.83,-0.009,-0.53,False,False
ix_asset_growth_x_quality,scenario,interaction,-0.0305,-1.79,-0.0248,-1.44,False,False
ix_asset_growth_x_value,scenario,interaction,0.004,0.22,0.0039,0.19,True,False
ix_net_share_issuance_x_surprise,scenario,interaction,-0.0381,-2.05,-0.002,-0.1,False,False
ix_net_share_issuance_x_momentum,scenario,interaction,-0.0189,-1.03,-0.0158,-0.95,False,False
ix_net_share_issuance_x_quality,scenario,interaction,-0.0298,-2.08,0.0002,0.01,False,False
ix_net_share_issuance_x_value,scenario,interaction,-0.0051,-0.27,-0.0323,-1.45,False,False
ix_leverage_change_x_surprise,scenario,interaction,0.0195,1.18,0.0054,0.28,True,False
ix_leverage_change_x_momentum,scenario,interaction,0.0124,0.76,0.0323,1.66,True,False
ix_leverage_change_x_quality,scenario,interaction,0.0048,0.31,-0.0103,-0.7,False,True
ix_leverage_change_x_value,scenario,interaction,0.0216,1.35,0.0177,0.95,True,False
ix_fcf_to_assets_x_surprise,scenario,interaction,-0.0195,-1.23,0.0007,0.05,False,False
ix_fcf_to_assets_x_momentum,scenario,interaction,0.016,1.12,-0.0023,-0.11,False,True
ix_fcf_to_assets_x_quality,scenario,interaction,-0.0142,-0.85,0.024,1.29,False,False
ix_fcf_to_assets_x_value,scenario,interaction,-0.0109,-0.73,-0.0162,-0.77,False,False
ix_dividend_growth_x_surprise,scenario,interaction,-0.0315,-1.89,0.0518,2.86,False,False
ix_dividend_growth_x_momentum,scenario,interaction,0.0121,0.59,0.0273,1.29,True,False
ix_dividend_growth_x_quality,scenario,interaction,-0.012,-0.63,-0.0332,-1.58,False,False
ix_dividend_growth_x_value,scenario,interaction,-0.0072,-0.43,0.0165,0.89,False,False
ix_news_sentiment_x_surprise,scenario,interaction,0.0021,0.14,-0.0223,-1.26,False,True
ix_news_sentiment_x_momentum,scenario,interaction,-0.0194,-1.11,-0.0114,-0.71,False,False
ix_news_sentiment_x_quality,scenario,interaction,0.0048,0.28,0.0111,0.61,True,False
ix_news_sentiment_x_value,scenario,interaction,0.0072,0.41,-0.0275,-1.65,False,True
