side,rank_sn,ticker,sector,sector_repaired,sector_is_unknown,comp_sn,comp_raw,cohort,liquidity_proxy,before_review_label,review_decision,reviewer,reviewed_at,conviction,reviewer_notes,approved,order_action,review_status
LONG,20,GEV,Utilities,True,False,2.87247,1.99522,old,1477850918.10517,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,21,SHOP,Information Technology,True,False,2.81219,2.97267,old,927856082.40511,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,22,SLB,Energy,False,False,2.79294,2.92197,old,440944679.55072,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,23,APD,Materials,False,False,2.70529,1.34343,old,254762317.72697,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,24,SMERY,Industrials,True,False,2.69831,2.17014,old,7023039.7754,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,25,HDB,Financials,True,False,2.65284,2.14351,old,108366327.59013,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,26,CMG,Consumer Discretionary,False,False,2.64773,3.23106,new,18641712969.90915,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,27,ANET,Information Technology,True,False,2.56104,2.73191,old,404809200.86719,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,28,VRT,Industrials,True,False,2.52691,2.47663,old,368724024.0579,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,29,BUD,Consumer Staples,True,False,2.52467,2.14178,old,122397413.77855,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,30,NFLX,Communication Services,False,False,2.5047,2.55125,old,2701766792.59631,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,31,DPZ,Consumer Discretionary,True,False,2.42105,2.97139,new,226791246.30786,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,32,FICO,Information Technology,True,False,2.41173,2.62277,new,149712213.23285,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,33,FAST,Industrials,True,False,2.3897,2.32457,new,423423231.78797,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,34,GWW,Industrials,True,False,2.30885,1.81599,old,176730641.50985,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,35,ABNB,Consumer Discretionary,True,False,2.28719,3.31193,old,784821121.33798,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,36,EXPD,Industrials,True,False,2.26836,1.77895,new,117393215.55295,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,37,NVR,Consumer Discretionary,True,False,2.24164,2.80197,new,109382583.50874,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,38,B,Materials,True,False,2.21989,0.9175,old,307679708.25811,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,39,LUV,Industrials,True,False,2.18606,2.1716,new,309487527.52812,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,40,SPOT,Communication Services,True,False,2.14635,2.22513,old,528189104.87683,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,41,UBER,Industrials,False,False,2.14002,1.67271,old,1144371239.26847,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,42,FOX,Communication Services,True,False,2.11552,4.66366,new,50208974.52873,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,43,FOXA,Communication Services,True,False,2.11552,4.66366,new,150817976.09935,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,44,FANG,Energy,True,False,2.09873,1.75363,new,247907728.78057,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,45,LVS,Consumer Discretionary,True,False,2.0319,2.64004,new,270985182.59841,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,46,RACE,Consumer Discretionary,True,False,2.01395,3.06415,old,93826808.24992,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,47,GNRC,Industrials,True,False,1.92188,1.91636,new,125625861.01189,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,48,GDDY,Information Technology,True,False,1.91769,2.16192,new,122420743.26969,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,49,TXN,Information Technology,False,False,1.89524,2.21238,old,749828388.64047,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,50,DDOG,Information Technology,True,False,1.89419,2.14483,old,488871765.25355,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,51,PLTR,Information Technology,True,False,1.85238,2.09219,old,3201525631.14285,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,52,DVN,Energy,True,False,1.84865,1.52949,new,335139375.53882,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,53,RMD,Health Care,True,False,1.84309,1.72743,new,135901199.40673,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,54,EBAY,Consumer Discretionary,True,False,1.80721,2.40797,new,364968426.48052,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,55,ODFL,Industrials,True,False,1.78629,1.74936,new,327279121.12856,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,56,MO,Consumer Staples,False,False,1.7104,1.40457,old,319967134.64288,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,57,ITW,Industrials,False,False,1.70821,1.28002,old,211104910.15938,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,58,CNC,Health Care,True,False,1.70422,2.05458,new,293901918.72667,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,59,JKHY,Financials,True,False,1.66814,0.89803,new,82117957.08843,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,60,CDNS,Information Technology,False,False,1.66452,1.96839,old,280341195.76926,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,61,URI,Industrials,True,False,1.62859,1.62828,old,269902414.51209,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,62,JBHT,Industrials,True,False,1.59606,1.58499,new,124187393.9874,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,63,UPS,Industrials,False,False,1.57261,1.5556,old,419546582.78615,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,64,HOOD,Financials,True,False,1.57246,1.0929,old,1095181252.01026,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,65,SYK,Health Care,False,False,1.4954,1.42312,old,326609661.47476,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,66,SNA,Industrials,True,False,1.49285,1.4695,new,90222869.54326,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,67,XYZ,Industrials,True,False,1.48556,1.09141,new,859760671.18819,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,68,ABBV,Health Care,False,False,1.47085,1.83227,old,711331046.80779,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,69,SMFG,Financials,True,False,1.44879,0.70903,old,15779865.66722,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,70,NEM,Materials,True,False,1.44687,1.78439,old,383433846.09568,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,71,CCI,Real Estate,True,False,1.43939,1.03784,new,286754497.67182,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,72,HAL,Energy,True,False,1.40897,1.57616,new,329616790.89879,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,73,HST,Real Estate,True,False,1.40551,1.16618,new,137963806.01482,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,74,CAG,Consumer Staples,True,False,1.36382,1.01684,new,150930119.64734,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,75,VRTX,Health Care,False,False,1.35983,1.29798,old,403766019.06806,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,76,IDXX,Health Care,True,False,1.3453,1.27744,new,190059477.03108,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,77,ALGN,Health Care,True,False,1.3425,1.69197,new,238689219.89417,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,78,AVY,Materials,True,False,1.33899,1.70509,new,85376431.03185,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,79,GD,Industrials,False,False,1.3121,1.30228,old,256370060.30509,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,80,MNST,Consumer Staples,True,False,1.29485,1.03592,old,236069285.08957,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,81,MCK,Health Care,True,False,1.29384,1.24203,old,342493152.87244,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,82,RIO,Materials,True,False,1.27144,1.66007,old,137204265.01589,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,83,KO,Consumer Staples,False,False,1.25719,0.90763,old,718095005.76864,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,84,IBM,Information Technology,False,False,1.24415,1.58215,old,672251607.45112,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,85,DAL,Industrials,True,False,1.23866,1.25571,new,488197019.72262,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,86,SCCO,Materials,True,False,1.23795,1.58477,old,74326616.86486,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,87,TER,Information Technology,True,False,1.23432,1.54199,old,224910182.74848,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,88,IT,Information Technology,True,False,1.21754,1.53745,new,134733167.67005,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,89,PSA,Real Estate,True,False,1.20622,0.80019,new,223824473.73512,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,90,INCY,Health Care,True,False,1.20088,1.54907,new,139363045.39251,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,91,NBIS,Information Technology,True,False,1.18845,1.53286,old,1308909597.79717,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,92,LYG,Financials,True,False,1.18016,0.69653,old,25442168.72388,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,93,ALL,Financials,True,False,1.16849,0.69209,new,222329898.70441,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,94,MUFG,Financials,True,False,1.1468,0.43959,old,21112561.47904,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,95,APH,Information Technology,False,False,1.1442,1.46986,old,292833541.80615,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,96,AAPL,Information Technology,False,False,1.08857,1.41307,old,9706746175.48209,LONG,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
LONG,97,DB,Financials,True,False,1.0757,0.63985,old,54810598.49666,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,387,ARM,Information Technology,True,False,-1.04243,-0.47677,old,1121432655.25621,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,388,CNP,Utilities,True,False,-1.04965,-1.75215,new,133932446.55112,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,389,IBN,Financials,True,False,-1.06575,-1.46888,old,113348113.4529,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,390,MAR,Consumer Discretionary,False,False,-1.0857,0.30173,old,320705269.43211,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,391,BEN,Financials,True,False,-1.10655,-1.50741,new,99150523.32977,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,392,STLD,Materials,True,False,-1.13492,-0.68924,new,132798995.722,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,393,CBOE,Financials,True,False,-1.14942,-1.61436,new,112804329.66003,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,394,DECK,Consumer Discretionary,True,False,-1.1666,0.22247,new,643114738.29636,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,395,FIS,Financials,True,False,-1.1734,-1.63967,new,309641734.34643,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,396,UNH,Health Care,False,False,-1.17967,-0.72772,old,1469841488.17719,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,397,TDG,Industrials,False,False,-1.18238,-1.2929,old,196735225.71109,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,398,KLAC,Information Technology,False,False,-1.18337,-0.81716,old,457598531.54419,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,399,BNY,Financials,True,False,-1.2025,-1.59417,old,232481474.41519,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,400,CSCO,Information Technology,False,False,-1.23015,-0.64563,old,937403516.43489,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,401,BAC,Financials,False,False,-1.2468,-1.63743,old,1561296962.5664,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,402,HD,Consumer Discretionary,False,False,-1.24905,0.15688,old,984999545.62949,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,403,FE,Utilities,True,False,-1.25118,-1.95019,new,162135052.47456,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,404,NSC,Industrials,True,False,-1.25319,-1.17665,old,274892312.24583,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,405,LRCX,Information Technology,True,False,-1.27388,-0.90917,old,752943472.17967,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,406,CPRT,Industrials,True,False,-1.29118,-1.39154,new,374757415.87143,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,407,PTC,Information Technology,True,False,-1.31988,-0.73767,new,101768099.35974,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,408,E,Energy,True,False,-1.34968,-1.0852,old,7814921.40373,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,409,EG,Financials,True,False,-1.3559,-1.74689,new,92919800.8432,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,410,GM,Consumer Discretionary,True,False,-1.36545,-0.65354,old,550639543.75913,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,411,GSK,Health Care,True,False,-1.36697,-0.92317,old,133674895.92032,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,412,GEHC,Health Care,True,False,-1.37847,-0.92697,new,257612043.70353,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,413,BP,Energy,True,False,-1.39092,-1.13316,old,240867244.33487,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,414,LHX,Industrials,True,False,-1.40004,-1.48538,new,221418959.28478,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,415,IFNNY,Information Technology,True,False,-1.40444,-0.79345,old,7583612.72135,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,416,TAP,Consumer Staples,True,False,-1.41955,-1.37402,new,120472766.09761,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,417,BMY,Health Care,False,False,-1.42366,-1.1828,old,567344516.14065,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,418,Q,Information Technology,True,False,-1.42891,-0.81774,new,255530889.7619,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,419,BA,Industrials,False,False,-1.43085,-1.34048,old,1882103599.92912,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,420,NKE,Consumer Discretionary,False,False,-1.43178,-0.7224,old,736784832.02591,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,421,BKR,Energy,True,False,-1.45293,-1.20047,old,192894279.49254,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,422,GS,Financials,False,False,-1.48781,-1.8712,old,851186925.13874,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,423,SWKS,Information Technology,True,False,-1.48785,-0.86874,new,228109920.50702,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,424,MPWR,Information Technology,True,False,-1.50948,-0.8951,old,225677515.84067,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,425,BX,Financials,True,False,-1.59146,-1.98547,old,325715571.6499,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,426,GOOG,Communication Services,False,False,-1.69543,-1.48855,new,28760408778.32265,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,427,GOOGL,Communication Services,False,False,-1.69543,-1.48855,old,3758556190.08703,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,428,RKLB,Industrials,True,False,-1.70703,-1.7522,old,378992840.62067,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,429,TTE,Energy,True,False,-1.738,-1.47122,old,79104350.05866,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,430,SBUX,Consumer Discretionary,False,False,-1.75186,-1.03111,old,649704650.83033,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,431,BLK,Financials,False,False,-1.77685,-2.159,old,408843867.85497,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,432,BABA,Consumer Discretionary,True,False,-1.7991,-0.32955,old,2545600991.26243,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,433,PEP,Consumer Staples,False,False,-1.82792,-2.08714,old,660458379.76606,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,434,RL,Consumer Discretionary,True,False,-1.84533,-0.37507,new,133717185.82698,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,435,CTSH,Information Technology,True,False,-1.85863,-1.44419,new,269007411.97371,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,436,OXY,Energy,True,False,-1.93028,-1.85006,new,571947748.83444,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,437,NU,Financials,True,False,-1.93473,-2.3102,old,389687222.54171,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,438,NVO,Health Care,True,False,-1.99062,-1.69586,old,255099912.30531,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,439,GPC,Consumer Discretionary,True,False,-2.00968,-1.27858,new,110323725.58213,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,440,F,Consumer Discretionary,True,False,-2.02515,-1.29082,old,553827128.58296,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,441,NWS,Communication Services,True,False,-2.0275,0.9696,new,15875190.15073,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,442,NWSA,Communication Services,True,False,-2.0275,0.9696,new,55493461.21123,HOLD,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
SHORT,443,AXON,Industrials,True,False,-2.06308,-2.07873,new,138263360.85322,SHORT,NEEDS_REVIEW,,,,,FALSE,NO_ORDER,PAPER_REVIEW_ONLY
