candidate,neutralization,horizon,slice,n_months,mean_ic,ic_t,net25,gross_spread,long_only,maxdd
mom_3_1,raw,fwd_3m,val,48,0.02952,2.6,0.02432,0.02679,0.05843,-0.25396
mom_3_1,raw,fwd_3m,holdout,57,0.04714,3.097,0.02661,0.02904,0.02252,-0.79329
mom_3_1,raw,fwd_3m,pre2020,354,0.01875,3.357,0.01724,0.01977,0.03258,-2.22093
mom_3_1,raw,fwd_3m,post2020,75,0.04532,3.589,0.03071,0.03318,0.05336,-0.79329
mom_3_1,raw,fwd_6m,full,426,0.03958,7.73,0.0409,0.04342,0.07386,-5.78421
mom_3_1,raw,fwd_6m,dev,324,0.03329,5.562,0.04005,0.04259,0.0749,-5.78421
mom_3_1,raw,fwd_6m,val,48,0.04495,3.014,0.03419,0.03665,0.10293,-0.89201
mom_3_1,raw,fwd_6m,holdout,54,0.07255,5.968,0.05198,0.05442,0.04177,-1.38547
mom_3_1,raw,fwd_6m,pre2020,354,0.03509,6.284,0.03937,0.0419,0.06862,-5.78421
mom_3_1,raw,fwd_6m,post2020,72,0.06168,4.904,0.04844,0.05091,0.09963,-1.38547
mom_3_1,sector_neutral,fwd_1m,full,431,0.01472,3.193,0.00066,0.00345,0.01081,-1.13824
mom_3_1,sector_neutral,fwd_1m,dev,324,0.01178,2.375,0.0,0.00269,0.01056,-1.13824
mom_3_1,sector_neutral,fwd_1m,val,48,0.01789,1.053,0.0034,0.00646,0.01674,-0.21013
mom_3_1,sector_neutral,fwd_1m,holdout,59,0.02829,1.978,0.00202,0.00517,0.00735,-0.29294
mom_3_1,sector_neutral,fwd_1m,pre2020,354,0.01154,2.431,3e-05,0.00275,0.01,-1.13824
mom_3_1,sector_neutral,fwd_1m,post2020,77,0.02933,2.137,0.00355,0.00664,0.01452,-0.29294
mom_3_1,sector_neutral,fwd_3m,full,429,0.0219,5.371,0.01229,0.01508,0.03474,-2.15492
mom_3_1,sector_neutral,fwd_3m,dev,324,0.02037,4.478,0.01162,0.0143,0.03453,-2.15492
mom_3_1,sector_neutral,fwd_3m,val,48,0.01899,1.476,0.01829,0.02135,0.05216,-0.17412
mom_3_1,sector_neutral,fwd_3m,holdout,57,0.03304,2.627,0.01109,0.01423,0.02128,-0.77744
mom_3_1,sector_neutral,fwd_3m,pre2020,354,0.02017,4.742,0.01191,0.01464,0.03181,-2.15492
mom_3_1,sector_neutral,fwd_3m,post2020,75,0.03007,2.526,0.01408,0.01717,0.04856,-0.77744
mom_3_1,sector_neutral,fwd_6m,full,426,0.03369,8.358,0.0234,0.02618,0.06899,-5.65384
mom_3_1,sector_neutral,fwd_6m,dev,324,0.03331,7.313,0.02632,0.02901,0.0729,-5.65384
mom_3_1,sector_neutral,fwd_6m,val,48,0.02747,2.113,0.02025,0.02331,0.08863,-0.6544
mom_3_1,sector_neutral,fwd_6m,holdout,54,0.0415,3.582,0.00866,0.01174,0.0281,-1.68618
mom_3_1,sector_neutral,fwd_6m,pre2020,354,0.03377,7.936,0.02657,0.0293,0.06643,-5.65384
mom_3_1,sector_neutral,fwd_6m,post2020,72,0.03327,2.889,0.00779,0.01083,0.08158,-1.68618
rev_1m,raw,fwd_1m,full,431,0.01137,2.151,0.00156,0.00578,0.01225,-0.98315
