ticker,base_symbol,delist_yyyymm,gics_sector,is_delisted
AHI-200507,AHI,200507,Industrials,True
AHII-201106,AHII,201106,Health Care,True
AHL-199910,AHL,199910,Financials,True
AHL-201902,AHL,201902,Financials,True
AHL-202602,AHL,202602,Financials,True
AHLS-200308,AHLS,200308,Industrials,True
AHM-199810,AHM,199810,Financials,True
AHMIQ-201404,AHMIQ,201404,Financials,True
AHNA-201102,AHNA,201102,Industrials,True
AHOM-201010,AHOM,201010,Health Care,True
AHPIQ-202412,AHPIQ,202412,Health Care,True
AHR,AHR,,Real Estate,False
AHR-199702,AHR,199702,Financials,True
AHRT,AHRT,,Real Estate,False
AHSI-199203,AHSI,199203,Financials,True
AHT,AHT,,Real Estate,False
AHTS-199307,AHTS,199307,Health Care,True
AI,AI,,Information Technology,False
AIC-200609,AIC,200609,Financials,True
AICIQ-201606,AICIQ,201606,Financials,True
AICOQ-200508,AICOQ,200508,UNKNOWN,True
AIG,AIG,,Financials,False
AIH-199410,AIH,199410,Financials,True
AIH-200706,AIH,200706,Industrials,True
AIHI-199508,AIHI,199508,Consumer Discretionary,True
AII,AII,,Financials,False
AILEQ,AILEQ,,Information Technology,False
AIM,AIM,,Health Care,False
AIMC-202303,AIMC,202303,Industrials,True
AIMM-201312,AIMM,201312,Health Care,True
AIMT-202010,AIMT,202010,Health Care,True
AIN,AIN,,Industrials,False
AINC-202407,AINC,202407,Financials,True
AIND-200111,AIND,200111,UNKNOWN,True
AINN-200705,AINN,200705,Information Technology,True
AIOT,AIOT,,Information Technology,False
AIP,AIP,,Information Technology,False
AIPC-201007,AIPC,201007,Consumer Staples,True
