ticker,priority,earnings_rows,fundamentals_quarters,usable_scored_events,scoreable
MRVL,3_priced_universe,105,105,103,True
MS,3_priced_universe,121,163,120,True
MSI,3_priced_universe,122,163,121,True
MU,3_priced_universe,125,164,124,True
MUFG,3_priced_universe,78,144,77,True
NBIS,3_priced_universe,62,65,61,True
NEE,3_priced_universe,122,163,121,True
NEM,3_priced_universe,122,163,121,True
NET,3_priced_universe,29,33,28,True
NFLX,3_priced_universe,97,105,96,True
NGG,3_priced_universe,59,94,58,True
NKE,3_priced_universe,124,163,123,True
NOC,3_priced_universe,122,163,121,True
NOK,3_priced_universe,122,125,121,True
NOW,3_priced_universe,57,63,56,True
NSC,3_priced_universe,124,163,123,True
NTES,3_priced_universe,98,105,96,True
NU,3_priced_universe,27,25,26,True
NUE,3_priced_universe,122,163,121,True
NVO,3_priced_universe,94,163,93,True
NVS,3_priced_universe,103,105,102,True
NWG,3_priced_universe,66,72,65,True
NXPI,3_priced_universe,65,70,64,True
O,3_priced_universe,114,127,113,True
ORCL,3_priced_universe,132,164,130,True
ORLY,3_priced_universe,122,133,121,True
PANW,3_priced_universe,57,64,55,True
PBR,3_priced_universe,107,105,106,True
PCAR,3_priced_universe,122,163,121,True
PDD,3_priced_universe,33,38,32,True
PEP,3_priced_universe,126,163,125,True
PFE,3_priced_universe,124,163,123,True
PG,3_priced_universe,124,163,123,True
PGR,3_priced_universe,119,163,118,True
PH,3_priced_universe,122,163,121,True
PLD,3_priced_universe,114,113,113,True
PLTR,3_priced_universe,25,29,24,True
PM,3_priced_universe,74,81,73,True
PNC,3_priced_universe,123,147,122,True
PSX,3_priced_universe,58,62,57,True
PWR,3_priced_universe,114,117,113,True
QCOM,3_priced_universe,122,146,121,True
RACE,3_priced_universe,44,50,43,True
RCL,3_priced_universe,122,141,121,True
REGN,3_priced_universe,127,145,126,True
RELX,3_priced_universe,63,111,62,True
RIO,3_priced_universe,75,82,74,True
RKLB,3_priced_universe,26,25,25,True
ROST,3_priced_universe,114,163,111,True
RSG,3_priced_universe,112,112,111,True
RTNTF,3_priced_universe,44,72,43,True
RTX,3_priced_universe,124,163,123,True
RY,3_priced_universe,125,141,123,True
SAN,3_priced_universe,79,157,78,True
SAP,3_priced_universe,116,109,115,True
SBUX,3_priced_universe,124,142,123,True
SCCO,3_priced_universe,117,125,116,True
SCHW,3_priced_universe,122,157,121,True
SHEL,3_priced_universe,123,87,122,True
SHOP,3_priced_universe,46,53,45,True
SHW,3_priced_universe,122,163,121,True
SLB,3_priced_universe,120,163,119,True
SMERY,3_priced_universe,1,7,1,True
SMFG,3_priced_universe,77,91,76,True
SNDK,3_priced_universe,23,11,22,True
SNHIY,3_priced_universe,2,5,0,False
SNOW,3_priced_universe,26,29,24,True
SNPS,3_priced_universe,121,146,120,True
SNY,3_priced_universe,75,98,74,True
SO,3_priced_universe,122,163,121,True
SONY,3_priced_universe,94,161,93,True
SPG,3_priced_universe,114,133,113,True
SPGI,3_priced_universe,122,163,121,True
SPOT,3_priced_universe,38,41,37,True
SPY,3_priced_universe,0,0,0,False
SRE,3_priced_universe,122,163,121,True
STM,3_priced_universe,125,125,124,True
STX,3_priced_universe,95,103,94,True
SU,3_priced_universe,123,141,122,True
SYK,3_priced_universe,122,163,121,True
T,3_priced_universe,122,163,121,True
TD,3_priced_universe,124,126,123,True
TDG,3_priced_universe,82,105,81,True
TEL,3_priced_universe,77,81,76,True
TER,3_priced_universe,124,163,123,True
TFC,3_priced_universe,124,163,121,True
TGT,3_priced_universe,119,163,117,True
TJX,3_priced_universe,130,161,128,True
TM,3_priced_universe,87,150,86,True
TMO,3_priced_universe,124,163,123,True
TMUS,3_priced_universe,78,85,77,True
TRGP,3_priced_universe,63,69,62,True
TRP,3_priced_universe,125,163,124,True
TRV,3_priced_universe,130,163,129,True
TSLA,3_priced_universe,65,74,64,True
TT,3_priced_universe,124,163,123,True
TTE,3_priced_universe,104,137,103,True
TXN,3_priced_universe,124,163,123,True
UBER,3_priced_universe,31,37,30,True
UBS,3_priced_universe,75,105,74,True
UL,3_priced_universe,102,158,101,True
UNH,3_priced_universe,130,163,129,True
UNP,3_priced_universe,124,163,123,True
UPS,3_priced_universe,107,109,106,True
URI,3_priced_universe,114,114,113,True
USB,3_priced_universe,125,163,122,True
V,3_priced_universe,74,80,73,True
VALE,3_priced_universe,107,101,106,True
VLO,3_priced_universe,122,163,121,True
VRT,3_priced_universe,32,34,31,True
VRTX,3_priced_universe,122,145,121,True
VZ,3_priced_universe,122,163,121,True
WBD,3_priced_universe,85,89,84,True
WDC,3_priced_universe,123,163,122,True
WELL,3_priced_universe,114,163,113,True
WFC,3_priced_universe,125,163,124,True
WM,3_priced_universe,122,157,121,True
WMB,3_priced_universe,123,163,122,True
WMT,3_priced_universe,122,163,120,True
XOM,3_priced_universe,130,163,129,True
