model,window,train_start,train_end,test_start,test_end,n_test_months,oos_mean_ic
value_price_blend__equal,11,2021-12,2023-11,2023-12,2024-05,6,-0.0251
value_price_blend__equal,12,2022-06,2024-05,2024-06,2024-11,6,0.0662
value_price_blend__equal,13,2022-12,2024-11,2024-12,2025-05,6,-0.0009
value_price_blend__equal,14,2023-06,2025-05,2025-06,2025-11,6,-0.0495
value_price_blend__equal,15,2023-12,2025-11,2025-12,2026-05,6,0.0036
value_price_blend__ic_sign,0,2016-06,2018-05,2018-06,2018-11,6,-0.0726
value_price_blend__ic_sign,1,2016-12,2018-11,2018-12,2019-05,6,0.0647
value_price_blend__ic_sign,2,2017-06,2019-05,2019-06,2019-11,6,-0.0084
value_price_blend__ic_sign,3,2017-12,2019-11,2019-12,2020-05,6,-0.0298
value_price_blend__ic_sign,4,2018-06,2020-05,2020-06,2020-11,6,-0.1418
value_price_blend__ic_sign,5,2018-12,2020-11,2020-12,2021-05,6,0.0389
value_price_blend__ic_sign,6,2019-06,2021-05,2021-06,2021-11,6,-0.035
value_price_blend__ic_sign,7,2019-12,2021-11,2021-12,2022-05,6,-0.1178
value_price_blend__ic_sign,8,2020-06,2022-05,2022-06,2022-11,6,-0.0514
value_price_blend__ic_sign,9,2020-12,2022-11,2022-12,2023-05,6,0.0126
value_price_blend__ic_sign,10,2021-06,2023-05,2023-06,2023-11,6,-0.0065
value_price_blend__ic_sign,11,2021-12,2023-11,2023-12,2024-05,6,0.062
value_price_blend__ic_sign,12,2022-06,2024-05,2024-06,2024-11,6,-0.0353
value_price_blend__ic_sign,13,2022-12,2024-11,2024-12,2025-05,6,0.0009
value_price_blend__ic_sign,14,2023-06,2025-05,2025-06,2025-11,6,0.2105
value_price_blend__ic_sign,15,2023-12,2025-11,2025-12,2026-05,6,-0.076
value_price_blend__ic_weighted,0,2016-06,2018-05,2018-06,2018-11,6,0.0064
value_price_blend__ic_weighted,1,2016-12,2018-11,2018-12,2019-05,6,0.0682
value_price_blend__ic_weighted,2,2017-06,2019-05,2019-06,2019-11,6,0.0082
value_price_blend__ic_weighted,3,2017-12,2019-11,2019-12,2020-05,6,0.0913
value_price_blend__ic_weighted,4,2018-06,2020-05,2020-06,2020-11,6,-0.1054
value_price_blend__ic_weighted,5,2018-12,2020-11,2020-12,2021-05,6,0.0247
value_price_blend__ic_weighted,6,2019-06,2021-05,2021-06,2021-11,6,-0.1243
value_price_blend__ic_weighted,7,2019-12,2021-11,2021-12,2022-05,6,-0.1014
value_price_blend__ic_weighted,8,2020-06,2022-05,2022-06,2022-11,6,-0.0291
value_price_blend__ic_weighted,9,2020-12,2022-11,2022-12,2023-05,6,0.0122
value_price_blend__ic_weighted,10,2021-06,2023-05,2023-06,2023-11,6,-0.054
value_price_blend__ic_weighted,11,2021-12,2023-11,2023-12,2024-05,6,0.0867
value_price_blend__ic_weighted,12,2022-06,2024-05,2024-06,2024-11,6,-0.0601
value_price_blend__ic_weighted,13,2022-12,2024-11,2024-12,2025-05,6,0.0083
value_price_blend__ic_weighted,14,2023-06,2025-05,2025-06,2025-11,6,0.1066
value_price_blend__ic_weighted,15,2023-12,2025-11,2025-12,2026-05,6,-0.0246
kitchen_sink_blend__equal,0,2016-06,2018-05,2018-06,2018-11,6,0.0396
kitchen_sink_blend__equal,1,2016-12,2018-11,2018-12,2019-05,6,0.0793
kitchen_sink_blend__equal,2,2017-06,2019-05,2019-06,2019-11,6,0.0327
kitchen_sink_blend__equal,3,2017-12,2019-11,2019-12,2020-05,6,-0.0408
kitchen_sink_blend__equal,4,2018-06,2020-05,2020-06,2020-11,6,0.0519
kitchen_sink_blend__equal,5,2018-12,2020-11,2020-12,2021-05,6,-0.0337
kitchen_sink_blend__equal,6,2019-06,2021-05,2021-06,2021-11,6,0.1382
kitchen_sink_blend__equal,7,2019-12,2021-11,2021-12,2022-05,6,-0.0278
kitchen_sink_blend__equal,8,2020-06,2022-05,2022-06,2022-11,6,-0.0125
kitchen_sink_blend__equal,9,2020-12,2022-11,2022-12,2023-05,6,0.1155
kitchen_sink_blend__equal,10,2021-06,2023-05,2023-06,2023-11,6,-0.016
kitchen_sink_blend__equal,11,2021-12,2023-11,2023-12,2024-05,6,-0.0041
kitchen_sink_blend__equal,12,2022-06,2024-05,2024-06,2024-11,6,0.0334
kitchen_sink_blend__equal,13,2022-12,2024-11,2024-12,2025-05,6,-0.0837
kitchen_sink_blend__equal,14,2023-06,2025-05,2025-06,2025-11,6,-0.0564
kitchen_sink_blend__equal,15,2023-12,2025-11,2025-12,2026-05,6,0.0037
kitchen_sink_blend__ic_sign,0,2016-06,2018-05,2018-06,2018-11,6,-0.1169
kitchen_sink_blend__ic_sign,1,2016-12,2018-11,2018-12,2019-05,6,0.0827
kitchen_sink_blend__ic_sign,2,2017-06,2019-05,2019-06,2019-11,6,0.0387
kitchen_sink_blend__ic_sign,3,2017-12,2019-11,2019-12,2020-05,6,-0.0142
kitchen_sink_blend__ic_sign,4,2018-06,2020-05,2020-06,2020-11,6,-0.1207
kitchen_sink_blend__ic_sign,5,2018-12,2020-11,2020-12,2021-05,6,0.0543
kitchen_sink_blend__ic_sign,6,2019-06,2021-05,2021-06,2021-11,6,-0.0567
kitchen_sink_blend__ic_sign,7,2019-12,2021-11,2021-12,2022-05,6,-0.1472
kitchen_sink_blend__ic_sign,8,2020-06,2022-05,2022-06,2022-11,6,-0.0049
