name,kind,family,weighting,sector_neutral,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_hit_rate,net_spread_25bps,net_spread_50bps,subperiod_stable,ic_old,ic_new,top_sector_share,status
surprise_easy_curve,scenario,regime,,False,30794,96,0.0259,1.58,0.1134,False,0.0026,0.625,-0.0023,-0.0073,True,0.0327,0.0058,0.6882,rejected
surprise_drawdown,scenario,regime,,False,2552,20,0.0255,0.85,0.3973,False,0.0065,0.7,0.0016,-0.0034,False,0.0623,-0.0103,0.8196,rejected
surprise_high_oil,scenario,regime,,False,20816,80,0.0232,1.29,0.1973,False,0.0039,0.6125,-0.0011,-0.006,True,0.0516,-0.0008,0.6945,rejected
sue_easy_curve,scenario,regime,,False,29896,96,0.025,1.5,0.1336,False,0.0006,0.5729,-0.0044,-0.0094,True,0.0219,0.0239,0.556,rejected
surprise_x_quality,scenario,interaction,,False,36420,120,0.0249,1.78,0.0747,False,0.0029,0.6333,-0.002,-0.007,True,0.0471,-0.0065,0.6985,rejected
surprise_x_qualimp,scenario,interaction,,False,36862,120,0.0233,1.67,0.0949,False,0.0029,0.6333,-0.0021,-0.007,True,0.0443,-0.0067,0.7027,rejected
surprise_x_margin_exp,scenario,interaction,,False,36373,120,0.0105,0.72,0.4714,False,0.0026,0.5917,-0.0024,-0.0074,False,0.0312,-0.0163,0.6987,rejected
surprise_x_valuation,scenario,interaction,,False,35493,120,0.0092,0.66,0.5082,False,0.0023,0.5667,-0.0026,-0.0076,True,0.0178,-0.0128,0.7586,rejected
surprise_x_momentum,scenario,interaction,,False,20225,119,0.0126,0.86,0.3913,False,0.0076,0.5462,0.0026,-0.0024,True,0.0236,-0.0053,0.7842,rejected
surprise_x_lowvol,scenario,interaction,,False,20329,119,-0.0137,-0.65,0.5149,False,-0.0117,0.5798,-0.0167,-0.0217,False,-0.0231,-0.0139,0.6906,rejected
sue_x_quality,scenario,interaction,,False,35510,120,-0.0016,-0.1,0.9235,False,-0.0062,0.475,-0.0111,-0.0161,False,-0.0003,-0.0025,0.5226,rejected
sue_x_momentum,scenario,interaction,,False,20310,119,0.006,0.39,0.6952,False,0.0059,0.5462,0.0009,-0.0041,True,0.0179,-0.0093,0.7774,rejected
beats_x_momentum,scenario,interaction,,False,20669,119,0.0045,0.33,0.7441,False,-0.0013,0.4622,-0.0063,-0.0113,False,0.0266,-0.0255,0.6773,rejected
accel_x_quality,scenario,interaction,,False,36547,120,0.0026,0.15,0.8789,False,-0.0048,0.4667,-0.0097,-0.0147,False,0.003,0.0025,0.5245,rejected
accel_x_momentum,scenario,interaction,,False,20224,119,0.0014,0.08,0.9368,False,-0.0017,0.4874,-0.0067,-0.0117,False,0.0026,-0.0022,0.7627,rejected
surprise_sector_neutral,scenario,earnings,,True,36862,120,0.0202,1.43,0.1518,False,0.0025,0.65,-0.0025,-0.0075,False,0.0514,-0.0076,0.6357,rejected
sue_sector_neutral,scenario,earnings,,True,35916,120,0.0249,1.84,0.0655,False,0.0006,0.5917,-0.0044,-0.0094,True,0.0422,-0.0011,0.417,rejected
