name,kind,family,cycle,input_hash,ic_t,bh_significant,status,reject_reasons
beta_signal,scenario,price,3,c74d4ae13a04,-0.61,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
low_vol_sector_neutral,scenario,price,3,7d5379fea648,-1.07,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
sector_relative_strength,scenario,price,3,8ce7c2549a89,-0.03,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
surprise_high_rates,scenario,regime,4,2d02b294174f,0.42,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
surprise_easy_curve,scenario,regime,4,f72b0d4b2cff,1.58,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; single-sector-dominated (>60% one sector)
surprise_drawdown,scenario,regime,4,73262c8c5268,0.85,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
surprise_high_oil,scenario,regime,4,691a58b00153,1.29,False,rejected,"exploratory/challenge scenario - reported, never promoted as strong alpha; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)"
sue_easy_curve,scenario,regime,4,e45469c79565,1.5,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating
surprise_x_quality,scenario,interaction,5,217423ebc954,1.78,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
surprise_x_qualimp,scenario,interaction,5,730fab362c7c,1.67,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
surprise_x_margin_exp,scenario,interaction,5,93aed43f9b62,0.72,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
surprise_x_valuation,scenario,interaction,5,2c45364ae4bc,0.66,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
surprise_x_momentum,scenario,interaction,5,73bd19d9a117,0.86,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
surprise_x_lowvol,scenario,interaction,5,2d6aebb62234,-0.65,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
sue_x_quality,scenario,interaction,6,9decd5018afc,-0.1,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability
sue_x_momentum,scenario,interaction,6,9b090ab55a49,0.39,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
beats_x_momentum,scenario,interaction,6,3dacc2be22e9,0.33,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
accel_x_quality,scenario,interaction,6,3c3f3c3a6f02,0.15,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; fails pre/post-2020 (subperiod) stability
accel_x_momentum,scenario,interaction,6,3320eddb637d,0.08,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
surprise_sector_neutral,scenario,earnings,6,ea6b256f63ee,1.43,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
sue_sector_neutral,scenario,earnings,6,8f36f2dda8ac,1.84,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split
earnings_blend__equal,model,model,7,09993cee9333,0.48,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
earnings_blend__ic_sign,model,model,7,d625e9e9aa0b,-1.88,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
earnings_blend__ic_weighted,model,model,7,156a0cc6b3c3,-1.6,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
quality_blend__equal,model,model,8,2b2a919b4f79,1.18,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
quality_blend__ic_sign,model,model,8,e2f8daf90031,0.06,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
quality_blend__ic_weighted,model,model,8,2191382a1fa9,0.23,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
value_price_blend__equal,model,model,9,520ca5863a61,0.2,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
value_price_blend__ic_sign,model,model,9,7ca6f5164399,-0.52,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
value_price_blend__ic_weighted,model,model,9,cc4829a48c11,-0.23,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
kitchen_sink_blend__equal,model,model,10,3e2a40fc85ab,0.77,False,rejected,IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; single-sector-dominated (>60% one sector)
kitchen_sink_blend__ic_sign,model,model,10,33d870baab63,-0.66,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
kitchen_sink_blend__ic_weighted,model,model,10,69766b22a52b,-0.44,False,rejected,non-positive mean IC; IC t-stat below +3.0; fails Benjamini-Hochberg q=0.10 (multiple testing); does not survive 25bps cost; spread hit-rate below 0.58 and net spread not strongly compensating; old-cohort-only / fails old-new cohort split; fails pre/post-2020 (subperiod) stability; single-sector-dominated (>60% one sector)
